Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
25,167,94.0,+1:07:57,,23.0,Smith Dion,24,Wanty - Groupe Gobert,1:04:17 1:04:17,\u25bc1,6,2018
25,34,95.0,+1:08:56,,25.0,Gougeard Alexis,25,AG2R La Mondiale,1:05:16 1:05:16,-,6,2018
22,94,104.0,+1:14:54,,33.0,Castrillo Jaime,26,Movistar Team,1:11:14 1:11:14,\u25b27,6,2018
23,127,105.0,+1:15:20,,27.0,Restrepo Jhonatan,27,Team Katusha - Alpecin,1:11:40 1:11:40,-,6,2018
24,62,108.0,+1:16:42,,28.0,Ackermann Pascal,28,BORA - hansgrohe,1:13:02 1:13:02,-,6,2018
22,53,111.0,+1:17:37,,29.0,Garcia Cortina Ivan,29,Bahrain Merida Pro Cycling Team,1:13:57 1:13:57,-,6,2018
24,57,113.0,+1:18:26,,30.0,Pibernik Luka,30,Bahrain Merida Pro Cycling Team,1:14:46 1:14:46,-,6,2018
24,87,117.0,+1:20:41,,31.0,Turgis Anthony,31,"Cofidis, Solutions Cr\xe9dits",1:17:01 1:17:01,-,6,2018
22,116,119.0,+1:21:58,,32.0,Thomas Benjamin,32,Groupama - FDJ,1:18:18 1:18:18,-,6,2018
24,132,120.0,+1:23:07,,34.0,Edmondson Alexander,33,Mitchelton-Scott,1:19:27 1:19:27,\u25b21,6,2018
24,43,124.0,+1:24:43,,35.0,Bohli Tom,34,BMC Racing Team,1:21:03 1:21:03,\u25b21,6,2018
23,192,131.0,+1:41:18,,38.0,Bauhaus Phil,35,Team Sunweb,1:37:38 1:37:38,\u25b23,6,2018
24,35,7.0,+4:05,,2.0,Latour Pierre,1,AG2R La Mondiale,24:47:17 24:47:17,\u25b21,7,2018
24,181,11.0,+5:21,,4.0,Tolhoek Antwan,2,Team LottoNL-Jumbo,1:16 1:16,\u25b22,7,2018
25,161,12.0,+5:54,,6.0,Martin Guillaume,3,Wanty - Groupe Gobert,1:49 1:49,\u25b23,7,2018
23,23,13.0,+7:05,,5.0,Geoghegan Hart Tao,4,Team Sky,3:00 3:00,\u25b21,7,2018
24,71,14.0,+8:34,,3.0,Benoot Tiesj,5,Lotto Soudal,4:29 4:29,\u25bc2,7,2018
25,13,15.0,+9:00,,7.0,Conti Valerio,6,UAE-Team Emirates,4:55 4:55,\u25b21,7,2018
24,91,16.0,+9:25,,1.0,Soler Marc,7,Movistar Team,5:20 5:20,\u25bc6,7,2018
22,117,18.0,+11:13,,8.0,Vincent L\xe9o,8,Groupama - FDJ,7:08 7:08,-,7,2018
23,174,22.0,+20:34,,9.0,Gebreigzabhier Amanuel,9,Team Dimension Data,16:29 16:29,-,7,2018
24,16,26.0,+22:26,,11.0,Ravasi Edward,10,UAE-Team Emirates,18:21 18:21,\u25b21,7,2018
23,184,34.0,+38:16,,10.0,Kuss Sepp,11,Team LottoNL-Jumbo,34:11 34:11,\u25bc1,7,2018
21,111,45.0,+50:38,,16.0,Gaudu David,12,Groupama - FDJ,46:33 46:33,\u25b24,7,2018
