Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,stage,year,▼▲
25,117,6.0,+0:06,,,Thomas Geraint,1,Sky Procycling,4:41:37 4:41:37,1,2011,
24,151,8.0,+0:06,,,Taaramäe Rein,2,"Cofidis, le Crédit en Ligne",",, ,,",1,2011,
23,198,21.0,+0:06,,,Silin Egor,3,Team Katusha,",, ,,",1,2011,
24,96,22.0,+0:06,,,Paterski Maciej,4,Liquigas - Cannondale,",, ,,",1,2011,
24,114,25.0,+0:06,,,Boasson Hagen Edvald,5,Sky Procycling,",, ,,",1,2011,
24,193,28.0,+0:06,,,Galimzyanov Denis,6,Team Katusha,",, ,,",1,2011,
22,178,29.0,+0:06,,,van Garderen Tejay,7,HTC - High Road,",, ,,",1,2011,
23,156,30.0,+0:06,,,Gallopin Tony,8,"Cofidis, le Crédit en Ligne",",, ,,",1,2011,
23,183,36.0,+0:06,,,Gautier Cyril,9,Team Europcar,",, ,,",1,2011,
24,69,43.0,+0:06,,,Zeits Andrey,10,Pro Team Astana,",, ,,",1,2011,
24,95,65.0,+0:06,,,Oss Daniel,11,Liquigas - Cannondale,",, ,,",1,2011,
23,116,70.0,+0:06,,,Swift Ben,12,Sky Procycling,",, ,,",1,2011,
23,57,71.0,+0:06,,,Navardauskas Ramūnas,13,Team Garmin - Cervélo,",, ,,",1,2011,
25,41,74.0,+0:06,,,Gesink Robert,14,Rabobank Cycling Team,",, ,,",1,2011,
24,174,77.0,+0:06,,,Goss Matthew,15,HTC - High Road,",, ,,",1,2011,
24,45,79.0,+1:20,,,Mollema Bauke,16,Rabobank Cycling Team,1:14 1:14,1,2011,
24,208,80.0,+1:20,,,Ruijgh Rob,17,Vacansoleil - DCM,",, 1:14",1,2011,
24,137,83.0,+1:20,,,Roux Anthony,18,FDJ,",, 1:14",1,2011,
24,118,85.0,+1:20,,,Urán Rigoberto,19,Sky Procycling,",, 1:14",1,2011,
24,93,87.0,+1:20,,,Koren Kristijan,20,Liquigas - Cannondale,",, 1:14",1,2011,
25,134,91.0,+1:49,,,Jeannesson Arnold,21,FDJ,1:43 1:43,1,2011,
25,86,96.0,+1:55,,,Intxausti Beñat,22,Movistar Team,1:49 1:49,1,2011,
25,66,97.0,+1:55,,,Kreuziger Roman,23,Pro Team Astana,",, 1:49",1,2011,
24,159,101.0,+1:55,,,Zingle Romain,24,"Cofidis, le Crédit en Ligne",",, 1:49",1,2011,
25,196,103.0,+1:55,,,Isaychev Vladimir,25,Team Katusha,",, 1:49",1,2011,
24,211,104.0,+1:55,,,Coppel Jérôme,26,Saur - Sojasun,",, 1:49",1,2011,
23,207,114.0,+1:55,,,Poels Wout,27,Vacansoleil - DCM,",, 1:49",1,2011,
24,188,115.0,+1:55,,,Rolland Pierre,28,Team Europcar,",, 1:49",1,2011,
24,123,118.0,+1:55,,,Ciolek Gerald,29,Quickstep Cycling Team,",, 1:49",1,2011,
24,203,124.0,+1:55,,,De Gendt Thomas,30,Vacansoleil - DCM,",, 1:49",1,2011,
24,83,127.0,+2:25,,,Costa Rui,31,Movistar Team,2:19 2:19,1,2011,
24,102,129.0,+2:25,,,Bouet Maxime,32,AG2R La Mondiale,",, 2:19",1,2011,
23,168,139.0,+2:33,,,Malori Adriano,33,Lampre - ISD,2:27 2:27,1,2011,
24,82,145.0,+2:35,,,Amador Andrey,34,Movistar Team,2:29 2:29,1,2011,
22,139,150.0,+2:36,,,Vichot Arthur,35,FDJ,2:30 2:30,1,2011,
24,149,160.0,+3:05,,,Schär Michael,36,BMC Racing Team,2:59 2:59,1,2011,
21,213,170.0,+3:28,,,Delaplace Anthony,37,Saur - Sojasun,3:22 3:22,1,2011,
23,22,172.0,+3:28,,,Izagirre Gorka,38,Euskaltel - Euskadi,",, 3:22",1,2011,
24,106,191.0,+6:50,,,Kadri Blel,39,AG2R La Mondiale,6:44 6:44,1,2011,
28,32,,,1.0,1.0,Gilbert Philippe,1,Omega Pharma-Lotto,,2,2011,-
25,117,4.0,+0:04,,1.0,Thomas Geraint,1,Sky Procycling,9:46:50 9:46:50,3,2011,-
24,114,6.0,+0:04,,2.0,Boasson Hagen Edvald,2,Sky Procycling,",, ,,",3,2011,-
22,178,16.0,+0:05,,3.0,van Garderen Tejay,3,HTC - High Road,0:01 0:01,3,2011,-
24,174,18.0,+0:05,,4.0,Goss Matthew,4,HTC - High Road,",, 0:01",3,2011,-
23,116,23.0,+0:11,,5.0,Swift Ben,5,Sky Procycling,0:07 0:07,3,2011,-
25,41,24.0,+0:12,,6.0,Gesink Robert,6,Rabobank Cycling Team,0:08 0:08,3,2011,-
23,183,36.0,+0:50,,7.0,Gautier Cyril,7,Team Europcar,0:46 0:46,3,2011,-
24,96,44.0,+0:57,,8.0,Paterski Maciej,8,Liquigas - Cannondale,0:53 0:53,3,2011,-
23,57,46.0,+1:01,,10.0,Navardauskas Ramūnas,9,Team Garmin - Cervélo,0:57 0:57,3,2011,▲1
23,198,52.0,+1:04,,11.0,Silin Egor,10,Team Katusha,1:00 1:00,3,2011,▲1
24,118,59.0,+1:18,,12.0,Urán Rigoberto,11,Sky Procycling,1:14 1:14,3,2011,▲1
24,151,61.0,+1:20,,13.0,Taaramäe Rein,12,"Cofidis, le Crédit en Ligne",1:16 1:16,3,2011,▲1
23,156,62.0,+1:20,,14.0,Gallopin Tony,13,"Cofidis, le Crédit en Ligne",",, 1:16",3,2011,▲1
24,45,65.0,+1:26,,15.0,Mollema Bauke,14,Rabobank Cycling Team,1:22 1:22,3,2011,▲1
24,95,68.0,+1:47,,9.0,Oss Daniel,15,Liquigas - Cannondale,1:43 1:43,3,2011,▼6
24,137,75.0,+2:00,,16.0,Roux Anthony,16,FDJ,1:56 1:56,3,2011,-
24,93,79.0,+2:11,,17.0,Koren Kristijan,17,Liquigas - Cannondale,2:07 2:07,3,2011,-
24,193,83.0,+2:20,,18.0,Galimzyanov Denis,18,Team Katusha,2:16 2:16,3,2011,-
25,66,84.0,+2:21,,19.0,Kreuziger Roman,19,Pro Team Astana,2:17 2:17,3,2011,-
24,208,86.0,+2:29,,20.0,Ruijgh Rob,20,Vacansoleil - DCM,2:25 2:25,3,2011,-
25,134,87.0,+2:29,,21.0,Jeannesson Arnold,21,FDJ,",, 2:25",3,2011,-
24,188,100.0,+2:39,,22.0,Rolland Pierre,22,Team Europcar,2:35 2:35,3,2011,-
24,211,105.0,+2:51,,23.0,Coppel Jérôme,23,Saur - Sojasun,2:47 2:47,3,2011,-
25,86,110.0,+2:58,,24.0,Intxausti Beñat,24,Movistar Team,2:54 2:54,3,2011,-
23,207,112.0,+3:04,,25.0,Poels Wout,25,Vacansoleil - DCM,3:00 3:00,3,2011,-
24,203,113.0,+3:04,,26.0,De Gendt Thomas,26,Vacansoleil - DCM,",, 3:00",3,2011,-
24,102,120.0,+3:12,,28.0,Bouet Maxime,27,AG2R La Mondiale,3:08 3:08,3,2011,▲1
22,139,124.0,+3:21,,29.0,Vichot Arthur,28,FDJ,3:17 3:17,3,2011,▲1
24,83,127.0,+3:28,,30.0,Costa Rui,29,Movistar Team,3:24 3:24,3,2011,▲1
23,168,129.0,+3:31,,31.0,Malori Adriano,30,Lampre - ISD,3:27 3:27,3,2011,▲1
24,82,134.0,+3:38,,32.0,Amador Andrey,31,Movistar Team,3:34 3:34,3,2011,▲1
21,213,147.0,+4:24,,33.0,Delaplace Anthony,32,Saur - Sojasun,4:20 4:20,3,2011,▲1
24,69,149.0,+4:30,,34.0,Zeits Andrey,33,Pro Team Astana,4:26 4:26,3,2011,▲1
24,149,159.0,+5:43,,36.0,Schär Michael,34,BMC Racing Team,5:39 5:39,3,2011,▲2
24,159,161.0,+5:47,,27.0,Zingle Romain,35,"Cofidis, le Crédit en Ligne",5:43 5:43,3,2011,▼8
24,123,162.0,+6:04,,35.0,Ciolek Gerald,36,Quickstep Cycling Team,6:00 6:00,3,2011,▼1
25,196,164.0,+6:12,,37.0,Isaychev Vladimir,37,Team Katusha,6:08 6:08,3,2011,-
23,22,179.0,+7:23,,38.0,Izagirre Gorka,38,Euskaltel - Euskadi,7:19 7:19,3,2011,-
24,106,191.0,+10:59,,39.0,Kadri Blel,39,AG2R La Mondiale,10:55 10:55,3,2011,-
25,117,7.0,+0:12,,1.0,Thomas Geraint,1,Sky Procycling,13:58:37 13:58:37,4,2011,-
24,114,8.0,+0:12,,2.0,Boasson Hagen Edvald,2,Sky Procycling,",, ,,",4,2011,-
22,178,13.0,+0:13,,3.0,van Garderen Tejay,3,HTC - High Road,0:01 0:01,4,2011,-
25,41,17.0,+0:20,,6.0,Gesink Robert,4,Rabobank Cycling Team,0:08 0:08,4,2011,▲2
23,183,21.0,+0:58,,7.0,Gautier Cyril,5,Team Europcar,0:46 0:46,4,2011,▲2
23,198,27.0,+1:12,,10.0,Silin Egor,6,Team Katusha,1:00 1:00,4,2011,▲4
24,118,30.0,+1:18,,11.0,Urán Rigoberto,7,Sky Procycling,1:06 1:06,4,2011,▲4
24,45,37.0,+1:34,,14.0,Mollema Bauke,8,Rabobank Cycling Team,1:22 1:22,4,2011,▲6
24,151,40.0,+1:45,,12.0,Taaramäe Rein,9,"Cofidis, le Crédit en Ligne",1:33 1:33,4,2011,▲3
24,96,46.0,+2:04,,8.0,Paterski Maciej,10,Liquigas - Cannondale,1:52 1:52,4,2011,▼2
23,116,47.0,+2:06,,5.0,Swift Ben,11,Sky Procycling,1:54 1:54,4,2011,▼6
23,57,49.0,+2:14,,9.0,Navardauskas Ramūnas,12,Team Garmin - Cervélo,2:02 2:02,4,2011,▼3
24,137,52.0,+2:25,,16.0,Roux Anthony,13,FDJ,2:13 2:13,4,2011,▲3
25,66,53.0,+2:29,,19.0,Kreuziger Roman,14,Pro Team Astana,2:17 2:17,4,2011,▲5
24,93,56.0,+2:36,,17.0,Koren Kristijan,15,Liquigas - Cannondale,2:24 2:24,4,2011,▲2
25,134,57.0,+2:37,,21.0,Jeannesson Arnold,16,FDJ,2:25 2:25,4,2011,▲5
24,188,60.0,+2:47,,22.0,Rolland Pierre,17,Team Europcar,2:35 2:35,4,2011,▲5
24,208,62.0,+2:52,,20.0,Ruijgh Rob,18,Vacansoleil - DCM,2:40 2:40,4,2011,▲2
25,86,66.0,+3:06,,24.0,Intxausti Beñat,19,Movistar Team,2:54 2:54,4,2011,▲5
24,211,71.0,+3:16,,23.0,Coppel Jérôme,20,Saur - Sojasun,3:04 3:04,4,2011,▲3
23,207,74.0,+3:27,,25.0,Poels Wout,21,Vacansoleil - DCM,3:15 3:15,4,2011,▲4
24,83,79.0,+3:36,,29.0,Costa Rui,22,Movistar Team,3:24 3:24,4,2011,▲7
24,95,84.0,+4:09,,15.0,Oss Daniel,23,Liquigas - Cannondale,3:57 3:57,4,2011,▼8
