Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,stage,year,▼▲
23,43,92.0,+32:39,,13.0,Cancellara Fabian,15,Fassa Bortolo,32:39 32:39,11,2004,▼2
25,205,94.0,+32:52,,17.0,Calzati Sylvain,16,R.a.g.t Semence - Mg Rover,32:52 32:52,11,2004,▲1
25,7,96.0,+33:14,,18.0,Noval Benjamin,17,US Postal Service,33:14 33:14,11,2004,▲1
23,113,106.0,+34:35,,19.0,Davis Allan Howard,18,Liberty Seguros,34:35 34:35,11,2004,▲1
24,84,110.0,+34:57,,20.0,Lang Sebastian,19,Gerolsteiner,34:57 34:57,11,2004,▲1
25,148,120.0,+36:30,,21.0,Portal Nicolas,20,AG2R Prévoyance,36:30 36:30,11,2004,▲1
24,95,124.0,+37:25,,22.0,Engoulvent Jimmy,21,"Cofidis, le Crédit par Téléphone",37:25 37:25,11,2004,▲1
24,88,133.0,+41:08,,23.0,Wegmann Fabian,22,Gerolsteiner,41:08 41:08,11,2004,▲1
25,123,134.0,+41:10,,24.0,Charteau Anthony,23,Brioches La Boulangère,41:10 41:10,11,2004,▲1
25,146,142.0,+43:16,,26.0,Krivtsov Yuriy,24,AG2R Prévoyance,43:16 43:16,11,2004,▲2
23,165,150.0,+46:26,,27.0,Eisel Bernhard,25,Fdjeux.com,46:26 46:26,11,2004,▲2
24,94,159.0,+56:08,,25.0,Edaleine Christophe,26,"Cofidis, le Crédit par Téléphone",56:08 56:08,11,2004,▼1
25,58,167.0,+1:25:08,,28.0,Joly Sébastien,27,Crédit Agricole,1:25:08 1:25:08,11,2004,▲1
25,129,1.0,+0:00,,1.0,Voeckler Thomas,1,Brioches La Boulangère,51:51:07 51:51:07,12,2004,-
25,162,3.0,+5:50,,2.0,Casar Sandy,2,Fdjeux.com,5:50 5:50,12,2004,-
24,196,18.0,+9:25,,3.0,Scarponi Michele,3,Domina Vacanze,9:25 9:25,12,2004,-
24,126,29.0,+11:46,,5.0,Pineau Jérôme,4,Brioches La Boulangère,11:46 11:46,12,2004,▲1
23,75,34.0,+12:41,,6.0,Karpets Vladimir,5,Illes Balears - Banesto,12:41 12:41,12,2004,▲1
25,121,36.0,+13:23,,4.0,Chavanel Sylvain,6,Brioches La Boulangère,13:23 13:23,12,2004,▼2
24,108,39.0,+14:29,,8.0,Rogers Michael,7,Quickstep - Davitamon,14:29 14:29,12,2004,▲1
25,32,40.0,+16:24,,7.0,Camaño Iker,8,Euskaltel - Euskadi,16:24 16:24,12,2004,▼1
24,142,62.0,+33:40,,12.0,Astarloza Mikel,9,AG2R Prévoyance,33:40 33:40,12,2004,▲3
24,194,74.0,+40:02,,9.0,Marinangeli Sergio,10,Domina Vacanze,40:02 40:02,12,2004,▼1
25,205,75.0,+40:57,,16.0,Calzati Sylvain,11,R.a.g.t Semence - Mg Rover,40:57 40:57,12,2004,▲5
24,84,86.0,+46:06,,19.0,Lang Sebastian,12,Gerolsteiner,46:06 46:06,12,2004,▲7
24,176,88.0,+46:57,,10.0,Loosli David,13,Saeco,46:57 46:57,12,2004,▼3
25,7,92.0,+47:48,,17.0,Noval Benjamin,14,US Postal Service,47:48 47:48,12,2004,▲3
23,113,95.0,+49:09,,18.0,Davis Allan Howard,15,Liberty Seguros,49:09 49:09,12,2004,▲3
23,103,104.0,+53:16,,11.0,Boonen Tom,16,Quickstep - Davitamon,53:16 53:16,12,2004,▼5
23,149,108.0,+54:19,,13.0,Scanlon Mark,17,AG2R Prévoyance,54:19 54:19,12,2004,▼4
22,47,110.0,+54:47,,14.0,Pozzato Filippo,18,Fassa Bortolo,54:47 54:47,12,2004,▼4
23,43,111.0,+54:50,,15.0,Cancellara Fabian,19,Fassa Bortolo,54:50 54:50,12,2004,▼4
25,148,113.0,+55:26,,20.0,Portal Nicolas,20,AG2R Prévoyance,55:26 55:26,12,2004,-
24,88,114.0,+55:42,,22.0,Wegmann Fabian,21,Gerolsteiner,55:42 55:42,12,2004,▲1
24,95,131.0,+59:36,,21.0,Engoulvent Jimmy,22,"Cofidis, le Crédit par Téléphone",59:36 59:36,12,2004,▼1
25,123,139.0,+1:03:21,,23.0,Charteau Anthony,23,Brioches La Boulangère,1:03:21 1:03:21,12,2004,-
