Rnk,BIB,Rider,Age,Team,year,stage
1,164.0,Gonzalez Fredy,22,Selle Italia - Pacific,2001,21
2,91.0,Simoni Gilberto,29,Lampre - Daikin,2001,21
3,166.0,Baliani Fortunato,26,Selle Italia - Pacific,2001,21
4,13.0,Caucchioli Pietro,25,Alessio,2001,21
5,56.0,Perez Cuapio Julio Alberto,23,Panaria - Fiordo,2001,21
6,41.0,Di Luca Danilo,25,Cantina Tollo - Acqua e Sapone,2001,21
7,77.0,Osa Unai,25,Ibanesto.com,2001,21
8,163.0,Alberto Contreras Carlos,27,Selle Italia - Pacific,2001,21
9,161.0,Buenahora Hernan,34,Selle Italia - Pacific,2001,21
10,72.0,Bruseghin Marzio,26,Ibanesto.com,2001,21
11,71.0,Arrieta Jose Luis,29,Ibanesto.com,2001,21
12,51.0,Figueras Giuliano,25,Panaria - Fiordo,2001,21
13,14.0,Gotti Ivan,32,Alessio,2001,21
14,79.0,Solaun Cesar,30,Ibanesto.com,2001,21
15,83.0,Rodriguez Alexis,24,Kelme - Costa Blanca,2001,21
16,139.0,Gualdi Domenico,27,,2001,21
17,111.0,Aerts Mario,26,Lotto - Adecco,2001,21
18,16.0,Ivanov Ruslan,27,Alessio,2001,21
19,2.0,Nocentini Rinaldo,23,Mapei - Quickstep,2001,21
20,12.0,Casarotto Davide,29,,2001,21
21,104.0,Zanette Denis,31,Liquigas - Pata,2001,21
22,109.0,Marini Mirko,26,Liquigas - Pata,2001,21
23,102.0,Honchar Serhiy,30,Liquigas - Pata,2001,21
24,,Zinetti Mauro,25,,2001,21
25,108.0,Faresin Gianni,35,Liquigas - Pata,2001,21
26,196.0,Kessler Matthias,22,Team Telekom,2001,21
27,66.0,Peron Andrea,29,Fassa Bortolo,2001,21
28,68.0,Tosatto Matteo,27,Fassa Bortolo,2001,21
29,135.0,Gobbi Michele,23,,2001,21
30,54.0,Coppolillo Michele,33,Panaria - Fiordo,2001,21
31,8.0,Noe Andrea,32,Mapei - Quickstep,2001,21
32,84.0,Leon Mane Francisco,28,Kelme - Costa Blanca,2001,21
33,93.0,Codol Massimo,28,Lampre - Daikin,2001,21
34,159.0,Secchiari Francesco,28,Saeco,2001,21
35,73.0,Lastras Pablo,25,Ibanesto.com,2001,21
36,48.0,Yakovlev Serguei,25,Cantina Tollo - Acqua e Sapone,2001,21
37,192.0,Elli Alberto,37,Team Telekom,2001,21
38,179.0,Hauptman Andrej,26,Tacconi Sport - Vini Caldirola,2001,21
