BIB,GC,GC-Time,Prev,Rnk,Team,Time,stage,year,▼▲
,,+ -8:34:42,16.0,1.0,ORICA-BikeExchange,25:44:48 25:44:48,2,2016,▲15
,,+ -8:34:42,18.0,2.0,Team Sky,",, ,,",2,2016,▲16
,,+ -8:34:42,7.0,3.0,Movistar Team,0:21 0:21,2,2016,▲4
,,+ -8:34:42,21.0,4.0,FDJ,0:22 0:22,2,2016,▲17
,,+ -8:34:42,13.0,5.0,Astana Pro Team,0:26 0:26,2,2016,▲8
,,+ -8:34:42,15.0,6.0,Cannondale-Drapac Pro Cycling Team,0:34 0:34,2,2016,▲9
,,+ -8:34:42,19.0,7.0,Team Katusha,0:35 0:35,2,2016,▲12
,,+ -8:34:42,17.0,8.0,AG2R La Mondiale,0:36 0:36,2,2016,▲9
,,+ -8:34:42,20.0,9.0,Lampre - Merida,0:46 0:46,2,2016,▲11
,,+ -8:34:42,3.0,10.0,Etixx - Quick Step,0:48 0:48,2,2016,▼7
,,+ -8:34:42,4.0,11.0,Team Giant - Alpecin,",, 0:48",2,2016,▼7
,,+ -8:34:42,5.0,12.0,Tinkoff,",, 0:48",2,2016,▼7
,,+ -8:34:42,2.0,13.0,Trek - Segafredo,0:49 0:49,2,2016,▼11
,,+ -8:34:42,10.0,14.0,IAM Cycling,1:43 1:43,2,2016,▼4
,,+ -8:34:42,11.0,15.0,BMC Racing Team,1:45 1:45,2,2016,▼4
,,+ -8:34:42,14.0,16.0,Direct Energie,2:05 2:05,2,2016,▼2
,,+ -8:34:42,12.0,17.0,Fortuneo - Vital Concept,2:11 2:11,2,2016,▼5
,,+ -8:34:42,6.0,18.0,Team Dimension Data,3:24 3:24,2,2016,▼12
,,+ -8:34:42,22.0,19.0,Bora - Argon 18,3:41 3:41,2,2016,▲3
,,+ -8:34:42,9.0,20.0,"Cofidis, Solutions Crédits",3:44 3:44,2,2016,▼11
,,+ -8:34:42,8.0,21.0,Team LottoNL-Jumbo,4:37 4:37,2,2016,▼13
,,+ -8:34:42,1.0,22.0,Lotto Soudal,7:38 7:38,2,2016,▼21
,,+ - 14:34:36,1.0,1.0,ORICA-BikeExchange,43:44:30 43:44:30,3,2016,-
,,+ - 14:34:36,2.0,2.0,Team Sky,",, ,,",3,2016,-
,,+ - 14:34:36,3.0,3.0,Movistar Team,0:21 0:21,3,2016,-
,,+ - 14:34:36,4.0,4.0,FDJ,0:22 0:22,3,2016,-
,,+ - 14:34:36,5.0,5.0,Astana Pro Team,0:26 0:26,3,2016,-
,,+ - 14:34:36,6.0,6.0,Cannondale-Drapac Pro Cycling Team,0:34 0:34,3,2016,-
,,+ - 14:34:36,7.0,7.0,Team Katusha,0:35 0:35,3,2016,-
,,+ - 14:34:36,8.0,8.0,AG2R La Mondiale,0:36 0:36,3,2016,-
,,+ - 14:34:36,9.0,9.0,Lampre - Merida,0:46 0:46,3,2016,-
,,+ - 14:34:36,10.0,10.0,Etixx - Quick Step,0:48 0:48,3,2016,-
,,+ - 14:34:36,12.0,11.0,Tinkoff,",, 0:48",3,2016,▲1
,,+ - 14:34:36,11.0,12.0,Team Giant - Alpecin,",, 0:48",3,2016,▼1
,,+ - 14:34:36,13.0,13.0,Trek - Segafredo,0:49 0:49,3,2016,-
,,+ - 14:34:36,14.0,14.0,IAM Cycling,1:43 1:43,3,2016,-
,,+ - 14:34:36,15.0,15.0,BMC Racing Team,1:45 1:45,3,2016,-
,,+ - 14:34:36,16.0,16.0,Direct Energie,2:05 2:05,3,2016,-
,,+ - 14:34:36,17.0,17.0,Fortuneo - Vital Concept,2:11 2:11,3,2016,-
,,+ - 14:34:36,18.0,18.0,Team Dimension Data,3:24 3:24,3,2016,-
,,+ - 14:34:36,19.0,19.0,Bora - Argon 18,3:41 3:41,3,2016,-
,,+ - 14:34:36,20.0,20.0,"Cofidis, Solutions Crédits",3:44 3:44,3,2016,-
,,+ - 14:34:36,21.0,21.0,Team LottoNL-Jumbo,4:37 4:37,3,2016,-
,,+ - 14:34:36,22.0,22.0,Lotto Soudal,7:38 7:38,3,2016,-
,,+ - 20:03:02,1.0,1.0,ORICA-BikeExchange,60:10:00 60:10:00,4,2016,-
,,+ - 20:03:02,2.0,2.0,Team Sky,",, ,,",4,2016,-
,,+ - 20:03:02,3.0,3.0,Movistar Team,0:21 0:21,4,2016,-
,,+ - 20:03:02,4.0,4.0,FDJ,0:22 0:22,4,2016,-
,,+ - 20:03:02,5.0,5.0,Astana Pro Team,0:26 0:26,4,2016,-
,,+ - 20:03:02,6.0,6.0,Cannondale-Drapac Pro Cycling Team,0:34 0:34,4,2016,-
,,+ - 20:03:02,7.0,7.0,Team Katusha,0:35 0:35,4,2016,-
,,+ - 20:03:02,8.0,8.0,AG2R La Mondiale,0:36 0:36,4,2016,-
,,+ - 20:03:02,9.0,9.0,Lampre - Merida,0:46 0:46,4,2016,-
,,+ - 20:03:02,10.0,10.0,Etixx - Quick Step,0:48 0:48,4,2016,-
,,+ - 20:03:02,11.0,11.0,Tinkoff,",, 0:48",4,2016,-
,,+ - 20:03:02,12.0,12.0,Team Giant - Alpecin,",, 0:48",4,2016,-
,,+ - 20:03:02,13.0,13.0,Trek - Segafredo,0:49 0:49,4,2016,-
,,+ - 20:03:02,14.0,14.0,IAM Cycling,1:43 1:43,4,2016,-
,,+ - 20:03:02,15.0,15.0,BMC Racing Team,1:45 1:45,4,2016,-
,,+ - 20:03:02,16.0,16.0,Direct Energie,2:05 2:05,4,2016,-
,,+ - 20:03:02,17.0,17.0,Fortuneo - Vital Concept,2:11 2:11,4,2016,-
,,+ - 20:03:02,18.0,18.0,Team Dimension Data,3:24 3:24,4,2016,-
,,+ - 20:03:02,19.0,19.0,Bora - Argon 18,3:41 3:41,4,2016,-
,,+ - 20:03:02,20.0,20.0,"Cofidis, Solutions Crédits",4:05 4:05,4,2016,-
,,+ - 20:03:02,21.0,21.0,Team LottoNL-Jumbo,4:37 4:37,4,2016,-
,,+ - 20:03:02,22.0,22.0,Lotto Soudal,8:06 8:06,4,2016,-
,,+ - 25:34:46,15.0,1.0,BMC Racing Team,76:56:47 76:56:47,5,2016,▲14
,,+ - 25:34:46,2.0,2.0,Team Sky,3:36 3:36,5,2016,-
,,+ - 25:34:46,3.0,3.0,Movistar Team,4:12 4:12,5,2016,-
,,+ - 25:34:46,11.0,4.0,Tinkoff,4:51 4:51,5,2016,▲7
,,+ - 25:34:46,5.0,5.0,Astana Pro Team,7:17 7:17,5,2016,-
,,+ - 25:34:46,8.0,6.0,AG2R La Mondiale,8:25 8:25,5,2016,▲2
,,+ - 25:34:46,4.0,7.0,FDJ,8:55 8:55,5,2016,▼3
,,+ - 25:34:46,13.0,8.0,Trek - Segafredo,12:32 12:32,5,2016,▲5
,,+ - 25:34:46,7.0,9.0,Team Katusha,12:41 12:41,5,2016,▼2
,,+ - 25:34:46,10.0,10.0,Etixx - Quick Step,12:48 12:48,5,2016,-
,,+ - 25:34:46,19.0,11.0,Bora - Argon 18,15:24 15:24,5,2016,▲8
,,+ - 25:34:46,14.0,12.0,IAM Cycling,16:50 16:50,5,2016,▲2
,,+ - 25:34:46,6.0,13.0,Cannondale-Drapac Pro Cycling Team,20:02 20:02,5,2016,▼7
,,+ - 25:34:46,9.0,14.0,Lampre - Merida,21:24 21:24,5,2016,▼5
,,+ - 25:34:46,12.0,15.0,Team Giant - Alpecin,21:26 21:26,5,2016,▼3
,,+ - 25:34:46,17.0,16.0,Fortuneo - Vital Concept,24:53 24:53,5,2016,▲1
,,+ - 25:34:46,1.0,17.0,ORICA-BikeExchange,30:38 30:38,5,2016,▼16
,,+ - 25:34:46,16.0,18.0,Direct Energie,32:23 32:23,5,2016,▼2
,,+ - 25:34:46,20.0,19.0,"Cofidis, Solutions Crédits",32:29 32:29,5,2016,▲1
,,+ - 25:34:46,21.0,20.0,Team LottoNL-Jumbo,39:29 39:29,5,2016,▲1
,,+ - 25:34:46,22.0,21.0,Lotto Soudal,47:40 47:40,5,2016,▲1
,,+ - 25:34:46,18.0,22.0,Team Dimension Data,47:56 47:56,5,2016,▼4
,,+ - 30:18:38,1.0,1.0,BMC Racing Team,91:08:23 91:08:23,6,2016,-
,,+ - 30:18:38,2.0,2.0,Team Sky,3:36 3:36,6,2016,-
,,+ - 30:18:38,3.0,3.0,Movistar Team,4:12 4:12,6,2016,-
,,+ - 30:18:38,4.0,4.0,Tinkoff,4:47 4:47,6,2016,-
,,+ - 30:18:38,5.0,5.0,Astana Pro Team,7:17 7:17,6,2016,-
,,+ - 30:18:38,6.0,6.0,AG2R La Mondiale,8:21 8:21,6,2016,-
,,+ - 30:18:38,7.0,7.0,FDJ,8:55 8:55,6,2016,-
,,+ - 30:18:38,8.0,8.0,Trek - Segafredo,12:28 12:28,6,2016,-
,,+ - 30:18:38,9.0,9.0,Team Katusha,12:37 12:37,6,2016,-
,,+ - 30:18:38,10.0,10.0,Etixx - Quick Step,12:43 12:43,6,2016,-
,,+ - 30:18:38,11.0,11.0,Bora - Argon 18,15:20 15:20,6,2016,-
,,+ - 30:18:38,12.0,12.0,IAM Cycling,16:50 16:50,6,2016,-
,,+ - 30:18:38,13.0,13.0,Cannondale-Drapac Pro Cycling Team,19:58 19:58,6,2016,-
,,+ - 30:18:38,14.0,14.0,Lampre - Merida,21:20 21:20,6,2016,-
,,+ - 30:18:38,15.0,15.0,Team Giant - Alpecin,21:22 21:22,6,2016,-
,,+ - 30:18:38,16.0,16.0,Fortuneo - Vital Concept,24:49 24:49,6,2016,-
,,+ - 30:18:38,17.0,17.0,ORICA-BikeExchange,30:34 30:34,6,2016,-
,,+ - 30:18:38,18.0,18.0,Direct Energie,32:18 32:18,6,2016,-
,,+ - 30:18:38,19.0,19.0,"Cofidis, Solutions Crédits",32:25 32:25,6,2016,-
,,+ - 30:18:38,20.0,20.0,Team LottoNL-Jumbo,39:25 39:25,6,2016,-
,,+ - 30:18:38,21.0,21.0,Lotto Soudal,47:36 47:36,6,2016,-
,,+ - 30:18:38,22.0,22.0,Team Dimension Data,47:52 47:52,6,2016,-
,,+ - 34:09:44,1.0,1.0,BMC Racing Team,102:43:01 102:43:01,7,2016,-
,,+ - 34:09:44,2.0,2.0,Team Sky,4:16 4:16,7,2016,-
,,+ - 34:09:44,3.0,3.0,Movistar Team,4:52 4:52,7,2016,-
,,+ - 34:09:44,5.0,4.0,Astana Pro Team,6:18 6:18,7,2016,▲1
,,+ - 34:09:44,4.0,5.0,Tinkoff,6:48 6:48,7,2016,▼1
,,+ - 34:09:44,6.0,6.0,AG2R La Mondiale,9:53 9:53,7,2016,-
,,+ - 34:09:44,8.0,7.0,Trek - Segafredo,14:03 14:03,7,2016,▲1
,,+ - 34:09:44,9.0,8.0,Team Katusha,14:14 14:14,7,2016,▲1
,,+ - 34:09:44,10.0,9.0,Etixx - Quick Step,15:34 15:34,7,2016,▲1
,,+ - 34:09:44,7.0,10.0,FDJ,15:43 15:43,7,2016,▼3
,,+ - 34:09:44,12.0,11.0,IAM Cycling,18:18 18:18,7,2016,▲1
,,+ - 34:09:44,11.0,12.0,Bora - Argon 18,19:01 19:01,7,2016,▼1
,,+ - 34:09:44,13.0,13.0,Cannondale-Drapac Pro Cycling Team,22:58 22:58,7,2016,-
,,+ - 34:09:44,15.0,14.0,Team Giant - Alpecin,26:23 26:23,7,2016,▲1
,,+ - 34:09:44,16.0,15.0,Fortuneo - Vital Concept,31:09 31:09,7,2016,▲1
,,+ - 34:09:44,17.0,16.0,ORICA-BikeExchange,31:38 31:38,7,2016,▲1
,,+ - 34:09:44,14.0,17.0,Lampre - Merida,32:42 32:42,7,2016,▼3
,,+ - 34:09:44,19.0,18.0,"Cofidis, Solutions Crédits",34:30 34:30,7,2016,▲1
,,+ - 34:09:44,18.0,19.0,Direct Energie,39:03 39:03,7,2016,▼1
,,+ - 34:09:44,20.0,20.0,Team LottoNL-Jumbo,46:15 46:15,7,2016,-
,,+ - 34:09:44,22.0,21.0,Team Dimension Data,57:25 57:25,7,2016,▲1
,,+ - 34:09:44,21.0,22.0,Lotto Soudal,1:19:26 1:19:26,7,2016,▼1
,,+ - 39:13:04,1.0,1.0,BMC Racing Team,117:40:16 117:40:16,8,2016,-
,,+ - 39:13:04,2.0,2.0,Team Sky,1:34 1:34,8,2016,-
,,+ - 39:13:04,3.0,3.0,Movistar Team,4:54 4:54,8,2016,-
,,+ - 39:13:04,4.0,4.0,Astana Pro Team,7:52 7:52,8,2016,-
,,+ - 39:13:04,5.0,5.0,Tinkoff,15:32 15:32,8,2016,-
,,+ - 39:13:04,6.0,6.0,AG2R La Mondiale,19:45 19:45,8,2016,-
,,+ - 39:13:04,7.0,7.0,Trek - Segafredo,21:39 21:39,8,2016,-
,,+ - 39:13:04,8.0,8.0,Team Katusha,24:57 24:57,8,2016,-
,,+ - 39:13:04,10.0,9.0,FDJ,43:46 43:46,8,2016,▲1
,,+ - 39:13:04,14.0,10.0,Team Giant - Alpecin,47:11 47:11,8,2016,▲4
,,+ - 39:13:04,9.0,11.0,Etixx - Quick Step,50:30 50:30,8,2016,▼2
,,+ - 39:13:04,11.0,12.0,IAM Cycling,54:30 54:30,8,2016,▼1
,,+ - 39:13:04,12.0,13.0,Bora - Argon 18,55:25 55:25,8,2016,▼1
,,+ - 39:13:04,16.0,14.0,ORICA-BikeExchange,56:59 56:59,8,2016,▲2
,,+ - 39:13:04,13.0,15.0,Cannondale-Drapac Pro Cycling Team,1:20:04 1:20:04,8,2016,▼2
,,+ - 39:13:04,17.0,16.0,Lampre - Merida,",, 1:20:04",8,2016,▲1
,,+ - 39:13:04,20.0,17.0,Team LottoNL-Jumbo,1:22:19 1:22:19,8,2016,▲3
,,+ - 39:13:04,19.0,18.0,Direct Energie,1:32:03 1:32:03,8,2016,▲1
,,+ - 39:13:04,18.0,19.0,"Cofidis, Solutions Crédits",1:34:55 1:34:55,8,2016,▼1
