Age,Avg,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
30,48.931999999999995,171,1.0,+0:00,80.0,,Wiggins Bradley,1,Sky Procycling,10:18 10:18,,16.0,,1,2010
26,48.773999999999994,2,,+0:00,50.0,,Bookwalter Brent,2,BMC Racing Team,0:02 0:02,,8.0,,1,2010
33,48.773999999999994,1,,+0:00,35.0,,Evans Cadel,3,BMC Racing Team,",, 0:02",,4.0,,1,2010
36,48.538999999999994,41,,+0:00,25.0,,Vinokourov Alexandre,4,Astana,0:05 0:05,,2.0,,1,2010
33,48.538999999999994,177,,+0:00,18.0,,Henderson Gregory,5,Sky Procycling,",, 0:05",,1.0,,1,2010
25,48.538999999999994,219,,+0:00,15.0,,Porte Richie,6,Saxo Bank,",, 0:05",,,,1,2010
33,48.461999999999996,111,,+0:00,12.0,,Millar David,7,Team Garmin - Transitions,0:06 0:06,,,,1,2010
29,48.38399999999999,215,,+0:00,10.0,,Larsson Gustav,8,Saxo Bank,0:07 0:07,,,,1,2010
25,48.23,168,,+0:00,8.0,,van Emden Jos,9,Rabobank ProTeam,0:09 0:09,,,,1,2010
34,48.23,182,,+0:00,6.0,,Pinotti Marco,10,Team HTC - Columbia,",, 0:09",,,,1,2010
25,48.153,132,,+0:00,5.0,,Nibali Vincenzo,11,Liquigas - Doimo,0:10 0:10,,,,1,2010
24,48.076,166,,+0:00,4.0,,Stamsnijder Tom,12,Rabobank ProTeam,0:11 0:11,,,,1,2010
28,48.0,189,,+0:00,3.0,,Sieberg Marcel,13,Team HTC - Columbia,0:12 0:12,,,,1,2010
26,47.924,44,,+0:00,2.0,,Grivko Andrei,14,Astana,0:13 0:13,,,,1,2010
35,47.924,173,,+0:00,1.0,,Cioni Dario,15,Sky Procycling,",, 0:13",,,,1,2010
25,47.848,151,,+0:00,,,Cataldo Dario,16,Quickstep - Innergetic,0:14 0:14,,,,1,2010
32,47.773,119,,+0:00,,,Tuft Svein,17,Team Garmin - Transitions,0:15 0:15,,,,1,2010
24,47.773,75,,+0:00,,,Konovalovas Ignatas,18,Cervelo Test Team,",, 0:15",,,,1,2010
25,47.773,218,,+0:00,,,M\xf8rk\xf8v Michael,19,Saxo Bank,",, 0:15",,,,1,2010
28,47.696999999999996,43,,+0:00,,,Gasparotto Enrico,20,Astana,0:16 0:16,,,,1,2010
20,47.696999999999996,102,,+0:00,,,Br\xe4ndle Matthias,21,Footon-Servetto,",, 0:16",,,,1,2010
27,47.622,164,,+0:00,,,Flens Rick,22,Rabobank ProTeam,0:17 0:17,,,,1,2010
23,47.622,77,,+0:00,,,Wyss Marcel,23,Cervelo Test Team,",, 0:17",,,,1,2010
27,47.622,201,,+0:00,,,Gerdemann Linus,24,Milram,",, 0:17",,,,1,2010
27,47.547,181,,+0:00,,,Greipel Andr\xe9,25,Team HTC - Columbia,0:18 0:18,,,,1,2010
26,47.473,49,,+0:00,,,Dyachenko Alexandr,26,Astana,0:19 0:19,,,,1,2010
27,47.398,53,,+0:00,,,Bonnet William,27,Bbox Bouygues Telecom,0:20 0:20,,,,1,2010
25,47.398,6,,+0:00,,,Murphy John,28,BMC Racing Team,",, 0:20",,,,1,2010
28,47.398,65,,+0:00,,,Kiryienka Vasil,29,Caisse d'Epargne,",, 0:20",,,,1,2010
36,47.398,11,,+0:00,,,Garzelli Stefano,30,Acqua & Sapone,",, 0:20",,,,1,2010
31,47.324,79,,+0:00,,,Tondo Xavier,31,Cervelo Test Team,0:21 0:21,,,,1,2010
29,47.324,169,,+0:00,,,Weening Pieter,32,Rabobank ProTeam,",, 0:21",,,,1,2010
30,47.324,31,,+0:00,,,Scarponi Michele,33,Androni Giocattoli - Serramenti PVC Diquigiovanni,",, 0:21",,,,1,2010
30,47.25,162,,+0:00,,,Ardila Mauricio Alberto,34,Rabobank ProTeam,0:22 0:22,,,,1,2010
29,47.25,192,,+0:00,,,Karpets Vladimir,35,Katyusha,",, 0:22",,,,1,2010
31,47.176,212,,+0:00,,,Cooke Baden,36,Saxo Bank,0:23 0:23,,,,1,2010
32,47.176,131,,+0:00,,,Basso Ivan,37,Liquigas - Doimo,",, 0:23",,,,1,2010
36,47.176,125,,+0:00,,,Hondo Danilo,38,Lampre - Farnese Vini,",, 0:23",,,,1,2010
25,47.176,134,,+0:00,,,Bodnar Maciej,39,Liquigas - Doimo,",, 0:23",,,,1,2010
24,47.103,142,,+0:00,,,Bakelants Jan,40,Omega Pharma-Lotto,0:24 0:24,,,,1,2010
22,47.03,161,,+0:00,,,Kruijswijk Steven,41,Rabobank ProTeam,0:25 0:25,,,,1,2010
35,47.03,71,,+0:00,,,Sastre Carlos,42,Cervelo Test Team,",, 0:25",,,,1,2010
23,47.03,46,,+0:00,,,Kireyev Roman,43,Astana,",, 0:25",,,,1,2010
28,46.957,185,,+0:00,,,Hansen Adam,44,Team HTC - Columbia,0:26 0:26,,,,1,2010
33,46.957,112,,+0:00,,,Vande Velde Christian,45,Team Garmin - Transitions,",, 0:26",,,,1,2010
23,46.957,167,,+0:00,,,Mollema Bauke,46,Rabobank ProTeam,",, 0:26",,,,1,2010
25,46.957,113,,+0:00,,,Farrar Tyler,47,Team Garmin - Transitions,",, 0:26",,,,1,2010
27,46.957,145,,+0:00,,,Elijzen Michiel,48,Omega Pharma-Lotto,",, 0:26",,,,1,2010
32,46.957,149,,+0:00,,,Wegelius Charles,49,Omega Pharma-Lotto,",, 0:26",,,,1,2010
26,46.88399999999999,135,,+0:00,,,Dall'Antonia Tiziano,50,Liquigas - Doimo,0:27 0:27,,,,1,2010
36,46.88399999999999,122,,+0:00,,,Petacchi Alessandro,51,Lampre - Farnese Vini,",, 0:27",,,,1,2010
31,46.81100000000001,26,,+0:00,,,Krivtsov Yuriy,52,AG2R La Mondiale,0:28 0:28,,,,1,2010
25,46.81100000000001,97,,+0:00,,,Marangoni Alan,53,Colnago - CSF Inox,",, 0:28",,,,1,2010
35,46.81100000000001,157,,+0:00,,,Tosatto Matteo,54,Quickstep - Innergetic,",, 0:28",,,,1,2010
28,46.81100000000001,148,,+0:00,,,Moreno Daniel,55,Omega Pharma-Lotto,",, 0:28",,,,1,2010
27,46.739,206,,+0:00,,,Rohregger Thomas,56,Milram,0:29 0:29,,,,1,2010
36,46.739,18,,+0:00,,,Miholjevic Vladimir,57,Acqua & Sapone,",, 0:29",,,,1,2010
30,46.667,141,,+0:00,,,Lang Sebastian,58,Omega Pharma-Lotto,0:30 0:30,,,,1,2010
23,46.667,184,,+0:00,,,Goss Matthew,59,Team HTC - Columbia,",, 0:30",,,,1,2010
25,46.667,133,,+0:00,,,Agnoli Valerio,60,Liquigas - Doimo,",, 0:30",,,,1,2010
25,46.595,5,,+0:00,,,Santambrogio Mauro,61,BMC Racing Team,0:31 0:31,,,,1,2010
32,46.595,42,,+0:00,,,Tiralongo Paolo,62,Astana,",, 0:31",,,,1,2010
24,46.595,84,,+0:00,,,Cusin Remi,63,Cofidis Le Credit en Ligne,",, 0:31",,,,1,2010
26,46.595,39,,+0:00,,,Wurf Cameron,64,Androni Giocattoli - Serramenti PVC Diquigiovanni,",, 0:31",,,,1,2010
28,46.523,203,,+0:00,,,Fothen Markus,65,Milram,0:32 0:32,,,,1,2010
28,46.523,191,,+0:00,,,Pozzato Filippo,66,Katyusha,",, 0:32",,,,1,2010
25,46.452,216,,+0:00,,,Didier Laurent,67,Saxo Bank,0:33 0:33,,,,1,2010
36,46.452,158,,+0:00,,,Velo Marco,68,Quickstep - Innergetic,",, 0:33",,,,1,2010
29,46.452,174,,+0:00,,,Cummings Stephen,69,Sky Procycling,",, 0:33",,,,1,2010
34,46.452,172,,+0:00,,,Barry Michael,70,Sky Procycling,",, 0:33",,,,1,2010
29,46.38,139,,+0:00,,,Vanotti Alessandro,71,Liquigas - Doimo,0:34 0:34,,,,1,2010
27,46.38,74,,+0:00,,,King Edward,72,Cervelo Test Team,",, 0:34",,,,1,2010
25,46.38,186,,+0:00,,,Lewis Craig,73,Team HTC - Columbia,",, 0:34",,,,1,2010
25,46.309,196,,+0:00,,,Ignatyev Mikhail,74,Katyusha,0:35 0:35,,,,1,2010
27,46.309,153,,+0:00,,,Facci Mauro,75,Quickstep - Innergetic,",, 0:35",,,,1,2010
29,46.239,76,,+0:00,,,Lloyd Daniel,76,Cervelo Test Team,0:36 0:36,,,,1,2010
34,46.239,214,,+0:00,,,S\xf8rensen Nicki,77,Saxo Bank,",, 0:36",,,,1,2010
30,46.239,34,,+0:00,,,Bertogliati Rubens,78,Androni Giocattoli - Serramenti PVC Diquigiovanni,",, 0:36",,,,1,2010
38,46.239,33,,+0:00,,,Bertolini Alessandro,79,Androni Giocattoli - Serramenti PVC Diquigiovanni,",, 0:36",,,,1,2010
30,46.168,116,,+0:00,,,Fischer Murilo Antonio,80,Team Garmin - Transitions,0:37 0:37,,,,1,2010
