BIB,GC,GC-Time,Prev,Rnk,Team,Time,stage,year,▼▲
,,+ -4:44:07,,1,Team Sky,14:12:21 14:12:21,1,2014,
,,+ -4:44:07,,2,Team NetApp – Endura,",, ,,",1,2014,
,,+ -4:44:07,,3,Belkin-Pro Cycling Team,",, ,,",1,2014,
,,+ -4:44:07,,4,Garmin Sharp,",, ,,",1,2014,
,,+ -4:44:07,,5,Tinkoff - Saxo,",, ,,",1,2014,
,,+ -4:44:07,,6,Movistar Team,",, ,,",1,2014,
,,+ -4:44:07,,7,AG2R La Mondiale,",, ,,",1,2014,
,,+ -4:44:07,,8,Orica GreenEDGE,",, ,,",1,2014,
,,+ -4:44:07,,9,Trek Factory Racing,",, ,,",1,2014,
,,+ -4:44:07,,10,BMC Racing Team,",, ,,",1,2014,
,,+ -4:44:07,,11,IAM Cycling,",, ,,",1,2014,
,,+ -4:44:07,,12,Astana Pro Team,",, ,,",1,2014,
,,+ -4:44:07,,13,Team Giant - Shimano,",, ,,",1,2014,
,,+ -4:44:07,,14,Bretagne - Séché Environnement,",, ,,",1,2014,
,,+ -4:44:07,,15,Team Europcar,",, ,,",1,2014,
,,+ -4:44:07,,16,Lotto Belisol,",, ,,",1,2014,
,,+ -4:44:07,,17,FDJ.fr,",, ,,",1,2014,
,,+ -4:44:07,,18,Team Katusha,",, ,,",1,2014,
,,+ -4:44:07,,19,Lampre - Merida,",, ,,",1,2014,
,,+ -4:44:07,,20,Cannondale,",, ,,",1,2014,
,,+ -4:44:07,,21,"Cofidis, Solutions Crédits",",, ,,",1,2014,
,,+ -4:44:07,,22,Omega Pharma - Quick-Step,",, ,,",1,2014,
,,+ -9:52:43,1.0,1,Team Sky,29:38:15 29:38:15,2,2014,-
,,+ -9:52:43,12.0,2,Astana Pro Team,0:12 0:12,2,2014,▲10
,,+ -9:52:43,10.0,3,BMC Racing Team,0:14 0:14,2,2014,▲7
,,+ -9:52:43,2.0,4,Team NetApp – Endura,0:47 0:47,2,2014,▼2
,,+ -9:52:43,9.0,5,Trek Factory Racing,",, 0:47",2,2014,▲4
,,+ -9:52:43,20.0,6,Cannondale,",, 0:47",2,2014,▲14
,,+ -9:52:43,11.0,7,IAM Cycling,1:01 1:01,2,2014,▲4
,,+ -9:52:43,18.0,8,Team Katusha,1:20 1:20,2,2014,▲10
,,+ -9:52:43,3.0,9,Belkin-Pro Cycling Team,1:31 1:31,2,2014,▼6
,,+ -9:52:43,19.0,10,Lampre - Merida,",, 1:31",2,2014,▲9
,,+ -9:52:43,5.0,11,Tinkoff - Saxo,2:46 2:46,2,2014,▼6
