Age,BIB,Pnt,Prev,Rider,Rnk,Team,stage,year,▼▲
26.0,33.0,15.0,,Cancellara Fabian,1,CSC ProTeam,0,2007,
32.0,196.0,12.0,,Klöden Andreas,2,Astana,0,2007,
34.0,114.0,10.0,,Hincapie George,3,Discovery Channel,0,2007,
27.0,149.0,8.0,,Wiggins Bradley,4,"Cofidis, le Crédit par Téléphone",0,2007,
25.0,113.0,6.0,,Gusev Vladimir,5,Discovery Channel,0,2007,
26.0,15.0,5.0,,Karpets Vladimir,6,Caisse d'Epargne,0,2007,
33.0,191.0,4.0,,Vinokourov Alexandre,7,Astana,0,2007,
22.0,54.0,3.0,,Dekker Thomas,8,Rabobank ProTeam,0,2007,
27.0,157.0,2.0,,Quinziato Manuel,9,Liquigas,0,2007,
25.0,169.0,1.0,,Vaugrenard Benoît,10,Française des Jeux,0,2007,
35.0,46.0,35.0,,McEwen Robbie,1,Predictor - Lotto,1,2007,-
29.0,101.0,30.0,,Hushovd Thor,2,Crédit Agricole,1,2007,-
26.0,171.0,26.0,,Boonen Tom,3,Quickstep - Innergetic,1,2007,-
24.0,162.0,24.0,,Chavanel Sébastien,4,Française des Jeux,1,2007,-
23.0,134.0,22.0,,Feillu Romain,5,Agritubel,1,2007,-
29.0,92.0,20.0,,Förster Robert,6,Gerolsteiner,1,2007,-
26.0,33.0,19.0,1.0,Cancellara Fabian,7,CSC ProTeam,1,2007,▼6
31.0,56.0,19.0,,Freire Óscar,8,Rabobank ProTeam,1,2007,-
24.0,22.0,18.0,,Burghardt Marcus,9,T-Mobile Team,1,2007,-
25.0,209.0,17.0,,Ventoso Francisco José,10,Saunier Duval,1,2007,-
25.0,119.0,16.0,,Vaitkus Tomas,11,Discovery Channel,1,2007,-
26.0,24.0,15.0,,Eisel Bernhard,12,T-Mobile Team,1,2007,-
28.0,155.0,14.0,,Fischer Murilo Antonio,13,Liquigas,1,2007,-
37.0,181.0,13.0,,Zabel Erik,14,Milram,1,2007,-
30.0,201.0,12.0,,Millar David,15,Saunier Duval,1,2007,-
32.0,196.0,12.0,2.0,Klöden Andreas,16,Astana,1,2007,▼14
34.0,114.0,12.0,3.0,Hincapie George,17,Discovery Channel,1,2007,▼14
27.0,123.0,12.0,,Florencio Xavier,18,Bouygues Telecom,1,2007,-
26.0,176.0,11.0,,Steegmans Gert,19,Quickstep - Innergetic,1,2007,-
27.0,156.0,10.0,,Kuschynski Aleksandr,20,Liquigas,1,2007,-
23.0,184.0,10.0,,Grivko Andrey,21,Milram,1,2007,-
26.0,152.0,10.0,,Albasini Michael,22,Liquigas,1,2007,-
25.0,165.0,9.0,,Gilbert Philippe,23,Française des Jeux,1,2007,-
27.0,149.0,8.0,4.0,Wiggins Bradley,24,"Cofidis, le Crédit par Téléphone",1,2007,▼20
27.0,157.0,8.0,9.0,Quinziato Manuel,25,Liquigas,1,2007,▼16
33.0,173.0,8.0,,de Jongh Steven,26,Quickstep - Innergetic,1,2007,-
