Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,UCI.1,\u25bc\u25b2,stage,year
27,17,74.0,+1:35:36,,76.0,Izagirre Ion,74,Movistar Team,1:35:36 1:35:36,+0:00,,,\u25b22,14,2016
28,16,75.0,+1:35:47,,77.0,Izagirre Gorka,75,Movistar Team,1:35:47 1:35:47,+0:00,,,\u25b22,14,2016
28,177,76.0,+1:35:57,,73.0,Sicard Romain,76,Direct Energie,1:35:57 1:35:57,+2:38,,,\u25bc3,14,2016
27,13,77.0,+1:36:11,,78.0,Anacona Winner,77,Movistar Team,1:36:11 1:36:11,+0:00,,,\u25b21,14,2016
24,159,78.0,+1:39:03,,79.0,Polanc Jan,78,Lampre - Merida,1:39:03 1:39:03,+0:00,,,\u25b21,14,2016
24,156,79.0,+1:39:28,,80.0,Grmay Tsgabu,79,Lampre - Merida,1:39:28 1:39:28,+0:00,,,\u25b21,14,2016
28,46,80.0,+1:39:40,,81.0,Gautier Cyril,80,AG2R La Mondiale,1:39:40 1:39:40,+0:00,,,\u25b21,14,2016
26,32,81.0,+1:42:23,,85.0,Sagan Peter,81,Tinkoff,1:42:23 1:42:23,+-1:56,,,\u25b24,14,2016
25,15,82.0,+1:42:27,,82.0,Herrada Jes\xfas,82,Movistar Team,1:42:27 1:42:27,+2:38,,,-,14,2016
25,78,83.0,+1:42:44,,84.0,Naesen Oliver,83,IAM Cycling,1:42:44 1:42:44,+1:37,,,\u25b21,14,2016
30,214,84.0,+1:43:22,,87.0,Feillu Brice,84,Fortuneo - Vital Concept,1:43:22 1:43:22,+0:00,,,\u25b23,14,2016
28,165,85.0,+1:43:39,,83.0,Gallopin Tony,85,Lotto Soudal,1:43:39 1:43:39,+2:38,,,\u25bc2,14,2016
27,109,86.0,+1:45:56,,86.0,Teklehaimanot Daniel,86,Team Dimension Data,1:45:56 1:45:56,+2:38,,,-,14,2016
27,88,87.0,+1:46:16,,88.0,Slagter Tom-Jelte,87,Cannondale-Drapac Pro Cycling Team,1:46:16 1:46:16,+2:38,,,\u25b21,14,2016
24,39,88.0,+1:46:20,,90.0,Valgren Michael,88,Tinkoff,1:46:20 1:46:20,+0:00,,,\u25b22,14,2016
25,203,89.0,+1:46:44,,91.0,Durbridge Luke,89,ORICA-BikeExchange,1:46:44 1:46:44,+0:00,,,\u25b22,14,2016
26,213,90.0,+1:46:45,,92.0,Delaplace Anthony,90,Fortuneo - Vital Concept,1:46:45 1:46:45,+0:00,,,\u25b22,14,2016
27,129,91.0,+1:46:49,,94.0,Vichot Arthur,91,FDJ,1:46:49 1:46:49,+0:00,,,\u25b23,14,2016
29,73,92.0,+1:48:03,,89.0,Coppel J\xe9rome,92,IAM Cycling,1:48:03 1:48:03,+2:38,,,\u25bc3,14,2016
