Rnk,BIB,Rider,Age,Team,Pnt,year,stage
1,152,Bettini Paolo,32,Quickstep - Innergetic,169,2006,20
2,191,Basso Ivan,28,CSC ProTeam,158,2006,20
3,143,Gutierrez Jose Enrique,31,Phonak Hearing Systems,132,2006,20
4,216,Pollack Olaf,32,T-Mobile Team,104,2006,20
5,1,Savoldelli Paolo,33,Discovery Channel,95,2006,20
6,109,Schumacher Stefan,24,Gerolsteiner,89,2006,20
7,171,Simoni Gilberto,34,Saunier Duval - Prodir,88,2006,20
8,177,Piepoli Leonardo,34,Saunier Duval - Prodir,86,2006,20
9,45,Richeze Ariel Maximiliano,23,Ceramica Panaria - Navigare,68,2006,20
10,137,Pellizotti Franco,28,Liquigas,67,2006,20
11,111,Cunego Damiano,24,Lampre-Fondital,63,2006,20
12,52,Duque Leonardo,26,Cofidis,60,2006,20
13,101,F\xf6rster Robert,28,Gerolsteiner,46,2006,20
14,196,Voigt Jens,34,CSC ProTeam,46,2006,20
15,92,Casar Sandy,27,Fran\xe7aise des Jeux,43,2006,20
16,122,Caruso Giampaolo,25,,43,2006,20
17,39,Perez Francisco,27,Caisse d'Epargne - Illes Balears,43,2006,20
18,187,Illiano Raffaele,29,Selle Italia - Serramenti Diquigiovanni,42,2006,20
19,155,Garate Juan Manuel,30,Quickstep - Innergetic,40,2006,20
20,175,Mori Manuele,25,Saunier Duval - Prodir,39,2006,20
21,132,Calcagni Patrick,28,Liquigas,38,2006,20
22,94,Delage Micka\xebl,20,Fran\xe7aise des Jeux,36,2006,20
23,47,Perez Cuapio Julio Alberto,28,Ceramica Panaria - Navigare,36,2006,20
24,36,Horrach Joan,32,Caisse d'Epargne - Illes Balears,34,2006,20
25,35,Guti\xe9rrez Jos\xe9 Iv\xe1n,27,Caisse d'Epargne - Illes Balears,33,2006,20
26,112,Bruseghin Marzio,31,Lampre-Fondital,30,2006,20
27,178,Pinotti Marco,30,Saunier Duval - Prodir,28,2006,20
28,42,Mazzanti Luca,32,Ceramica Panaria - Navigare,28,2006,20
29,41,Sella Emanuele,25,Ceramica Panaria - Navigare,28,2006,20
30,206,Ongarato Alberto,30,Milram,27,2006,20
31,131,Di Luca Danilo,30,Liquigas,26,2006,20
32,49,Laverde Luis Felipe,26,Ceramica Panaria - Navigare,25,2006,20
33,119,Javier Vila Francisco,30,Lampre-Fondital,25,2006,20
34,67,Poilvet Benoit,29,Cr\xe9dit Agricole,24,2006,20
35,8,Rubiera Jos\xe9 Luis,33,Discovery Channel,24,2006,20
36,32,Efimkin Vladimir,24,Caisse d'Epargne - Illes Balears,24,2006,20
37,117,Tiralongo Paolo,28,Lampre-Fondital,22,2006,20
38,44,Baliani Fortunato,31,Ceramica Panaria - Navigare,22,2006,20
39,154,Engels Addy,28,Quickstep - Innergetic,22,2006,20
40,103,Krauss Sven,23,Gerolsteiner,22,2006,20
41,207,Rigotto Elia,24,Milram,22,2006,20
42,16,Krivtsov Yuriy,27,AG2R Pr\xe9voyance,21,2006,20
43,87,Lopez David,25,Euskaltel - Euskadi,20,2006,20
44,139,Wegelius Charles,28,Liquigas,18,2006,20
45,146,Pe\xf1a Victor Hugo,31,Phonak Hearing Systems,15,2006,20
46,57,Parra Ivan Ramiro,30,Cofidis,15,2006,20
47,133,Cioni Dario,31,Liquigas,15,2006,20
48,62,Botcharov Alexandre,31,Cr\xe9dit Agricole,14,2006,20
49,14,Dupont Hubert,25,AG2R Pr\xe9voyance,14,2006,20
50,118,Valjavec Tadej,29,Lampre-Fondital,14,2006,20
51,84,Flores Iker,29,Euskaltel - Euskadi,13,2006,20
52,148,Tschopp Johann,23,Phonak Hearing Systems,13,2006,20
53,166,Niermann Grischa,30,Rabobank ProTeam,13,2006,20
54,97,Larsson Gustav,25,Fran\xe7aise des Jeux,13,2006,20
55,165,Kolobnev Alexandr,25,Rabobank ProTeam,13,2006,20
56,104,Moletta Andrea,27,Gerolsteiner,13,2006,20
57,78,Vogels Henk,32,Davitamon - Lotto,13,2006,20
58,64,Edaleine Christophe,26,Cr\xe9dit Agricole,12,2006,20
59,204,Knees Christian,25,Milram,10,2006,20
60,182,Serpa Jose Rodolfo,27,Selle Italia - Serramenti Diquigiovanni,9,2006,20
61,65,Halgand Patrice,32,Cr\xe9dit Agricole,9,2006,20
62,203,Ghisalberti Sergio,26,Milram,9,2006,20
63,149,Zampieri Steve,28,Phonak Hearing Systems,9,2006,20
64,13,Dion Renaud,28,AG2R Pr\xe9voyance,9,2006,20
65,123,de Kort Koen,23,,9,2006,20
66,11,Calzati Sylvain,26,AG2R Pr\xe9voyance,8,2006,20
67,48,Rubiano Miguel Angel,21,Ceramica Panaria - Navigare,8,2006,20
68,89,Mayoz Echeverria Iban,24,Euskaltel - Euskadi,8,2006,20
69,3,Beltran Manuel,35,Discovery Channel,8,2006,20
70,162,Eltink Theo,24,Rabobank ProTeam,8,2006,20
71,158,van de Walle Jurgen,29,Quickstep - Innergetic,8,2006,20
72,4,Ekimov Viatcheslav,40,Discovery Channel,8,2006,20
73,147,Rast Gregory,26,Phonak Hearing Systems,8,2006,20
74,9,White Matthew,32,Discovery Channel,8,2006,20
75,186,Missaglia Gabriele,35,Selle Italia - Serramenti Diquigiovanni,8,2006,20
76,136,Noe Andrea,37,Liquigas,7,2006,20
77,29,Lefevre Laurent,29,Bouygues Telecom,7,2006,20
78,93,Da Cruz Carlos,31,Fran\xe7aise des Jeux,7,2006,20
79,46,Matveyev Sergiy,31,Ceramica Panaria - Navigare,7,2006,20
80,85,Irizar Markel,26,Euskaltel - Euskadi,6,2006,20
81,114,Petrov Evgeni,28,Lampre-Fondital,6,2006,20
82,173,Lobato Ruben,27,Saunier Duval - Prodir,6,2006,20
83,138,Spezialetti Alessandro,31,Liquigas,6,2006,20
84,63,Bonnet William,23,Cr\xe9dit Agricole,6,2006,20
85,79,Roesems Bert,33,Davitamon - Lotto,6,2006,20
86,125,Osa Unai,30,,5,2006,20
87,61,Bellotti Francesco,26,Cr\xe9dit Agricole,5,2006,20
88,198,Gustov Volodymyr,29,CSC ProTeam,5,2006,20
89,31,Carrasco Gamiz Jos\xe9 Luis,24,Caisse d'Epargne - Illes Balears,5,2006,20
90,98,Monnerais Cyrille,22,Fran\xe7aise des Jeux,4,2006,20
91,209,Vanotti Alessandro,25,Milram,4,2006,20
92,24,Bonnaire Olivier,23,Bouygues Telecom,4,2006,20
93,27,Labbe Arnaud,29,Bouygues Telecom,4,2006,20
94,73,Jufre Josep,30,Davitamon - Lotto,3,2006,20
95,202,Cortinovis Alessandro,28,Milram,3,2006,20
96,54,Moinard Ama\xebl,24,Cofidis,3,2006,20
97,37,Julia Jose Cayetano,26,Caisse d'Epargne - Illes Balears,3,2006,20
98,116,Szmyd Sylwester,28,Lampre-Fondital,2,2006,20
99,215,Ludewig Jorg,30,T-Mobile Team,2,2006,20
100,115,Stangelj Gorazd,33,Lampre-Fondital,2,2006,20
101,157,Scarselli Leonardo,31,Quickstep - Innergetic,2,2006,20
102,153,Bramati Davide,37,Quickstep - Innergetic,2,2006,20
103,26,Gene Yohann,24,Bouygues Telecom,2,2006,20
104,195,Julich Bobby,34,CSC ProTeam,1,2006,20
105,77,Van Huffel Wim,27,Davitamon - Lotto,1,2006,20
106,74,Kuyckx Jan,27,Davitamon - Lotto,1,2006,20
