Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,Pnt,year,stage
21,15.0,\u25bc6,195,Hollenstein Reto,27,IAM Cycling,7,2013,4
22,,-,92,Cimolai Davide,23,Lampre - Merida,7,2013,4
23,16.0,\u25bc7,105,Koch Michel,21,Cannondale Pro Cycling Team,6,2013,4
24,,-,54,Guarnieri Jacopo,25,Astana Pro Team,6,2013,4
25,17.0,\u25bc8,48,Velits Peter,28,Omega Pharma - Quick-Step,5,2013,4
26,18.0,\u25bc8,96,Scarponi Michele,33,Lampre - Merida,5,2013,4
27,,-,85,Mondory Lloyd,31,AG2R La Mondiale,5,2013,4
28,19.0,\u25bc9,56,Kangert Tanel,26,Astana Pro Team,4,2013,4
29,,-,17,Rowe Luke,23,Sky Procycling,4,2013,4
30,20.0,\u25bc10,81,Peraud Jean-Christophe,36,AG2R La Mondiale,3,2013,4
31,21.0,\u25bc10,87,Pozzovivo Domenico,30,AG2R La Mondiale,3,2013,4
32,22.0,\u25bc10,127,Tosatto Matteo,39,Team Saxo - Tinkoff,3,2013,4
33,,-,204,Lemoine Cyril,30,Sojasun,3,2013,4
34,23.0,\u25bc11,78,van Garderen Tejay,24,BMC Racing Team,2,2013,4
35,24.0,\u25bc11,91,Ulissi Diego,23,Lampre - Merida,2,2013,4
36,,-,35,Rast Gregory,33,RadioShack - Leopard,2,2013,4
37,25.0,\u25bc12,21,Spilak Simon,26,Team Katusha,1,2013,4
38,26.0,\u25bc12,107,Moser Moreno,22,Cannondale Pro Cycling Team,1,2013,4
39,,-,177,van Poppel Boy,25,Vacansoleil - DCM,1,2013,4
1,2.0,\u25b21,108,Sagan Peter,23,Cannondale Pro Cycling Team,44,2013,5
2,1.0,\u25bc1,161,D\xe9mare Arnaud,21,FDJ.fr,41,2013,5
3,16.0,\u25b213,25,Kristoff Alexander,25,Team Katusha,36,2013,5
4,5.0,\u25b21,194,Haussler Heinrich,29,IAM Cycling,31,2013,5
5,6.0,\u25b21,134,Goss Matthew,26,Orica GreenEDGE,30,2013,5
6,3.0,\u25bc3,114,Mollema Bauke,26,Blanco Pro Cycling Team,23,2013,5
7,4.0,\u25bc3,73,Frank Mathias,26,BMC Racing Team,22,2013,5
8,22.0,\u25b214,92,Cimolai Davide,23,Lampre - Merida,16,2013,5
9,7.0,\u25bc2,121,Kreuziger Roman,27,Team Saxo - Tinkoff,16,2013,5
10,8.0,\u25bc2,63,Farrar Tyler,29,Garmin Sharp,16,2013,5
11,9.0,\u25bc2,137,Meyer Cameron,25,Orica GreenEDGE,15,2013,5
12,10.0,\u25bc2,166,Pinot Thibaut,23,FDJ.fr,15,2013,5
13,24.0,\u25b211,54,Guarnieri Jacopo,25,Astana Pro Team,14,2013,5
14,12.0,\u25bc2,64,Martin Daniel,26,Garmin Sharp,13,2013,5
15,13.0,\u25bc2,181,Degenkolb John,24,Team Argos - Shimano,13,2013,5
16,,-,122,Breschel Matti,28,Team Saxo - Tinkoff,13,2013,5
17,14.0,\u25bc3,1,Costa Rui,26,Movistar Team,12,2013,5
18,15.0,\u25bc3,45,Terpstra Niki,29,Omega Pharma - Quick-Step,12,2013,5
19,27.0,\u25b28,85,Mondory Lloyd,31,AG2R La Mondiale,10,2013,5
20,17.0,\u25bc3,67,Rasmussen Alex,29,Garmin Sharp,9,2013,5
21,39.0,\u25b218,177,van Poppel Boy,25,Vacansoleil - DCM,8,2013,5
22,18.0,\u25bc4,191,Tschopp Johann,30,IAM Cycling,8,2013,5
23,19.0,\u25bc4,157,Verdugo Gorka,34,Euskaltel - Euskadi,8,2013,5
24,20.0,\u25bc4,142,Debusschere Jens,23,Lotto Belisol Team,8,2013,5
25,21.0,\u25bc4,195,Hollenstein Reto,27,IAM Cycling,7,2013,5
26,25.0,\u25bc1,48,Velits Peter,28,Omega Pharma - Quick-Step,7,2013,5
27,,-,135,Impey Daryl,28,Orica GreenEDGE,6,2013,5
28,23.0,\u25bc5,105,Koch Michel,21,Cannondale Pro Cycling Team,6,2013,5
29,26.0,\u25bc3,96,Scarponi Michele,33,Lampre - Merida,5,2013,5
30,,-,148,Van der Sande Tosh,22,Lotto Belisol Team,4,2013,5
31,28.0,\u25bc3,56,Kangert Tanel,26,Astana Pro Team,4,2013,5
32,29.0,\u25bc3,17,Rowe Luke,23,Sky Procycling,4,2013,5
33,30.0,\u25bc3,81,Peraud Jean-Christophe,36,AG2R La Mondiale,3,2013,5
34,,-,71,Gilbert Philippe,30,BMC Racing Team,3,2013,5
35,31.0,\u25bc4,87,Pozzovivo Domenico,30,AG2R La Mondiale,3,2013,5
36,32.0,\u25bc4,127,Tosatto Matteo,39,Team Saxo - Tinkoff,3,2013,5
37,33.0,\u25bc4,204,Lemoine Cyril,30,Sojasun,3,2013,5
38,34.0,\u25bc4,78,van Garderen Tejay,24,BMC Racing Team,2,2013,5
39,35.0,\u25bc4,91,Ulissi Diego,23,Lampre - Merida,2,2013,5
40,36.0,\u25bc4,35,Rast Gregory,33,RadioShack - Leopard,2,2013,5
41,38.0,\u25bc3,107,Moser Moreno,22,Cannondale Pro Cycling Team,1,2013,5
42,37.0,\u25bc5,21,Spilak Simon,26,Team Katusha,1,2013,5
43,,-,201,Simon Julien,27,Sojasun,1,2013,5
1,1.0,-,108,Sagan Peter,23,Cannondale Pro Cycling Team,55,2013,6
2,2.0,-,161,D\xe9mare Arnaud,21,FDJ.fr,50,2013,6
3,3.0,-,25,Kristoff Alexander,25,Team Katusha,41,2013,6
4,5.0,\u25b21,134,Goss Matthew,26,Orica GreenEDGE,30,2013,6
5,40.0,\u25b235,35,Rast Gregory,33,RadioShack - Leopard,27,2013,6
6,6.0,-,114,Mollema Bauke,26,Blanco Pro Cycling Team,23,2013,6
7,15.0,\u25b28,181,Degenkolb John,24,Team Argos - Shimano,23,2013,6
8,8.0,-,92,Cimolai Davide,23,Lampre - Merida,23,2013,6
9,7.0,\u25bc2,73,Frank Mathias,26,BMC Racing Team,22,2013,6
10,,-,15,Hayman Mathew,35,Sky Procycling,20,2013,6
11,9.0,\u25bc2,121,Kreuziger Roman,27,Team Saxo - Tinkoff,16,2013,6
12,16.0,\u25b24,122,Breschel Matti,28,Team Saxo - Tinkoff,16,2013,6
13,,-,24,Kolobnev Alexandr,32,Team Katusha,16,2013,6
14,10.0,\u25bc4,63,Farrar Tyler,29,Garmin Sharp,16,2013,6
15,11.0,\u25bc4,137,Meyer Cameron,25,Orica GreenEDGE,15,2013,6
16,12.0,\u25bc4,166,Pinot Thibaut,23,FDJ.fr,15,2013,6
17,13.0,\u25bc4,54,Guarnieri Jacopo,25,Astana Pro Team,14,2013,6
18,14.0,\u25bc4,64,Martin Daniel,26,Garmin Sharp,13,2013,6
19,,-,43,Grabsch Bert,37,Omega Pharma - Quick-Step,13,2013,6
20,17.0,\u25bc3,1,Costa Rui,26,Movistar Team,12,2013,6
21,18.0,\u25bc3,45,Terpstra Niki,29,Omega Pharma - Quick-Step,12,2013,6
22,21.0,\u25bc1,177,van Poppel Boy,25,Vacansoleil - DCM,10,2013,6
23,30.0,\u25b27,148,Van der Sande Tosh,22,Lotto Belisol Team,10,2013,6
24,20.0,\u25bc4,67,Rasmussen Alex,29,Garmin Sharp,9,2013,6
25,22.0,\u25bc3,191,Tschopp Johann,30,IAM Cycling,8,2013,6
26,23.0,\u25bc3,157,Verdugo Gorka,34,Euskaltel - Euskadi,8,2013,6
27,,-,18,Swift Ben,25,Sky Procycling,8,2013,6
28,26.0,\u25bc2,48,Velits Peter,28,Omega Pharma - Quick-Step,7,2013,6
29,25.0,\u25bc4,195,Hollenstein Reto,27,IAM Cycling,7,2013,6
30,37.0,\u25b27,204,Lemoine Cyril,30,Sojasun,7,2013,6
31,27.0,\u25bc4,135,Impey Daryl,28,Orica GreenEDGE,6,2013,6
32,28.0,\u25bc4,105,Koch Michel,21,Cannondale Pro Cycling Team,6,2013,6
33,29.0,\u25bc4,96,Scarponi Michele,33,Lampre - Merida,5,2013,6
34,31.0,\u25bc3,56,Kangert Tanel,26,Astana Pro Team,4,2013,6
35,32.0,\u25bc3,17,Rowe Luke,23,Sky Procycling,4,2013,6
36,33.0,\u25bc3,81,Peraud Jean-Christophe,36,AG2R La Mondiale,3,2013,6
37,35.0,\u25bc2,87,Pozzovivo Domenico,30,AG2R La Mondiale,3,2013,6
38,34.0,\u25bc4,71,Gilbert Philippe,30,BMC Racing Team,3,2013,6
39,36.0,\u25bc3,127,Tosatto Matteo,39,Team Saxo - Tinkoff,3,2013,6
40,38.0,\u25bc2,78,van Garderen Tejay,24,BMC Racing Team,2,2013,6
41,39.0,\u25bc2,91,Ulissi Diego,23,Lampre - Merida,2,2013,6
42,42.0,-,21,Spilak Simon,26,Team Katusha,1,2013,6
43,41.0,\u25bc2,107,Moser Moreno,22,Cannondale Pro Cycling Team,1,2013,6
44,43.0,\u25bc1,201,Simon Julien,27,Sojasun,1,2013,6
45,,-,47,van Keirsbulck Guillaume,22,Omega Pharma - Quick-Step,1,2013,6
1,1.0,-,108,Sagan Peter,23,Cannondale Pro Cycling Team,55,2013,7
2,2.0,-,161,D\xe9mare Arnaud,21,FDJ.fr,50,2013,7
3,3.0,-,25,Kristoff Alexander,25,Team Katusha,41,2013,7
4,6.0,\u25b22,114,Mollema Bauke,26,Blanco Pro Cycling Team,35,2013,7
5,4.0,\u25bc1,134,Goss Matthew,26,Orica GreenEDGE,30,2013,7
6,20.0,\u25b214,1,Costa Rui,26,Movistar Team,27,2013,7
7,5.0,\u25bc2,35,Rast Gregory,33,RadioShack - Leopard,27,2013,7
8,9.0,\u25b21,73,Frank Mathias,26,BMC Racing Team,26,2013,7
9,16.0,\u25b27,166,Pinot Thibaut,23,FDJ.fr,24,2013,7
10,15.0,\u25b25,137,Meyer Cameron,25,Orica GreenEDGE,23,2013,7
11,8.0,\u25bc3,92,Cimolai Davide,23,Lampre - Merida,23,2013,7
12,7.0,\u25bc5,181,Degenkolb John,24,Team Argos - Shimano,23,2013,7
13,11.0,\u25bc2,121,Kreuziger Roman,27,Team Saxo - Tinkoff,22,2013,7
14,18.0,\u25b24,64,Martin Daniel,26,Garmin Sharp,20,2013,7
15,10.0,\u25bc5,15,Hayman Mathew,35,Sky Procycling,20,2013,7
16,13.0,\u25bc3,24,Kolobnev Alexandr,32,Team Katusha,16,2013,7
17,14.0,\u25bc3,63,Farrar Tyler,29,Garmin Sharp,16,2013,7
18,12.0,\u25bc6,122,Breschel Matti,28,Team Saxo - Tinkoff,16,2013,7
19,17.0,\u25bc2,54,Guarnieri Jacopo,25,Astana Pro Team,14,2013,7
20,19.0,\u25bc1,43,Grabsch Bert,37,Omega Pharma - Quick-Step,13,2013,7
21,40.0,\u25b219,78,van Garderen Tejay,24,BMC Racing Team,12,2013,7
22,21.0,\u25bc1,45,Terpstra Niki,29,Omega Pharma - Quick-Step,12,2013,7
23,23.0,-,148,Van der Sande Tosh,22,Lotto Belisol Team,10,2013,7
24,22.0,\u25bc2,177,van Poppel Boy,25,Vacansoleil - DCM,10,2013,7
25,24.0,\u25bc1,67,Rasmussen Alex,29,Garmin Sharp,9,2013,7
26,25.0,\u25bc1,191,Tschopp Johann,30,IAM Cycling,8,2013,7
27,27.0,-,18,Swift Ben,25,Sky Procycling,8,2013,7
28,26.0,\u25bc2,157,Verdugo Gorka,34,Euskaltel - Euskadi,8,2013,7
29,30.0,\u25b21,204,Lemoine Cyril,30,Sojasun,7,2013,7
30,29.0,\u25bc1,195,Hollenstein Reto,27,IAM Cycling,7,2013,7
31,28.0,\u25bc3,48,Velits Peter,28,Omega Pharma - Quick-Step,7,2013,7
32,34.0,\u25b22,56,Kangert Tanel,26,Astana Pro Team,6,2013,7
33,42.0,\u25b29,21,Spilak Simon,26,Team Katusha,6,2013,7
34,32.0,\u25bc2,105,Koch Michel,21,Cannondale Pro Cycling Team,6,2013,7
35,31.0,\u25bc4,135,Impey Daryl,28,Orica GreenEDGE,6,2013,7
36,33.0,\u25bc3,96,Scarponi Michele,33,Lampre - Merida,5,2013,7
37,35.0,\u25bc2,17,Rowe Luke,23,Sky Procycling,4,2013,7
38,37.0,\u25bc1,87,Pozzovivo Domenico,30,AG2R La Mondiale,3,2013,7
39,,-,12,Dombrowski Joe,22,Sky Procycling,3,2013,7
40,38.0,\u25bc2,71,Gilbert Philippe,30,BMC Racing Team,3,2013,7
41,36.0,\u25bc5,81,Peraud Jean-Christophe,36,AG2R La Mondiale,3,2013,7
42,39.0,\u25bc3,127,Tosatto Matteo,39,Team Saxo - Tinkoff,3,2013,7
43,44.0,\u25b21,201,Simon Julien,27,Sojasun,1,2013,7
44,45.0,\u25b21,47,van Keirsbulck Guillaume,22,Omega Pharma - Quick-Step,1,2013,7
45,43.0,\u25bc2,107,Moser Moreno,22,Cannondale Pro Cycling Team,1,2013,7
1,1.0,-,108,Sagan Peter,23,Cannondale Pro Cycling Team,80,2013,8
2,2.0,-,161,D\xe9mare Arnaud,21,FDJ.fr,50,2013,8
3,3.0,-,25,Kristoff Alexander,25,Team Katusha,41,2013,8
4,4.0,-,114,Mollema Bauke,26,Blanco Pro Cycling Team,37,2013,8
5,5.0,-,134,Goss Matthew,26,Orica GreenEDGE,30,2013,8
6,7.0,\u25b21,35,Rast Gregory,33,RadioShack - Leopard,27,2013,8
7,6.0,\u25bc1,1,Costa Rui,26,Movistar Team,27,2013,8
8,8.0,-,73,Frank Mathias,26,BMC Racing Team,26,2013,8
9,9.0,-,166,Pinot Thibaut,23,FDJ.fr,25,2013,8
10,10.0,-,137,Meyer Cameron,25,Orica GreenEDGE,23,2013,8
11,11.0,-,92,Cimolai Davide,23,Lampre - Merida,23,2013,8
12,12.0,-,181,Degenkolb John,24,Team Argos - Shimano,23,2013,8
13,13.0,-,121,Kreuziger Roman,27,Team Saxo - Tinkoff,22,2013,8
14,,-,123,Bennati Daniele,32,Team Saxo - Tinkoff,20,2013,8
15,15.0,-,15,Hayman Mathew,35,Sky Procycling,20,2013,8
16,14.0,\u25bc2,64,Martin Daniel,26,Garmin Sharp,20,2013,8
17,40.0,\u25b223,71,Gilbert Philippe,30,BMC Racing Team,19,2013,8
18,16.0,\u25bc2,24,Kolobnev Alexandr,32,Team Katusha,16,2013,8
19,17.0,\u25bc2,63,Farrar Tyler,29,Garmin Sharp,16,2013,8
20,18.0,\u25bc2,122,Breschel Matti,28,Team Saxo - Tinkoff,16,2013,8
21,31.0,\u25b210,48,Velits Peter,28,Omega Pharma - Quick-Step,16,2013,8
22,19.0,\u25bc3,54,Guarnieri Jacopo,25,Astana Pro Team,14,2013,8
23,,-,131,Albasini Michael,32,Orica GreenEDGE,13,2013,8
24,20.0,\u25bc4,43,Grabsch Bert,37,Omega Pharma - Quick-Step,13,2013,8
25,22.0,\u25bc3,45,Terpstra Niki,29,Omega Pharma - Quick-Step,12,2013,8
26,21.0,\u25bc5,78,van Garderen Tejay,24,BMC Racing Team,12,2013,8
27,,-,88,Riblon Christophe,32,AG2R La Mondiale,11,2013,8
28,32.0,\u25b24,56,Kangert Tanel,26,Astana Pro Team,10,2013,8
29,23.0,\u25bc6,148,Van der Sande Tosh,22,Lotto Belisol Team,10,2013,8
30,,-,193,Elmiger Martin,34,IAM Cycling,10,2013,8
31,36.0,\u25b25,96,Scarponi Michele,33,Lampre - Merida,10,2013,8
32,24.0,\u25bc8,177,van Poppel Boy,25,Vacansoleil - DCM,10,2013,8
33,43.0,\u25b210,201,Simon Julien,27,Sojasun,9,2013,8
34,25.0,\u25bc9,67,Rasmussen Alex,29,Garmin Sharp,9,2013,8
35,26.0,\u25bc9,191,Tschopp Johann,30,IAM Cycling,8,2013,8
36,27.0,\u25bc9,18,Swift Ben,25,Sky Procycling,8,2013,8
37,28.0,\u25bc9,157,Verdugo Gorka,34,Euskaltel - Euskadi,8,2013,8
38,,-,34,Monfort Maxime,30,RadioShack - Leopard,7,2013,8
39,30.0,\u25bc9,195,Hollenstein Reto,27,IAM Cycling,7,2013,8
40,29.0,\u25bc11,204,Lemoine Cyril,30,Sojasun,7,2013,8
41,35.0,\u25bc6,135,Impey Daryl,28,Orica GreenEDGE,6,2013,8
42,,-,184,Geschke Simon,27,Team Argos - Shimano,6,2013,8
43,33.0,\u25bc10,21,Spilak Simon,26,Team Katusha,6,2013,8
44,34.0,\u25bc10,105,Koch Michel,21,Cannondale Pro Cycling Team,6,2013,8
45,37.0,\u25bc8,17,Rowe Luke,23,Sky Procycling,4,2013,8
46,,-,6,Rojas Jos\xe9 Joaqu\xedn,28,Movistar Team,3,2013,8
47,39.0,\u25bc8,12,Dombrowski Joe,22,Sky Procycling,3,2013,8
48,41.0,\u25bc7,81,Peraud Jean-Christophe,36,AG2R La Mondiale,3,2013,8
49,38.0,\u25bc11,87,Pozzovivo Domenico,30,AG2R La Mondiale,3,2013,8
50,42.0,\u25bc8,127,Tosatto Matteo,39,Team Saxo - Tinkoff,3,2013,8
51,45.0,\u25bc6,107,Moser Moreno,22,Cannondale Pro Cycling Team,1,2013,8
52,44.0,\u25bc8,47,van Keirsbulck Guillaume,22,Omega Pharma - Quick-Step,1,2013,8
53,,-,52,Dyachenko Alexandr,29,Astana Pro Team,1,2013,8
1,1.0,-,108,Sagan Peter,23,Cannondale Pro Cycling Team,80,2013,9
2,2.0,-,161,D\xe9mare Arnaud,21,FDJ.fr,50,2013,9
3,4.0,\u25b21,114,Mollema Bauke,26,Blanco Pro Cycling Team,47,2013,9
4,7.0,\u25b23,1,Costa Rui,26,Movistar Team,42,2013,9
5,3.0,\u25bc2,25,Kristoff Alexander,25,Team Katusha,41,2013,9
6,9.0,\u25b23,166,Pinot Thibaut,23,FDJ.fr,32,2013,9
7,13.0,\u25b26,121,Kreuziger Roman,27,Team Saxo - Tinkoff,28,2013,9
8,6.0,\u25bc2,35,Rast Gregory,33,RadioShack - Leopard,27,2013,9
9,8.0,\u25bc1,73,Frank Mathias,26,BMC Racing Team,26,2013,9
10,10.0,-,137,Meyer Cameron,25,Orica GreenEDGE,23,2013,9
11,12.0,\u25b21,181,Degenkolb John,24,Team Argos - Shimano,23,2013,9
12,11.0,\u25bc1,92,Cimolai Davide,23,Lampre - Merida,23,2013,9
13,28.0,\u25b215,56,Kangert Tanel,26,Astana Pro Team,22,2013,9
14,16.0,\u25b22,64,Martin Daniel,26,Garmin Sharp,21,2013,9
15,15.0,-,15,Hayman Mathew,35,Sky Procycling,20,2013,9
16,14.0,\u25bc2,123,Bennati Daniele,32,Team Saxo - Tinkoff,20,2013,9
17,17.0,-,71,Gilbert Philippe,30,BMC Racing Team,19,2013,9
18,21.0,\u25b23,48,Velits Peter,28,Omega Pharma - Quick-Step,16,2013,9
19,18.0,\u25bc1,24,Kolobnev Alexandr,32,Team Katusha,16,2013,9
20,20.0,-,122,Breschel Matti,28,Team Saxo - Tinkoff,16,2013,9
21,19.0,\u25bc2,63,Farrar Tyler,29,Garmin Sharp,16,2013,9
22,26.0,\u25b24,78,van Garderen Tejay,24,BMC Racing Team,15,2013,9
23,22.0,\u25bc1,54,Guarnieri Jacopo,25,Astana Pro Team,14,2013,9
24,23.0,\u25bc1,131,Albasini Michael,32,Orica GreenEDGE,13,2013,9
25,24.0,\u25bc1,43,Grabsch Bert,37,Omega Pharma - Quick-Step,13,2013,9
26,48.0,\u25b222,81,Peraud Jean-Christophe,36,AG2R La Mondiale,12,2013,9
27,25.0,\u25bc2,45,Terpstra Niki,29,Omega Pharma - Quick-Step,12,2013,9
28,43.0,\u25b215,21,Spilak Simon,26,Team Katusha,11,2013,9
29,27.0,\u25bc2,88,Riblon Christophe,32,AG2R La Mondiale,11,2013,9
30,31.0,\u25b21,96,Scarponi Michele,33,Lampre - Merida,10,2013,9
31,30.0,\u25bc1,193,Elmiger Martin,34,IAM Cycling,10,2013,9
32,32.0,-,177,van Poppel Boy,25,Vacansoleil - DCM,10,2013,9
33,29.0,\u25bc4,148,Van der Sande Tosh,22,Lotto Belisol Team,10,2013,9
34,33.0,\u25bc1,201,Simon Julien,27,Sojasun,9,2013,9
35,34.0,\u25bc1,67,Rasmussen Alex,29,Garmin Sharp,9,2013,9
36,,-,2,Amador Andrey,26,Movistar Team,8,2013,9
37,35.0,\u25bc2,191,Tschopp Johann,30,IAM Cycling,8,2013,9
38,37.0,\u25bc1,157,Verdugo Gorka,34,Euskaltel - Euskadi,8,2013,9
39,36.0,\u25bc3,18,Swift Ben,25,Sky Procycling,8,2013,9
40,38.0,\u25bc2,34,Monfort Maxime,30,RadioShack - Leopard,7,2013,9
41,39.0,\u25bc2,195,Hollenstein Reto,27,IAM Cycling,7,2013,9
42,40.0,\u25bc2,204,Lemoine Cyril,30,Sojasun,7,2013,9
43,42.0,\u25bc1,184,Geschke Simon,27,Team Argos - Shimano,6,2013,9
44,41.0,\u25bc3,135,Impey Daryl,28,Orica GreenEDGE,6,2013,9
45,44.0,\u25bc1,105,Koch Michel,21,Cannondale Pro Cycling Team,6,2013,9
46,,-,51,Brajkovi\u010d Janez,29,Astana Pro Team,4,2013,9
47,45.0,\u25bc2,17,Rowe Luke,23,Sky Procycling,4,2013,9
48,47.0,\u25bc1,12,Dombrowski Joe,22,Sky Procycling,3,2013,9
49,46.0,\u25bc3,6,Rojas Jos\xe9 Joaqu\xedn,28,Movistar Team,3,2013,9
50,50.0,-,127,Tosatto Matteo,39,Team Saxo - Tinkoff,3,2013,9
51,,-,153,Izagirre Ion,24,Euskaltel - Euskadi,2,2013,9
52,53.0,\u25b21,52,Dyachenko Alexandr,29,Astana Pro Team,1,2013,9
53,51.0,\u25bc2,107,Moser Moreno,22,Cannondale Pro Cycling Team,1,2013,9
54,52.0,\u25bc2,47,van Keirsbulck Guillaume,22,Omega Pharma - Quick-Step,1,2013,9
