Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
24,,177,152.0,+17:10,,Locatelli Stefano,152,Bardiani - CSF Pro Team,",, 16:54",,1,2014
33,,1,3.0,+0:14,30.0,Boonen Tom,1,Omega Pharma - Quick-Step,3:30:07 3:30:07,20.0,2,2014
28,,128,4.0,+0:20,18.0,M\xf8rk\xf8v Michael,2,Tinkoff - Saxo,",, ,,",14.0,2,2014
28,,26,2.0,+0:05,12.0,Roelandts Jurgen,3,Lotto Belisol,",, ,,",8.0,2,2014
23,,2,6.0,+0:26,7.0,Fenn Andrew,4,Omega Pharma - Quick-Step,",, ,,",7.0,2,2014
29,,123,8.0,+0:26,4.0,Breschel Matti,5,Tinkoff - Saxo,",, ,,",6.0,2,2014
26,,67,7.0,+0:26,3.0,Stannard Ian,6,Team Sky,",, ,,",5.0,2,2014
29,,6,1.0,+0:00,2.0,Terpstra Niki,7,Omega Pharma - Quick-Step,",, ,,",4.0,2,2014
31,,27,5.0,+0:26,1.0,Sieberg Marcel,8,Lotto Belisol,",, ,,",2.0,2,2014
28,,41,9.0,+0:31,,Boom Lars,9,Belkin-Pro Cycling Team,0:05 0:05,,2,2014
38,,126,10.0,+0:31,,Kroon Karsten,10,Tinkoff - Saxo,",, 0:05",,2,2014
34,,14,33.0,+2:03,,Popovych Yaroslav,11,Trek Factory Racing,0:07 0:07,,2,2014
27,,4,11.0,+0:34,,Maes Nikolas,12,Omega Pharma - Quick-Step,0:11 0:11,,2,2014
22,,7,12.0,+0:40,,van Keirsbulck Guillaume,13,Omega Pharma - Quick-Step,0:14 0:14,,2,2014
29,,8,13.0,+0:40,,Vandenbergh Stijn,14,Omega Pharma - Quick-Step,",, 0:14",,2,2014
32,,61,80.0,+10:52,,Eisel Bernhard,15,Team Sky,",, 0:14",,2,2014
26,,87,81.0,+10:56,,Smukulis Gatis,16,Team Katusha,0:18 0:18,,2,2014
23,,66,35.0,+2:24,,Rowe Luke,17,Team Sky,",, 0:18",,2,2014
24,,124,99.0,+17:31,,Juul-Jensen Christopher,18,Tinkoff - Saxo,",, 0:18",,2,2014
25,,174,82.0,+11:26,,Coledan Marco,19,Bardiani - CSF Pro Team,0:48 0:48,,2,2014
22,,51,16.0,+1:14,,D\xe9mare Arnaud,20,FDJ.fr,",, 0:48",,2,2014
34,,22,27.0,+1:14,,Bak Lars Ytting,21,Lotto Belisol,",, 0:48",,2,2014
