Rnk,BIB,Rider,Age,Team,year,stage
1,32,Perez Cuapio Julio Alberto,24,Panaria - Fiordo,2002,20
2,43,Joaquin Castelblanco Jos\xe9,32,,2002,20
3,91,Tonkov Pavel,33,Lampre - Daikin,2002,20
4,23,De Paoli Daniele,28,Alessio,2002,20
5,99,Barbero Sergio,33,Lampre - Daikin,2002,20
6,171,Frigo Dario,28,Tacconi Sport,2002,20
7,22,Caucchioli Pietro,26,Alessio,2002,20
8,45,Mar\xedn Ruber Alveiro,33,,2002,20
9,75,Savoldelli Paolo,29,,2002,20
10,124,Evans Cadel,25,Mapei - Quickstep,2002,20
11,44,Munoz Hernan Dario,29,,2002,20
12,123,Cioni Dario,27,Mapei - Quickstep,2002,20
13,94,Garate Juan Manuel,26,Lampre - Daikin,2002,20
14,183,Escartin Fernando,34,Team Coast,2002,20
15,28,Pellizotti Franco,24,Alessio,2002,20
16,97,Kadlec Milan,27,Lampre - Daikin,2002,20
17,163,Lotz Marc,28,Rabobank ProTeam,2002,20
18,55,Petacchi Alessandro,28,Fassa Bortolo,2002,20
19,5,Galletti Alessio,34,Saeco Macchine per Caff\xe9 - Longoni Sport 2002,2002,20
20,204,Hamilton Tyler,31,CSC ProTeam - Tiscali,2002,20
21,96,Piccoli Mariano,31,Lampre - Daikin,2002,20
22,148,Mesa Mesa Hector Orlando,26,,2002,20
23,68,Totschnig Georg,31,Gerolsteiner,2002,20
24,26,Moreni Cristian,29,Alessio,2002,20
25,176,Gerosa Mauro,27,Tacconi Sport,2002,20
26,102,Popovych Yaroslav,22,Landbouwkrediet - Colnago,2002,20
27,191,Lunghi Denis,26,,2002,20
28,128,Nardello Daniele,29,Mapei - Quickstep,2002,20
29,213,Hiekmann Torsten,22,Team Telekom,2002,20
30,54,Honchar Serhiy,31,Fassa Bortolo,2002,20
31,9,Spezialetti Alessandro,27,Saeco Macchine per Caff\xe9 - Longoni Sport 2002,2002,20
32,8,Sacchi Fabio,28,Saeco Macchine per Caff\xe9 - Longoni Sport 2002,2002,20
33,58,Konishev Dimitri,36,Fassa Bortolo,2002,20
34,178,Radaelli Mauro,34,Tacconi Sport,2002,20
35,161,Boogerd Michael,30,Rabobank ProTeam,2002,20
36,62,Faresin Gianni,36,Gerolsteiner,2002,20
37,202,Cerezo Francisco,31,CSC ProTeam - Tiscali,2002,20
38,158,Strazzer Massimo,32,Phonak Hearing Systems,2002,20
