Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,stage,year,▼▲
23,93,7.0,+0:32,,,Kreuziger Roman,1,Liquigas,20:04 20:04,1,2009,
24,76,8.0,+0:33,,,Martin Tony,2,Team Columbia - HTC,0:01 0:01,1,2009,
24,95,9.0,+0:37,,,Nibali Vincenzo,3,Liquigas,0:05 0:05,1,2009,
22,102,15.0,+0:51,,,Coppel Jérôme,4,Française des Jeux,0:19 0:19,1,2009,
24,31,18.0,+1:00,,,Schleck Andy,5,Saxo Bank,0:28 0:28,1,2009,
23,46,31.0,+1:15,,,Gesink Robert,6,Rabobank ProTeam,0:43 0:43,1,2009,
25,89,43.0,+1:27,,,Roche Nicolas,7,AG2R La Mondiale,0:55 0:55,1,2009,
25,5,48.0,+1:29,,,Haussler Heinrich,8,Cervelo Test Team,0:57 0:57,1,2009,
25,186,58.0,+1:33,,,Terpstra Niki,9,Milram,1:01 1:01,1,2009,
22,113,63.0,+1:36,,,Costa Rui,10,Caisse d'Epargne,1:04 1:04,1,2009,
24,187,69.0,+1:38,,,Velits Peter,11,Milram,1:06 1:06,1,2009,
24,164,70.0,+1:38,,,Ignatyev Mikhail,12,Team Katusha,",, 1:06",1,2009,
24,184,71.0,+1:39,,,Fröhlinger Johannes,13,Milram,1:07 1:07,1,2009,
22,172,73.0,+1:39,,,Bouet Maxime,14,Agritubel,",, 1:07",1,2009,
23,139,74.0,+1:40,,,Špilak Simon,15,Lampre - NGC,1:08 1:08,1,2009,
22,119,75.0,+1:42,,,Urán Rigoberto,16,Caisse d'Epargne,1:10 1:10,1,2009,
25,53,76.0,+1:42,,,Farrar Tyler,17,Team Garmin - Slipstream,",, 1:10",1,2009,
24,96,79.0,+1:44,,,Sabatini Fabio,18,Liquigas,1:12 1:12,1,2009,
24,117,85.0,+1:47,,,Rojas José Joaquín,19,Caisse d'Epargne,1:15 1:15,1,2009,
24,196,95.0,+1:50,,,Hupond Thierry,20,Skil - Shimano,1:18 1:18,1,2009,
23,12,103.0,+1:55,,,Delage Mickaël,21,Silence - Lotto,1:23 1:23,1,2009,
22,148,109.0,+1:57,,,Rolland Pierre,22,Bbox Bouygues Telekom,1:25 1:25,1,2009,
25,149,125.0,+2:05,,,Trofimov Yuri,23,Bbox Bouygues Telekom,1:33 1:33,1,2009,
24,142,126.0,+2:07,,,Arashiro Yukiya,24,Bbox Bouygues Telekom,1:35 1:35,1,2009,
24,37,129.0,+2:10,,,Sørensen Chris Anker,25,Saxo Bank,1:38 1:38,1,2009,
24,137,135.0,+2:13,,,Santambrogio Mauro,26,Lampre - NGC,1:41 1:41,1,2009,
25,169,137.0,+2:15,,,Vandenbergh Stijn,27,Team Katusha,1:43 1:43,1,2009,
24,16,138.0,+2:15,,,Van Avermaet Greg,28,Silence - Lotto,",, 1:43",1,2009,
23,174,143.0,+2:18,,,Feillu Brice,29,Agritubel,1:46 1:46,1,2009,
22,182,149.0,+2:22,,,Ciolek Gerald,30,Milram,1:50 1:50,1,2009,
