Rank,Rider,Team,Points,stage_nr
6,Vuillermoz Alexis,AG2R La Mondiale,10,4
7,Gallopin Tony,,9,4
8,Bauer Jack,Quick-Step Floors,8,4
9,Calmejane Lilian,Direct Energie,7,4
10,Wyss Danilo,BMC Racing Team,6,4
11,Chavanel Sylvain,Direct Energie,5,4
12,Molard Rudy,FDJ,4,4
13,Barguil Warren,Team Sunweb,3,4
14,Gilbert Philippe,Quick-Step Floors,2,4
15,Sabatini Fabio,Quick-Step Floors,1,4
1,Matthews Michael,Team Sunweb,20,4
2,Bakelants Jan,AG2R La Mondiale,17,4
3,Gallopin Tony,,15,4
4,Geschke Simon,Team Sunweb,13,4
5,Benoot Tiesj,,11,4
6,Roglic Primoz,Team LottoNL-Jumbo,10,4
7,Mollema Bauke,Trek - Segafredo,9,4
8,Barguil Warren,Team Sunweb,8,4
9,Navarro Daniel,"Cofidis, Solutions CrÃ©dits",7,4
10,Pantano Jarlinson,Trek - Segafredo,6,4
11,Vuillermoz Alexis,AG2R La Mondiale,5,4
12,Betancur Carlos,,4,4
13,Kwiatkowski Michal,Team Sky,3,4
14,Henao Sergio Luis,Team Sky,2,4
15,Landa Mikel,Team Sky,1,4
1,Offredo Yoann,Wanty - Groupe Gobert,20,4
2,Gesbert Elie,Fortuneo - Oscaro,17,4
3,Greipel André,,15,4
4,Kittel Marcel,Quick-Step Floors,13,4
5,Kristoff Alexander,Team Katusha - Alpecin,11,4
6,Haller Marco,Team Katusha - Alpecin,10,4
7,Matthews Michael,Team Sunweb,9,4
8,Colbrelli Sonny,Bahrain Merida Pro Cycling Team,8,4
9,Arndt Nikias,Team Sunweb,7,4
10,Sabatini Fabio,Quick-Step Floors,6,4
11,De Gendt Thomas,,5,4
12,Stybar Zdenek,Quick-Step Floors,4,4
13,Teunissen Mike,Team Sunweb,3,4
14,Curvers Roy,Team Sunweb,2,4
15,Küng Stefan,BMC Racing Team,1,4
1,Marcato Marco,UAE Team Emirates,20,4
2,Backaert Frederik,Wanty - Groupe Gobert,17,4
3,Bodnar Maciej,BORA - hansgrohe,15,4
4,Kristoff Alexander,Team Katusha - Alpecin,13,4
5,Matthews Michael,Team Sunweb,11,4
6,Kittel Marcel,Quick-Step Floors,10,4
7,Greipel AndrÃ©,,9,4
8,Colbrelli Sonny,Bahrain Merida Pro Cycling Team,8,4
9,Gilbert Philippe,Quick-Step Floors,7,4
10,Stybar Zdenek,Quick-Step Floors,6,4
11,Sabatini Fabio,Quick-Step Floors,5,4
12,Sinkeldam Ramon,Team Sunweb,4,4
13,Knees Christian,Team Sky,3,4
14,Kwiatkowski Michal,Team Sky,2,4
15,Henao Sergio Luis,Team Sky,1,4
1,Matthews Michael,Team Sunweb,20,4
2,Kittel Marcel,Quick-Step Floors,17,4
3,De Gendt Thomas,,15,4
4,Bauer Jack,Quick-Step Floors,13,4
5,Küng Stefan,BMC Racing Team,11,4
6,de Kort Koen,Trek - Segafredo,10,4
7,Ulissi Diego,UAE Team Emirates,9,4
8,Politt Nils,Team Katusha - Alpecin,8,4
9,Gautier Cyril,AG2R La Mondiale,7,4
10,Simon Julien,"Cofidis, Solutions Crédits",6,4
11,Erviti Imanol,,5,4
12,Cummings Stephen,Team Dimension Data,4,4
13,Knees Christian,Team Sky,3,4
14,Rowe Luke,Team Sky,2,4
15,Nieve Mikel,Team Sky,1,4
1,Chavanel Sylvain,Direct Energie,20,4
2,Gilbert Philippe,Quick-Step Floors,17,4
3,De Marchi Alessandro,BMC Racing Team,15,4
4,Matthews Michael,Team Sunweb,13,4
5,Kittel Marcel,Quick-Step Floors,11,4
6,Colbrelli Sonny,Bahrain Merida Pro Cycling Team,10,4
7,Greipel André,,9,4
8,Edet Nicolas,"Cofidis, Solutions Crédits",8,4
9,Roche Nicolas,BMC Racing Team,7,4
10,Haller Marco,Team Katusha - Alpecin,6,4
11,Bauer Jack,Quick-Step Floors,5,4
12,Perichon Pierre-Luc,Fortuneo - Oscaro,4,4
13,Bole Grega,Bahrain Merida Pro Cycling Team,3,4
14,Grivko Andrei,Astana Pro Team,2,4
15,Vachon Florian,Fortuneo - Oscaro,1,4
1,De Gendt Thomas,,20,4
2,Bouet Maxime,Fortuneo - Oscaro,17,4
3,Voeckler Thomas,Direct Energie,15,4
4,Hollenstein Reto,Team Katusha - Alpecin,13,4
5,Roosen Timo,Team LottoNL-Jumbo,11,4
6,Kittel Marcel,Quick-Step Floors,10,4
7,Matthews Michael,Team Sunweb,9,4
8,Sabatini Fabio,Quick-Step Floors,8,4
9,Greipel André,,7,4
10,Colbrelli Sonny,Bahrain Merida Pro Cycling Team,6,4
11,Bauer Jack,Quick-Step Floors,5,4
12,Curvers Roy,Team Sunweb,4,4
13,Stybar Zdenek,Quick-Step Floors,3,4
14,Moinard Amaël,BMC Racing Team,2,4
15,Wyss Danilo,BMC Racing Team,1,4
1,Matthews Michael,Team Sunweb,20,4
2,De Gendt Thomas,,17,4
3,Bakelants Jan,AG2R La Mondiale,15,4
