Rnk,Prev,\u25bc\u25b2,BIB,Team,GC,GC-Time,Time,year,stage
1,1,-,,Orica GreenEDGE,,+ -4:32:44,12:59:20 12:59:20,2015,2
2,2,-,,Tinkoff - Saxo,,+ -4:32:44,0:07 0:07,2015,2
3,3,-,,Astana Pro Team,,+ -4:32:44,0:13 0:13,2015,2
4,4,-,,Etixx - Quick Step,,+ -4:32:44,0:19 0:19,2015,2
5,5,-,,Movistar Team,,+ -4:32:44,0:21 0:21,2015,2
6,7,\u25b21,,BMC Racing Team,,+ -4:32:44,0:25 0:25,2015,2
7,8,\u25b21,,FDJ,,+ -4:32:44,0:26 0:26,2015,2
8,9,\u25b21,,Team Sky,,+ -4:32:44,0:27 0:27,2015,2
9,10,\u25b21,,Team Katusha,,+ -4:32:44,",, 0:27",2015,2
10,12,\u25b22,,Lotto Soudal,,+ -4:32:44,0:29 0:29,2015,2
11,11,-,,Trek Factory Racing,,+ -4:32:44,",, 0:29",2015,2
12,13,\u25b21,,Team LottoNL-Jumbo,,+ -4:32:44,0:36 0:36,2015,2
13,14,\u25b21,,Bardiani - CSF Pro Team,,+ -4:32:44,0:37 0:37,2015,2
14,15,\u25b21,,CCC Sprandi Polkowice,,+ -4:32:44,0:45 0:45,2015,2
15,18,\u25b23,,Southeast,,+ -4:32:44,0:52 0:52,2015,2
16,19,\u25b23,,Team Cannondale - Garmin,,+ -4:32:44,0:53 0:53,2015,2
17,20,\u25b23,,Nippo - Vini Fantini,,+ -4:32:44,0:57 0:57,2015,2
18,22,\u25b24,,Androni Giocattoli - Sidermec,,+ -4:32:44,1:24 1:24,2015,2
19,17,\u25bc2,,Team Giant - Alpecin,,+ -4:32:44,1:51 1:51,2015,2
20,16,\u25bc4,,AG2R La Mondiale,,+ -4:32:44,1:57 1:57,2015,2
21,6,\u25bc15,,IAM Cycling,,+ -4:32:44,2:43 2:43,2015,2
22,21,\u25bc1,,Lampre - Merida,,+ -4:32:44,",, 2:43",2015,2
1,1,-,,Orica GreenEDGE,,+ -8:06:27,23:40:59 23:40:59,2015,3
2,2,-,,Tinkoff - Saxo,,+ -8:06:27,0:07 0:07,2015,3
3,3,-,,Astana Pro Team,,+ -8:06:27,0:13 0:13,2015,3
4,4,-,,Etixx - Quick Step,,+ -8:06:27,0:19 0:19,2015,3
5,5,-,,Movistar Team,,+ -8:06:27,0:21 0:21,2015,3
6,6,-,,BMC Racing Team,,+ -8:06:27,0:25 0:25,2015,3
7,7,-,,FDJ,,+ -8:06:27,0:26 0:26,2015,3
8,8,-,,Team Sky,,+ -8:06:27,0:27 0:27,2015,3
9,9,-,,Team Katusha,,+ -8:06:27,",, 0:27",2015,3
10,10,-,,Lotto Soudal,,+ -8:06:27,0:29 0:29,2015,3
11,13,\u25b22,,Bardiani - CSF Pro Team,,+ -8:06:27,0:37 0:37,2015,3
12,14,\u25b22,,CCC Sprandi Polkowice,,+ -8:06:27,0:45 0:45,2015,3
13,15,\u25b22,,Southeast,,+ -8:06:27,0:52 0:52,2015,3
14,16,\u25b22,,Team Cannondale - Garmin,,+ -8:06:27,0:53 0:53,2015,3
15,22,\u25b27,,Lampre - Merida,,+ -8:06:27,2:43 2:43,2015,3
16,20,\u25b24,,AG2R La Mondiale,,+ -8:06:27,10:32 10:32,2015,3
17,21,\u25b24,,IAM Cycling,,+ -8:06:27,11:18 11:18,2015,3
18,18,-,,Androni Giocattoli - Sidermec,,+ -8:06:27,25:36 25:36,2015,3
19,12,\u25bc7,,Team LottoNL-Jumbo,,+ -8:06:27,27:59 27:59,2015,3
20,11,\u25bc9,,Trek Factory Racing,,+ -8:06:27,28:43 28:43,2015,3
21,17,\u25bc4,,Nippo - Vini Fantini,,+ -8:06:27,29:11 29:11,2015,3
22,19,\u25bc3,,Team Giant - Alpecin,,+ -8:06:27,52:17 52:17,2015,3
1,3,\u25b22,,Astana Pro Team,,+ - 11:54:48,35:06:57 35:06:57,2015,4
2,6,\u25b24,,BMC Racing Team,,+ - 11:54:48,0:12 0:12,2015,4
3,8,\u25b25,,Team Sky,,+ - 11:54:48,0:14 0:14,2015,4
4,2,\u25bc2,,Tinkoff - Saxo,,+ - 11:54:48,3:12 3:12,2015,4
5,5,-,,Movistar Team,,+ - 11:54:48,4:08 4:08,2015,4
6,14,\u25b28,,Team Cannondale - Garmin,,+ - 11:54:48,12:44 12:44,2015,4
7,1,\u25bc6,,Orica GreenEDGE,,+ - 11:54:48,16:04 16:04,2015,4
8,10,\u25b22,,Lotto Soudal,,+ - 11:54:48,17:57 17:57,2015,4
9,11,\u25b22,,Bardiani - CSF Pro Team,,+ - 11:54:48,18:20 18:20,2015,4
10,13,\u25b23,,Southeast,,+ - 11:54:48,20:56 20:56,2015,4
11,9,\u25bc2,,Team Katusha,,+ - 11:54:48,21:49 21:49,2015,4
12,7,\u25bc5,,FDJ,,+ - 11:54:48,25:24 25:24,2015,4
13,15,\u25b22,,Lampre - Merida,,+ - 11:54:48,29:35 29:35,2015,4
14,4,\u25bc10,,Etixx - Quick Step,,+ - 11:54:48,34:06 34:06,2015,4
15,16,\u25b21,,AG2R La Mondiale,,+ - 11:54:48,44:03 44:03,2015,4
16,12,\u25bc4,,CCC Sprandi Polkowice,,+ - 11:54:48,51:59 51:59,2015,4
17,18,\u25b21,,Androni Giocattoli - Sidermec,,+ - 11:54:48,54:48 54:48,2015,4
18,17,\u25bc1,,IAM Cycling,,+ - 11:54:48,57:14 57:14,2015,4
19,19,-,,Team LottoNL-Jumbo,,+ - 11:54:48,1:07:40 1:07:40,2015,4
20,21,\u25b21,,Nippo - Vini Fantini,,+ - 11:54:48,1:08:32 1:08:32,2015,4
21,20,\u25bc1,,Trek Factory Racing,,+ - 11:54:48,1:24:05 1:24:05,2015,4
22,22,-,,Team Giant - Alpecin,,+ - 11:54:48,1:33:12 1:33:12,2015,4
1,1,-,,Astana Pro Team,,+ - 16:05:54,47:39:59 47:39:59,2015,5
2,2,-,,BMC Racing Team,,+ - 16:05:54,0:43 0:43,2015,5
3,3,-,,Team Sky,,+ - 16:05:54,2:23 2:23,2015,5
4,4,-,,Tinkoff - Saxo,,+ - 16:05:54,3:43 3:43,2015,5
5,5,-,,Movistar Team,,+ - 16:05:54,5:14 5:14,2015,5
6,6,-,,Team Cannondale - Garmin,,+ - 16:05:54,15:54 15:54,2015,5
7,8,\u25b21,,Lotto Soudal,,+ - 16:05:54,25:09 25:09,2015,5
8,7,\u25bc1,,Orica GreenEDGE,,+ - 16:05:54,30:22 30:22,2015,5
9,13,\u25b24,,Lampre - Merida,,+ - 16:05:54,30:45 30:45,2015,5
10,9,\u25bc1,,Bardiani - CSF Pro Team,,+ - 16:05:54,32:35 32:35,2015,5
11,11,-,,Team Katusha,,+ - 16:05:54,33:57 33:57,2015,5
12,12,-,,FDJ,,+ - 16:05:54,36:48 36:48,2015,5
13,14,\u25b21,,Etixx - Quick Step,,+ - 16:05:54,44:04 44:04,2015,5
14,10,\u25bc4,,Southeast,,+ - 16:05:54,45:37 45:37,2015,5
15,15,-,,AG2R La Mondiale,,+ - 16:05:54,53:28 53:28,2015,5
16,18,\u25b22,,IAM Cycling,,+ - 16:05:54,58:24 58:24,2015,5
17,17,-,,Androni Giocattoli - Sidermec,,+ - 16:05:54,1:07:12 1:07:12,2015,5
18,16,\u25bc2,,CCC Sprandi Polkowice,,+ - 16:05:54,1:20:18 1:20:18,2015,5
19,19,-,,Team LottoNL-Jumbo,,+ - 16:05:54,1:27:57 1:27:57,2015,5
20,20,-,,Nippo - Vini Fantini,,+ - 16:05:54,1:31:17 1:31:17,2015,5
21,21,-,,Trek Factory Racing,,+ - 16:05:54,1:43:23 1:43:23,2015,5
22,22,-,,Team Giant - Alpecin,,+ - 16:05:54,2:15:15 2:15:15,2015,5
1,1,-,,Astana Pro Team,,+ - 20:25:36,60:39:05 60:39:05,2015,6
2,2,-,,BMC Racing Team,,+ - 20:25:36,0:43 0:43,2015,6
3,3,-,,Team Sky,,+ - 20:25:36,2:23 2:23,2015,6
4,4,-,,Tinkoff - Saxo,,+ - 20:25:36,3:43 3:43,2015,6
5,5,-,,Movistar Team,,+ - 20:25:36,5:14 5:14,2015,6
6,6,-,,Team Cannondale - Garmin,,+ - 20:25:36,15:54 15:54,2015,6
7,7,-,,Lotto Soudal,,+ - 20:25:36,25:09 25:09,2015,6
8,8,-,,Orica GreenEDGE,,+ - 20:25:36,30:22 30:22,2015,6
9,9,-,,Lampre - Merida,,+ - 20:25:36,30:45 30:45,2015,6
10,10,-,,Bardiani - CSF Pro Team,,+ - 20:25:36,32:35 32:35,2015,6
11,11,-,,Team Katusha,,+ - 20:25:36,33:57 33:57,2015,6
12,12,-,,FDJ,,+ - 20:25:36,36:48 36:48,2015,6
13,13,-,,Etixx - Quick Step,,+ - 20:25:36,44:04 44:04,2015,6
14,14,-,,Southeast,,+ - 20:25:36,45:37 45:37,2015,6
15,15,-,,AG2R La Mondiale,,+ - 20:25:36,53:28 53:28,2015,6
16,16,-,,IAM Cycling,,+ - 20:25:36,58:24 58:24,2015,6
17,17,-,,Androni Giocattoli - Sidermec,,+ - 20:25:36,1:07:12 1:07:12,2015,6
18,18,-,,CCC Sprandi Polkowice,,+ - 20:25:36,1:20:18 1:20:18,2015,6
