Rnk,Rider,Age,Team,Pnt,year,stage
1,O'Grady Stuart,30,Cofidis,111.0,2004,7
2,Gutierrez Jose Enrique,29,Phonak Hearing Systems,80.0,2004,7
3,Mayo Iban,26,Euskaltel - Euskadi,60.0,2004,7
4,Rasmussen Michael,30,Rabobank ProTeam,46.0,2004,7
5,Armstrong Lance,32,US Postal Service,42.0,2004,7
6,Pereiro Oscar,26,Phonak Hearing Systems,41.0,2004,7
7,Cooke Baden,25,Fdjeux.com,40.0,2004,7
8,Hamilton Tyler,33,Phonak Hearing Systems,37.0,2004,7
9,Tombak Janek,27,Cofidis,32.0,2004,7
10,Voeckler Thomas,24,Brioches La Boulang\xe8re,31.0,2004,7
11,Dessel Cyril,29,Phonak Hearing Systems,30.0,2004,7
12,Sevilla Oscar,27,Phonak Hearing Systems,30.0,2004,7
13,Portal Nicolas,25,AG2R Pr\xe9voyance,28.0,2004,7
14,Hincapie George,30,US Postal Service,28.0,2004,7
15,Krivtsov Yuriy,25,AG2R Pr\xe9voyance,27.0,2004,7
16,Leipheimer Levi,30,Rabobank ProTeam,27.0,2004,7
17,Mercado Juan Miguel,25,Quickstep - Davitamon,24.0,2004,7
18,Horrillo Pedro,29,Quickstep - Davitamon,23.0,2004,7
19,Geslin Anthony,24,Brioches La Boulang\xe8re,22.0,2004,7
20,Casar Sandy,25,Fdjeux.com,20.0,2004,7
21,Flores Iker,27,Euskaltel - Euskadi,19.0,2004,7
22,Botcharov Alexandre,29,Cr\xe9dit Agricole,17.0,2004,7
23,Landis Floyd,28,US Postal Service,16.0,2004,7
24,Muravyev Dmitriy,24,Cr\xe9dit Agricole,13.0,2004,7
25,Virenque Richard,34,Quickstep - Davitamon,12.0,2004,7
26,Reynaud Nicolas,27,R.a.g.t Semence - Mg Rover,11.0,2004,7
27,Rogers Michael,24,Quickstep - Davitamon,11.0,2004,7
28,L\xf6fkvist Thomas,20,Fdjeux.com,11.0,2004,7
29,Landaluze Inigo,27,Euskaltel - Euskadi,11.0,2004,7
30,Guesdon Fr\xe9d\xe9ric,32,Fdjeux.com,11.0,2004,7
31,Goubert Stephane,34,AG2R Pr\xe9voyance,11.0,2004,7
32,Martinez Egoi,26,Euskaltel - Euskadi,10.0,2004,7
33,Sastre Carlos,29,CSC ProTeam,9.0,2004,7
34,de Groot Bram,29,Rabobank ProTeam,9.0,2004,7
35,Peron Andrea,32,CSC ProTeam,8.0,2004,7
36,Isasi Inaki,27,Euskaltel - Euskadi,8.0,2004,7
37,Moncouti\xe9 David,29,Cofidis,8.0,2004,7
38,Pe\xf1a Victor Hugo,29,US Postal Service,7.0,2004,7
39,Lefevre Laurent,27,Brioches La Boulang\xe8re,7.0,2004,7
40,Ekimov Viatcheslav,38,US Postal Service,5.0,2004,7
41,Azevedo Jos\xe9 Bento Carvalho,30,US Postal Service,5.0,2004,7
42,Renier Franck,30,Brioches La Boulang\xe8re,4.0,2004,7
43,Astarloza Mikel,24,AG2R Pr\xe9voyance,2.0,2004,7
44,Laurent Christophe,26,R.a.g.t Semence - Mg Rover,,2004,7
45,Lotz Marc,30,Rabobank ProTeam,45.0,2004,7
