Age,BIB,Pnt,Prev,Rider,Rnk,Team,stage,year,▼▲
27.0,175.0,3.0,,Mørkøv Michael,1.0,Team Saxo Bank - Tinkoff Bank,1,2012,
22.0,57.0,1.0,,Sagan Peter,2.0,Liquigas - Cannondale,1,2012,
32.0,38.0,1.0,,Urtasun Pablo,3.0,Euskaltel - Euskadi,1,2012,
27.0,175.0,4.0,1.0,Mørkøv Michael,1.0,Team Saxo Bank - Tinkoff Bank,2,2012,-
22.0,57.0,1.0,2.0,Sagan Peter,2.0,Liquigas - Cannondale,2,2012,-
32.0,38.0,1.0,3.0,Urtasun Pablo,3.0,Euskaltel - Euskadi,2,2012,-
27.0,175.0,9.0,1.0,Mørkøv Michael,1.0,Team Saxo Bank - Tinkoff Bank,3,2012,-
34.0,52.0,2.0,,Basso Ivan,2.0,Liquigas - Cannondale,3,2012,-
22.0,57.0,2.0,2.0,Sagan Peter,3.0,Liquigas - Cannondale,3,2012,▼1
32.0,38.0,1.0,3.0,Urtasun Pablo,4.0,Euskaltel - Euskadi,3,2012,▼1
24.0,13.0,1.0,,Gallopin Tony,5.0,RadioShack - Nissan,3,2012,-
30.0,77.0,1.0,,Minard Sébastien,6.0,AG2R La Mondiale,3,2012,-
27.0,175.0,9.0,1.0,Mørkøv Michael,1.0,Team Saxo Bank - Tinkoff Bank,4,2012,-
34.0,52.0,2.0,2.0,Basso Ivan,2.0,Liquigas - Cannondale,4,2012,-
22.0,57.0,2.0,3.0,Sagan Peter,3.0,Liquigas - Cannondale,4,2012,-
37.0,88.0,2.0,,Moncoutié David,4.0,"Cofidis, le Crédit en Ligne",4,2012,-
22.0,92.0,2.0,,Delaplace Anthony,5.0,Saur - Sojasun,4,2012,-
32.0,38.0,1.0,4.0,Urtasun Pablo,6.0,Euskaltel - Euskadi,4,2012,▼2
24.0,13.0,1.0,5.0,Gallopin Tony,7.0,RadioShack - Nissan,4,2012,▼2
30.0,77.0,1.0,6.0,Minard Sébastien,8.0,AG2R La Mondiale,4,2012,▼2
27.0,175.0,9.0,1.0,Mørkøv Michael,1.0,Team Saxo Bank - Tinkoff Bank,5,2012,-
34.0,52.0,2.0,2.0,Basso Ivan,2.0,Liquigas - Cannondale,5,2012,-
22.0,57.0,2.0,3.0,Sagan Peter,3.0,Liquigas - Cannondale,5,2012,-
22.0,92.0,2.0,5.0,Delaplace Anthony,4.0,Saur - Sojasun,5,2012,▲1
37.0,88.0,2.0,4.0,Moncoutié David,5.0,"Cofidis, le Crédit en Ligne",5,2012,▼1
32.0,38.0,1.0,6.0,Urtasun Pablo,6.0,Euskaltel - Euskadi,5,2012,-
24.0,13.0,1.0,7.0,Gallopin Tony,7.0,RadioShack - Nissan,5,2012,-
30.0,77.0,1.0,8.0,Minard Sébastien,8.0,AG2R La Mondiale,5,2012,-
27.0,175.0,9.0,1.0,Mørkøv Michael,1.0,Team Saxo Bank - Tinkoff Bank,6,2012,-
34.0,52.0,2.0,2.0,Basso Ivan,2.0,Liquigas - Cannondale,6,2012,-
22.0,57.0,2.0,3.0,Sagan Peter,3.0,Liquigas - Cannondale,6,2012,-
22.0,92.0,2.0,4.0,Delaplace Anthony,4.0,Saur - Sojasun,6,2012,-
37.0,88.0,2.0,5.0,Moncoutié David,5.0,"Cofidis, le Crédit en Ligne",6,2012,-
33.0,69.0,1.0,,Zabriskie David,6.0,Garmin Sharp,6,2012,-
32.0,38.0,1.0,6.0,Urtasun Pablo,7.0,Euskaltel - Euskadi,6,2012,▼1
24.0,13.0,1.0,7.0,Gallopin Tony,8.0,RadioShack - Nissan,6,2012,▼1
30.0,77.0,1.0,8.0,Minard Sébastien,9.0,AG2R La Mondiale,6,2012,▼1
27.0,105.0,20.0,,Froome Chris,1.0,Sky Procycling,7,2012,-
35.0,1.0,16.0,,Evans Cadel,2.0,BMC Racing Team,7,2012,-
32.0,101.0,12.0,,Wiggins Bradley,3.0,Sky Procycling,7,2012,-
27.0,175.0,9.0,1.0,Mørkøv Michael,4.0,Team Saxo Bank - Tinkoff Bank,7,2012,▼3
27.0,51.0,8.0,,Nibali Vincenzo,5.0,Liquigas - Cannondale,7,2012,-
27.0,178.0,4.0,,Sørensen Chris Anker,6.0,Team Saxo Bank - Tinkoff Bank,7,2012,-
25.0,81.0,4.0,,Taaramäe Rein,7.0,"Cofidis, le Crédit en Ligne",7,2012,-
34.0,52.0,2.0,2.0,Basso Ivan,8.0,Liquigas - Cannondale,7,2012,▼6
22.0,57.0,2.0,3.0,Sagan Peter,9.0,Liquigas - Cannondale,7,2012,▼6
37.0,88.0,2.0,5.0,Moncoutié David,10.0,"Cofidis, le Crédit en Ligne",7,2012,▼5
35.0,19.0,2.0,,Zubeldia Haimar,11.0,RadioShack - Nissan,7,2012,-
28.0,155.0,2.0,,Sánchez Luis León,12.0,Rabobank Cycling Team,7,2012,-
33.0,69.0,1.0,6.0,Zabriskie David,13.0,Garmin Sharp,7,2012,▼7
32.0,38.0,1.0,7.0,Urtasun Pablo,14.0,Euskaltel - Euskadi,7,2012,▼7
24.0,13.0,1.0,8.0,Gallopin Tony,15.0,RadioShack - Nissan,7,2012,▼7
30.0,77.0,1.0,9.0,Minard Sébastien,16.0,AG2R La Mondiale,7,2012,▼7
32.0,187.0,21.0,,Kessiakoff Fredrik,1.0,Astana Pro Team,8,2012,-
27.0,105.0,20.0,1.0,Froome Chris,2.0,Sky Procycling,8,2012,▼1
35.0,1.0,18.0,2.0,Evans Cadel,3.0,BMC Racing Team,8,2012,▼1
22.0,146.0,16.0,,Pinot Thibaut,4.0,FDJ - BigMat,8,2012,-
32.0,101.0,12.0,3.0,Wiggins Bradley,5.0,Sky Procycling,8,2012,▼2
27.0,175.0,9.0,4.0,Mørkøv Michael,6.0,Team Saxo Bank - Tinkoff Bank,8,2012,▼2
27.0,51.0,9.0,5.0,Nibali Vincenzo,7.0,Liquigas - Cannondale,8,2012,▼2
24.0,13.0,9.0,15.0,Gallopin Tony,8.0,RadioShack - Nissan,8,2012,▲7
27.0,178.0,8.0,6.0,Sørensen Chris Anker,9.0,Team Saxo Bank - Tinkoff Bank,8,2012,▼3
29.0,148.0,5.0,,Roy Jérémy,10.0,FDJ - BigMat,8,2012,-
25.0,76.0,5.0,,Kadri Blel,11.0,AG2R La Mondiale,8,2012,-
37.0,88.0,5.0,10.0,Moncoutié David,12.0,"Cofidis, le Crédit en Ligne",8,2012,▼2
40.0,18.0,4.0,,Voigt Jens,13.0,RadioShack - Nissan,8,2012,-
29.0,111.0,4.0,,Van den Broeck Jurgen,14.0,Lotto Belisol Team,8,2012,-
25.0,81.0,4.0,7.0,Taaramäe Rein,15.0,"Cofidis, le Crédit en Ligne",8,2012,▼8
34.0,52.0,2.0,8.0,Basso Ivan,16.0,Liquigas - Cannondale,8,2012,▼8
22.0,57.0,2.0,9.0,Sagan Peter,17.0,Liquigas - Cannondale,8,2012,▼8
35.0,19.0,2.0,11.0,Zubeldia Haimar,18.0,RadioShack - Nissan,8,2012,▼7
31.0,27.0,2.0,,Kern Christophe,19.0,Team Europcar,8,2012,-
29.0,123.0,2.0,,Hoogerland Johnny,20.0,Vacansoleil - DCM,8,2012,-
28.0,155.0,2.0,12.0,Sánchez Luis León,21.0,Rabobank Cycling Team,8,2012,▼9
