Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
24,71,7.0,+21:53,,,Cancellara Fabian,1,Fassa Bortolo,21:53 21:53,,1,2005
24,37,9.0,+21:56,,,Karpets Vladimir,2,Illes Balears - Caisse d'Epargne,0:03 0:03,,1,2005
25,7,17.0,+22:09,,,Popovych Yaroslav,3,Discovery Channel,0:16 0:16,,1,2005
21,97,33.0,+22:30,,,Sanchez Luis Leon,4,Liberty Seguros - W\xfcrth Team,0:37 0:37,,1,2005
21,185,37.0,+22:37,,,Grivko Andrei,5,Domina Vacanze,0:44 0:44,,1,2005
24,131,40.0,+22:40,,,Boonen Tom,6,Quickstep - Innergetic,0:47 0:47,,1,2005
22,93,48.0,+22:48,,,Contador Alberto,7,Liberty Seguros - W\xfcrth Team,0:55 0:55,,1,2005
23,74,49.0,+22:51,,,Facci Mauro,8,Fassa Bortolo,0:58 0:58,,1,2005
21,177,59.0,+22:57,,,L\xf6fkvist Thomas,9,Fran\xe7aise des Jeux,1:04 1:04,,1,2005
24,175,62.0,+22:59,,,Eisel Bernhard,10,Fran\xe7aise des Jeux,1:06 1:06,,1,2005
24,56,65.0,+23:02,,,Posthuma Joost,11,Rabobank ProTeam,1:09 1:09,,1,2005
25,108,66.0,+23:03,,,Kashechkin Andrey,12,Cr\xe9dit Agricole,1:10 1:10,,1,2005
24,112,71.0,+23:05,,,Albasini Michael,13,Liquigas,1:12 1:12,,1,2005
25,38,82.0,+23:15,,,Valverde Alejandro,14,Illes Balears - Caisse d'Epargne,1:22 1:22,,1,2005
24,136,95.0,+23:22,,,Sinkewitz Patrik,15,Quickstep - Innergetic,1:29 1:29,,1,2005
25,167,103.0,+23:23,,,Wegmann Fabian,16,Gerolsteiner,1:30 1:30,,1,2005
24,179,114.0,+23:31,,,Mourey Francis,17,Fran\xe7aise des Jeux,1:38 1:38,,1,2005
25,85,115.0,+23:32,,,G\xf3mez Marchante Jose Angel,18,Saunier Duval - Prodir,1:39 1:39,,1,2005
25,145,120.0,+23:35,,,Geslin Anthony,19,Bouygues Telecom,1:42 1:42,,1,2005
24,94,124.0,+23:35,,,Davis Allan,20,Liberty Seguros - W\xfcrth Team,",, 1:42",,1,2005
25,147,126.0,+23:36,,,Pineau J\xe9rome,21,Bouygues Telecom,1:43 1:43,,1,2005
24,48,129.0,+23:37,,,Vansummeren Johan,22,Davitamon - Lotto,1:44 1:44,,1,2005
23,148,148.0,+23:47,,,Sprick Matthieu,23,Bouygues Telecom,1:54 1:54,,1,2005
22,176,165.0,+23:58,,,Gilbert Philippe,24,Fran\xe7aise des Jeux,2:05 2:05,,1,2005
25,205,166.0,+23:59,,,Gerrans Simon,25,AG2R Pr\xe9voyance,2:06 2:06,,1,2005
25,33,169.0,+24:01,,,Arroyo David,26,Illes Balears - Caisse d'Epargne,2:08 2:08,,1,2005
22,73,170.0,+24:02,,,Corioni Claudio,27,Fassa Bortolo,2:09 2:09,,1,2005
