Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
23,127,1.0,+0:00,,,Millar David,1,Cofidis,19:03 19:03,,1,2000
25,52,5.0,+0:17,,,Ca\xf1ada David,2,O.N.C.E. - Deutsche Bank,0:16 0:16,,1,2000
21,54,17.0,+0:53,,,Guti\xe9rrez Jos\xe9 Iv\xe1n,3,O.N.C.E. - Deutsche Bank,0:53 0:53,,1,2000
24,189,23.0,+0:55,,,Trentin Guido,4,Vini Caldirola - Sidermec,0:55 0:55,,1,2000
24,97,32.0,+1:03,,,Pieri Dario,5,Saeco,1:03 1:03,,1,2000
24,6,34.0,+1:05,,,Joachim Benoit,6,US Postal Service,1:05 1:05,,1,2000
25,172,44.0,+1:11,,,B\xe4ckstedt Magnus,7,Cr\xe9dit Agricole,1:11 1:11,,1,2000
23,123,46.0,+1:12,,,Lefevre Laurent,8,Cofidis,1:12 1:12,,1,2000
24,16,56.0,+1:19,,,Mancebo Francisco,9,Banesto,1:19 1:19,,1,2000
25,93,81.0,+1:37,,,Commesso Salvatore,10,Saeco,1:37 1:37,,1,2000
24,46,97.0,+1:50,,,Niermann Grischa,11,Rabobank ProTeam,1:50 1:50,,1,2000
24,148,103.0,+1:54,,,Montgomery Sven,12,La Fran\xe7aise des Jeux,1:54 1:54,,1,2000
24,157,124.0,+2:07,,,Mateos perez Rafael,13,Polti,2:07 2:07,,1,2000
24,187,141.0,+2:18,,,Klemencic Zoran,14,Vini Caldirola - Sidermec,2:18 2:18,,1,2000
23,149,145.0,+2:21,,,Nazon Jean-Patrick,15,La Fran\xe7aise des Jeux,2:21 2:21,,1,2000
25,128,149.0,+2:25,,,Moncouti\xe9 David,16,Cofidis,2:25 2:25,,1,2000
24,112,175.0,+3:21,,,Klier Andreas,17,Farm Frites,3:21 3:21,,1,2000
23,127,1.0,+0:00,,1.0,Millar David,1,Cofidis,5:05:09 5:05:09,-,2,2000
25,52,5.0,+0:18,,2.0,Ca\xf1ada David,2,O.N.C.E. - Deutsche Bank,0:18 0:18,-,2,2000
21,54,16.0,+0:55,,3.0,Guti\xe9rrez Jos\xe9 Iv\xe1n,3,O.N.C.E. - Deutsche Bank,0:55 0:55,-,2,2000
24,189,23.0,+0:57,,4.0,Trentin Guido,4,Vini Caldirola - Sidermec,0:57 0:57,-,2,2000
24,97,32.0,+1:05,,5.0,Pieri Dario,5,Saeco,1:05 1:05,-,2,2000
24,6,34.0,+1:07,,6.0,Joachim Benoit,6,US Postal Service,1:07 1:07,-,2,2000
24,123,43.0,+1:12,,8.0,Lefevre Laurent,7,Cofidis,1:12 1:12,\u25b21,2,2000
25,172,44.0,+1:13,,7.0,B\xe4ckstedt Magnus,8,Cr\xe9dit Agricole,1:13 1:13,\u25bc1,2,2000
24,16,54.0,+1:21,,9.0,Mancebo Francisco,9,Banesto,1:21 1:21,-,2,2000
25,93,80.0,+1:39,,10.0,Commesso Salvatore,10,Saeco,1:39 1:39,-,2,2000
24,46,96.0,+1:52,,11.0,Niermann Grischa,11,Rabobank ProTeam,1:52 1:52,-,2,2000
24,148,102.0,+1:56,,12.0,Montgomery Sven,12,La Fran\xe7aise des Jeux,1:56 1:56,-,2,2000
24,187,140.0,+2:20,,14.0,Klemencic Zoran,13,Vini Caldirola - Sidermec,2:20 2:20,\u25b21,2,2000
