Rider,year,stages_cycled
Donati Massimo,2000,22
Dotti Fausto,1999,22
Downing Russell,2011,19
Dowsett Alex,2013,20
Drancourt Pierre,2007,20
Duarte Fabio,2011,6
Duarte Fabio,2013,20
Duarte Fabio,2014,20
Duclos-Lassalle Herv\xe9,2007,20
Dufaux Laurent,2001,21
Duijn Marcel,2000,14
Duma Vladimir,1998,23
Duma Vladimir,1999,22
Duma Vladimir,2000,22
Duma Vladimir,2001,21
Duma Vladimir,2002,21
Duma Vladimir,2003,21
Duma Vladimir,2004,21
Dumoulin Tom,2016,11
Dumoulin Tom,2017,21
Dupont Hubert,2006,20
Dupont Hubert,2007,20
Dupont Hubert,2010,20
Dupont Hubert,2011,19
Dupont Hubert,2012,1
Dupont Hubert,2013,20
Dupont Hubert,2014,20
Dupont Hubert,2015,20
Dupont Hubert,2016,21
Dupont Hubert,2017,21
Duque Leonardo,2006,20
Duque Leonardo,2010,20
Duque Leonardo,2013,20
Duque Leonardo,2014,20
Durand Jacky,2004,19
Durasek Kristijan,2013,20
Durbridge Luke,2013,20
Durbridge Luke,2014,10
Durbridge Luke,2015,20
Dyachenko Alexandr,2010,10
Dyachenko Alexandr,2011,19
Dyachenko Alexandr,2012,1
Edaleine Christophe,2006,20
Edmondson Alexander,2017,16
Edo Angel,1998,18
Edo Angel,1999,22
Eeckhout Niko,2001,9
Efimkin Alexander,2008,20
Efimkin Alexander,2009,20
Efimkin Alexander,2010,20
Efimkin Vladimir,2006,20
Eibegger Markus,2010,20
Eichler Markus,2008,20
Eijssen Yannick,2014,9
Eisel Bernhard,2003,21
Eisel Bernhard,2012,1
Eisel Bernhard,2014,20
Eisel Bernhard,2015,20
Ekimov Viatcheslav,1999,22
Ekimov Viatcheslav,2006,20
Elijzen Michiel,2010,20
Elissonde Kenny,2015,20
Elissonde Kenny,2017,16
Elli Alberto,2001,21
Elmiger Martin,2006,20
Eltink Theo,2005,21
Eltink Theo,2006,20
Eltink Theo,2008,20
Engels Addy,2000,22
Engels Addy,2002,21
Engels Addy,2005,21
Engels Addy,2006,20
Engels Addy,2007,20
Engels Addy,2008,20
Engels Addy,2009,20
Engels Addy,2010,20
Engels Addy,2011,19
Ermeti Giairo,2008,20
Ermeti Giairo,2009,20
Ermeti Giairo,2011,19
Ermeti Giairo,2013,20
Ershov Artur,2016,16
Erviti Imanol,2006,20
Escartin Fernando,2002,21
Escobar Sergio,2005,18
Eskov Nikita,2009,20
Etxebarria Unai,2005,21
Evans Cadel,2002,21
Evans Cadel,2010,20
Evans Cadel,2013,20
Evans Cadel,2014,20
Ewan Caleb,2016,13
Ewan Caleb,2017,15
F\xf6rster Robert,2003,18
F\xf6rster Robert,2004,21
F\xf6rster Robert,2005,21
F\xf6rster Robert,2006,20
F\xf6rster Robert,2007,10
F\xf6rster Robert,2008,12
F\xf6rster Robert,2009,20
F\xf6rster Robert,2010,20
Facci Mauro,2007,20
Facci Mauro,2008,20
Facci Mauro,2009,20
Facci Mauro,2010,20
Fagnini Gian-matteo,1998,23
Fagnini Gian-matteo,1999,22
Failli Francesco,2009,20
Failli Francesco,2010,20
Failli Francesco,2011,3
Failli Francesco,2012,1
Fairly Caleb,2015,20
Faresin Gianni,1998,23
Faresin Gianni,2001,21
Faresin Gianni,2002,21
Faresin Gianni,2003,21
Faresin Gianni,2004,11
Farrar Tyler,2009,13
Farrar Tyler,2010,14
Farrar Tyler,2011,3
Farrar Tyler,2014,20
Faustini Stefano,1998,23
Faustini Stefano,1999,22
Favilli Elia,2011,19
Favilli Elia,2015,20
Fedi Andrea,2014,20
Feillu Brice,2011,3
Felline Fabio,2012,1
Felline Fabio,2013,20
Felline Fabio,2014,20
Felline Fabio,2015,20
Fern\xe1ndez Koldo,2006,6
Fern\xe1ndez Koldo,2008,12
Fern\xe1ndez Koldo,2014,1
Fern\xe1ndez Rub\xe9n,2015,20
Fernandez Alberto,2009,20
Fernandez Bingen,2007,20
Fernandez Bingen,2008,7
Fernandez Delio,2009,20
Ferrari Diego,1999,22
Ferrari Diego,2000,22
Ferrari Diego,2001,21
Ferrari Roberto,2011,19
Ferrari Roberto,2012,1
Ferrari Roberto,2013,20
Ferrari Roberto,2014,20
Ferrari Roberto,2015,20
Ferrari Roberto,2016,21
Ferrari Roberto,2017,21
Ferrigato Andrea,1998,23
Ferrigato Andrea,1999,15
Ferrigato Andrea,2000,22
Ferrigato Andrea,2004,21
Fertonani Marco,2004,21
Fertonani Marco,2005,14
Fertonani Marco,2006,17
Figueras Giuliano,1999,22
Figueras Giuliano,2000,7
Figueras Giuliano,2001,21
Figueras Giuliano,2003,21
Figueras Giuliano,2004,19
Filosi Iuri,2016,8
Fincato Marco,2000,22
Finco Carlo,1998,23
Finesso Stefano,1998,23
Finetto Mauro,2014,15
Finetto Mauro,2015,20
Firsanov Sergey,2016,21
Firsanov Sergey,2017,21
Fischer Murilo Antonio,2010,20
Fischer Murilo Antonio,2011,15
Fischer Murilo Antonio,2013,20
Fischer Murilo Antonio,2014,20
Fischer Murilo Antonio,2015,20
Fischer Murilo Antonio,2016,21
Flecha Juan Antonio,2012,1
Flens Rick,2010,20
Flens Rick,2011,19
Flens Rick,2014,20
Flens Rick,2015,20
Flickinger Andy,2006,10
Flores Iker,2006,20
Fofonov Dimitri,2005,21
Foliforov Alexander,2016,21
Foliforov Alexander,2017,21
Fontanelli Fabiano,1998,18
Fontanelli Fabiano,1999,20
Fontanelli Fabiano,2000,22
Fontanelli Fabiano,2002,21
Fontanelli Fabiano,2003,21
Fonzi Giuseppe,2017,21
Forconi Riccardo,1998,21
Forconi Riccardo,1999,20
Forconi Riccardo,2000,22
Forconi Riccardo,2001,18
Forconi Riccardo,2002,10
Formolo Davide,2015,20
Formolo Davide,2016,21
Formolo Davide,2017,21
Fornaciari Paolo,1999,22
Fornaciari Paolo,2000,22
Fornaciari Paolo,2001,21
Fornaciari Paolo,2002,21
Fornaciari Paolo,2003,21
Fornaciari Paolo,2004,21
Fornaciari Paolo,2005,21
Fornaciari Paolo,2006,20
Fothen Markus,2005,21
Fothen Markus,2009,20
Fothen Markus,2010,20
Fothen Thomas,2007,20
Fothen Thomas,2008,15
Fothen Thomas,2009,20
Fouchard Julien,2010,20
Fr\xf6hlinger Johannes,2008,20
Fragniere C\xe9dric,2002,2
Fraile Omar,2016,5
Fraile Omar,2017,21
Frank Mathias,2011,19
Frank Mathias,2012,1
Frapporti Marco,2010,20
Frapporti Marco,2011,19
Frapporti Marco,2014,20
Frapporti Marco,2015,20
Frattini Cristiano,1999,22
Frattini Cristiano,2000,10
Frattini Cristiano,2003,21
Frigo Dario,1998,23
Frigo Dario,1999,12
Frigo Dario,2000,22
Frigo Dario,2001,20
Frigo Dario,2002,21
Frigo Dario,2003,21
Fritsch Nicolas,2003,14
Fritsch Nicolas,2004,21
Froome Christopher,2009,20
Froome Christopher,2010,18
Frutti Matteo,1999,22
Fuglsang Jakob,2016,21
Furlan Angelo,2002,21
Furlan Angelo,2003,18
Furlan Angelo,2004,21
Furlan Angelo,2007,20
Furlan Giorgio,1998,23
G\xe1lvez Isaac,2002,21
G\xe1lvez Isaac,2003,12
G\xe1lvez Isaac,2005,21
Gadret John,2004,5
Gadret John,2006,17
Gadret John,2010,20
Gadret John,2011,19
Gadret John,2012,1
Gajicic Saj\xe0,2002,13
Galdos Aitor,2008,5
Galletti Alessio,1999,22
Galletti Alessio,2000,22
Galletti Alessio,2002,21
Galletti Alessio,2004,21
Galparsoro Dionisio,2007,10
Galparsoro Dionisio,2008,17
Garate Juan Manuel,2001,21
Garate Juan Manuel,2002,21
Garate Juan Manuel,2004,21
Garate Juan Manuel,2005,21
Garate Juan Manuel,2006,21
Garate Juan Manuel,2008,20
Garate Juan Manuel,2012,1
Garate Juan Manuel,2013,20
Garc\xeda Felix Manuel,1998,23
Garc\xeda Marcos,2009,20
Garcia David,2009,3
Garcia John Freddy,2001,9
Garcia John Freddy,2002,15
Garcia John Freddy,2003,18
Garcia Marcelino,2002,21
Garcia Quesada Adolfo,2003,21
Garcia Quesada Carlos,2001,7
Gardeyn Gorik,2004,21
Garrido Jos\xe9 Antonio,2005,21
Garrido Jos\xe9 Antonio,2006,20
Garzelli Stefano,1998,23
Garzelli Stefano,1999,20
Garzelli Stefano,2000,22
Garzelli Stefano,2001,15
Garzelli Stefano,2002,10
Garzelli Stefano,2003,21
Garzelli Stefano,2004,21
Garzelli Stefano,2005,14
Garzelli Stefano,2007,20
Garzelli Stefano,2009,20
Garzelli Stefano,2010,19
Garzelli Stefano,2011,19
Garzelli Stefano,2013,20
Gasparotto Enrico,2007,21
Gasparotto Enrico,2008,20
Gasparotto Enrico,2009,20
Gasparotto Enrico,2010,10
Gasparotto Enrico,2012,1
Gasparotto Enrico,2014,20
Gasparotto Enrico,2017,21
Gasparre Graziano,2003,21
Gasparre Graziano,2004,21
Gasperoni Cristian,1999,22
Gasperoni Cristian,2000,22
Gasperoni Cristian,2002,21
Gasperoni Cristian,2003,21
Gasperoni Cristian,2004,3
Gastauer Ben,2011,19
Gastauer Ben,2012,1
Gastauer Ben,2013,20
Gastauer Ben,2017,21
Gates Nick,2003,18
Gates Nick,2004,21
Gates Nick,2005,14
Gates Nick,2006,20
Gates Nick,2007,20
Gates Nick,2008,20
Gatto Oscar,2007,20
Gatto Oscar,2008,12
Gatto Oscar,2009,20
Gatto Oscar,2011,19
Gatto Oscar,2012,1
Gatto Oscar,2013,20
Gatto Oscar,2014,20
Gatto Oscar,2015,14
Gaudin Damien,2010,20
Gavazzi Francesco,2008,20
Gavazzi Francesco,2009,20
Gavazzi Francesco,2015,20
Gavazzi Mattia,2013,16
Gaviria Fernando,2017,21
Gazvoda Gregor,2012,1
Gelfi Luca,1998,23
Gene Yohann,2006,20
Gene Yohann,2007,8
Gene Yohann,2009,15
Geniez Alexandre,2014,20
Geniez Alexandre,2015,20
Geniez Alexandre,2016,4
Geniez Alexandre,2017,4
Gentili Massimiliano,1999,22
Gentili Massimiliano,2001,21
Georges Sylvain,2013,11
Gerard Arnaud,2006,20
Gerard Arnaud,2007,20
Gerdemann Linus,2010,20
Gerosa Mauro,2000,22
Gerosa Mauro,2001,21
Gerosa Mauro,2002,21
Gerosa Mauro,2003,21
Gerosa Mauro,2004,21
Gerrans Simon,2009,20
Gerrans Simon,2015,12
Geschke Simon,2014,20
Geschke Simon,2015,20
Geschke Simon,2017,21
Gesink Robert,2013,19
Ghisalberti Sergio,2006,20
Ghisalberti Sergio,2007,8
Ghisalberti Sergio,2008,6
Giacomelli Sandro,1998,7
Gibbons Ryan,2017,16
Gigli Matteo,2002,21
Gil Fernandez Koldo,2005,17
Gil Fernandez Koldo,2007,20
Gil Tomas Aurelio,2013,9
Gilbert Philippe,2004,21
Gilbert Philippe,2006,12
Gilbert Philippe,2009,20
Gilbert Philippe,2015,20
Gili Marco,1999,22
Ginestri Giancarlo,2004,21
Giordani Leonardo,2002,4
Giordani Leonardo,2003,21
Giordani Leonardo,2004,21
Giordani Leonardo,2011,19
Girelli Alessio,2000,13
Giunti Massimo,2000,22
Glomser Gerrit,1999,22
Go\u0142a\u015b Micha\u0142,2011,14
Go\u0142a\u015b Micha\u0142,2012,1
Go\u0142a\u015b Micha\u0142,2013,20
Go\u0142a\u015b Micha\u0142,2017,21
Gobbi Michele,2001,21
Gobbi Michele,2003,21
Gobbi Michele,2004,21
Gobbini Gianni,2001,8
Godoy Yonder,2014,20
Gol\u010der Jure,2008,20
Gol\u010der Jure,2009,20
Gomez Gomez Angel,2005,21
Gomez Gomez Angel,2006,20
Gomez Gomez Angel,2007,20
Gomez Gomez Angel,2009,20
Gomez Jose Javier,2000,22
Gomis Lopez Juan,2004,21
Gon\xe7alves Jos\xe9,2017,21
Gontsjenkov Alexander,1998,16
Gontsjenkov Alexander,1999,13
Gonzales Jos\xe9 Jaime,1998,22
Gonzales Jos\xe9 Jaime,2001,11
Gonzalez Alvaro,2000,22
Gonzalez Alvaro,2001,21
Gonzalez Arsenio,1998,24
Gonzalez Baeza Hector,2009,20
Gonzalez Chepe,2000,22
Gonzalez Fredy,2001,19
Gonzalez Fredy,2002,10
Gonzalez Fredy,2003,21
Gonzalez Fredy,2004,10
Gonzalez Fredy,2005,6
Gonzalez Jimenez Aitor,2002,21
Gonzalez Jimenez Aitor,2003,21
Gonzalez Jimenez Aitor,2005,15
Gonzalez Jos\xe9 Jaime,1999,22
Gonzalez Santos,1999,22
Goos Marc,2014,20
Goss Matthew,2009,20
Goss Matthew,2010,14
Goss Matthew,2013,15
Gotti Ivan,1998,17
Gotti Ivan,1999,22
Gotti Ivan,2000,22
Gotti Ivan,2001,21
Gotti Ivan,2002,21
Goubert Stephane,1999,13
Gougot Fabrice,1998,23
Gougot Fabrice,2002,21
Gourov Maxim,2007,20
Gourov Maxim,2011,19
Grabovskyy Dmytro,2009,20
Grabsch Bert,2002,21
Grabsch Ralf,2002,21
Greipel Andr\xe9,2008,20
Greipel Andr\xe9,2010,18
Greipel Andr\xe9,2015,13
Greipel Andr\xe9,2016,13
Greipel Andr\xe9,2017,14
Gretsch Patrick,2011,19
Gretsch Patrick,2013,20
Gretsch Patrick,2014,20
Gretsch Patrick,2015,20
Gretsch Patrick,2016,13
Grillo Paride,2005,21
Grillo Paride,2007,8
Grivko Andrei,2009,20
Grivko Andrei,2010,20
Grmay Tsgabu,2015,20
Grossschartner Felix,2017,21
Grosu Eduard Michael,2015,20
Grosu Eduard Michael,2016,21
Gruzdev Dmitriy,2013,20
Gryschenko Ruslan,2003,18
Gualdi Domenico,2001,21
Gualdi Domenico,2002,17
Gualdi Domenico,2004,21
Gualdi Mirko,1998,23
Gualdi Mirko,1999,2
Gualdi Mirko,2000,22
Gudsell Timothy,2007,5
Gudsell Timothy,2008,20
Guerini Giuseppe,1998,23
Guerini Giuseppe,2001,21
Guesdon Fr\xe9d\xe9ric,2003,18
Guidi Fabrizio,1998,18
Guidi Fabrizio,1999,22
Guidi Fabrizio,2000,22
Guidi Fabrizio,2002,18
Guidi Fabrizio,2006,17
Gusev Vladimir,2008,20
Gusev Vladimir,2013,20
Gusev Vladimir,2014,20
Gustov Volodymyr,2004,21
Gustov Volodymyr,2005,21
Gustov Volodymyr,2006,21
Gustov Volodymyr,2007,20
Gustov Volodymyr,2009,20
Gustov Volodymyr,2010,20
Gustov Volodymyr,2011,19
Gustov Volodymyr,2012,1
Guti\xe9rrez Jos\xe9 Iv\xe1n,2006,21
Gutierrez Ignacio,2003,21
Gutierrez Ignacio,2005,21
Gutierrez Jose Enrique,1998,18
Gutierrez Jose Enrique,2000,18
Gutierrez Jose Enrique,2006,21
Gwiazdowski Grzegorz,2000,22
H\xf8j Frank,2002,21
H\xf8j Frank,2003,18
H\xf8j Frank,2005,21
Haas Nathan,2013,15
Haas Nathan,2014,20
Haas Nathan,2017,11
Haddou Sa\xefd,2009,20
Haedo Juan Jose,2007,8
Haedo Juan Jose,2009,20
Haedo Lucas Sebastian,2010,20
Haedo Lucas Sebastian,2012,1
Haga Chad,2015,20
Haga Chad,2016,21
Haga Chad,2017,21
Halgand Patrice,2005,21
Halgand Patrice,2006,20
Halgand Patrice,2007,4
Hamburger Bo,1999,22
Hamburger Bo,2002,21
Hamburger Bo,2003,21
Hamburger Bo,2004,21
Hamilton Tyler,2002,21
Hansen Adam,2007,1
Hansen Adam,2008,20
Hansen Adam,2010,10
Hansen Adam,2012,1
Hansen Adam,2013,20
Hansen Adam,2014,20
Hansen Adam,2015,20
Hansen Adam,2016,21
Hansen Adam,2017,21
Hansen Jesper,2017,21
Hardter Uwe,2003,21
Hartmann Nicolas,2008,20
Haselbacher Rene,2002,21
Hauptman Andrej,1999,15
Hauptman Andrej,2001,21
Hauptman Andrej,2004,21
Haussler Heinrich,2015,20
Haussler Heinrich,2016,21
Hayman Mathew,2002,21
Hayman Mathew,2006,20
Hayman Mathew,2008,15
Hayman Mathew,2010,20
Heijboer Mathieu,2007,12
Henao Sebasti\xe1n,2014,20
Henao Sebasti\xe1n,2015,20
Henao Sebasti\xe1n,2016,21
Henao Sebasti\xe1n,2017,21
Henao Sergio Luis,2012,1
Henao Sergio Luis,2013,20
Henderson Gregory,2007,8
Henderson Gregory,2010,20
Henderson Gregory,2015,13
Hepburn Michael,2014,20
Hepburn Michael,2015,20
Hepburn Michael,2016,21
Hepburn Michael,2017,21
Heppner Jens,2002,18
Heras Roberto,1999,22
Hermans Ben,2012,1
Hermans Ben,2014,20
Hermans Ben,2017,16
Hern\xe1ndez Jes\xfas,2011,19
Hern\xe1ndez Jes\xfas,2016,21
Hern\xe1ndez Jes\xfas,2017,21
Hernandez Eduardo,1999,22
Hernandez Gutierrez Aitor,2007,10
Herrada Jes\xfas,2015,20
Herrada Jos\xe9,2012,1
Herrada Jos\xe9,2013,20
Herrada Jos\xe9,2014,20
Herrada Jos\xe9,2016,21
Herrada Jos\xe9,2017,21
Herv\xe9 Pascal,2001,18
Hesjedal Ryder,2005,14
Hesjedal Ryder,2008,20
Hesjedal Ryder,2012,1
Hesjedal Ryder,2013,13
Hesjedal Ryder,2014,20
Hesjedal Ryder,2015,20
Hesjedal Ryder,2016,14
Hiekmann Torsten,2002,21
Hiekmann Torsten,2006,20
Hinault S\xe9bastien,2009,20
Hinault S\xe9bastien,2010,20
Hincapie George,2007,10
Hirt Jan,2017,21
Hoffman Tristan,1998,18
Hofland Moreno,2015,20
Hofland Moreno,2016,13
Hofland Moreno,2017,21
Honchar Serhiy,1998,23
Honchar Serhiy,1999,22
Honchar Serhiy,2000,22
Honchar Serhiy,2001,21
Honchar Serhiy,2002,21
Honchar Serhiy,2003,21
Honchar Serhiy,2004,21
Honchar Serhiy,2005,21
Honchar Serhiy,2006,17
Hondo Danilo,2001,21
Hondo Danilo,2002,6
Hondo Danilo,2008,20
Hondo Danilo,2010,18
Hondo Danilo,2011,11
Hondo Danilo,2013,20
Hondo Danilo,2014,20
Hoogerland Johnny,2011,19
Hoogerland Johnny,2014,20
Horner Chris,2009,9
Horrach Joan,2005,21
Horrach Joan,2006,20
Horrach Joan,2007,3
Horrach Joan,2008,20
Horrach Joan,2010,20
Horrach Joan,2011,19
Horrillo Pedro,1998,18
Horrillo Pedro,2007,20
Horrillo Pedro,2009,7
Houle Hugo,2015,20
Houle Hugo,2016,21
Howard Leigh,2013,7
Howard Leigh,2016,15
Howes Alex,2017,21
Howson Damien,2016,21
Hruska Jan,2000,22
Hruska Jan,2001,21
Hruska Jan,2005,21
Huguet Yann,2008,20
Hulsmans Kevin,2009,20
Hundertmarck Kai,2001,21
Hundertmarck Kai,2002,21
Hunt Jeremy,2009,20
Hunter Robert,2002,6
Hunter Robert,2009,20
Hunter Robert,2011,13
Hunter Robert,2013,20
Hurel Tony,2014,20
Hushovd Thor,2007,10
Hutarovich Yauheni,2008,5
Huzarski Bartosz,2009,20
Huzarski Bartosz,2012,1
Hvastija Martin,1998,23
Hvastija Martin,1999,22
Hvastija Martin,2001,21
Hvastija Martin,2003,18
Iannetti Massimo,2004,13
Iglinskiy Maxim,2008,20
Iglinskiy Valentin,2010,10
Ignatenko Petr,2013,20
Ignatyev Mikhail,2007,20
Ignatyev Mikhail,2008,20
Ignatyev Mikhail,2009,20
Ignatyev Mikhail,2010,20
Ignatyev Mikhail,2012,1
Illiano Raffaele,2003,21
Illiano Raffaele,2004,21
Illiano Raffaele,2005,21
Illiano Raffaele,2006,20
Illiano Raffaele,2008,20
Inaudi Nicolas,2005,5
Indurain Prudencio,1999,22
Intxausti Be\xf1at,2012,1
Intxausti Be\xf1at,2013,20
Intxausti Be\xf1at,2015,20
Irizar Markel,2006,20
Irizar Markel,2007,20
Irizar Markel,2008,20
Isasi Inaki,2011,19
Isaychev Vladimir,2009,20
Ishibashi Manabu,2015,8
Ivanov Ruslan,1999,22
Ivanov Ruslan,2000,13
Ivanov Ruslan,2001,21
Ivanov Ruslan,2005,21
Ivanov Ruslan,2008,20
Ivanov Serguei,1999,13
Izagirre Gorka,2014,20
Izagirre Gorka,2017,21
Izagirre Ion,2012,1
Izagirre Ion,2015,20
Jacobs Pieter,2009,20
Jaermann Rolf,1998,23
Jalabert Laurent,1999,22
Janse van Rensburg Jacques,2017,21
Jauregui Quentin,2017,21
Javier Vila Francisco,2003,21
Javier Vila Francisco,2004,21
Javier Vila Francisco,2005,21
Javier Vila Francisco,2006,21
Javier Vila Francisco,2007,20
Jeannesson Arnold,2009,20
Jeannesson Arnold,2010,18
Jeannesson Arnold,2013,9
Jegou Lilian,2005,21
Jegou Lilian,2007,20
Jegou Lilian,2008,20
Jeker Fabian,1998,23
Ji Cheng,2013,6
Ji Cheng,2015,20
Ji Cheng,2016,21
Jim Songezo,2016,21
Jim\xe9nez Eladio,2000,22
Jimenez Jose Maria,1999,22
Joachim Benoit,2005,21
Joachim Benoit,2006,20
Joachim Benoit,2007,20
Joaquin Castelblanco Jos\xe9,2000,22
Joaquin Castelblanco Jos\xe9,2001,21
Joaquin Castelblanco Jos\xe9,2002,21
Joaquin Castelblanco Jos\xe9,2003,21
Jonasson Danny,2002,21
Jones Timothy,2001,21
Jorgensen Jonas Aaen,2012,1
Jorgensen Rene,2003,21
Jose Garcia Francisco,2001,14
Jufre Josep,2006,20
Jufre Josep,2007,20
Jufre Josep,2010,20
Jufre Josep,2011,19
Julia Jose Cayetano,2002,21
Julia Jose Cayetano,2006,18
Julich Bobby,2006,21
Jungels Bob,2016,21
Jungels Bob,2017,21
Jur\u010do Matej,2008,20
Juul-Jensen Christopher,2014,20
Juul-Jensen Christopher,2015,20
Juul-Jensen Christopher,2017,21
K\xf6nig Leopold,2015,20
K\xfcng Stefan,2015,11
K\xfcng Stefan,2016,21
Kadlec Milan,2000,22
Kadlec Milan,2002,21
Kadri Blel,2016,21
Kaisen Olivier,2009,20
Kaisen Olivier,2010,20
Kaisen Olivier,2011,19
Kaisen Olivier,2012,1
Kangert Tanel,2012,1
Kangert Tanel,2013,20
Kangert Tanel,2015,20
Kangert Tanel,2016,21
Kangert Tanel,2017,15
Karpets Vladimir,2005,21
Karpets Vladimir,2008,20
Karpets Vladimir,2010,20
Karpets Vladimir,2013,20
Kasputis Arturas,1998,16
Keisse Iljo,2013,20
Keisse Iljo,2014,20
Keisse Iljo,2015,20
Keisse Iljo,2017,21
Keizer Martijn,2012,1
Keizer Martijn,2013,20
Keizer Martijn,2014,20
Keizer Martijn,2015,20
Keizer Martijn,2016,21
Keizer Martijn,2017,21
Kelderman Wilco,2013,20
Kelderman Wilco,2014,20
Kelderman Wilco,2017,9
Kennaugh Peter,2011,19
Kern Christophe,2005,18
Kern Christophe,2007,20
Kessiakoff Fredrik,2009,20
Kessiakoff Fredrik,2013,20
Kessler Matthias,2001,21
Kessler Matthias,2002,21
Kessler Matthias,2005,21
Kessler Matthias,2006,20
Keukeleire Jens,2012,1
Keukeleire Jens,2013,20
Khalilov Mihaylo,2002,21
Khalilov Mihaylo,2003,12
Ki\u0161erlovski Robert,2010,20
Ki\u0161erlovski Robert,2011,19
Ki\u0161erlovski Robert,2013,20
Ki\u0161erlovski Robert,2014,20
Ki\u0161erlovski Robert,2017,21
King Edward,2009,20
King Edward,2010,20
Kirchen Kim,2003,21
Kireyev Roman,2010,20
Kirsipuu Jaan,2005,14
Kiryienka Vasil,2008,20
Kiryienka Vasil,2009,20
Kiryienka Vasil,2010,20
Kiryienka Vasil,2011,19
Kiryienka Vasil,2015,20
Kiryienka Vasil,2017,21
Kittel Marcel,2014,3
Kittel Marcel,2016,9
Kivilev Andrei,1998,23
Kl\xf6den Andr\xe9as,2008,18
Klemencic Zoran,2001,14
Klemencic Zoran,2002,17
Klemencic Zoran,2004,15
Klemme Dominic,2011,3
Klier Andreas,1999,22
Klimov Sergey,2008,20
Klimov Sergey,2009,20
Klimov Sergey,2010,20
Klinger Tim,2007,10
Klostergaard Kasper,2009,20
Klostergaard Kasper,2011,19
Kluge Roger,2015,20
Kluge Roger,2016,21
Knaven Servais,2000,2
Knees Christian,2006,20
Knees Christian,2007,20
Knees Christian,2013,20
Knees Christian,2016,21
Koch Michel,2014,20
Kochetkov Pavel,2015,20
Kochetkov Pavel,2016,21
Kochetkov Pavel,2017,4
Kohler Martin,2010,2
Kohler Martin,2011,11
Kohut Seweryn Zenon,2003,18
Kokorine Vitali,2000,22
Kolobnev Alexandr,2005,21
Kolobnev Alexandr,2006,20
Kolobnev Alexandr,2007,10
Kolobnev Alexandr,2016,21
Konishev Dimitri,1998,23
Konishev Dimitri,2000,22
Konishev Dimitri,2001,21
Konishev Dimitri,2002,21
Konovalovas Ignatas,2009,20
Konovalovas Ignatas,2010,20
Konovalovas Ignatas,2011,19
Konovalovas Ignatas,2016,21
Konrad Patrick,2017,21
Koren Kristijan,2017,21
Korff Andre,2002,21
Korff Andre,2005,21
Korff Andre,2006,6
Koshevoy Ilia,2016,21
Koshevoy Ilia,2017,21
Kostyuk Denys,2004,21
Kozhatayev Bakhtiyar,2016,21
Kozonchuk Dmitry,2007,20
Kozonchuk Dmitry,2008,20
Kozonchuk Dmitry,2009,20
Kozonchuk Dmitry,2010,7
Kozonchuk Dmitry,2011,19
Kozonchuk Dmitry,2013,15
Kozonchuk Dmitry,2017,21
Krauss Sven,2005,21
Krauss Sven,2006,20
Krauss Sven,2007,20
Krauss Sven,2008,20
Kreuziger Roman,2011,19
Kreuziger Roman,2012,1
Kreuziger Roman,2015,20
Kriit Kalle,2010,20
Kristoff Alexander,2011,19
Kristoff Alexander,2012,1
Krivtsov Yuriy,2006,20
Krivtsov Yuriy,2007,20
Krivtsov Yuriy,2008,20
Krivtsov Yuriy,2009,20
Krivtsov Yuriy,2010,20
Krivtsov Yuriy,2011,19
Kroon Karsten,2000,22
Kroon Karsten,2013,14
Kruijswijk Steven,2010,20
Kruijswijk Steven,2011,19
Kruijswijk Steven,2013,20
Kruijswijk Steven,2014,8
Kruijswijk Steven,2015,20
Kruijswijk Steven,2016,21
Kruijswijk Steven,2017,20
Kuchynski Aliaksandr,2011,19
Kuchynski Aliaksandr,2012,1
Kudus Merhawi,2016,21
Kunitski Andrei,2007,20
Kuyckx Jan,2006,20
Kuznetsov Viacheslav,2016,21
Kuznetsov Viacheslav,2017,21
Kwiatkowski Michal,2012,1
L\xf6fkvist Thomas,2009,20
L\xf6fkvist Thomas,2011,19
L\xf6wik Gerben,2008,20
Labbe Arnaud,2006,20
Labbe Arnaud,2007,8
Ladagnous Matthieu,2017,21
Laengen Vegard Stake,2016,21
Lafis Michel,1998,10
Lafis Michel,1999,22
Lafis Michel,2000,22
Lagutin Sergey,2011,19
Lagutin Sergey,2012,1
Lagutin Sergey,2015,20
Lagutin Sergey,2017,21
Laiseka jaio Roberto,2005,21
Laiseka jaio Roberto,2006,11
Lammertink Maurits,2013,20
Lancaster Brett,2003,10
Lancaster Brett,2004,21
Lancaster Brett,2005,21
Lancaster Brett,2007,20
Lancaster Brett,2011,13
Lancaster Brett,2013,20
Lancaster Brett,2014,6
Lancaster Brett,2015,20
Landa Mikel,2014,20
Landa Mikel,2015,20
Landa Mikel,2016,10
Landa Mikel,2017,21
Landaluze Inigo,2008,14
Lanfranchi Paolo,1998,23
Lanfranchi Paolo,2000,22
Lanfranchi Paolo,2001,21
Lanfranchi Paolo,2002,21
Lanfranchi Paolo,2003,21
Lanfranchi Paolo,2004,21
Lang Sebastian,2010,20
Lang Sebastian,2011,19
Lara Francisco Jos\xe9,2002,21
Larsen Nicolai Bo,1998,17
Larsson Gustav,2006,20
Larsson Gustav,2008,20
Larsson Gustav,2010,20
Larsson Gustav,2012,1
Lastras Pablo,2001,21
Lastras Pablo,2007,20
Lastras Pablo,2008,20
Lastras Pablo,2009,20
Lastras Pablo,2010,20
Lastras Pablo,2011,19
Lastras Pablo,2013,20
