Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,UCI,\u25bc\u25b2,stage,year
25,125,96.0,+ 47:47:08,,15.0,Hunter Robert,12,Mapei - Quickstep,46:52 46:52,,\u25b23,12,2002
23,92,102.0,+ 47:55:44,,9.0,Casar Sandy,13,La Fran\xe7aise des Jeux,55:28 55:28,,\u25bc4,12,2002
23,185,106.0,+ 47:56:43,,23.0,Flickinger Andy,14,AG2R Pr\xe9voyance,56:27 56:27,,\u25b29,12,2002
22,206,112.0,+ 47:58:41,,11.0,Edaleine Christophe,15,Jean Delatour,58:25 58:25,,\u25bc4,12,2002
24,167,116.0,+ 47:59:39,,20.0,Mayo Iban,16,Euskaltel - Euskadi,59:23 59:23,,\u25b24,12,2002
24,39,117.0,+ 47:59:56,,13.0,Zaballa Constantino,17,Kelme - Costa Blanca,59:40 59:40,,\u25bc4,12,2002
25,105,121.0,+ 48:01:31,,14.0,Engels Addy,18,Rabobank ProTeam,1:01:15 1:01:15,,\u25bc4,12,2002
23,94,124.0,+ 48:04:36,,16.0,Cooke Baden,19,La Fran\xe7aise des Jeux,1:04:20 1:04:20,,\u25bc3,12,2002
23,153,130.0,+ 48:08:16,,18.0,Bertogliati Rubens,20,Lampre - Daikin,1:08:00 1:08:00,,\u25bc2,12,2002
24,154,146.0,+ 48:15:42,,21.0,Cortinovis Alessandro,21,Lampre - Daikin,1:15:26 1:15:26,,-,12,2002
25,162,147.0,+ 48:15:45,,22.0,Arrizabalaga Gorka,22,Euskaltel - Euskadi,1:15:29 1:15:29,,-,12,2002
24,93,156.0,+ 48:21:11,,24.0,Casper Jimmy,23,La Fran\xe7aise des Jeux,1:20:55 1:20:55,,\u25b21,12,2002
24,64,165.0,+ 48:33:41,,25.0,Hushovd Thor,24,Cr\xe9dit Agricole,1:33:25 1:33:25,,\u25b21,12,2002
24,81,18.0,+ 51:18:30,,1.0,Basso Ivan,1,Fassa Bortolo,51:18:30 51:18:30,,-,13,2002
24,26,19.0,+ 51:18:40,,2.0,Nozal Isidro,2,O.N.C.E. - Eroski,0:10 0:10,,-,13,2002
24,91,23.0,+ 51:19:37,,3.0,Vogondy Nicolas,3,La Fran\xe7aise des Jeux,1:07 1:07,,-,13,2002
25,169,24.0,+ 51:19:50,,4.0,Zubeldia Haimar,4,Euskaltel - Euskadi,1:20 1:20,,-,13,2002
25,144,43.0,+ 51:30:21,,5.0,Brandt Christophe,5,Lotto - Adecco,11:51 11:51,,-,13,2002
