Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,UCI,\u25bc\u25b2,stage,year
23,129,63.0,+ 79:16:28,,8.0,Trampusch Gerhard,8,Mapei - Quickstep,1:30:49 1:30:49,,-,18,2002
25,47,71.0,+ 79:29:12,,9.0,Millar David,9,Cofidis,1:43:33 1:43:33,,-,18,2002
23,92,84.0,+ 79:38:06,,10.0,Casar Sandy,10,La Fran\xe7aise des Jeux,1:52:27 1:52:27,,-,18,2002
22,117,87.0,+ 79:40:04,,11.0,Pineau J\xe9rome,11,Bonjour,1:54:25 1:54:25,,-,18,2002
24,167,89.0,+ 79:43:23,,12.0,Mayo Iban,12,Euskaltel - Euskadi,1:57:44 1:57:44,,-,18,2002
25,105,92.0,+ 79:43:47,,13.0,Engels Addy,13,Rabobank ProTeam,1:58:08 1:58:08,,-,18,2002
25,125,96.0,+ 79:47:36,,14.0,Hunter Robert,14,Mapei - Quickstep,2:01:57 2:01:57,,-,18,2002
24,131,97.0,+ 79:48:00,,15.0,Menchov Denis,15,Ibanesto.com,2:02:21 2:02:21,,-,18,2002
23,185,102.0,+ 79:56:51,,16.0,Flickinger Andy,16,AG2R Pr\xe9voyance,2:11:12 2:11:12,,-,18,2002
22,206,103.0,+ 79:57:32,,17.0,Edaleine Christophe,17,Jean Delatour,2:11:53 2:11:53,,-,18,2002
24,64,111.0,+ 80:03:58,,19.0,Hushovd Thor,18,Cr\xe9dit Agricole,2:18:19 2:18:19,,\u25b21,18,2002
24,39,116.0,+ 80:07:20,,18.0,Zaballa Constantino,19,Kelme - Costa Blanca,2:21:41 2:21:41,,\u25bc1,18,2002
23,94,127.0,+ 80:23:16,,20.0,Cooke Baden,20,La Fran\xe7aise des Jeux,2:37:37 2:37:37,,-,18,2002
23,153,134.0,+ 80:27:06,,21.0,Bertogliati Rubens,21,Lampre - Daikin,2:41:27 2:41:27,,-,18,2002
24,154,141.0,+ 80:34:22,,22.0,Cortinovis Alessandro,22,Lampre - Daikin,2:48:43 2:48:43,,-,18,2002
25,162,143.0,+ 80:35:50,,23.0,Arrizabalaga Gorka,23,Euskaltel - Euskadi,2:50:11 2:50:11,,-,18,2002
24,81,11.0,+ 78:53:43,,1.0,Basso Ivan,1,Fassa Bortolo,78:53:43 78:53:43,,-,19,2002
24,91,19.0,+ 79:07:09,,2.0,Vogondy Nicolas,2,La Fran\xe7aise des Jeux,13:26 13:26,,-,19,2002
25,144,35.0,+ 79:42:15,,3.0,Brandt Christophe,3,Lotto - Adecco,48:32 48:32,,-,19,2002
23,114,36.0,+ 79:43:51,,4.0,Chavanel Sylvain,4,Bonjour,50:08 50:08,,-,19,2002
24,26,38.0,+ 79:47:52,,6.0,Nozal Isidro,5,O.N.C.E. - Eroski,54:09 54:09,,\u25b21,19,2002
25,169,39.0,+ 79:50:04,,5.0,Zubeldia Haimar,6,Euskaltel - Euskadi,56:21 56:21,,\u25bc1,19,2002
25,84,40.0,+ 79:51:51,,7.0,Gustov Volodymyr,7,Fassa Bortolo,58:08 58:08,,-,19,2002
23,129,63.0,+ 80:25:55,,8.0,Trampusch Gerhard,8,Mapei - Quickstep,1:32:12 1:32:12,,-,19,2002
25,47,68.0,+ 80:34:16,,9.0,Millar David,9,Cofidis,1:40:33 1:40:33,,-,19,2002
23,92,83.0,+ 80:46:47,,10.0,Casar Sandy,10,La Fran\xe7aise des Jeux,1:53:04 1:53:04,,-,19,2002
22,117,87.0,+ 80:52:49,,11.0,Pineau J\xe9rome,11,Bonjour,1:59:06 1:59:06,,-,19,2002
24,167,88.0,+ 80:52:52,,12.0,Mayo Iban,12,Euskaltel - Euskadi,1:59:09 1:59:09,,-,19,2002
24,131,93.0,+ 80:55:56,,15.0,Menchov Denis,13,Ibanesto.com,2:02:13 2:02:13,,\u25b22,19,2002
25,105,94.0,+ 80:56:02,,13.0,Engels Addy,14,Rabobank ProTeam,2:02:19 2:02:19,,\u25bc1,19,2002
25,125,97.0,+ 80:59:57,,14.0,Hunter Robert,15,Mapei - Quickstep,2:06:14 2:06:14,,\u25bc1,19,2002
22,206,100.0,+ 81:05:28,,17.0,Edaleine Christophe,16,Jean Delatour,2:11:45 2:11:45,,\u25b21,19,2002
23,185,103.0,+ 81:07:38,,16.0,Flickinger Andy,17,AG2R Pr\xe9voyance,2:13:55 2:13:55,,\u25bc1,19,2002
24,64,112.0,+ 81:15:08,,18.0,Hushovd Thor,18,Cr\xe9dit Agricole,2:21:25 2:21:25,,-,19,2002
24,39,116.0,+ 81:18:55,,19.0,Zaballa Constantino,19,Kelme - Costa Blanca,2:25:12 2:25:12,,-,19,2002
23,94,127.0,+ 81:34:59,,20.0,Cooke Baden,20,La Fran\xe7aise des Jeux,2:41:16 2:41:16,,-,19,2002
23,153,138.0,+ 81:44:35,,21.0,Bertogliati Rubens,21,Lampre - Daikin,2:50:52 2:50:52,,-,19,2002
24,154,140.0,+ 81:45:35,,22.0,Cortinovis Alessandro,22,Lampre - Daikin,2:51:52 2:51:52,,-,19,2002
25,162,142.0,+ 81:47:10,,23.0,Arrizabalaga Gorka,23,Euskaltel - Euskadi,2:53:27 2:53:27,,-,19,2002
24,81,11.0,+ 82:24:30,,1.0,Basso Ivan,1,Fassa Bortolo,82:24:30 82:24:30,,-,20,2002
24,91,19.0,+ 82:37:56,,2.0,Vogondy Nicolas,2,La Fran\xe7aise des Jeux,13:26 13:26,,-,20,2002
25,144,35.0,+ 83:13:02,,3.0,Brandt Christophe,3,Lotto - Adecco,48:32 48:32,,-,20,2002
23,114,36.0,+ 83:14:38,,4.0,Chavanel Sylvain,4,Bonjour,50:08 50:08,,-,20,2002
24,26,38.0,+ 83:18:39,,5.0,Nozal Isidro,5,O.N.C.E. - Eroski,54:09 54:09,,-,20,2002
25,169,39.0,+ 83:20:51,,6.0,Zubeldia Haimar,6,Euskaltel - Euskadi,56:21 56:21,,-,20,2002
25,84,40.0,+ 83:22:38,,7.0,Gustov Volodymyr,7,Fassa Bortolo,58:08 58:08,,-,20,2002
23,129,63.0,+ 83:56:42,,8.0,Trampusch Gerhard,8,Mapei - Quickstep,1:32:12 1:32:12,,-,20,2002
25,47,68.0,+ 84:05:03,,9.0,Millar David,9,Cofidis,1:40:33 1:40:33,,-,20,2002
23,92,83.0,+ 84:17:34,,10.0,Casar Sandy,10,La Fran\xe7aise des Jeux,1:53:04 1:53:04,,-,20,2002
22,117,87.0,+ 84:23:36,,11.0,Pineau J\xe9rome,11,Bonjour,1:59:06 1:59:06,,-,20,2002
24,167,88.0,+ 84:23:39,,12.0,Mayo Iban,12,Euskaltel - Euskadi,1:59:09 1:59:09,,-,20,2002
24,131,93.0,+ 84:26:43,,13.0,Menchov Denis,13,Ibanesto.com,2:02:13 2:02:13,,-,20,2002
25,105,94.0,+ 84:26:49,,14.0,Engels Addy,14,Rabobank ProTeam,2:02:19 2:02:19,,-,20,2002
25,125,97.0,+ 84:30:44,,15.0,Hunter Robert,15,Mapei - Quickstep,2:06:14 2:06:14,,-,20,2002
22,206,100.0,+ 84:36:15,,16.0,Edaleine Christophe,16,Jean Delatour,2:11:45 2:11:45,,-,20,2002
23,185,103.0,+ 84:38:25,,17.0,Flickinger Andy,17,AG2R Pr\xe9voyance,2:13:55 2:13:55,,-,20,2002
24,64,112.0,+ 84:45:55,,18.0,Hushovd Thor,18,Cr\xe9dit Agricole,2:21:25 2:21:25,,-,20,2002
24,39,116.0,+ 84:49:42,,19.0,Zaballa Constantino,19,Kelme - Costa Blanca,2:25:12 2:25:12,,-,20,2002
23,94,127.0,+ 85:05:34,,20.0,Cooke Baden,20,La Fran\xe7aise des Jeux,2:41:04 2:41:04,,-,20,2002
23,153,138.0,+ 85:15:22,,21.0,Bertogliati Rubens,21,Lampre - Daikin,2:50:52 2:50:52,,-,20,2002
24,154,140.0,+ 85:16:22,,22.0,Cortinovis Alessandro,22,Lampre - Daikin,2:51:52 2:51:52,,-,20,2002
25,162,142.0,+ 85:17:57,,23.0,Arrizabalaga Gorka,23,Euskaltel - Euskadi,2:53:27 2:53:27,,-,20,2002
