Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,stage,year,▼▲
25,115,2,+0:10,,Martin Tony,1,Team HTC - Columbia,10:10 10:10,0,2010,
24,39,5,+0:23,,Thomas Geraint,2,Sky Procycling,0:13 0:13,0,2010,
23,36,8,+0:32,,Boasson Hagen Edvald,3,Sky Procycling,0:22 0:22,0,2010,
22,207,11,+0:35,,Malori Adriano,4,Lampre - Farnese Vini,0:25 0:25,0,2010,
24,44,19,+0:38,,Kreuziger Roman,5,Liquigas - Doimo,0:28 0:28,0,2010,
23,43,29,+0:42,,Koren Kristijan,6,Liquigas - Doimo,0:32 0:32,0,2010,
23,46,30,+0:43,,Oss Daniel,7,Liquigas - Doimo,0:33 0:33,0,2010,
24,192,31,+0:44,,Boom Lars,8,Rabobank ProTeam,0:34 0:34,0,2010,
24,97,32,+0:44,,Konovalovas Ignatas,9,Cervelo Test Team,",, 0:34",0,2010,
23,171,33,+0:45,,Taaramäe Rein,10,"Cofidis, le Crédit en Ligne",0:35 0:35,0,2010,
23,162,41,+0:49,,Costa Rui,11,Caisse d'Epargne,0:39 0:39,0,2010,
25,169,43,+0:49,,Rojas José Joaquín,12,Caisse d'Epargne,",, 0:39",0,2010,
25,14,50,+0:50,,Fuglsang Jakob,13,Saxo Bank,0:40 0:40,0,2010,
24,144,51,+0:50,,Kluge Roger,14,Milram,",, 0:40",0,2010,
24,195,54,+0:51,,Gesink Robert,15,Rabobank ProTeam,0:41 0:41,0,2010,
23,76,55,+0:51,,Pliuschin Alexandr,16,Team Katusha,",, 0:41",0,2010,
23,142,59,+0:52,,Ciolek Gerald,17,Milram,0:42 0:42,0,2010,
25,108,93,+1:02,,Roelandts Jürgen,18,Omega Pharma-Lotto,0:52 0:52,0,2010,
24,104,95,+1:03,,Delage Mickaël,19,Omega Pharma-Lotto,0:53 0:53,0,2010,
24,214,96,+1:03,,Durán Arkaitz,20,Footon-Servetto,",, 0:53",0,2010,
25,174,97,+1:04,,El Fares Julien,21,"Cofidis, le Crédit en Ligne",0:54 0:54,0,2010,
25,143,98,+1:04,,Fröhlinger Johannes,22,Milram,",, 0:54",0,2010,
23,82,103,+1:05,,Bouet Maxime,23,AG2R La Mondiale,0:55 0:55,0,2010,
23,66,106,+1:06,,Roux Anthony,24,Francaise des Jeux,0:56 0:56,0,2010,
25,11,119,+1:09,,Schleck Andy,25,Saxo Bank,0:59 0:59,0,2010,
22,155,122,+1:09,,Gautier Cyril,26,Bbox Bouygues Telecom,",, 0:59",0,2010,
25,111,124,+1:10,,Cavendish Mark,27,Team HTC - Columbia,1:00 1:00,0,2010,
24,209,126,+1:10,,Špilak Simon,28,Lampre - Farnese Vini,",, 1:00",0,2010,
20,216,139,+1:13,,Felline Fabio,29,Footon-Servetto,1:03 1:03,0,2010,
24,202,141,+1:14,,Bole Grega,30,Lampre - Farnese Vini,1:04 1:04,0,2010,
23,137,144,+1:16,,Seeldraeyers Kevin,31,Quickstep - Innergetic,1:06 1:06,0,2010,
23,219,152,+1:18,,Valls Rafael,32,Footon-Servetto,1:08 1:08,0,2010,
24,211,153,+1:19,,Capecchi Eros,33,Footon-Servetto,1:09 1:09,0,2010,
24,63,156,+1:19,,Di Grégorio Rémy,34,Francaise des Jeux,",, 1:09",0,2010,
25,103,178,+1:25,,de Greef Francis,35,Omega Pharma-Lotto,1:15 1:15,0,2010,
23,156,182,+1:28,,Rolland Pierre,36,Bbox Bouygues Telecom,1:18 1:18,0,2010,
23,68,188,+1:37,,Sulzberger Wesley,37,Francaise des Jeux,1:27 1:27,0,2010,
23,125,193,+3:32,,Frank Mathias,38,BMC Racing Team,3:22 3:22,0,2010,
25,115,2,+0:10,1.0,Martin Tony,1,Team HTC - Columbia,5:19:48 5:19:48,1,2010,-
24,39,5,+0:23,2.0,Thomas Geraint,2,Sky Procycling,0:13 0:13,1,2010,-
23,36,8,+0:32,3.0,Boasson Hagen Edvald,3,Sky Procycling,0:22 0:22,1,2010,-
22,207,11,+0:35,4.0,Malori Adriano,4,Lampre - Farnese Vini,0:25 0:25,1,2010,-
24,44,19,+0:38,5.0,Kreuziger Roman,5,Liquigas - Doimo,0:28 0:28,1,2010,-
23,43,29,+0:42,6.0,Koren Kristijan,6,Liquigas - Doimo,0:32 0:32,1,2010,-
23,46,30,+0:43,7.0,Oss Daniel,7,Liquigas - Doimo,0:33 0:33,1,2010,-
24,97,31,+0:44,9.0,Konovalovas Ignatas,8,Cervelo Test Team,0:34 0:34,1,2010,▲1
23,171,32,+0:45,10.0,Taaramäe Rein,9,"Cofidis, le Crédit en Ligne",0:35 0:35,1,2010,▲1
23,162,39,+0:49,11.0,Costa Rui,10,Caisse d'Epargne,0:39 0:39,1,2010,▲1
25,169,41,+0:49,12.0,Rojas José Joaquín,11,Caisse d'Epargne,",, 0:39",1,2010,▲1
25,14,48,+0:50,13.0,Fuglsang Jakob,12,Saxo Bank,0:40 0:40,1,2010,▲1
24,144,49,+0:50,14.0,Kluge Roger,13,Milram,",, 0:40",1,2010,▲1
24,195,52,+0:51,15.0,Gesink Robert,14,Rabobank ProTeam,0:41 0:41,1,2010,▲1
23,76,53,+0:51,16.0,Pliuschin Alexandr,15,Team Katusha,",, 0:41",1,2010,▲1
23,142,57,+0:52,17.0,Ciolek Gerald,16,Milram,0:42 0:42,1,2010,▲1
25,108,90,+1:02,18.0,Roelandts Jürgen,17,Omega Pharma-Lotto,0:52 0:52,1,2010,▲1
24,104,92,+1:03,19.0,Delage Mickaël,18,Omega Pharma-Lotto,0:53 0:53,1,2010,▲1
24,214,93,+1:03,20.0,Durán Arkaitz,19,Footon-Servetto,",, 0:53",1,2010,▲1
25,174,94,+1:04,21.0,El Fares Julien,20,"Cofidis, le Crédit en Ligne",0:54 0:54,1,2010,▲1
25,143,95,+1:04,22.0,Fröhlinger Johannes,21,Milram,",, 0:54",1,2010,▲1
23,82,100,+1:05,23.0,Bouet Maxime,22,AG2R La Mondiale,0:55 0:55,1,2010,▲1
23,66,103,+1:06,24.0,Roux Anthony,23,Francaise des Jeux,0:56 0:56,1,2010,▲1
25,11,116,+1:09,25.0,Schleck Andy,24,Saxo Bank,0:59 0:59,1,2010,▲1
22,155,119,+1:09,26.0,Gautier Cyril,25,Bbox Bouygues Telecom,",, 0:59",1,2010,▲1
25,111,121,+1:10,27.0,Cavendish Mark,26,Team HTC - Columbia,1:00 1:00,1,2010,▲1
24,209,123,+1:10,28.0,Špilak Simon,27,Lampre - Farnese Vini,",, 1:00",1,2010,▲1
20,216,136,+1:13,29.0,Felline Fabio,28,Footon-Servetto,1:03 1:03,1,2010,▲1
24,202,138,+1:14,30.0,Bole Grega,29,Lampre - Farnese Vini,1:04 1:04,1,2010,▲1
23,137,140,+1:16,31.0,Seeldraeyers Kevin,30,Quickstep - Innergetic,1:06 1:06,1,2010,▲1
23,219,148,+1:18,32.0,Valls Rafael,31,Footon-Servetto,1:08 1:08,1,2010,▲1
24,211,149,+1:19,33.0,Capecchi Eros,32,Footon-Servetto,1:09 1:09,1,2010,▲1
24,63,152,+1:19,34.0,Di Grégorio Rémy,33,Francaise des Jeux,",, 1:09",1,2010,▲1
25,103,173,+1:25,35.0,de Greef Francis,34,Omega Pharma-Lotto,1:15 1:15,1,2010,▲1
23,156,177,+1:28,36.0,Rolland Pierre,35,Bbox Bouygues Telecom,1:18 1:18,1,2010,▲1
23,68,182,+1:37,37.0,Sulzberger Wesley,36,Francaise des Jeux,1:27 1:27,1,2010,▲1
24,192,188,+4:04,8.0,Boom Lars,37,Rabobank ProTeam,3:54 3:54,1,2010,▼29
25,115,3,+3:07,1.0,Martin Tony,1,Team HTC - Columbia,10:04:32 10:04:32,2,2010,-
24,39,6,+3:20,2.0,Thomas Geraint,2,Sky Procycling,0:13 0:13,2,2010,-
23,36,8,+3:29,3.0,Boasson Hagen Edvald,3,Sky Procycling,0:22 0:22,2,2010,-
24,44,16,+3:35,5.0,Kreuziger Roman,4,Liquigas - Doimo,0:28 0:28,2,2010,▲1
23,43,22,+3:39,6.0,Koren Kristijan,5,Liquigas - Doimo,0:32 0:32,2,2010,▲1
23,46,23,+3:40,7.0,Oss Daniel,6,Liquigas - Doimo,0:33 0:33,2,2010,▲1
23,162,28,+3:46,10.0,Costa Rui,7,Caisse d'Epargne,0:39 0:39,2,2010,▲3
25,169,30,+3:46,11.0,Rojas José Joaquín,8,Caisse d'Epargne,",, 0:39",2,2010,▲3
25,14,36,+3:47,12.0,Fuglsang Jakob,9,Saxo Bank,0:40 0:40,2,2010,▲3
24,195,39,+3:48,14.0,Gesink Robert,10,Rabobank ProTeam,0:41 0:41,2,2010,▲4
23,76,40,+3:48,15.0,Pliuschin Alexandr,11,Team Katusha,",, 0:41",2,2010,▲4
25,108,64,+3:59,17.0,Roelandts Jürgen,12,Omega Pharma-Lotto,0:52 0:52,2,2010,▲5
24,214,66,+4:00,19.0,Durán Arkaitz,13,Footon-Servetto,0:53 0:53,2,2010,▲6
25,174,67,+4:01,20.0,El Fares Julien,14,"Cofidis, le Crédit en Ligne",0:54 0:54,2,2010,▲6
25,143,68,+4:01,21.0,Fröhlinger Johannes,15,Milram,",, 0:54",2,2010,▲6
23,82,72,+4:02,22.0,Bouet Maxime,16,AG2R La Mondiale,0:55 0:55,2,2010,▲6
25,11,82,+4:06,24.0,Schleck Andy,17,Saxo Bank,0:59 0:59,2,2010,▲7
22,155,84,+4:06,25.0,Gautier Cyril,18,Bbox Bouygues Telecom,",, 0:59",2,2010,▲7
23,219,99,+4:15,31.0,Valls Rafael,19,Footon-Servetto,1:08 1:08,2,2010,▲12
24,63,102,+4:16,33.0,Di Grégorio Rémy,20,Francaise des Jeux,1:09 1:09,2,2010,▲13
20,216,114,+4:23,28.0,Felline Fabio,21,Footon-Servetto,1:16 1:16,2,2010,▲7
23,156,116,+4:25,35.0,Rolland Pierre,22,Bbox Bouygues Telecom,1:18 1:18,2,2010,▲13
23,68,124,+4:47,36.0,Sulzberger Wesley,23,Francaise des Jeux,1:40 1:40,2,2010,▲13
25,103,125,+5:24,34.0,de Greef Francis,24,Omega Pharma-Lotto,2:17 2:17,2,2010,▲10
23,171,128,+8:37,9.0,Taaramäe Rein,25,"Cofidis, le Crédit en Ligne",5:30 5:30,2,2010,▼16
25,111,147,+10:00,26.0,Cavendish Mark,26,Team HTC - Columbia,6:53 6:53,2,2010,-
24,192,150,+11:56,37.0,Boom Lars,27,Rabobank ProTeam,8:49 8:49,2,2010,▲10
22,207,151,+13:13,4.0,Malori Adriano,28,Lampre - Farnese Vini,10:06 10:06,2,2010,▼24
23,142,156,+13:31,16.0,Ciolek Gerald,29,Milram,10:24 10:24,2,2010,▼13
23,66,161,+13:44,23.0,Roux Anthony,30,Francaise des Jeux,10:37 10:37,2,2010,▼7
24,209,164,+13:49,27.0,Špilak Simon,31,Lampre - Farnese Vini,10:42 10:42,2,2010,▼4
23,137,167,+13:55,30.0,Seeldraeyers Kevin,32,Quickstep - Innergetic,10:48 10:48,2,2010,▼2
24,211,169,+13:58,32.0,Capecchi Eros,33,Footon-Servetto,10:51 10:51,2,2010,▼1
24,97,181,+18:48,8.0,Konovalovas Ignatas,34,Cervelo Test Team,15:41 15:41,2,2010,▼26
24,144,182,+18:54,13.0,Kluge Roger,35,Milram,15:47 15:47,2,2010,▼22
24,202,185,+19:18,29.0,Bole Grega,36,Lampre - Farnese Vini,16:11 16:11,2,2010,▼7
24,39,2,+0:23,2.0,Thomas Geraint,1,Sky Procycling,14:54:23 14:54:23,3,2010,▲1
25,11,6,+1:09,17.0,Schleck Andy,2,Saxo Bank,0:46 0:46,3,2010,▲15
