Rnk,Rider,Age,Team,Pnt,GC,GC-Time,Time,year,stage
99,Nolf Frederiek,21,Topsport Vlaanderen - Mercator,,,+0:00,",, 12:14",2009,3
100,van der Velde Ricardo,21,Team Garmin - Slipstream,,,+0:00,",, 12:14",2009,3
101,Patour Kilian,26,Team Garmin - Slipstream,,,+0:00,",, 12:14",2009,3
102,Nakajima Yasuharu,24,Eqa - Meitan Hompo - Graphite Design,,,+0:00,",, 12:14",2009,3
103,Esmaeili Tareq,31,,,,+0:00,",, 12:14",2009,3
104,Wiggins Bradley,28,Team Garmin - Slipstream,,,+0:00,",, 12:14",2009,3
105,Sentjens Roy,28,Silence - Lotto,,,+0:00,",, 12:14",2009,3
106,Dekkers Hans,27,Team Garmin - Slipstream,,,+0:00,",, 12:14",2009,3
107,Joseph Stijn,21,Topsport Vlaanderen - Mercator,,,+0:00,",, 12:14",2009,3
108,Terpstra Niki,24,Milram,,,+0:00,",, 12:14",2009,3
109,Arrieta Jose Luis,37,AG2R La Mondiale,,,+0:00,",, 12:14",2009,3
110,Tolleson Taylor,23,BMC Racing Team,,,+0:00,",, 12:14",2009,3
111,Maaskant Martijn,25,Team Garmin - Slipstream,,,+0:00,",, 12:14",2009,3
112,Seo Joon Yong,20,Eqa - Meitan Hompo - Graphite Design,,,+0:00,",, 12:14",2009,3
113,Vandewalle Kristof,23,Topsport Vlaanderen - Mercator,,,+0:00,",, 12:14",2009,3
114,Kikuchi Masaaki,22,Eqa - Meitan Hompo - Graphite Design,,,+0:00,",, 12:14",2009,3
115,Scheirlinckx Staf,29,Silence - Lotto,,,+0:00,",, 12:14",2009,3
116,Krivtsov Yuriy,29,AG2R La Mondiale,,,+0:00,",, 12:14",2009,3
117,McDonald Peter,30,Drapac - Porsche Cycling,,,+0:00,",, 12:14",2009,3
118,Mondory Lloyd,26,AG2R La Mondiale,,,+0:00,",, 12:14",2009,3
119,Da Dalto Mauro,27,Lampre - NGC,,,+0:00,",, 12:14",2009,3
120,Beyer Chad,22,BMC Racing Team,,,+0:00,",, 12:14",2009,3
121,Stalder Florian,26,BMC Racing Team,,,+0:00,",, 12:14",2009,3
122,Righi Daniele,32,Lampre - NGC,,,+0:00,",, 12:14",2009,3
123,Corioni Claudio,26,Liquigas,,,+0:00,",, 12:14",2009,3
124,Spilak Simon,22,Lampre - NGC,,,+0:00,",, 12:14",2009,3
125,Windsor Dean,22,Drapac - Porsche Cycling,,,+0:00,",, 12:14",2009,3
126,Dockx Bart,27,Silence - Lotto,,,+0:00,",, 12:14",2009,3
127,Humbert Ashley,26,Drapac - Porsche Cycling,,,+0:00,",, 12:14",2009,3
128,Rabon Frantisek,25,Team Columbia - HTC,,,+0:00,",, 12:14",2009,3
129,Braunsteins Daniel,20,Drapac - Porsche Cycling,,,+0:00,",, 12:14",2009,3
130,Mirza Bader Mohamed,25,,,,+0:00,",, 12:14",2009,3
131,PONT Guillaume,29,Eqa - Meitan Hompo - Graphite Design,,,+0:00,",, 12:14",2009,3
132,Shimizu Miyataka,27,Eqa - Meitan Hompo - Graphite Design,,,+0:00,",, 12:14",2009,3
133,Said Moosa,20,,,,+0:00,",, 12:14",2009,3
134,Park Sung Baek,23,Eqa - Meitan Hompo - Graphite Design,,,+0:00,",, 12:14",2009,3
1,Cavendish Mark,23,Team Columbia - HTC,20.0,,+0:00,4:04:55 4:04:55,2009,4
2,Haussler Heinrich,24,Cervelo Test Team,12.0,,+0:00,",, ,,",2009,4
3,Boonen Tom,28,Quickstep - Innergetic,7.0,,+0:00,",, ,,",2009,4
4,Pozzato Filippo,27,Team Katusha,5.0,,+0:00,",, ,,",2009,4
5,F\xf6rster Robert,31,Milram,4.0,,+0:00,",, ,,",2009,4
6,Lloyd Daniel,28,Cervelo Test Team,3.0,,+0:00,",, ,,",2009,4
7,Maaskant Martijn,25,Team Garmin - Slipstream,2.0,,+0:00,",, ,,",2009,4
8,Lorenzetto Mirco,27,Lampre - NGC,1.0,,+0:00,",, ,,",2009,4
9,Veelers Tom,24,Skil - Shimano,,,+0:00,",, ,,",2009,4
10,Hammond Roger,35,Cervelo Test Team,,,+0:00,",, ,,",2009,4
11,Goddaert Kristof,22,Topsport Vlaanderen - Mercator,,,+0:00,",, ,,",2009,4
12,Reimer Martin,21,Cervelo Test Team,,,+0:00,0:03 0:03,2009,4
13,Florencio Xavier,29,Cervelo Test Team,,,+0:00,",, 0:03",2009,4
14,Klier Andreas,33,Cervelo Test Team,,,+0:00,0:05 0:05,2009,4
15,Rasch Gabriel,32,Cervelo Test Team,,,+0:00,",, 0:05",2009,4
16,Oss Daniel,22,Liquigas,,,+0:00,",, 0:05",2009,4
17,Friedman Michael,26,Team Garmin - Slipstream,,,+0:00,0:06 0:06,2009,4
18,Sieberg Marcel,26,Team Columbia - HTC,,,+0:00,",, 0:06",2009,4
19,Flecha Juan Antonio,31,Rabobank ProTeam,,,+0:00,0:17 0:17,2009,4
20,Hunt Jeremy,34,Cervelo Test Team,,,+0:00,0:19 0:19,2009,4
21,Burghardt Marcus,25,Team Columbia - HTC,,,+0:00,0:26 0:26,2009,4
22,van Hummel Kenny,26,Skil - Shimano,,,+0:00,0:42 0:42,2009,4
23,Furlan Angelo,31,Lampre - NGC,,,+0:00,",, 0:42",2009,4
24,Zberg Markus,34,BMC Racing Team,,,+0:00,",, 0:42",2009,4
25,de Kort Koen,26,Skil - Shimano,,,+0:00,",, 0:42",2009,4
26,Velo Marco,34,Quickstep - Innergetic,,,+0:00,",, 0:42",2009,4
27,Fothen Thomas,25,Milram,,,+0:00,",, 0:42",2009,4
28,Vanspeybrouck Pieter,21,Topsport Vlaanderen - Mercator,,,+0:00,",, 0:42",2009,4
29,Poulhies St\xe9phane,23,AG2R La Mondiale,,,+0:00,",, 0:42",2009,4
30,Grabsch Bert,33,Team Columbia - HTC,,,+0:00,",, 0:42",2009,4
31,Hulsmans Kevin,30,Quickstep - Innergetic,,,+0:00,",, 0:42",2009,4
32,Weylandt Wouter,24,Quickstep - Innergetic,,,+0:00,0:56 0:56,2009,4
33,Bandiera Marco,24,Lampre - NGC,,,+0:00,",, 0:56",2009,4
34,Sentjens Roy,28,Silence - Lotto,,,+0:00,",, 0:56",2009,4
35,Scheirlinckx Staf,29,Silence - Lotto,,,+0:00,",, 0:56",2009,4
36,Neirynck Stijn,23,Topsport Vlaanderen - Mercator,,,+0:00,",, 0:56",2009,4
37,Vansummeren Johan,28,Silence - Lotto,,,+0:00,",, 0:56",2009,4
38,Posthuma Joost,27,Rabobank ProTeam,,,+0:00,",, 0:56",2009,4
39,Tjallingii Maarten,31,Rabobank ProTeam,,,+0:00,",, 0:56",2009,4
40,Kohler Martin,23,BMC Racing Team,,,+0:00,",, 0:56",2009,4
41,Galimzyanov Denis,21,Team Katusha,,,+0:00,",, 0:56",2009,4
42,de Maar Marc,24,Rabobank ProTeam,,,+0:00,",, 0:56",2009,4
43,Cretskens Wilfried,32,Silence - Lotto,,,+0:00,",, 0:56",2009,4
44,Da Dalto Mauro,27,Lampre - NGC,,,+0:00,",, 0:56",2009,4
45,Henderson Gregory,32,Team Columbia - HTC,,,+0:00,",, 0:56",2009,4
46,Curvers Roy,29,Skil - Shimano,,,+0:00,",, 0:56",2009,4
47,Hoste Leif,31,Silence - Lotto,,,+0:00,",, 0:56",2009,4
48,Duijn Huub,24,Team Garmin - Slipstream,,,+0:00,",, 0:56",2009,4
49,Wrolich Peter,34,Milram,,,+0:00,",, 0:56",2009,4
50,Lemoine Cyril,25,Skil - Shimano,,,+0:00,",, 0:56",2009,4
51,Gajek Artur,23,Milram,,,+0:00,",, 0:56",2009,4
52,Wynants Maarten,26,Quickstep - Innergetic,,,+0:00,",, 0:56",2009,4
53,Cruz Antonio,37,BMC Racing Team,,,+0:00,",, 0:56",2009,4
54,Dion Renaud,31,AG2R La Mondiale,,,+0:00,",, 0:56",2009,4
