Rnk,BIB,Team,GC,GC-Time,Time,year,stage
1,,Liquigas,,+ - 91:25:51,274:42:31 274:42:31,2005,20
2,,Cr\xe9dit Agricole,,+ - 91:25:51,24:28 24:28,2005,20
3,,Lampre-Caffita,,+ - 91:25:51,29:21 29:21,2005,20
4,,Domina Vacanze,,+ - 91:25:51,32:27 32:27,2005,20
5,,Illes Balears - Caisse d'Epargne,,+ - 91:25:51,1:08:29 1:08:29,2005,20
6,,Davitamon - Lotto,,+ - 91:25:51,1:21:34 1:21:34,2005,20
7,,Ceramica Panaria - Navigare,,+ - 91:25:51,1:24:50 1:24:50,2005,20
8,,Liberty Seguros - W\xfcrth Team,,+ - 91:25:51,1:26:50 1:26:50,2005,20
9,,Saunier Duval - Prodir,,+ - 91:25:51,1:37:32 1:37:32,2005,20
10,,Phonak Hearing Systems,,+ - 91:25:51,1:49:00 1:49:00,2005,20
11,,Cofidis,,+ - 91:25:51,2:04:25 2:04:25,2005,20
12,,Rabobank ProTeam,,+ - 91:25:51,2:12:10 2:12:10,2005,20
13,,Colombia - Selle Italia,,+ - 91:25:51,2:30:30 2:30:30,2005,20
14,,Euskaltel - Euskadi,,+ - 91:25:51,2:49:25 2:49:25,2005,20
15,,T-Mobile Team,,+ - 91:25:51,3:07:23 3:07:23,2005,20
16,,CSC ProTeam,,+ - 91:25:51,3:37:16 3:37:16,2005,20
17,,Discovery Channel,,+ - 91:25:51,3:59:30 3:59:30,2005,20
18,,Quickstep - Innergetic,,+ - 91:25:51,4:17:39 4:17:39,2005,20
19,,Gerolsteiner,,+ - 91:25:51,4:41:43 4:41:43,2005,20
20,,Fassa Bortolo,,+ - 91:25:51,5:00:35 5:00:35,2005,20
21,,Bouygues Telecom,,+ - 91:25:51,5:26:52 5:26:52,2005,20
22,,Fran\xe7aise des Jeux,,+ - 91:25:51,6:25:14 6:25:14,2005,20
