Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,Pnt,year,stage
1,,-,53,Dougall Nick,24,Team Dimension Data,12,2017,2
2,,-,111,Gilbert Philippe,34,Quick-Step Floors,10,2017,2
3,1.0,\u25bc2,13,Dennis Rohan,27,BMC Racing Team,10,2017,2
4,2.0,\u25bc2,16,K\xfcng Stefan,23,BMC Racing Team,8,2017,2
5,,-,47,Bevin Patrick,26,Cannondale-Drapac Pro Cycling Team,8,2017,2
6,,-,12,Caruso Damiano,29,BMC Racing Team,6,2017,2
7,,-,67,Roux Anthony,30,FDJ,6,2017,2
8,,-,183,Dunne Conor,25,Aqua Blue Sport,6,2017,2
9,3.0,\u25bc6,155,Br\xe4ndle Matthias,27,Trek - Segafredo,6,2017,2
10,4.0,\u25bc6,135,Matthews Michael,26,Team Sunweb,4,2017,2
11,,-,101,Albasini Michael,36,ORICA-Scott,4,2017,2
12,,-,22,Bakelants Jan,31,AG2R La Mondiale,3,2017,2
13,5.0,\u25bc8,131,Dumoulin Tom,26,Team Sunweb,2,2017,2
14,,-,118,Trentin Matteo,27,Quick-Step Floors,2,2017,2
15,,-,205,Duchesne Antoine,25,Direct Energie,2,2017,2
16,,-,171,Costa Rui,30,UAE Team Emirates,1,2017,2
1,10.0,\u25b29,135,Matthews Michael,26,Team Sunweb,14,2017,3
2,1.0,\u25bc1,53,Dougall Nick,24,Team Dimension Data,12,2017,3
3,,-,215,Reinders Elmar,25,Roompot - Nederlandse Loterij,12,2017,3
4,2.0,\u25bc2,111,Gilbert Philippe,34,Quick-Step Floors,10,2017,3
5,3.0,\u25bc2,13,Dennis Rohan,27,BMC Racing Team,10,2017,3
6,4.0,\u25bc2,16,K\xfcng Stefan,23,BMC Racing Team,10,2017,3
7,,-,31,Sagan Peter,27,BORA - hansgrohe,8,2017,3
8,5.0,\u25bc3,47,Bevin Patrick,26,Cannondale-Drapac Pro Cycling Team,8,2017,3
9,6.0,\u25bc3,12,Caruso Damiano,29,BMC Racing Team,6,2017,3
10,11.0,\u25b21,101,Albasini Michael,36,ORICA-Scott,6,2017,3
11,,-,153,Degenkolb John,28,Trek - Segafredo,6,2017,3
12,7.0,\u25bc5,67,Roux Anthony,30,FDJ,6,2017,3
13,,-,181,Hansen Lasse Norman,25,Aqua Blue Sport,6,2017,3
14,8.0,\u25bc6,183,Dunne Conor,25,Aqua Blue Sport,6,2017,3
15,9.0,\u25bc6,155,Br\xe4ndle Matthias,27,Trek - Segafredo,6,2017,3
16,,-,81,Wellens Tim,26,Lotto Soudal,4,2017,3
17,12.0,\u25bc5,22,Bakelants Jan,31,AG2R La Mondiale,3,2017,3
18,13.0,\u25bc5,131,Dumoulin Tom,26,Team Sunweb,2,2017,3
19,14.0,\u25bc5,118,Trentin Matteo,27,Quick-Step Floors,2,2017,3
20,15.0,\u25bc5,205,Duchesne Antoine,25,Direct Energie,2,2017,3
21,16.0,\u25bc5,171,Costa Rui,30,UAE Team Emirates,1,2017,3
1,1.0,-,135,Matthews Michael,26,Team Sunweb,14,2017,4
2,9.0,\u25b27,12,Caruso Damiano,29,BMC Racing Team,14,2017,4
3,,-,186,Warbasse Larry,26,Aqua Blue Sport,13,2017,4
4,2.0,\u25bc2,53,Dougall Nick,24,Team Dimension Data,12,2017,4
5,3.0,\u25bc2,215,Reinders Elmar,25,Roompot - Nederlandse Loterij,12,2017,4
6,4.0,\u25bc2,111,Gilbert Philippe,34,Quick-Step Floors,10,2017,4
7,5.0,\u25bc2,13,Dennis Rohan,27,BMC Racing Team,10,2017,4
8,6.0,\u25bc2,16,K\xfcng Stefan,23,BMC Racing Team,10,2017,4
9,20.0,\u25b211,205,Duchesne Antoine,25,Direct Energie,9,2017,4
10,8.0,\u25bc2,47,Bevin Patrick,26,Cannondale-Drapac Pro Cycling Team,8,2017,4
11,7.0,\u25bc4,31,Sagan Peter,27,BORA - hansgrohe,8,2017,4
12,,-,162,Boom Lars,31,Team LottoNL-Jumbo,6,2017,4
13,,-,161,Kruijswijk Steven,30,Team LottoNL-Jumbo,6,2017,4
14,10.0,\u25bc4,101,Albasini Michael,36,ORICA-Scott,6,2017,4
15,12.0,\u25bc3,67,Roux Anthony,30,FDJ,6,2017,4
16,11.0,\u25bc5,153,Degenkolb John,28,Trek - Segafredo,6,2017,4
17,13.0,\u25bc4,181,Hansen Lasse Norman,25,Aqua Blue Sport,6,2017,4
18,14.0,\u25bc4,183,Dunne Conor,25,Aqua Blue Sport,6,2017,4
19,15.0,\u25bc4,155,Br\xe4ndle Matthias,27,Trek - Segafredo,6,2017,4
20,,-,71,Spilak Simon,30,Team Katusha - Alpecin,4,2017,4
21,,-,218,van der Lijke Nick,25,Roompot - Nederlandse Loterij,4,2017,4
22,16.0,\u25bc6,81,Wellens Tim,26,Lotto Soudal,4,2017,4
23,17.0,\u25bc6,22,Bakelants Jan,31,AG2R La Mondiale,3,2017,4
24,,-,28,Pozzovivo Domenico,34,AG2R La Mondiale,2,2017,4
25,18.0,\u25bc7,131,Dumoulin Tom,26,Team Sunweb,2,2017,4
26,19.0,\u25bc7,118,Trentin Matteo,27,Quick-Step Floors,2,2017,4
27,21.0,\u25bc6,171,Costa Rui,30,UAE Team Emirates,1,2017,4
1,11.0,\u25b210,31,Sagan Peter,27,BORA - hansgrohe,18,2017,5
2,2.0,-,12,Caruso Damiano,29,BMC Racing Team,15,2017,5
3,1.0,\u25bc2,135,Matthews Michael,26,Team Sunweb,14,2017,5
4,14.0,\u25b210,101,Albasini Michael,36,ORICA-Scott,14,2017,5
5,3.0,\u25bc2,186,Warbasse Larry,26,Aqua Blue Sport,13,2017,5
6,,-,212,Asselman Jesper,27,Roompot - Nederlandse Loterij,12,2017,5
7,4.0,\u25bc3,53,Dougall Nick,24,Team Dimension Data,12,2017,5
8,5.0,\u25bc3,215,Reinders Elmar,25,Roompot - Nederlandse Loterij,12,2017,5
9,10.0,\u25b21,47,Bevin Patrick,26,Cannondale-Drapac Pro Cycling Team,12,2017,5
10,6.0,\u25bc4,111,Gilbert Philippe,34,Quick-Step Floors,10,2017,5
11,7.0,\u25bc4,13,Dennis Rohan,27,BMC Racing Team,10,2017,5
12,8.0,\u25bc4,16,K\xfcng Stefan,23,BMC Racing Team,10,2017,5
13,9.0,\u25bc4,205,Duchesne Antoine,25,Direct Energie,9,2017,5
14,26.0,\u25b212,118,Trentin Matteo,27,Quick-Step Floors,8,2017,5
15,12.0,\u25bc3,162,Boom Lars,31,Team LottoNL-Jumbo,6,2017,5
16,13.0,\u25bc3,161,Kruijswijk Steven,30,Team LottoNL-Jumbo,6,2017,5
17,15.0,\u25bc2,67,Roux Anthony,30,FDJ,6,2017,5
18,16.0,\u25bc2,153,Degenkolb John,28,Trek - Segafredo,6,2017,5
19,17.0,\u25bc2,181,Hansen Lasse Norman,25,Aqua Blue Sport,6,2017,5
20,18.0,\u25bc2,183,Dunne Conor,25,Aqua Blue Sport,6,2017,5
21,20.0,\u25bc1,71,Spilak Simon,30,Team Katusha - Alpecin,4,2017,5
22,,-,57,King Benjamin,28,Team Dimension Data,4,2017,5
23,22.0,\u25bc1,81,Wellens Tim,26,Lotto Soudal,4,2017,5
24,21.0,\u25bc3,218,van der Lijke Nick,25,Roompot - Nederlandse Loterij,4,2017,5
25,23.0,\u25bc2,22,Bakelants Jan,31,AG2R La Mondiale,3,2017,5
26,,-,88,Wallays Jelle,28,Lotto Soudal,3,2017,5
27,24.0,\u25bc3,28,Pozzovivo Domenico,34,AG2R La Mondiale,2,2017,5
28,25.0,\u25bc3,131,Dumoulin Tom,26,Team Sunweb,2,2017,5
29,,-,142,Bonifazio Niccolo,23,Bahrain Merida Pro Cycling Team,2,2017,5
30,27.0,\u25bc3,171,Costa Rui,30,UAE Team Emirates,1,2017,5
1,1.0,-,31,Sagan Peter,27,BORA - hansgrohe,18,2017,6
2,2.0,-,12,Caruso Damiano,29,BMC Racing Team,15,2017,6
3,3.0,-,135,Matthews Michael,26,Team Sunweb,14,2017,6
4,4.0,-,101,Albasini Michael,36,ORICA-Scott,14,2017,6
5,5.0,-,186,Warbasse Larry,26,Aqua Blue Sport,13,2017,6
6,27.0,\u25b221,28,Pozzovivo Domenico,34,AG2R La Mondiale,12,2017,6
7,6.0,\u25bc1,212,Asselman Jesper,27,Roompot - Nederlandse Loterij,12,2017,6
8,7.0,\u25bc1,53,Dougall Nick,24,Team Dimension Data,12,2017,6
9,8.0,\u25bc1,215,Reinders Elmar,25,Roompot - Nederlandse Loterij,12,2017,6
10,9.0,\u25bc1,47,Bevin Patrick,26,Cannondale-Drapac Pro Cycling Team,12,2017,6
11,10.0,\u25bc1,111,Gilbert Philippe,34,Quick-Step Floors,10,2017,6
12,11.0,\u25bc1,13,Dennis Rohan,27,BMC Racing Team,10,2017,6
13,12.0,\u25bc1,16,K\xfcng Stefan,23,BMC Racing Team,10,2017,6
14,13.0,\u25bc1,205,Duchesne Antoine,25,Direct Energie,9,2017,6
15,30.0,\u25b215,171,Costa Rui,30,UAE Team Emirates,9,2017,6
16,14.0,\u25bc2,118,Trentin Matteo,27,Quick-Step Floors,8,2017,6
17,,-,48,Woods Michael,30,Cannondale-Drapac Pro Cycling Team,7,2017,6
18,,-,83,De Clercq Bart,30,Lotto Soudal,7,2017,6
19,15.0,\u25bc4,162,Boom Lars,31,Team LottoNL-Jumbo,6,2017,6
20,16.0,\u25bc4,161,Kruijswijk Steven,30,Team LottoNL-Jumbo,6,2017,6
21,21.0,-,71,Spilak Simon,30,Team Katusha - Alpecin,6,2017,6
22,,-,141,Izagirre Ion,28,Bahrain Merida Pro Cycling Team,6,2017,6
23,,-,143,Cink Ondrej,26,Bahrain Merida Pro Cycling Team,6,2017,6
24,17.0,\u25bc7,67,Roux Anthony,30,FDJ,6,2017,6
25,18.0,\u25bc7,153,Degenkolb John,28,Trek - Segafredo,6,2017,6
26,19.0,\u25bc7,181,Hansen Lasse Norman,25,Aqua Blue Sport,6,2017,6
27,,-,21,Frank Mathias,30,AG2R La Mondiale,4,2017,6
28,24.0,\u25bc4,218,van der Lijke Nick,25,Roompot - Nederlandse Loterij,4,2017,6
29,22.0,\u25bc7,57,King Benjamin,28,Team Dimension Data,4,2017,6
30,23.0,\u25bc7,81,Wellens Tim,26,Lotto Soudal,4,2017,6
31,25.0,\u25bc6,22,Bakelants Jan,31,AG2R La Mondiale,3,2017,6
32,26.0,\u25bc6,88,Wallays Jelle,28,Lotto Soudal,3,2017,6
33,29.0,\u25bc4,142,Bonifazio Niccolo,23,Bahrain Merida Pro Cycling Team,2,2017,6
1,1.0,-,31,Sagan Peter,27,BORA - hansgrohe,27,2017,7
2,2.0,-,12,Caruso Damiano,29,BMC Racing Team,19,2017,7
3,3.0,-,135,Matthews Michael,26,Team Sunweb,18,2017,7
