stage_type,Stage,Winner,Leader after stage,year,IndivTimeTrial,TeamTimeTrial,MountainStage,SprintStage
2.0,Stage 1 - Leeds › Harrogate,KITTEL Marcel,Kittel Marcel,2014,0,0,0,1
2.0,Stage 2 - York › Sheffield,NIBALI Vincenzo,Nibali Vincenzo,2014,0,0,0,1
1.0,Stage 3 - Cambridge › London,KITTEL Marcel,Nibali Vincenzo,2014,0,0,0,1
1.0,Stage 4 - Le Touquet Paris-Plage › Lille,KITTEL Marcel,Nibali Vincenzo,2014,0,0,0,1
1.0,Stage 5 - Ypres › Arenberg Porte du Hainaut,BOOM Lars,Nibali Vincenzo,2014,0,0,0,1
1.0,Stage 6 - Arras › Reims,GREIPEL André,Nibali Vincenzo,2014,0,0,0,1
1.0,Stage 7 - Epernay › Nancy,TRENTIN Matteo,Nibali Vincenzo,2014,0,0,0,1
5.0,Stage 8 - Tomblaine › Gerardmer,KADRI Blel,Nibali Vincenzo,2014,0,0,1,0
4.0,Stage 9 - Gerardmer › Mulhouse,MARTIN Tony,Gallopin Tony,2014,0,0,1,0
5.0,Stage 10 - Mulhouse › La planche des Belles Filles,NIBALI Vincenzo,Nibali Vincenzo,2014,0,0,1,0
2.0,Stage 11 - Besancon › Oyonnax,GALLOPIN Tony,Nibali Vincenzo,2014,0,0,0,1
2.0,Stage 12 - Bourg-en-Bresse › Saint-Etienne,KRISTOFF Alexander,Nibali Vincenzo,2014,0,0,0,1
5.0,Stage 13 - Saint-Etienne › Chamrousse,NIBALI Vincenzo,Nibali Vincenzo,2014,0,0,1,0
5.0,Stage 14 - Grenoble › Risoul,MAJKA Rafał,Nibali Vincenzo,2014,0,0,1,0
1.0,Stage 15 - Tallard › Nîmes,KRISTOFF Alexander,Nibali Vincenzo,2014,0,0,0,1
4.0,Stage 16 - Carcassonne › Bagneres-de-Luchon,ROGERS Michael,Nibali Vincenzo,2014,0,0,1,0
5.0,Stage 17 - Saint-Gaudens › Saint-Lary-Soulan (Pla d'Adet),MAJKA Rafał,Nibali Vincenzo,2014,0,0,1,0
5.0,Stage 18 - Pau › Hautacam,NIBALI Vincenzo,Nibali Vincenzo,2014,0,0,1,0
1.0,Stage 19 - Maubourguet val d'Adour › Bergerac,NAVARDAUSKAS Ramunas,Nibali Vincenzo,2014,0,0,0,1
3.0,Stage 20 (ITT) - Bergerac › Perigueux,MARTIN Tony,Nibali Vincenzo,2014,1,0,0,0
1.0,Stage 21 - Evry › Paris,KITTEL Marcel,Nibali Vincenzo,2014,0,0,0,1
