Rnk,BIB,Rider,Age,Team,Pnt,year,stage
1,91,Scarponi Michele,31,Lampre - ISD,185,2011,20
2,111,Nibali Vincenzo,26,Liquigas - Cannondale,130,2011,20
3,23,Rujano Jos\xe9 Humberto,29,Androni Giocattoli - Serramenti PVC Diquigiovanni,120,2011,20
4,16,Gadret John,32,AG2R La Mondiale,107,2011,20
5,81,Rodr\xedguez Joaquim,32,Team Katusha,93,2011,20
6,141,Kreuziger Roman,25,Pro Team Astana,92,2011,20
7,1,Garzelli Stefano,37,Acqua & Sapone,91,2011,20
8,26,Ferrari Roberto,28,Androni Giocattoli - Serramenti PVC Diquigiovanni,85,2011,20
9,125,Lastras Pablo,35,Movistar Team,76,2011,20
10,131,Bakelants Jan,25,Omega Pharma-Lotto,76,2011,20
11,205,Le M\xe9vel Christophe,30,Team Garmin - Cerv\xe9lo,71,2011,20
12,15,Dupont Hubert,30,AG2R La Mondiale,70,2011,20
13,142,Tiralongo Paolo,33,Pro Team Astana,65,2011,20
14,153,Gatto Oscar,26,Farnese Vini-Neri-Sottoli,55,2011,20
15,51,Anton Igor,28,Euskaltel - Euskadi,52,2011,20
16,173,Kruijswijk Steven,23,Rabobank Cycling Team,49,2011,20
17,207,Millar David,34,Team Garmin - Cerv\xe9lo,49,2011,20
18,61,Menchov Denis,33,Geox-TMC Transformers,43,2011,20
19,79,Siutsou Kanstantsin,28,HTC - High Road,41,2011,20
20,59,Nieve Mikel,27,Euskaltel - Euskadi,38,2011,20
21,122,Kiryienka Vasil,29,Movistar Team,37,2011,20
22,150,Visconti Giovanni,28,Farnese Vini-Neri-Sottoli,36,2011,20
23,162,Cataldo Dario,26,Quickstep Cycling Team,36,2011,20
24,21,Serpa Jose Rodolfo,32,Androni Giocattoli - Serramenti PVC Diquigiovanni,35,2011,20
25,29,Vicioso \xc1ngel,34,Androni Giocattoli - Serramenti PVC Diquigiovanni,32,2011,20
26,19,Montaguti Matteo,27,AG2R La Mondiale,32,2011,20
27,121,Arroyo David,31,Movistar Team,30,2011,20
28,35,Kristoff Alexander,23,BMC Racing Team,29,2011,20
29,134,De Clercq Bart,24,Omega Pharma-Lotto,28,2011,20
30,94,Ulissi Diego,21,Lampre - ISD,28,2011,20
31,179,Weening Pieter,30,Rabobank Cycling Team,27,2011,20
32,113,Capecchi Eros,24,Liquigas - Cannondale,25,2011,20
33,85,Moreno Daniel,29,Team Katusha,25,2011,20
34,77,Rasmussen Alex,26,HTC - High Road,25,2011,20
35,9,Taborre Fabio,25,Acqua & Sapone,24,2011,20
36,176,Tankink Bram,32,Rabobank Cycling Team,24,2011,20
37,168,Seeldraeyers Kevin,24,Quickstep Cycling Team,22,2011,20
38,48,Brambilla Gianluca,23,Colnago - CSF Inox,22,2011,20
39,137,Lang Sebastian,31,Omega Pharma-Lotto,21,2011,20
40,87,Losada Alberto,29,Team Katusha,21,2011,20
41,212,Popovych Yaroslav,31,RadioShack,20,2011,20
42,228,Selvaggi Mirko,26,Vacansoleil - DCM,20,2011,20
43,139,Lodewyck Klaas,23,Omega Pharma-Lotto,18,2011,20
44,82,Di Luca Danilo,35,Team Katusha,17,2011,20
45,116,Sabatini Fabio,26,Liquigas - Cannondale,16,2011,20
46,4,Betancur Carlos,21,Acqua & Sapone,16,2011,20
47,186,Porte Richie,26,Saxo Bank - Sungard,15,2011,20
48,167,Pineau J\xe9rome,31,Quickstep Cycling Team,15,2011,20
49,206,Meyer Cameron,23,Team Garmin - Cerv\xe9lo,15,2011,20
50,75,Bak Lars Ytting,31,HTC - High Road,15,2011,20
51,184,Hern\xe1ndez Jes\xfas,29,Saxo Bank - Sungard,14,2011,20
52,128,Samoilau Branislau,26,Movistar Team,14,2011,20
53,73,Gretsch Patrick,24,HTC - High Road,14,2011,20
54,169,Vandewalle Kristof,26,Quickstep Cycling Team,14,2011,20
55,195,Downing Russell,32,Sky Procycling,14,2011,20
56,86,Vorganov Eduard,28,Team Katusha,13,2011,20
57,226,Lagutin Sergey,30,Vacansoleil - DCM,13,2011,20
58,177,van Emden Jos,26,Rabobank Cycling Team,12,2011,20
59,154,Rabottini Matteo,23,Farnese Vini-Neri-Sottoli,11,2011,20
60,188,Tosatto Matteo,37,Saxo Bank - Sungard,10,2011,20
61,214,Beppu Fumiyuki,28,RadioShack,10,2011,20
62,158,Ricci Davide,27,Farnese Vini-Neri-Sottoli,10,2011,20
63,11,Nocentini Rinaldo,33,AG2R La Mondiale,10,2011,20
64,37,Tschopp Johann,28,BMC Racing Team,9,2011,20
65,211,Machado Tiago,25,RadioShack,9,2011,20
66,144,Ki\u0161erlovski Robert,24,Pro Team Astana,9,2011,20
67,152,Giordani Leonardo,34,Farnese Vini-Neri-Sottoli,9,2011,20
68,6,Miholjevic Vladimir,37,Acqua & Sapone,8,2011,20
69,97,Spezialetti Alessandro,36,Lampre - ISD,8,2011,20
70,5,Marzoli Ruggero,35,Acqua & Sapone,7,2011,20
71,138,Veikkanen Jussi,30,Omega Pharma-Lotto,7,2011,20
72,55,Cazaux Pierre,26,Euskaltel - Euskadi,7,2011,20
73,115,Dall'Antonia Tiziano,27,Liquigas - Cannondale,7,2011,20
74,216,Deignan Philip,27,RadioShack,7,2011,20
75,33,Frank Mathias,24,BMC Racing Team,6,2011,20
76,155,Mazzanti Luca,37,Farnese Vini-Neri-Sottoli,6,2011,20
77,178,van Winden Dennis,23,Rabobank Cycling Team,6,2011,20
78,53,Minguez Miguel,22,Euskaltel - Euskadi,6,2011,20
79,191,L\xf6fkvist Thomas,27,Sky Procycling,6,2011,20
80,13,Ch\xe9rel Micka\xebl,25,AG2R La Mondiale,5,2011,20
81,17,Gastauer Ben,23,AG2R La Mondiale,5,2011,20
82,123,Konovalovas Ignatas,25,Movistar Team,5,2011,20
83,229,Veuchelen Frederik,32,Vacansoleil - DCM,5,2011,20
84,174,Clement Stef,28,Rabobank Cycling Team,4,2011,20
85,18,Krivtsov Yuriy,32,AG2R La Mondiale,4,2011,20
86,156,Favilli Elia,22,Farnese Vini-Neri-Sottoli,3,2011,20
87,96,Niemiec Przemyslaw,31,Lampre - ISD,3,2011,20
88,127,Pasamontes Luis,31,Movistar Team,3,2011,20
89,192,Barry Michael,35,Sky Procycling,3,2011,20
90,89,Kuchynski Aliaksandr,31,Team Katusha,3,2011,20
91,46,Canuti Federico,25,Colnago - CSF Inox,3,2011,20
92,114,Marangoni Alan,26,Liquigas - Cannondale,2,2011,20
93,189,M\xf8rk\xf8v Michael,26,Saxo Bank - Sungard,2,2011,20
94,22,Sella Emanuele,30,Androni Giocattoli - Serramenti PVC Diquigiovanni,2,2011,20
95,88,Horrach Joan,37,Team Katusha,2,2011,20
96,225,Hoogerland Johnny,28,Vacansoleil - DCM,2,2011,20
97,47,Stortoni Simone,25,Colnago - CSF Inox,1,2011,20
98,112,Agnoli Valerio,26,Liquigas - Cannondale,1,2011,20
99,165,Engels Addy,33,Quickstep Cycling Team,1,2011,20
100,166,Malacarne Davide,23,Quickstep Cycling Team,1,2011,20
101,208,Stetina Peter,23,Team Garmin - Cerv\xe9lo,1,2011,20
102,119,Vanotti Alessandro,30,Liquigas - Cannondale,1,2011,20
103,98,Righi Daniele,35,Lampre - ISD,1,2011,20
