Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,stage,year,▼▲
27.0,181.0,1*,+8:02,,,Armstrong Lance,1*,US Postal Service,8:02 8:02,+8:02,0,1999,
30.0,161.0,2,+8:09,,,Zülle Alex,2,Banesto,8:09 8:09,+8:09,0,1999,
29.0,51.0,3,+8:13,,,Olano Abraham,3,O.N.C.E. - Deutsche Bank,8:13 8:13,+8:13,0,1999,
28.0,148.0,4,+8:17,,,Moreau Christophe,4,Festina - Lotus,8:17 8:17,+8:17,0,1999,
30.0,133.0,5,+8:18,,,Boardman Chris,5,Credit agricole,8:18 8:18,+8:18,0,1999,
24.0,87.0,6,+8:20,,,Verbrugghe Rik,6,Lotto - Mobistar,8:20 8:20,+8:20,0,1999,
25.0,91.0,7,+8:23,,,Vinokourov Alexandre,7,Casino - AG2R,8:23 8:23,+8:23,0,1999,
25.0,55.0,8,+8:23,,,González Santos,8,O.N.C.E. - Deutsche Bank,",, 8:23",+8:23,0,1999,
31.0,142.0,9,+8:23,,,Brochard Laurent,9,Festina - Lotus,",, 8:23",+8:23,0,1999,
30.0,97.0,10,+8:25,,,Maignan Gilles,10,Casino - AG2R,8:25 8:25,+8:25,0,1999,
27.0,57.0,11,+8:25,,,Peron Andrea,11,O.N.C.E. - Deutsche Bank,",, 8:25",+8:25,0,1999,
30.0,74.0,12,+8:25,,,Dufaux Laurent,12,Saeco - Cannondale,",, 8:25",+8:25,0,1999,
28.0,29.0,13,+8:26,,,Wesemann Steffen,13,Team Telekom,8:26 8:26,+8:26,0,1999,
23.0,188.0,14,+8:27,,,Vande Velde Christian,14,US Postal Service,8:27 8:27,+8:27,0,1999,
26.0,185.0,15,+8:28,,,Hincapie George,15,US Postal Service,8:28 8:28,+8:28,0,1999,
25.0,136.0,16,+8:28,,,O'Grady Stuart,16,Credit agricole,",, 8:28",+8:28,0,1999,
26.0,121.0,17,+8:28,,,Casero Ángel Luis,17,Vitalicio Seguros - Grupo Generali,",, 8:28",+8:28,0,1999,
28.0,184.0,18,+8:29,,,Hamilton Tyler,18,US Postal Service,8:29 8:29,+8:29,0,1999,
26.0,189.0,19,+8:29,,,Vaughters Jonathan,19,US Postal Service,",, 8:29",+8:29,0,1999,
30.0,31.0,20,+8:30,,,Tonkov Pavel,20,Mapei - Quickstep,8:30 8:30,+8:30,0,1999,
30.0,131.0,21,+8:30,,,Simon François,21,Credit agricole,",, 8:30",+8:30,0,1999,
27.0,1.0,22,+8:30,,,Julich Bobby,22,Cofidis,",, 8:30",+8:30,0,1999,
29.0,126.0,23,+8:31,,,González de Galdeano Álvaro,23,Vitalicio Seguros - Grupo Generali,8:31 8:31,+8:31,0,1999,
28.0,169.0,24,+8:31,,,Solaun Cesar,24,Banesto,",, 8:31",+8:31,0,1999,
28.0,42.0,25,+8:31,,,Dekker Erik,25,Rabobank ProTeam,",, 8:31",+8:31,0,1999,
26.0,77.0,26,+8:33,,,Savoldelli Paolo,26,Saeco - Cannondale,8:33 8:33,+8:33,0,1999,
30.0,44.0,27,+8:34,,,Jonker Patrick,27,Rabobank ProTeam,8:34 8:34,+8:34,0,1999,
34.0,103.0,28,+8:34,,,Dierckxsens Ludo,28,Lampre - Daikin - Colnago,",, 8:34",+8:34,0,1999,
25.0,99.0,29,+8:34,,,Salmon Benoît,29,Casino - AG2R,",, 8:34",+8:34,0,1999,
24.0,132.0,30,+8:35,,,Bäckstedt Magnus,30,Credit agricole,8:35 8:35,+8:35,0,1999,
26.0,129.0,31,+8:35,,,Salmeron Gines,31,Vitalicio Seguros - Grupo Generali,",, 8:35",+8:35,0,1999,
26.0,98.0,32,+8:35,,,Oriol Christophe,32,Casino - AG2R,",, 8:35",+8:35,0,1999,
28.0,155.0,33,+8:37,,,Heulot Stephane,33,La Française des Jeux,8:37 8:37,+8:37,0,1999,
28.0,149.0,34,+8:37,,,Rous Didier,34,Festina - Lotus,",, 8:37",+8:37,0,1999,
24.0,81.0,35,+8:37,,,Aerts Mario,35,Lotto - Mobistar,",, 8:37",+8:37,0,1999,
30.0,48.0,36,+8:37,,,Wauters Marc,36,Rabobank ProTeam,",, 8:37",+8:37,0,1999,
23.0,146.0,37,+8:38,,,Lefèvre Laurent,37,Festina - Lotus,8:38 8:38,+8:38,0,1999,
25.0,138.0,38,+8:38,,,Vogels Henk,38,Credit agricole,",, 8:38",+8:38,0,1999,
32.0,84.0,39,+8:38,,,Durand Jacky,39,Lotto - Mobistar,",, 8:38",+8:38,0,1999,
