BIB,GC,GC-Time,Prev,Rnk,Team,Time,\u25bc\u25b2,stage,year
,,+ -3:49:40,,1,Astana Pro Team,11:29:30 11:29:30,,1,2015
,,+ -3:49:40,,2,FDJ,",, ,,",,1,2015
,,+ -3:49:40,,3,Etixx - Quick Step,",, ,,",,1,2015
,,+ -3:49:40,,4,Team Katusha,",, ,,",,1,2015
,,+ -3:49:40,,5,Trek Factory Racing,",, ,,",,1,2015
,,+ -3:49:40,,6,Tinkoff - Saxo,",, ,,",,1,2015
,,+ -3:49:40,,7,BMC Racing Team,",, ,,",,1,2015
,,+ -3:49:40,,8,IAM Cycling,",, ,,",,1,2015
,,+ -3:49:40,,9,Bora - Argon 18,",, ,,",,1,2015
,,+ -3:49:40,,10,"Cofidis, Solutions Cr\xe9dits",0:13 0:13,,1,2015
,,+ -3:49:40,,11,MTN - Qhubeka,0:25 0:25,,1,2015
,,+ -3:49:40,,12,Orica GreenEDGE,",, 0:25",,1,2015
,,+ -3:49:40,,13,Movistar Team,0:33 0:33,,1,2015
,,+ -3:49:40,,14,Topsport Vlaanderen - Baloise,",, 0:33",,1,2015
,,+ -3:49:40,,15,Team Sky,",, 0:33",,1,2015
,,+ -3:49:40,,16,Team Giant - Alpecin,1:06 1:06,,1,2015
,,+ -3:49:40,,17,Lampre - Merida,",, 1:06",,1,2015
,,+ -3:49:40,,18,Bardiani - CSF Pro Team,6:14 6:14,,1,2015
,,+ -7:39:31,3.0,1,Etixx - Quick Step,22:59:09 22:59:09,\u25b22,2,2015
,,+ -7:39:31,7.0,2,BMC Racing Team,0:09 0:09,\u25b25,2,2015
,,+ -7:39:31,1.0,3,Astana Pro Team,0:15 0:15,\u25bc2,2,2015
,,+ -7:39:31,4.0,4,Team Katusha,0:24 0:24,-,2,2015
,,+ -7:39:31,12.0,5,Orica GreenEDGE,",, 0:24",\u25b27,2,2015
,,+ -7:39:31,15.0,6,Team Sky,0:42 0:42,\u25b29,2,2015
,,+ -7:39:31,16.0,7,Team Giant - Alpecin,2:00 2:00,\u25b29,2,2015
,,+ -7:39:31,6.0,8,Tinkoff - Saxo,3:02 3:02,\u25bc2,2,2015
,,+ -7:39:31,8.0,9,IAM Cycling,3:17 3:17,\u25bc1,2,2015
,,+ -7:39:31,2.0,10,FDJ,3:32 3:32,\u25bc8,2,2015
,,+ -7:39:31,9.0,11,Bora - Argon 18,",, 3:32",\u25bc2,2,2015
,,+ -7:39:31,14.0,12,Topsport Vlaanderen - Baloise,4:05 4:05,\u25b22,2,2015
,,+ -7:39:31,10.0,13,"Cofidis, Solutions Cr\xe9dits",9:31 9:31,\u25bc3,2,2015
,,+ -7:39:31,5.0,14,Trek Factory Racing,9:57 9:57,\u25bc9,2,2015
,,+ -7:39:31,13.0,15,Movistar Team,13:38 13:38,\u25bc2,2,2015
,,+ -7:39:31,17.0,16,Lampre - Merida,20:21 20:21,\u25b21,2,2015
,,+ -7:39:31,11.0,17,MTN - Qhubeka,25:50 25:50,\u25bc6,2,2015
,,+ -7:39:31,18.0,18,Bardiani - CSF Pro Team,48:32 48:32,-,2,2015
,,+ -7:53:42,1.0,1,Etixx - Quick Step,23:42:26 23:42:26,-,3,2015
,,+ -7:53:42,6.0,2,Team Sky,0:24 0:24,\u25b24,3,2015
,,+ -7:53:42,3.0,3,Astana Pro Team,0:40 0:40,-,3,2015
,,+ -7:53:42,2.0,4,BMC Racing Team,0:55 0:55,\u25bc2,3,2015
,,+ -7:53:42,4.0,5,Team Katusha,1:41 1:41,\u25bc1,3,2015
,,+ -7:53:42,5.0,6,Orica GreenEDGE,2:04 2:04,\u25bc1,3,2015
,,+ -7:53:42,8.0,7,Tinkoff - Saxo,3:12 3:12,\u25b21,3,2015
,,+ -7:53:42,9.0,8,IAM Cycling,3:21 3:21,\u25b21,3,2015
,,+ -7:53:42,7.0,9,Team Giant - Alpecin,3:38 3:38,\u25bc2,3,2015
