Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,stage,year,▼▲
28,33,,,15.0,,Cancellara Fabian,1,Saxo Bank,,1,2009,
26,21,,,12.0,,Contador Alberto,2,Astana,,1,2009,
29,58,,,10.0,,Wiggins Bradley,3,Team Garmin - Slipstream,,1,2009,
34,23,,,8.0,,Klöden Andreas,4,Astana,,1,2009,
32,11,,,6.0,,Evans Cadel,5,Silence - Lotto,,1,2009,
35,24,,,5.0,,Leipheimer Levi,6,Astana,,1,2009,
23,93,,,4.0,,Kreuziger Roman,7,Liquigas,,1,2009,
24,76,,,3.0,,Martin Tony,8,Team Columbia - HTC,,1,2009,
24,95,,,2.0,,Nibali Vincenzo,9,Liquigas,,1,2009,
37,22,,,1.0,,Armstrong Lance,10,Astana,,1,2009,
24,71,,,35.0,,Cavendish Mark,1,Team Columbia - HTC,,2,2009,-
25,53,,,30.0,,Farrar Tyler,2,Team Garmin - Slipstream,,2,2009,-
25,175,,,26.0,,Feillu Romain,3,Agritubel,,2,2009,-
31,6,,,24.0,,Hushovd Thor,4,Cervelo Test Team,,2,2009,-
24,142,,,22.0,,Arashiro Yukiya,5,Bbox Bouygues Telekom,,2,2009,-
22,182,,,20.0,,Ciolek Gerald,6,Milram,,2,2009,-
27,143,,,19.0,,Bonnet William,7,Bbox Bouygues Telekom,,2,2009,-
25,89,,,18.0,,Roche Nicolas,8,AG2R La Mondiale,,2,2009,-
26,193,,,17.0,,de Kort Koen,9,Skil - Shimano,,2,2009,-
27,86,,,16.0,,Mondory Lloyd,10,AG2R La Mondiale,,2,2009,-
28,33,,,15.0,1.0,Cancellara Fabian,11,Saxo Bank,,2,2009,▼10
24,168,,,15.0,,Trusov Nikolay,12,Team Katusha,,2,2009,-
26,42,,,14.0,,Clement Stef,13,Rabobank ProTeam,,2,2009,-
31,134,,,14.0,,Furlan Angelo,14,Lampre - NGC,,2,2009,-
24,76,,,13.0,8.0,Martin Tony,15,Team Columbia - HTC,,2,2009,▼7
26,145,,,13.0,,Haddou Saïd,16,Bbox Bouygues Telekom,,2,2009,-
34,122,,,12.0,,Augé Stéphane,17,"Cofidis, le Crédit en Ligne",,2,2009,-
26,21,,,12.0,2.0,Contador Alberto,18,Astana,,2,2009,▼16
26,78,,,12.0,,Renshaw Mark,19,Team Columbia - HTC,,2,2009,-
25,5,,,11.0,,Haussler Heinrich,20,Cervelo Test Team,,2,2009,-
29,58,,,10.0,3.0,Wiggins Bradley,21,Team Garmin - Slipstream,,2,2009,▼18
34,23,,,10.0,4.0,Klöden Andreas,22,Astana,,2,2009,▼18
34,83,,,10.0,,Dessel Cyril,23,AG2R La Mondiale,,2,2009,-
26,147,,,9.0,,Pichot Alexandre,24,Bbox Bouygues Telekom,,2,2009,-
24,117,,,8.0,,Rojas José Joaquín,25,Caisse d'Epargne,,2,2009,-
36,74,,,7.0,,Hincapie George,26,Team Columbia - HTC,,2,2009,-
32,11,,,6.0,5.0,Evans Cadel,27,Silence - Lotto,,2,2009,▼22
26,199,,,6.0,,van Hummel Kenny,28,Skil - Shimano,,2,2009,-
35,24,,,5.0,6.0,Leipheimer Levi,29,Astana,,2,2009,▼23
26,66,,,5.0,,Pérez Alan,30,Euskaltel - Euskadi,,2,2009,-
23,93,,,4.0,7.0,Kreuziger Roman,31,Liquigas,,2,2009,▼24
30,151,,,4.0,,Chavanel Sylvain,32,Quickstep - Innergetic,,2,2009,-
35,154,,,3.0,,de Jongh Steven,33,Quickstep - Innergetic,,2,2009,-
24,95,,,2.0,9.0,Nibali Vincenzo,34,Liquigas,,2,2009,▼25
34,165,,,1.0,,Ivanov Serguei,35,Team Katusha,,2,2009,-
24,71,,,70.0,1.0,Cavendish Mark,1,Team Columbia - HTC,,3,2009,-
31,6,,,54.0,4.0,Hushovd Thor,2,Cervelo Test Team,,3,2009,▲2
28,123,,,36.0,,Dumoulin Samuel,3,"Cofidis, le Crédit en Ligne",,3,2009,-
