stage_type,Stage,Winner,Leader after stage,year,IndivTimeTrial,TeamTimeTrial,MountainStage,SprintStage
2.0,Stage 1 - Mont-Saint-Michel › Utah Beach Sainte-Marie-du-Mont,CAVENDISH Mark,Cavendish Mark,2016,0,0,0,1
3.0,Stage 2 - Saint-Lô › Cherbourg,SAGAN Peter,Sagan Peter,2016,0,0,0,1
2.0,Stage 3 - Granville › Angers,CAVENDISH Mark,Sagan Peter,2016,0,0,0,1
2.0,Stage 4 - Saumur › Limoges,KITTEL Marcel,Sagan Peter,2016,0,0,0,1
4.0,Stage 5 - Limoges › Le Lioran,VAN AVERMAET Greg,Van Avermaet Greg,2016,0,0,1,0
2.0,Stage 6 - Arpajon-sur-Cère › Montauban,CAVENDISH Mark,Van Avermaet Greg,2016,0,0,0,1
4.0,Stage 7 - l'Isle-Jourdain › Lac de Payolle,CUMMINGS Stephen,Van Avermaet Greg,2016,0,0,1,0
4.0,Stage 8 - Pau › Bagnères-de-Luchon,FROOME Christopher,Froome Christopher,2016,0,0,1,0
5.0,Stage 9 - Vielha val dAran › Andorra Arcalis,DUMOULIN Tom,Froome Christopher,2016,0,0,1,0
4.0,Stage 10 - Escaldes-Engordany › Revel,MATTHEWS Michael,Froome Christopher,2016,0,0,1,0
2.0,Stage 11 - Carcassonne › Montpellier,SAGAN Peter,Froome Christopher,2016,0,0,0,1
5.0,Stage 12 - Montpellier › Chalet-Reynard (Mont Ventoux),DE GENDT Thomas,Froome Christopher,2016,0,0,1,0
3.0,Stage 13 (ITT) - Bourg-Saint-Andeol › Le Caverne de Pont d'Arc,DUMOULIN Tom,Froome Christopher,2016,1,0,0,0
2.0,Stage 14 - Montélimar › Villars-les-Dombes Parc des Oiseaux,CAVENDISH Mark,Froome Christopher,2016,0,0,0,1
4.0,Stage 15 - Bourg-en-Bresse › Culoz,PANTANO Jarlinson,Froome Christopher,2016,0,0,1,0
2.0,Stage 16 - Moirans-en-Montagne › Berne,SAGAN Peter,Froome Christopher,2016,0,0,0,1
5.0,Stage 17 - Berne › Finhaut-Emosson,ZAKARIN Ilnur,Froome Christopher,2016,0,0,1,0
5.0,Stage 18 (ITT) - Sallanches › Megève,FROOME Christopher,Froome Christopher,2016,1,0,1,0
5.0,Stage 19 - Albertville › Saint-Gervais Mont Blanc,BARDET Romain,Froome Christopher,2016,0,0,1,0
4.0,Stage 20 - Megève › Morzine,IZAGIRRE Ion,Froome Christopher,2016,0,0,1,0
1.0,Stage 21 - Chantilly › Paris,GREIPEL André,Froome Christopher,2016,0,0,0,1
