Rnk,BIB,Team,GC,GC-Time,Time,year,stage
1,,Pro Team Astana,,+ - 84:11:24,252:44:52 252:44:52,2011,20
2,,Movistar Team,,+ - 84:11:24,10:00 10:00,2011,20
3,,AG2R La Mondiale,,+ - 84:11:24,11:23 11:23,2011,20
4,,Team Katusha,,+ - 84:11:24,24:46 24:46,2011,20
5,,Geox-TMC Transformers,,+ - 84:11:24,38:41 38:41,2011,20
6,,Saxo Bank - Sungard,,+ - 84:11:24,45:23 45:23,2011,20
7,,Omega Pharma-Lotto,,+ - 84:11:24,1:07:35 1:07:35,2011,20
8,,Acqua & Sapone,,+ - 84:11:24,1:07:57 1:07:57,2011,20
9,,Euskaltel - Euskadi,,+ - 84:11:24,1:20:35 1:20:35,2011,20
10,,Lampre - ISD,,+ - 84:11:24,1:24:01 1:24:01,2011,20
11,,Androni Giocattoli - Serramenti PVC Diquigiovanni,,+ - 84:11:24,1:25:33 1:25:33,2011,20
12,,Rabobank Cycling Team,,+ - 84:11:24,1:33:59 1:33:59,2011,20
13,,Team Garmin - Cerv\xe9lo,,+ - 84:11:24,1:35:19 1:35:19,2011,20
14,,Liquigas - Cannondale,,+ - 84:11:24,1:43:36 1:43:36,2011,20
15,,RadioShack,,+ - 84:11:24,1:48:22 1:48:22,2011,20
16,,Quickstep Cycling Team,,+ - 84:11:24,2:38:01 2:38:01,2011,20
17,,HTC - High Road,,+ - 84:11:24,2:43:58 2:43:58,2011,20
18,,Vacansoleil - DCM,,+ - 84:11:24,2:53:52 2:53:52,2011,20
19,,Sky Procycling,,+ - 84:11:24,2:56:46 2:56:46,2011,20
20,,Colnago - CSF Inox,,+ - 84:11:24,3:55:43 3:55:43,2011,20
21,,Farnese Vini-Neri-Sottoli,,+ - 84:11:24,4:37:58 4:37:58,2011,20
22,,BMC Racing Team,,+ - 84:11:24,5:21:32 5:21:32,2011,20
