BIB,GC,GC-Time,Prev,Rnk,Team,Time,\u25bc\u25b2,stage,year
,,+ - 12:50:55,13.0,10,Team EF Education First-Drapac p/b Cannondale,21:45 21:45,\u25b23,4,2018
,,+ - 12:50:55,12.0,11,Mitchelton-Scott,21:51 21:51,\u25b21,4,2018
,,+ - 12:50:55,10.0,12,UnitedHealthcare Pro Cycling Team,22:26 22:26,\u25bc2,4,2018
,,+ - 12:50:55,11.0,13,Rally Cycling,22:28 22:28,\u25bc2,4,2018
,,+ - 12:50:55,14.0,14,BORA - hansgrohe,26:17 26:17,-,4,2018
,,+ - 12:50:55,15.0,15,Team Dimension Data,33:55 33:55,-,4,2018
,,+ - 12:50:55,16.0,16,Holowesko - Citadel p/b Arapahoe Resources,34:25 34:25,-,4,2018
,,+ - 12:50:55,17.0,17,Team Sunweb,45:32 45:32,-,4,2018
,,+ - 16:55:29,1.0,1,BMC Racing Team,50:52:30 50:52:30,-,5,2018
,,+ - 16:55:29,2.0,2,Team Sky,2:00 2:00,-,5,2018
,,+ - 16:55:29,3.0,3,Trek - Segafredo,5:14 5:14,-,5,2018
,,+ - 16:55:29,4.0,4,Hagens Berman Axeon,7:34 7:34,-,5,2018
,,+ - 16:55:29,5.0,5,UAE-Team Emirates,8:13 8:13,-,5,2018
,,+ - 16:55:29,6.0,6,Team LottoNL-Jumbo,11:25 11:25,-,5,2018
,,+ - 16:55:29,7.0,7,AG2R La Mondiale,13:21 13:21,-,5,2018
,,+ - 16:55:29,8.0,8,Quick-Step Floors,13:39 13:39,-,5,2018
,,+ - 16:55:29,9.0,9,Team Katusha - Alpecin,14:42 14:42,-,5,2018
,,+ - 16:55:29,10.0,10,Team EF Education First-Drapac p/b Cannondale,21:45 21:45,-,5,2018
,,+ - 16:55:29,11.0,11,Mitchelton-Scott,21:51 21:51,-,5,2018
,,+ - 16:55:29,12.0,12,UnitedHealthcare Pro Cycling Team,22:26 22:26,-,5,2018
,,+ - 16:55:29,13.0,13,Rally Cycling,22:28 22:28,-,5,2018
,,+ - 16:55:29,14.0,14,BORA - hansgrohe,26:17 26:17,-,5,2018
,,+ - 16:55:29,16.0,15,Holowesko - Citadel p/b Arapahoe Resources,34:25 34:25,\u25b21,5,2018
,,+ - 16:55:29,15.0,16,Team Dimension Data,36:46 36:46,\u25bc1,5,2018
,,+ - 16:55:29,17.0,17,Team Sunweb,1:01:10 1:01:10,-,5,2018
,,+ - 22:26:40,2.0,1,Team Sky,67:32:44 67:32:44,\u25b21,6,2018
,,+ - 22:26:40,3.0,2,Trek - Segafredo,8:18 8:18,\u25b21,6,2018
,,+ - 22:26:40,1.0,3,BMC Racing Team,9:26 9:26,\u25bc2,6,2018
,,+ - 22:26:40,5.0,4,UAE-Team Emirates,10:35 10:35,\u25b21,6,2018
,,+ - 22:26:40,6.0,5,Team LottoNL-Jumbo,16:59 16:59,\u25b21,6,2018
,,+ - 22:26:40,7.0,6,AG2R La Mondiale,19:24 19:24,\u25b21,6,2018
,,+ - 22:26:40,9.0,7,Team Katusha - Alpecin,26:13 26:13,\u25b22,6,2018
,,+ - 22:26:40,4.0,8,Hagens Berman Axeon,27:27 27:27,\u25bc4,6,2018
,,+ - 22:26:40,10.0,9,Team EF Education First-Drapac p/b Cannondale,34:44 34:44,\u25b21,6,2018
,,+ - 22:26:40,8.0,10,Quick-Step Floors,34:47 34:47,\u25bc2,6,2018
,,+ - 22:26:40,13.0,11,Rally Cycling,37:06 37:06,\u25b22,6,2018
,,+ - 22:26:40,11.0,12,Mitchelton-Scott,38:58 38:58,\u25bc1,6,2018
,,+ - 22:26:40,14.0,13,BORA - hansgrohe,45:16 45:16,\u25b21,6,2018
,,+ - 22:26:40,12.0,14,UnitedHealthcare Pro Cycling Team,51:05 51:05,\u25bc2,6,2018
,,+ - 22:26:40,16.0,15,Team Dimension Data,1:08:07 1:08:07,\u25b21,6,2018
,,+ - 22:26:40,15.0,16,Holowesko - Citadel p/b Arapahoe Resources,1:15:00 1:15:00,\u25bc1,6,2018
,,+ - 22:26:40,17.0,17,Team Sunweb,1:22:43 1:22:43,-,6,2018
,,+ - 25:34:19,1.0,1,Team Sky,76:55:41 76:55:41,-,7,2018
,,+ - 25:34:19,2.0,2,Trek - Segafredo,8:18 8:18,-,7,2018
,,+ - 25:34:19,3.0,3,BMC Racing Team,9:26 9:26,-,7,2018
,,+ - 25:34:19,4.0,4,UAE-Team Emirates,10:35 10:35,-,7,2018
,,+ - 25:34:19,5.0,5,Team LottoNL-Jumbo,16:59 16:59,-,7,2018
,,+ - 25:34:19,6.0,6,AG2R La Mondiale,19:24 19:24,-,7,2018
,,+ - 25:34:19,7.0,7,Team Katusha - Alpecin,26:29 26:29,-,7,2018
,,+ - 25:34:19,8.0,8,Hagens Berman Axeon,27:27 27:27,-,7,2018
,,+ - 25:34:19,9.0,9,Team EF Education First-Drapac p/b Cannondale,34:44 34:44,-,7,2018
,,+ - 25:34:19,10.0,10,Quick-Step Floors,34:47 34:47,-,7,2018
,,+ - 25:34:19,11.0,11,Rally Cycling,37:06 37:06,-,7,2018
,,+ - 25:34:19,12.0,12,Mitchelton-Scott,38:58 38:58,-,7,2018
,,+ - 25:34:19,13.0,13,BORA - hansgrohe,45:16 45:16,-,7,2018
,,+ - 25:34:19,14.0,14,UnitedHealthcare Pro Cycling Team,51:05 51:05,-,7,2018
,,+ - 25:34:19,15.0,15,Team Dimension Data,1:08:23 1:08:23,-,7,2018
,,+ - 25:34:19,16.0,16,Holowesko - Citadel p/b Arapahoe Resources,1:15:32 1:15:32,-,7,2018
,,+ - 25:34:19,17.0,17,Team Sunweb,1:23:50 1:23:50,-,7,2018
