BIB,GC,GC-Time,Prev,Rnk,Team,Time,\u25bc\u25b2,stage,year
,,+ - 14:09:19,6.0,3,BMC Racing Team,4:15 4:15,\u25b23,4,2014
,,+ - 14:09:19,5.0,4,Garmin Sharp,5:17 5:17,\u25b21,4,2014
,,+ - 14:09:19,3.0,5,"Cofidis, Solutions Cr\xe9dits",5:33 5:33,\u25bc2,4,2014
,,+ - 14:09:19,7.0,6,IAM Cycling,5:35 5:35,\u25b21,4,2014
,,+ - 14:09:19,4.0,7,Tinkoff - Saxo,6:17 6:17,\u25bc3,4,2014
,,+ - 14:09:19,8.0,8,Movistar Team,6:57 6:57,-,4,2014
,,+ - 14:09:19,10.0,9,AG2R La Mondiale,7:24 7:24,\u25b21,4,2014
,,+ - 14:09:19,12.0,10,Team Katusha,7:51 7:51,\u25b22,4,2014
,,+ - 14:09:19,11.0,11,Team Sky,9:50 9:50,-,4,2014
,,+ - 14:09:19,14.0,12,Omega Pharma - Quick-Step,10:18 10:18,\u25b22,4,2014
,,+ - 14:09:19,16.0,13,Cannondale,10:51 10:51,\u25b23,4,2014
,,+ - 14:09:19,15.0,14,Orica GreenEDGE,11:41 11:41,\u25b21,4,2014
,,+ - 14:09:19,9.0,15,Lampre - Merida,14:23 14:23,\u25bc6,4,2014
,,+ - 14:09:19,13.0,16,Team Europcar,15:39 15:39,\u25bc3,4,2014
,,+ - 14:09:19,17.0,17,Team NetApp \u2013 Endura,18:42 18:42,-,4,2014
,,+ - 14:09:19,18.0,18,Belkin-Pro Cycling Team,19:08 19:08,-,4,2014
,,+ - 14:09:19,19.0,19,Trek Factory Racing,24:38 24:38,-,4,2014
,,+ - 14:09:19,21.0,20,FDJ.fr,34:48 34:48,\u25b21,4,2014
,,+ - 14:09:19,20.0,21,Team Giant - Shimano,35:39 35:39,\u25bc1,4,2014
,,+ - 19:01:00,1.0,1,Astana Pro Team,57:06:00 57:06:00,-,5,2014
,,+ - 19:01:00,3.0,2,BMC Racing Team,4:27 4:27,\u25b21,5,2014
,,+ - 19:01:00,2.0,3,Lotto Belisol,4:35 4:35,\u25bc1,5,2014
,,+ - 19:01:00,10.0,4,Team Katusha,7:34 7:34,\u25b26,5,2014
,,+ - 19:01:00,11.0,5,Team Sky,10:14 10:14,\u25b26,5,2014
,,+ - 19:01:00,6.0,6,IAM Cycling,11:00 11:00,-,5,2014
,,+ - 19:01:00,9.0,7,AG2R La Mondiale,11:32 11:32,\u25b22,5,2014
,,+ - 19:01:00,5.0,8,"Cofidis, Solutions Cr\xe9dits",13:49 13:49,\u25bc3,5,2014
,,+ - 19:01:00,14.0,9,Orica GreenEDGE,15:46 15:46,\u25b25,5,2014
,,+ - 19:01:00,13.0,10,Cannondale,16:04 16:04,\u25b23,5,2014
,,+ - 19:01:00,12.0,11,Omega Pharma - Quick-Step,18:46 18:46,\u25b21,5,2014
,,+ - 19:01:00,4.0,12,Garmin Sharp,19:53 19:53,\u25bc8,5,2014
,,+ - 19:01:00,7.0,13,Tinkoff - Saxo,20:53 20:53,\u25bc6,5,2014
,,+ - 19:01:00,8.0,14,Movistar Team,21:33 21:33,\u25bc6,5,2014
,,+ - 19:01:00,17.0,15,Team NetApp \u2013 Endura,29:10 29:10,\u25b22,5,2014
,,+ - 19:01:00,18.0,16,Belkin-Pro Cycling Team,33:41 33:41,\u25b22,5,2014
,,+ - 19:01:00,16.0,17,Team Europcar,34:23 34:23,\u25bc1,5,2014
,,+ - 19:01:00,15.0,18,Lampre - Merida,35:19 35:19,\u25bc3,5,2014
,,+ - 19:01:00,19.0,19,Trek Factory Racing,39:14 39:14,-,5,2014
,,+ - 19:01:00,20.0,20,FDJ.fr,43:04 43:04,-,5,2014
,,+ - 19:01:00,21.0,21,Team Giant - Shimano,1:02:52 1:02:52,-,5,2014
,,+ - 23:12:15,1.0,1,Astana Pro Team,69:35:50 69:35:50,-,6,2014
,,+ - 23:12:15,3.0,2,Lotto Belisol,4:59 4:59,\u25b21,6,2014
,,+ - 23:12:15,2.0,3,BMC Racing Team,8:22 8:22,\u25bc1,6,2014
,,+ - 23:12:15,7.0,4,AG2R La Mondiale,11:56 11:56,\u25b23,6,2014
,,+ - 23:12:15,4.0,5,Team Katusha,12:29 12:29,\u25bc1,6,2014
,,+ - 23:12:15,6.0,6,IAM Cycling,12:51 12:51,-,6,2014
,,+ - 23:12:15,5.0,7,Team Sky,14:09 14:09,\u25bc2,6,2014
,,+ - 23:12:15,8.0,8,"Cofidis, Solutions Cr\xe9dits",14:13 14:13,-,6,2014
,,+ - 23:12:15,9.0,9,Orica GreenEDGE,17:10 17:10,-,6,2014
,,+ - 23:12:15,11.0,10,Omega Pharma - Quick-Step,17:11 17:11,\u25b21,6,2014
,,+ - 23:12:15,10.0,11,Cannondale,19:27 19:27,\u25bc1,6,2014
,,+ - 23:12:15,13.0,12,Tinkoff - Saxo,21:17 21:17,\u25b21,6,2014
,,+ - 23:12:15,14.0,13,Movistar Team,22:57 22:57,\u25b21,6,2014
,,+ - 23:12:15,12.0,14,Garmin Sharp,25:44 25:44,\u25bc2,6,2014
,,+ - 23:12:15,15.0,15,Team NetApp \u2013 Endura,29:34 29:34,-,6,2014
,,+ - 23:12:15,16.0,16,Belkin-Pro Cycling Team,34:05 34:05,-,6,2014
,,+ - 23:12:15,18.0,17,Lampre - Merida,36:53 36:53,\u25b21,6,2014
,,+ - 23:12:15,19.0,18,Trek Factory Racing,40:38 40:38,\u25b21,6,2014
,,+ - 23:12:15,17.0,19,Team Europcar,41:47 41:47,\u25bc2,6,2014
,,+ - 23:12:15,20.0,20,FDJ.fr,48:46 48:46,-,6,2014
,,+ - 23:12:15,21.0,21,Team Giant - Shimano,1:06:14 1:06:14,-,6,2014
,,+ - 27:46:51,1.0,1,Astana Pro Team,83:19:47 83:19:47,-,7,2014
,,+ - 27:46:51,5.0,2,Team Katusha,11:03 11:03,\u25b23,7,2014
,,+ - 27:46:51,2.0,3,Lotto Belisol,13:12 13:12,\u25bc1,7,2014
,,+ - 27:46:51,7.0,4,Team Sky,16:38 16:38,\u25b23,7,2014
,,+ - 27:46:51,3.0,5,BMC Racing Team,18:19 18:19,\u25bc2,7,2014
,,+ - 27:46:51,4.0,6,AG2R La Mondiale,19:31 19:31,\u25bc2,7,2014
,,+ - 27:46:51,8.0,7,"Cofidis, Solutions Cr\xe9dits",27:46 27:46,\u25b21,7,2014
,,+ - 27:46:51,6.0,8,IAM Cycling,30:05 30:05,\u25bc2,7,2014
,,+ - 27:46:51,10.0,9,Omega Pharma - Quick-Step,34:58 34:58,\u25b21,7,2014
,,+ - 27:46:51,13.0,10,Movistar Team,38:21 38:21,\u25b23,7,2014
,,+ - 27:46:51,14.0,11,Garmin Sharp,45:24 45:24,\u25b23,7,2014
,,+ - 27:46:51,12.0,12,Tinkoff - Saxo,51:34 51:34,-,7,2014
,,+ - 27:46:51,17.0,13,Lampre - Merida,54:12 54:12,\u25b24,7,2014
,,+ - 27:46:51,15.0,14,Team NetApp \u2013 Endura,55:47 55:47,\u25b21,7,2014
,,+ - 27:46:51,16.0,15,Belkin-Pro Cycling Team,58:01 58:01,\u25b21,7,2014
,,+ - 27:46:51,9.0,16,Orica GreenEDGE,1:05:43 1:05:43,\u25bc7,7,2014
,,+ - 27:46:51,19.0,17,Team Europcar,1:06:01 1:06:01,\u25b22,7,2014
,,+ - 27:46:51,11.0,18,Cannondale,1:14:07 1:14:07,\u25bc7,7,2014
,,+ - 27:46:51,18.0,19,Trek Factory Racing,1:25:43 1:25:43,\u25bc1,7,2014
,,+ - 27:46:51,20.0,20,FDJ.fr,1:32:50 1:32:50,-,7,2014
,,+ - 27:46:51,21.0,21,Team Giant - Shimano,2:13:58 2:13:58,-,7,2014
,,+ - 31:08:08,1.0,1,Astana Pro Team,93:29:36 93:29:36,-,8,2014
,,+ - 31:08:08,4.0,2,Team Sky,18:26 18:26,\u25b22,8,2014
,,+ - 31:08:08,6.0,3,AG2R La Mondiale,32:50 32:50,\u25b23,8,2014
,,+ - 31:08:08,2.0,4,Team Katusha,36:59 36:59,\u25bc2,8,2014
,,+ - 31:08:08,7.0,5,"Cofidis, Solutions Cr\xe9dits",38:05 38:05,\u25b22,8,2014
,,+ - 31:08:08,5.0,6,BMC Racing Team,40:01 40:01,\u25bc1,8,2014
,,+ - 31:08:08,3.0,7,Lotto Belisol,44:15 44:15,\u25bc4,8,2014
