stage_type,Stage,Winner,Leader after stage,year,IndivTimeTrial,TeamTimeTrial,MountainStage,SprintStage
1.0,Prologue - Dunkirk › Dunkirk,MOREAU Christophe,Moreau Christophe,2001,1,0,0,0
1.0,Stage 1 - Saint-Omer › Boulogne-sur-Mer,ZABEL Erik,Moreau Christophe,2001,0,0,0,1
1.0,Stage 2 - Calais › Antwerpen,WAUTERS Marc,Wauters Marc,2001,0,0,0,1
2.0,Stage 3 - Antwerpen › Seraing,ZABEL Erik,O'Grady Stuart,2001,0,0,0,1
1.0,Stage 4 - Huy › Verdun,JALABERT Laurent,O'Grady Stuart,2001,0,0,0,1
1.0,Team Time Trial - Verdun › Bar-le-Duc,,O'Grady Stuart,2001,0,1,0,0
2.0,Stage 6 - Commercy › Strasbourg,KIRSIPUU Jaan,O'Grady Stuart,2001,0,0,0,1
2.0,Stage 7 - Strasbourg › Colmar,JALABERT Laurent,Voigt Jens,2001,0,0,0,1
1.0,Stage 8 - Colmar › Pontarlier,DEKKER Erik,O'Grady Stuart,2001,0,0,0,1
1.0,Stage 9 - Pontarlier › Aix-Les-Bains,IVANOV Serguei,O'Grady Stuart,2001,0,0,0,1
5.0,Stage 10 - Aix-Les-Bains › L'Alpe d'Huez,,Simon François,2001,0,0,1,0
5.0,Stage 11 (ITT) - Grenoble › Chamrousse,,Simon François,2001,1,0,1,0
5.0,Stage 12 - Perpignan › Ax-les-Thermes,RAFAEL CARDENAS Félix,Simon François,2001,0,0,1,0
5.0,Stage 13 - Foix › Saint-Lary-Soulan,,,2001,0,0,1,0
5.0,Stage 14 - Tarbes › Luz Ardiden,LAISEKA JAIO Roberto,Laiseka jaio Roberto,2001,0,0,1,0
1.0,Stage 15 - Pau › Lavaur,VERBRUGGHE Rik,Verbrugghe Rik,2001,0,0,0,1
1.0,Stage 16 - Castelsarrasin › Sarran,VOIGT Jens,Voigt Jens,2001,0,0,0,1
1.0,Stage 17 - Brive-la-Gaillarde › Montlucon,BAGUET Serge,Baguet Serge,2001,0,0,0,1
1.0,Stage 18 (ITT) - Montlucon › Saint-Amand-Montrond,,,2001,1,0,0,0
1.0,Stage 19 - Orleans › Evry,ZABEL Erik,Zabel Erik,2001,0,0,0,1
1.0,Stage 20 - Corbeil-Essones › Paris,SVORADA Jan,Svorada Jan,2001,0,0,0,1
