BIB,GC,GC-Time,Prev,Rnk,Team,Time,stage,year,▼▲
,,+ -4:36:07,,1,Caisse d'Epargne,13:48:26 13:48:26,1,2008,
,,+ -4:36:07,,2,CSC ProTeam,0:07 0:07,1,2008,
,,+ -4:36:07,,3,Team Columbia,",, 0:07",1,2008,
,,+ -4:36:07,,4,Team Garmin - Chipotle,",, 0:07",1,2008,
,,+ -4:36:07,,5,Quickstep - Innergetic,",, 0:07",1,2008,
,,+ -4:36:07,,6,Liquigas,",, 0:07",1,2008,
,,+ -4:36:07,,7,Euskaltel - Euskadi,0:13 0:13,1,2008,
,,+ -4:36:07,,8,Scott - American Beef,0:20 0:20,1,2008,
,,+ -4:36:07,,9,Crédit Agricole,0:24 0:24,1,2008,
,,+ -4:36:07,,10,Lampre,",, 0:24",1,2008,
,,+ -4:36:07,,11,Gerolsteiner,",, 0:24",1,2008,
,,+ -4:36:07,,12,AG2R La Mondiale,",, 0:24",1,2008,
,,+ -4:36:07,,13,Rabobank ProTeam,0:26 0:26,1,2008,
,,+ -4:36:07,,14,Milram,0:43 0:43,1,2008,
,,+ -4:36:07,,15,"Cofidis, le Crédit par Téléphone",0:48 0:48,1,2008,
,,+ -4:36:07,,16,Agritubel,1:07 1:07,1,2008,
,,+ -4:36:07,,17,Silence - Lotto,1:09 1:09,1,2008,
,,+ -4:36:07,,18,Barloworld,1:12 1:12,1,2008,
,,+ -4:36:07,,19,Française des Jeux,1:52 1:52,1,2008,
,,+ -4:36:07,,20,Bouygues Telecom,",, 1:52",1,2008,
,,+ -8:21:20,1.0,1,Caisse d'Epargne,25:04:08 25:04:08,2,2008,-
,,+ -8:21:20,3.0,2,Team Columbia,0:07 0:07,2,2008,▲1
,,+ -8:21:20,2.0,3,CSC ProTeam,",, 0:07",2,2008,▼1
,,+ -8:21:20,4.0,4,Team Garmin - Chipotle,",, 0:07",2,2008,-
,,+ -8:21:20,5.0,5,Quickstep - Innergetic,",, 0:07",2,2008,-
,,+ -8:21:20,6.0,6,Liquigas,",, 0:07",2,2008,-
,,+ -8:21:20,7.0,7,Euskaltel - Euskadi,0:13 0:13,2,2008,-
,,+ -8:21:20,8.0,8,Scott - American Beef,0:20 0:20,2,2008,-
,,+ -8:21:20,12.0,9,AG2R La Mondiale,0:24 0:24,2,2008,▲3
,,+ -8:21:20,9.0,10,Crédit Agricole,",, 0:24",2,2008,▼1
,,+ -8:21:20,11.0,11,Gerolsteiner,",, 0:24",2,2008,-
,,+ -8:21:20,13.0,12,Rabobank ProTeam,0:26 0:26,2,2008,▲1
,,+ -8:21:20,14.0,13,Milram,0:43 0:43,2,2008,▲1
,,+ -8:21:20,16.0,14,Agritubel,0:46 0:46,2,2008,▲2
,,+ -8:21:20,15.0,15,"Cofidis, le Crédit par Téléphone",0:48 0:48,2,2008,-
,,+ -8:21:20,17.0,16,Silence - Lotto,1:08 1:08,2,2008,▲1
,,+ -8:21:20,18.0,17,Barloworld,1:09 1:09,2,2008,▲1
,,+ -8:21:20,19.0,18,Française des Jeux,1:12 1:12,2,2008,▲1
,,+ -8:21:20,20.0,19,Bouygues Telecom,1:52 1:52,2,2008,▲1
,,+ -8:21:20,10.0,20,Lampre,2:04 2:04,2,2008,▼10
,,+ - 13:27:05,4.0,1,Team Garmin - Chipotle,40:24:42 40:24:42,3,2008,▲3
,,+ - 13:27:05,15.0,2,"Cofidis, le Crédit par Téléphone",0:41 0:41,3,2008,▲13
,,+ - 13:27:05,17.0,3,Barloworld,1:16 1:16,3,2008,▲14
,,+ - 13:27:05,14.0,4,Agritubel,1:17 1:17,3,2008,▲10
,,+ - 13:27:05,1.0,5,Caisse d'Epargne,1:56 1:56,3,2008,▼4
,,+ - 13:27:05,2.0,6,Team Columbia,2:03 2:03,3,2008,▼4
,,+ - 13:27:05,3.0,7,CSC ProTeam,",, 2:03",3,2008,▼4
,,+ - 13:27:05,5.0,8,Quickstep - Innergetic,",, 2:03",3,2008,▼3
,,+ - 13:27:05,6.0,9,Liquigas,",, 2:03",3,2008,▼3
,,+ - 13:27:05,7.0,10,Euskaltel - Euskadi,2:09 2:09,3,2008,▼3
,,+ - 13:27:05,9.0,11,AG2R La Mondiale,2:20 2:20,3,2008,▼2
,,+ - 13:27:05,10.0,12,Crédit Agricole,",, 2:20",3,2008,▼2
,,+ - 13:27:05,11.0,13,Gerolsteiner,",, 2:20",3,2008,▼2
,,+ - 13:27:05,13.0,14,Milram,2:39 2:39,3,2008,▼1
,,+ - 13:27:05,16.0,15,Silence - Lotto,3:04 3:04,3,2008,▲1
,,+ - 13:27:05,18.0,16,Française des Jeux,3:08 3:08,3,2008,▲2
,,+ - 13:27:05,12.0,17,Rabobank ProTeam,3:38 3:38,3,2008,▼5
,,+ - 13:27:05,19.0,18,Bouygues Telecom,3:48 3:48,3,2008,▲1
,,+ - 13:27:05,20.0,19,Lampre,4:00 4:00,3,2008,▲1
,,+ - 13:27:05,8.0,20,Scott - American Beef,4:10 4:10,3,2008,▼12
,,+ - 14:04:41,1.0,1,Team Garmin - Chipotle,42:13:59 42:13:59,4,2008,-
,,+ - 14:04:41,6.0,2,Team Columbia,1:44 1:44,4,2008,▲4
,,+ - 14:04:41,7.0,3,CSC ProTeam,2:35 2:35,4,2008,▲4
,,+ - 14:04:41,2.0,4,"Cofidis, le Crédit par Téléphone",3:20 3:20,4,2008,▼2
,,+ - 14:04:41,13.0,5,Gerolsteiner,3:31 3:31,4,2008,▲8
,,+ - 14:04:41,5.0,6,Caisse d'Epargne,3:43 3:43,4,2008,▼1
,,+ - 14:04:41,9.0,7,Liquigas,4:30 4:30,4,2008,▲2
,,+ - 14:04:41,8.0,8,Quickstep - Innergetic,5:08 5:08,4,2008,-
,,+ - 14:04:41,3.0,9,Barloworld,5:31 5:31,4,2008,▼6
,,+ - 14:04:41,10.0,10,Euskaltel - Euskadi,6:14 6:14,4,2008,-
,,+ - 14:04:41,11.0,11,AG2R La Mondiale,6:23 6:23,4,2008,-
,,+ - 14:04:41,17.0,12,Rabobank ProTeam,6:39 6:39,4,2008,▲5
,,+ - 14:04:41,19.0,13,Lampre,6:47 6:47,4,2008,▲6
,,+ - 14:04:41,14.0,14,Milram,7:06 7:06,4,2008,-
,,+ - 14:04:41,4.0,15,Agritubel,7:07 7:07,4,2008,▼11
,,+ - 14:04:41,15.0,16,Silence - Lotto,7:19 7:19,4,2008,▼1
,,+ - 14:04:41,18.0,17,Bouygues Telecom,8:03 8:03,4,2008,▲1
,,+ - 14:04:41,12.0,18,Crédit Agricole,8:13 8:13,4,2008,▼6
,,+ - 14:04:41,20.0,19,Scott - American Beef,8:43 8:43,4,2008,▲1
,,+ - 14:04:41,16.0,20,Française des Jeux,9:17 9:17,4,2008,▼4
,,+ - 19:32:33,1.0,1,Team Garmin - Chipotle,58:37:35 58:37:35,5,2008,-
,,+ - 19:32:33,2.0,2,Team Columbia,1:44 1:44,5,2008,-
,,+ - 19:32:33,3.0,3,CSC ProTeam,2:35 2:35,5,2008,-
,,+ - 19:32:33,4.0,4,"Cofidis, le Crédit par Téléphone",3:20 3:20,5,2008,-
,,+ - 19:32:33,5.0,5,Gerolsteiner,3:31 3:31,5,2008,-
,,+ - 19:32:33,6.0,6,Caisse d'Epargne,3:43 3:43,5,2008,-
,,+ - 19:32:33,7.0,7,Liquigas,4:30 4:30,5,2008,-
