stage_type,Stage,Winner,Leader after stage,year,IndivTimeTrial,TeamTimeTrial,MountainStage,SprintStage
1.0,Prologue - Liège › Liège,CANCELLARA Fabian,Cancellara Fabian,2012,1,0,0,0
3.0,Stage 1 - Liege › Seraing,SAGAN Peter,Cancellara Fabian,2012,0,0,0,1
1.0,Stage 2 - Vis › Tournai,CAVENDISH Mark,Cancellara Fabian,2012,0,0,0,1
3.0,Stage 3 - Orchies › Boulogne-sur-mer,SAGAN Peter,Cancellara Fabian,2012,0,0,0,1
1.0,Stage 4 - Abbeville › Rouen,GREIPEL André,Cancellara Fabian,2012,0,0,0,1
1.0,Stage 5 - Rouen › Saint-quentin,GREIPEL André,Cancellara Fabian,2012,0,0,0,1
1.0,Stage 6 - Epernay › Metz,SAGAN Peter,Cancellara Fabian,2012,0,0,0,1
5.0,Stage 7 - Tomblaine › La Planche Des Belles Filles,FROOME Christopher,Wiggins Bradley,2012,0,0,1,0
4.0,Stage 8 - Belfort › Porrentruy,PINOT Thibaut,Wiggins Bradley,2012,0,0,1,0
1.0,Stage 9 (ITT) - Arc-et-senans › Besancon,WIGGINS Bradley,Wiggins Bradley,2012,1,0,0,0
4.0,Stage 10 - Macon › Bellegarde-sur-valserine,VOECKLER Thomas,Wiggins Bradley,2012,0,0,1,0
5.0,Stage 11 - Albertville › La Toussuire - Les Sybelles,ROLLAND Pierre,Wiggins Bradley,2012,0,0,1,0
4.0,Stage 12 - Saint-Jean-de-Maurienne › Annonay Davézieux,MILLAR David,Wiggins Bradley,2012,0,0,1,0
1.0,Stage 13 - Saint-paul-trois-châteaux › Cap d'Agde,GREIPEL André,Wiggins Bradley,2012,0,0,0,1
4.0,Stage 14 - Limoux › Foix,SANCHEZ Luis Leon,Wiggins Bradley,2012,0,0,1,0
1.0,Stage 15 - Samatan › Pau,FEDRIGO Pierrick,Wiggins Bradley,2012,0,0,0,1
4.0,Stage 16 - Pau › Bagnères-de-luchon,VOECKLER Thomas,Wiggins Bradley,2012,0,0,1,0
5.0,Stage 17 - Bagnères-de-Luchon › Peyragudes,VALVERDE Alejandro,Wiggins Bradley,2012,0,0,1,0
1.0,Stage 18 - Blagnac › Brive-la-gaillarde,CAVENDISH Mark,Wiggins Bradley,2012,0,0,0,1
1.0,Stage 19 (ITT) - Bonneval › Chartres,WIGGINS Bradley,Wiggins Bradley,2012,1,0,0,0
1.0,Stage 20 - Rambouillet › Paris,CAVENDISH Mark,Wiggins Bradley,2012,0,0,0,1
