stage_type,Stage,Winner,Leader after stage,year,IndivTimeTrial,TeamTimeTrial,MountainStage,SprintStage
1.0,Stage 1 - Porto-Vecchio › Bastia,KITTEL Marcel,Kittel Marcel,2013,0,0,0,1
4.0,Stage 2 - Bastia › Ajaccio,BAKELANTS Jan,Bakelants Jan,2013,0,0,1,0
2.0,Stage 3 - Ajaccio › Calvi,GERRANS Simon,Bakelants Jan,2013,0,0,0,1
1.0,Team Time Trial - Nice › Nice,Orica GreenEDGE,Gerrans Simon,2013,0,1,0,0
2.0,Stage 5 - Cagnes-sur-Mer › Marseille,CAVENDISH Mark,Gerrans Simon,2013,0,0,0,1
1.0,Stage 6 - Aix-en-Provence › Montpellier,GREIPEL André,Impey Daryl,2013,0,0,0,1
2.0,Stage 7 - Montpellier › Albi,SAGAN Peter,Impey Daryl,2013,0,0,0,1
5.0,Stage 8 - Castres › Ax 3 Domaines,FROOME Christopher,Froome Christopher,2013,0,0,1,0
4.0,Stage 9 - Saint Girons › Bagnéres de Bigorre,MARTIN Daniel,Froome Christopher,2013,0,0,1,0
1.0,Stage 10 - Saint-Gildas-des-Bois › Saint-Malo,KITTEL Marcel,Froome Christopher,2013,0,0,0,1
1.0,Stage 11 (ITT) - Avranches › Mont-Saint-Michel,MARTIN Tony,Froome Christopher,2013,1,0,0,0
1.0,Stage 12 - Fougères › Tours,KITTEL Marcel,Froome Christopher,2013,0,0,0,1
1.0,Stage 13 - Tours › Saint-Amand-Monrond,CAVENDISH Mark,Froome Christopher,2013,0,0,0,1
2.0,Stage 14 - Saint-Pourçain-sur-Sioule › Lyon,TRENTIN Matteo,Froome Christopher,2013,0,0,0,1
5.0,Stage 15 - Givors › Mont Ventoux,FROOME Christopher,Froome Christopher,2013,0,0,1,0
4.0,Stage 16 - Vaison-la-Romaine › Gap,COSTA Rui,Froome Christopher,2013,0,0,1,0
2.0,Stage 17 (ITT) - Embrun › Chorges,FROOME Christopher,Froome Christopher,2013,1,0,0,0
5.0,Stage 18 - Gap › Alpe d'Huez,RIBLON Christophe,Froome Christopher,2013,0,0,1,0
4.0,Stage 19 - Le Bourg d'Oisans › Le Grand Bornand,COSTA Rui,Froome Christopher,2013,0,0,1,0
5.0,Stage 20 - Annecy › Le Semnoz,QUINTANA Nairo,Froome Christopher,2013,0,0,1,0
1.0,Stage 21 - Château de Versailles › Paris,KITTEL Marcel,Froome Christopher,2013,0,0,0,1
