Rnk,BIB,Rider,Age,Team,year,stage
1,32,Gonzalez Fredy,24,Colombia-selle Italia,2003,21
2,151,Simoni Gilberto,31,Saeco,2003,21
3,109,Zaballa Constantino,25,Kelme - Costa Blanca,2003,21
4,185,Garzelli Stefano,29,Sidermec,2003,21
5,64,Frigo Dario,29,Fassa Bortolo,2003,21
6,25,Lanfranchi Paolo,34,Panaria - Fiordo,2003,21
7,61,Bruseghin Marzio,28,Fassa Bortolo,2003,21
8,127,Popovych Yaroslav,23,Landbouwkrediet - Colnago,2003,21
9,98,Totschnig Georg,32,Gerolsteiner,2003,21
10,8,Noe Andrea,34,Alessio,2003,21
11,188,Mazzoleni Eddy,29,Sidermec,2003,21
12,117,Rumsas Raimondas,31,Lampre,2003,21
13,12,Baranowski Dariusz,30,,2003,21
14,4,Lunghi Denis,27,Alessio,2003,21
15,46,Gobbi Michele,25,De Nardi - Colpack,2003,21
16,82,Baliani Fortunato,28,Formaggi Pinzolo Fiav\xe8,2003,21
17,165,Sunderland Scott,36,Team Fakta,2003,21
18,164,B\xe4ckstedt Magnus,28,Team Fakta,2003,21
19,65,Gonzalez Jimenez Aitor,28,Fassa Bortolo,2003,21
20,54,Lombardi Giovanni,33,Domina Vacanze - Elitron,2003,21
21,86,Laverde Luis Felipe,23,Formaggi Pinzolo Fiav\xe8,2003,21
22,9,Pellizotti Franco,25,Alessio,2003,21
23,141,Pantani Marco,33,Mercatone Uno - Scanavino,2003,21
24,92,Faresin Gianni,37,Gerolsteiner,2003,21
25,69,Velo Marco,29,Fassa Bortolo,2003,21
26,2,Caucchioli Pietro,27,Alessio,2003,21
27,177,Pozzi Oscar,31,Tenax,2003,21
28,113,Belli Wladimir,32,Lampre,2003,21
29,102,Garcia Quesada Adolfo,23,Kelme - Costa Blanca,2003,21
30,153,Spezialetti Alessandro,28,Saeco,2003,21
31,143,Conti Roberto,38,Mercatone Uno - Scanavino,2003,21
32,123,Bileka Volodymyr,24,Landbouwkrediet - Colnago,2003,21
33,89,Nocentini Rinaldo,25,Formaggi Pinzolo Fiav\xe8,2003,21
