Rnk,Team,GC,GC-Time,Time,year,stage
1,Fassa Bortolo,,+ - 34:01:05,101:12:18 101:12:18,2000,10
2,Mercatone Uno - Albacom,,+ - 34:01:05,12:18 12:18,2000,10
3,Polti,,+ - 34:01:05,20:32 20:32,2000,10
4,Team Telekom,,+ - 34:01:05,25:08 25:08,2000,10
5,Rabobank ProTeam,,+ - 34:01:05,25:54 25:54,2000,10
6,Saeco,,+ - 34:01:05,26:24 26:24,2000,10
7,Liquigas - Pata,,+ - 34:01:05,38:16 38:16,2000,10
8,Lampre - Daikin,,+ - 34:01:05,41:17 41:17,2000,10
9,Mapei - Quickstep,,+ - 34:01:05,50:43 50:43,2000,10
10,Post Swiss Team,,+ - 34:01:05,1:13:12 1:13:12,2000,10
11,Phonak Hearing Systems,,+ - 34:01:05,1:18:23 1:18:23,2000,10
12,Cofidis,,+ - 34:01:05,1:18:55 1:18:55,2000,10
13,Gerolsteiner,,+ - 34:01:05,1:20:48 1:20:48,2000,10
14,Vini Caldirola - Sidermec,,+ - 34:01:05,1:44:42 1:44:42,2000,10
15,La Fran\xe7aise des Jeux,,+ - 34:01:05,2:00:19 2:00:19,2000,10
16,Lotto - Adecco,,+ - 34:01:05,3:34:08 3:34:08,2000,10
