stage_type,Stage,Winner,Leader after stage,year,IndivTimeTrial,TeamTimeTrial,MountainStage,SprintStage
1.0,Prologue - Puy-du-Fou › Puy-du-Fou,,,1999,1,0,0,0
1.0,Stage 1 - Montaigu › Challans,KIRSIPUU Jaan,Kirsipuu Jaan,1999,0,0,0,1
1.0,Stage 2 - Challans › Saint-Nazaire,STEELS Tom,Kirsipuu Jaan,1999,0,0,0,1
1.0,Stage 3 - Nantes › Laval,STEELS Tom,Kirsipuu Jaan,1999,0,0,0,1
1.0,Stage 4 - Laval › Blois,CIPOLLINI Mario,Kirsipuu Jaan,1999,0,0,0,1
1.0,Stage 5 - Bonneval › Amiens,CIPOLLINI Mario,Kirsipuu Jaan,1999,0,0,0,1
1.0,Stage 6 - Amiens › Maubeuge,CIPOLLINI Mario,Kirsipuu Jaan,1999,0,0,0,1
1.0,Stage 7 - Avesnes-sur-Helpe › Thionville,CIPOLLINI Mario,Cipollini Mario,1999,0,0,0,1
1.0,Stage 8 (ITT) - Metz › Metz,,,1999,1,0,0,0
5.0,Stage 9 - Le Grand Bornand › Sestrières,,,1999,0,0,1,0
5.0,Stage 10 - Sestrières › L'Alpe d'Huez,GUERINI Giuseppe,Guerini Giuseppe,1999,0,0,1,0
2.0,Stage 11 - Le Bourg d'Oisans › Saint-Etienne,DIERCKXSENS Ludo,Dierckxsens Ludo,1999,0,0,0,1
3.0,Stage 12 - Saint-Galmier › Saint-Flour,ETXEBARRIA David,Etxebarria David,1999,0,0,0,1
2.0,Stage 13 - Saint-Flour › Albi,COMMESSO Salvatore,Commesso Salvatore,1999,0,0,0,1
1.0,Stage 14 - Castres › Saint-Gaudens,KONISHEV Dimitri,Konishev Dimitri,1999,0,0,0,1
5.0,Stage 15 - Saint-Gaudens › Piau-Engaly,ESCARTIN Fernando,Escartin Fernando,1999,0,0,1,0
4.0,Stage 16 - Lannemezan › Pau,ETXEBARRIA David,Etxebarria David,1999,0,0,1,0
1.0,Stage 17 - Mourenx › Bordeaux,STEELS Tom,Steels Tom,1999,0,0,0,1
1.0,Stage 18 - Jonzac › Futuroscope,MONDINI Gianpaolo,Mondini Gianpaolo,1999,0,0,0,1
1.0,Stage 19 (ITT) - Futuroscope › Futuroscope,,,1999,1,0,0,0
1.0,Stage 20 - Arpajon › Paris,MCEWEN Robbie,McEwen Robbie,1999,0,0,0,1
