stage_type,Stage,Winner,Leader after stage,year,IndivTimeTrial,TeamTimeTrial,MountainStage,SprintStage
1.0,Prologue - Luxembourg › Luxembourg,,,2002,1,0,0,0
1.0,Stage 1 - Luxembourg › Luxembourg,BERTOGLIATI Rubens,Bertogliati Rubens,2002,0,0,0,1
1.0,Stage 2 - Luxembourg › Saarbrücken,FREIRE Oscar,Bertogliati Rubens,2002,0,0,0,1
1.0,Stage 3 - Metz › Reims,MCEWEN Robbie,Zabel Erik,2002,0,0,0,1
1.0,Team Time Trial - Epernay › Château-Thierry,,Gonzalez De Galdeano Igor,2002,0,1,0,0
1.0,Stage 5 - Soissons › Rouen,KIRSIPUU Jaan,Gonzalez De Galdeano Igor,2002,0,0,0,1
1.0,Stage 6 - Forges-les-Eaux › Alencon,ZABEL Erik,Gonzalez De Galdeano Igor,2002,0,0,0,1
1.0,Stage 7 - Bagnoles De l'Orne › Avranches,MCGEE Bradley,Gonzalez De Galdeano Igor,2002,0,0,0,1
1.0,Stage 8 - Saint-Martin-de-Landelles › Plouay,KROON Karsten,Gonzalez De Galdeano Igor,2002,0,0,0,1
1.0,Stage 9 (ITT) - Lanester › Lorient,BOTERO Santiago,Gonzalez De Galdeano Igor,2002,1,0,0,0
1.0,Stage 10 - Bazas › Pau,HALGAND Patrice,Gonzalez De Galdeano Igor,2002,0,0,0,1
5.0,Stage 11 - Pau › La Mongie,,,2002,0,0,1,0
0.0,Stage 12 - Lannemezan › Plateau de Beille,,,2002,0,0,0,1
1.0,Stage 13 - Lavelanet › Béziers,MILLAR David,Millar David,2002,0,0,0,1
5.0,Stage 14 - Lodève › Mont Ventoux,VIRENQUE Richard,Virenque Richard,2002,0,0,1,0
5.0,Stage 15 - Vaison-le-Romaine › Les deux Alpes,BOTERO Santiago,Botero Santiago,2002,0,0,1,0
5.0,Stage 16 - Les Deux Alpes › La Plagne,BOOGERD Michael,Boogerd Michael,2002,0,0,1,0
4.0,Stage 17 - Aime › Cluses,FRIGO Dario,Frigo Dario,2002,0,0,1,0
2.0,Stage 18 - Cluses › Bourg-en-Bresse,HUSHOVD Thor,Hushovd Thor,2002,0,0,0,1
1.0,Stage 19 (ITT) - Regnier-Durette › Macon,,,2002,1,0,0,0
1.0,Stage 20 - Melun › Paris,MCEWEN Robbie,McEwen Robbie,2002,0,0,0,1
