Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
29,78.0,,,,,Z\xfclle Alex,1,Festina - Lotus,,+0:00,,0,1998
29,78.0,,,,1.0,Z\xfclle Alex,1,Festina - Lotus,,+0:00,-,1,1998
29,78.0,,,,1.0,Z\xfclle Alex,1,Festina - Lotus,,+0:00,-,2,1998
27,54.0,,,,,Honchar Serhiy,1,Cantina Tollo - Alexia Alluminio,,+0:00,-,3,1998
27,54.0,,,,1.0,Honchar Serhiy,1,Cantina Tollo - Alexia Alluminio,,+0:00,-,4,1998
27,21.0,,,,,Bartoli Michele,1,Asics - CGA,,+0:00,-,5,1998
29,78.0,,,,,Z\xfclle Alex,1,Festina - Lotus,,+0:00,-,6,1998
29,78.0,,,,1.0,Z\xfclle Alex,1,Festina - Lotus,,+0:00,-,7,1998
29,78.0,,,,1.0,Z\xfclle Alex,1,Festina - Lotus,,+0:00,-,8,1998
29,78.0,,,,1.0,Z\xfclle Alex,1,Festina - Lotus,,+0:00,-,9,1998
29,78.0,,,,1.0,Z\xfclle Alex,1,Festina - Lotus,,+0:00,-,10,1998
29,78.0,,,,1.0,Z\xfclle Alex,1,Festina - Lotus,,+0:00,-,11,1998
25,159.0,,,,,Roux Laurent,1,TVM - Farm Frites,,+0:00,-,12,1998
29,23.0,,,,,Noe Andrea,1,Asics - CGA,,+0:00,-,13,1998
29,78.0,,,,,Z\xfclle Alex,1,Festina - Lotus,,+0:00,-,14,1998
29,78.0,,,,1.0,Z\xfclle Alex,1,Festina - Lotus,,+0:00,-,15,1998
29,78.0,,,,1.0,Z\xfclle Alex,1,Festina - Lotus,,+0:00,-,16,1998
28,101.0,,,,,Pantani Marco,1,Mercatone Uno,,+0:00,-,17,1998
28,101.0,,,,1.0,Pantani Marco,1,Mercatone Uno,,+0:00,-,18,1998
28,101.0,,,,1.0,Pantani Marco,1,Mercatone Uno,,+0:00,-,19,1998
28,101.0,,,,1.0,Pantani Marco,1,Mercatone Uno,,+0:00,-,20,1998
28,101.0,,,,1.0,Pantani Marco,1,Mercatone Uno,,+0:00,-,21,1998
28,101.0,1.0,+0:00,400.0,1.0,Pantani Marco,1,Mercatone Uno,98:48:32 98:48:32,+0:00,-,22,1998
29,91.0,2.0,+1:33,290.0,,Tonkov Pavel,2,Mapei - Bricobi,1:33 1:33,+1:33,-,22,1998
28,141.0,3.0,+6:51,240.0,,Guerini Giuseppe,3,Polti,6:51 6:51,+6:51,-,22,1998
26,94.0,4.0,+12:16,220.0,,Camenzind Oscar,4,Mapei - Bricobi,12:16 12:16,+12:16,-,22,1998
29,171.0,5.0,+18:04,200.0,,Clavero Daniel,5,Vitalicio Seguros,18:04 18:04,+18:04,-,22,1998
32,96.0,6.0,+18:31,190.0,,Faresin Gianni,6,Mapei - Bricobi,18:31 18:31,+18:31,-,22,1998
24,22.0,7.0,+21:03,180.0,,Bettini Paolo,7,Asics - CGA,21:03 21:03,+21:03,-,22,1998
24,123.0,8.0,+21:35,170.0,,De Paoli Daniele,8,Ros Mary - Amica Chips,21:35 21:35,+21:35,-,22,1998
25,8.0,9.0,+25:54,160.0,,Savoldelli Paolo,9,Saeco Macchine da Caffe' - Cannondale,25:54 25:54,+25:54,-,22,1998
27,54.0,10.0,+25:58,150.0,,Honchar Serhiy,10,Cantina Tollo - Alexia Alluminio,25:58 25:58,+25:58,-,22,1998
36,105.0,11.0,+28:22,140.0,,Podenzana Massimo,11,Mercatone Uno,28:22 28:22,+28:22,-,22,1998
31,82.0,12.0,+29:24,130.0,,Gonzalez Chepe,12,Kelme - Costa Blanca,29:24 29:24,+29:24,-,22,1998
25,81.0,13.0,+31:25,120.0,,Rubiera Jos\xe9 Luis,13,Kelme - Costa Blanca,31:25 31:25,+31:25,-,22,1998
29,78.0,14.0,+33:26,110.0,,Z\xfclle Alex,14,Festina - Lotus,33:26 33:26,+33:26,-,22,1998
29,23.0,15.0,+34:29,100.0,,Noe Andrea,15,Asics - CGA,34:29 34:29,+34:29,-,22,1998
26,7.0,16.0,+35:56,90.0,,Piepoli Leonardo,16,Saeco Macchine da Caffe' - Cannondale,35:56 35:56,+35:56,-,22,1998
29,157.0,17.0,+39:22,85.0,,Moller Claus Michael,17,TVM - Farm Frites,39:22 39:22,+39:22,-,22,1998
29,97.0,18.0,+40:06,80.0,,Lanfranchi Paolo,18,Mapei - Bricobi,40:06 40:06,+40:06,-,22,1998
24,42.0,19.0,+40:33,75.0,,Sgambelluri Roberto,19,Brescialat,40:33 40:33,+40:33,-,22,1998
24,108.0,20.0,+40:53,70.0,,Velo Marco,20,Mercatone Uno,40:53 40:53,+40:53,-,22,1998
24,102.0,21.0,+41:28,65.0,,Garzelli Stefano,21,Mercatone Uno,41:28 41:28,+41:28,-,22,1998
29,161.0,22.0,+41:33,60.0,,Faustini Stefano,22,Vini Caldirola - Sidermec,41:33 41:33,+41:33,-,22,1998
27,117.0,23.0,+41:53,55.0,,Bobrik Vladislav,23,Riso Scotti - MG,41:53 41:53,+41:53,-,22,1998
25,139.0,24.0,+42:28,50.0,,Secchiari Francesco,24,Scrigno - Gaerne,42:28 42:28,+42:28,-,22,1998
27,71.0,25.0,+42:48,45.0,,Belli Wladimir,25,Festina - Lotus,42:48 42:48,+42:48,-,22,1998
26,67.0,26.0,+44:41,40.0,,Gougot Fabrice,26,Casino - AG2R,44:41 44:41,+44:41,-,22,1998
31,177.0,27.0,+47:26,35.0,,Buenahora Hernan,27,Vitalicio Seguros,47:26 47:26,+47:26,-,22,1998
25,159.0,28.0,+49:14,30.0,,Roux Laurent,28,TVM - Farm Frites,49:14 49:14,+49:14,-,22,1998
33,103.0,29.0,+50:28,25.0,,Conti Roberto,29,Mercatone Uno,50:28 50:28,+50:28,-,22,1998
26,148.0,30.0,+50:48,20.0,,Rebellin Davide,30,Polti,50:48 50:48,+50:48,-,22,1998
23,56.0,31.0,+51:17,20.0,,Magnani Marco,31,Cantina Tollo - Alexia Alluminio,51:17 51:17,+51:17,-,22,1998
25,95.0,32.0,+54:26,20.0,,Codol Massimo,32,Mapei - Bricobi,54:26 54:26,+54:26,-,22,1998
26,38.0,33.0,+57:25,20.0,,Tronca Amilcare,33,,57:25 57:25,+57:25,-,22,1998
31,146.0,34.0,+58:41,20.0,,Leblanc Luc,34,Polti,58:41 58:41,+58:41,-,22,1998
27,43.0,35.0,+1:01:33,20.0,,Piccoli Mariano,35,Brescialat,1:01:33 1:01:33,+61:33,-,22,1998
27,6.0,36.0,+1:03:09,20.0,,Padrnos Pavel,36,Saeco Macchine da Caffe' - Cannondale,1:03:09 1:03:09,+63:09,-,22,1998
29,,37.0,+1:04:25,20.0,,Garc\xeda F\xe9lix,37,,1:04:25 1:04:25,+64:25,-,22,1998
26,137.0,38.0,+1:05:28,20.0,,Axelsson Niklas,38,Scrigno - Gaerne,1:05:28 1:05:28,+65:28,-,22,1998
30,127.0,39.0,+1:09:00,20.0,,Puttini Felice,39,Ros Mary - Amica Chips,1:09:00 1:09:00,+69:00,-,22,1998
37,39.0,40.0,+1:09:24,20.0,,Ugrumov Piotr,40,,1:09:24 1:09:24,+69:24,-,22,1998
27,98.0,41.0,+1:09:25,20.0,,Missaglia Gabriele,41,Mapei - Bricobi,1:09:25 1:09:25,+69:25,-,22,1998
24,5.0,42.0,+1:09:38,20.0,,Frigo Dario,42,Saeco Macchine da Caffe' - Cannondale,1:09:38 1:09:38,+69:38,-,22,1998
33,109.0,43.0,+1:12:21,20.0,,Siboni Marcello,43,Mercatone Uno,1:12:21 1:12:21,+72:21,-,22,1998
26,24.0,44.0,+1:13:31,20.0,,Shefer Alexandre,44,Asics - CGA,1:13:31 1:13:31,+73:31,-,22,1998
27,172.0,45.0,+1:15:43,20.0,,Dominguez Juan Carlos,45,Vitalicio Seguros,1:15:43 1:15:43,+75:43,-,22,1998
26,36.0,46.0,+1:23:51,20.0,,Loda Nicola,46,,1:23:51 1:23:51,+83:51,-,22,1998
23,164.0,47.0,+1:24:03,20.0,,Calzavara Leonardo,47,Vini Caldirola - Sidermec,1:24:03 1:24:03,+84:03,-,22,1998
28,76.0,48.0,+1:26:04,20.0,,Meier Armin,48,Festina - Lotus,1:26:04 1:26:04,+86:04,-,22,1998
29,75.0,49.0,+1:30:05,20.0,,Jeker Fabian,49,Festina - Lotus,1:30:05 1:30:05,+90:05,-,22,1998
34,92.0,50.0,+1:35:00,20.0,,Bugno Gianni,50,Mapei - Bricobi,1:35:00 1:35:00,+95:00,-,22,1998
32,104.0,51.0,+1:35:06,20.0,,Konishev Dimitri,51,Mercatone Uno,",, 1:35:00",+95:06,-,22,1998
26,32.0,52.0,+1:35:35,20.0,,Colombo Gabriele,52,,1:35:35 1:35:35,+95:35,-,22,1998
24,72.0,53.0,+1:36:22,20.0,,Kivilev Andrei,53,Festina - Lotus,1:36:22 1:36:22,+96:22,-,22,1998
25,83.0,54.0,+1:36:56,20.0,,Botero Santiago,54,Kelme - Costa Blanca,1:36:56 1:36:56,+96:56,-,22,1998
38,84.0,55.0,+1:42:23,20.0,,Gonzalez Arsenio,55,Kelme - Costa Blanca,1:42:23 1:42:23,+102:23,-,22,1998
22,,56.0,+1:44:39,20.0,,Zinetti Mauro,56,,1:44:39 1:44:39,+104:39,-,22,1998
35,114.0,57.0,+1:47:13,20.0,,Cenghialta Bruno,57,Riso Scotti - MG,1:47:13 1:47:13,+107:13,-,22,1998
