Rnk,Prev,\u25bc\u25b2,BIB,Team,GC,GC-Time,Time,year,stage
1,3.0,\u25b22,,IAM Cycling,,+ -2:53:06,8:40:31 8:40:31,2013,2
2,7.0,\u25b25,,Movistar Team,,+ -2:53:06,0:29 0:29,2013,2
3,10.0,\u25b27,,Astana Pro Team,,+ -2:53:06,0:40 0:40,2013,2
4,12.0,\u25b28,,AG2R La Mondiale,,+ -2:53:06,0:43 0:43,2013,2
5,16.0,\u25b211,,Blanco Pro Cycling Team,,+ -2:53:06,1:18 1:18,2013,2
6,4.0,\u25bc2,,BMC Racing Team,,+ -2:53:06,1:43 1:43,2013,2
7,8.0,\u25b21,,Team Saxo - Tinkoff,,+ -2:53:06,2:32 2:32,2013,2
8,17.0,\u25b29,,Team Katusha,,+ -2:53:06,4:02 4:02,2013,2
1,3.0,\u25b22,,Astana Pro Team,,+ -7:39:38,23:04:34 23:04:34,2013,3
2,2.0,-,,Movistar Team,,+ -7:39:38,0:30 0:30,2013,3
3,4.0,\u25b21,,AG2R La Mondiale,,+ -7:39:38,0:32 0:32,2013,3
4,6.0,\u25b22,,BMC Racing Team,,+ -7:39:38,1:44 1:44,2013,3
5,1.0,\u25bc4,,IAM Cycling,,+ -7:39:38,3:00 3:00,2013,3
6,5.0,\u25bc1,,Blanco Pro Cycling Team,,+ -7:39:38,5:09 5:09,2013,3
7,7.0,-,,Team Saxo - Tinkoff,,+ -7:39:38,6:18 6:18,2013,3
8,,-,,Euskaltel - Euskadi,,+ -7:39:38,7:14 7:14,2013,3
9,8.0,\u25bc1,,Team Katusha,,+ -7:39:38,9:50 9:50,2013,3
10,,-,,Cannondale Pro Cycling Team,,+ -7:39:38,17:20 17:20,2013,3
11,,-,,Orica GreenEDGE,,+ -7:39:38,19:34 19:34,2013,3
12,,-,,Sojasun,,+ -7:39:38,20:35 20:35,2013,3
13,,-,,Team Argos - Shimano,,+ -7:39:38,22:48 22:48,2013,3
14,,-,,Lampre - Merida,,+ -7:39:38,23:03 23:03,2013,3
15,,-,,RadioShack - Leopard,,+ -7:39:38,23:14 23:14,2013,3
16,,-,,FDJ.fr,,+ -7:39:38,26:03 26:03,2013,3
17,,-,,Omega Pharma - Quick-Step,,+ -7:39:38,26:58 26:58,2013,3
18,,-,,Garmin Sharp,,+ -7:39:38,29:01 29:01,2013,3
19,,-,,Sky Procycling,,+ -7:39:38,30:44 30:44,2013,3
20,,-,,Vacansoleil - DCM,,+ -7:39:38,43:42 43:42,2013,3
21,,-,,Lotto Belisol Team,,+ -7:39:38,51:39 51:39,2013,3
1,1.0,-,,Astana Pro Team,,+ - 11:48:01,35:29:43 35:29:43,2013,4
2,2.0,-,,Movistar Team,,+ - 11:48:01,0:30 0:30,2013,4
3,3.0,-,,AG2R La Mondiale,,+ - 11:48:01,0:32 0:32,2013,4
4,4.0,-,,BMC Racing Team,,+ - 11:48:01,1:44 1:44,2013,4
5,5.0,-,,IAM Cycling,,+ - 11:48:01,3:00 3:00,2013,4
6,6.0,-,,Blanco Pro Cycling Team,,+ - 11:48:01,5:09 5:09,2013,4
7,7.0,-,,Team Saxo - Tinkoff,,+ - 11:48:01,6:18 6:18,2013,4
