Rnk,Prev,\u25bc\u25b2,Rider,Age,Team,UCI,Pnt,GC,GC-Time,Time,Time won/lost,year,stage
55,55,-,Malacarne Davide,24,Team Europcar,,5,55,+25:49,25:49 25:49,+0:00,2012,7
56,56,-,Bagot Yoann,24,Cofidis Le Credit en Ligne,,5,56,+26:21,26:21 26:21,+0:00,2012,7
57,57,-,Charteau Anthony,33,Team Europcar,,5,57,+26:49,26:49 26:49,+0:00,2012,7
58,58,-,Kadri Blel,25,AG2R La Mondiale,,5,58,+26:55,26:55 26:55,+0:00,2012,7
59,59,-,Devenyns Dries,28,Omega Pharma - Quick-Step,,5,59,+27:07,27:07 27:07,+0:00,2012,7
60,60,-,Ch\xe9rel Micka\xebl,26,AG2R La Mondiale,,5,60,+27:24,27:24 27:24,+0:00,2012,7
61,61,-,Sarmiento Jose Cayetano,25,Liquigas - Cannondale,,5,61,+27:46,27:46 27:46,+0:00,2012,7
62,62,-,Arroyo David,32,Movistar Team,,5,62,+28:19,28:19 28:19,+0:00,2012,7
63,63,-,Hincapie George,38,BMC Racing Team,,5,63,+28:25,28:25 28:25,+0:00,2012,7
64,64,-,Siutsou Kanstantsin,29,Sky Procycling,,5,64,+28:43,28:43 28:43,+0:00,2012,7
65,65,-,Millar David,35,Team Garmin - Barracuda,,5,65,+29:50,29:50 29:50,+0:00,2012,7
66,66,-,Barredo Carlos,31,Rabobank Cycling Team,,5,66,+30:02,30:02 30:02,+0:00,2012,7
67,67,-,Azanza Jorge,29,Euskaltel - Euskadi,,5,67,+31:05,31:05 31:05,+0:00,2012,7
68,68,-,Peraud Jean-Christophe,35,AG2R La Mondiale,,5,68,+31:44,31:44 31:44,+0:00,2012,7
69,69,-,S\xf8rensen Nicki,37,Team Saxo Bank - Tinkoff Bank,,5,69,+31:48,31:48 31:48,+0:00,2012,7
70,70,-,Vichot Arthur,23,FDJ - BigMat,,5,70,+32:21,32:21 32:21,+0:00,2012,7
71,71,-,Westra Lieuwe,29,Vacansoleil - DCM,,5,71,+32:43,32:43 32:43,+0:00,2012,7
72,72,-,Ladagnous Matthieu,27,FDJ - BigMat,,5,72,+33:02,33:02 33:02,+0:00,2012,7
73,73,-,Moncouti\xe9 David,37,Cofidis Le Credit en Ligne,,5,73,+33:02,",, 33:02",+0:00,2012,7
74,74,-,Irizar Markel,32,RadioShack - Nissan,,5,74,+33:06,33:06 33:06,+0:00,2012,7
75,75,-,Mat\xe9 Luis \xc1ngel,28,Cofidis Le Credit en Ligne,,5,75,+33:17,33:17 33:17,+0:00,2012,7
76,76,-,Marzano Marco,32,Lampre - ISD,,5,76,+33:17,",, 33:17",+0:00,2012,7
77,77,-,De Weert Kevin,30,Omega Pharma - Quick-Step,,5,77,+34:39,34:39 34:39,+0:00,2012,7
78,78,-,Stortoni Simone,26,Lampre - ISD,,5,78,+34:59,34:59 34:59,+0:00,2012,7
79,79,-,Edet Nicolas,24,Cofidis Le Credit en Ligne,,5,79,+35:01,35:01 35:01,+0:00,2012,7
80,80,-,Canuti Federico,26,Liquigas - Cannondale,,5,80,+35:15,35:15 35:15,+0:00,2012,7
81,81,-,Morabito Steve,29,BMC Racing Team,,5,81,+36:00,36:00 36:00,+0:00,2012,7
82,82,-,Fofonov Dimitri,35,Astana Pro Team,,5,82,+36:40,36:40 36:40,+0:00,2012,7
83,83,-,Landa Mikel,22,Euskaltel - Euskadi,,5,83,+36:46,36:46 36:46,+0:00,2012,7
84,84,-,Grivko Andrei,28,Astana Pro Team,,5,84,+37:07,37:07 37:07,+0:00,2012,7
85,85,-,Vanendert Jelle,27,Lotto Belisol Team,,5,85,+38:43,38:43 38:43,+0:00,2012,7
86,86,-,Riblon Christophe,31,AG2R La Mondiale,,5,86,+39:52,39:52 39:52,+0:00,2012,7
87,87,-,Fr\xf6hlinger Johannes,27,Argos - Shimano,,5,87,+40:14,40:14 40:14,+0:00,2012,7
88,88,-,Vogondy Nicolas,34,Cofidis Le Credit en Ligne,,5,88,+40:16,40:16 40:16,+0:00,2012,7
89,89,-,Martens Paul,28,Rabobank Cycling Team,,5,89,+41:01,41:01 41:01,+0:00,2012,7
90,90,-,Erviti Imanol,28,Movistar Team,,5,90,+41:05,41:05 41:05,+0:00,2012,7
91,91,-,Ciolek Gerald,25,Omega Pharma - Quick-Step,,5,91,+41:21,41:21 41:21,+0:00,2012,7
92,92,-,Teklehaimanot Daniel,23,Orica GreenEDGE,,5,92,+41:46,41:46 41:46,+0:00,2012,7
93,93,-,Vorganov Eduard,29,Team Katusha,,5,93,+41:49,41:49 41:49,+0:00,2012,7
94,94,-,Gerrans Simon,32,Orica GreenEDGE,,5,94,+42:39,42:39 42:39,+0:00,2012,7
95,95,-,Verdugo Gorka,33,Euskaltel - Euskadi,,5,95,+44:13,44:13 44:13,+0:00,2012,7
96,96,-,Taaram\xe4e Rein,25,Cofidis Le Credit en Ligne,,5,96,+44:25,44:25 44:25,+0:00,2012,7
97,97,-,Pineau J\xe9rome,32,Omega Pharma - Quick-Step,,5,97,+44:53,44:53 44:53,+0:00,2012,7
98,98,-,Lopez David,31,Movistar Team,,5,98,+45:13,45:13 45:13,+0:00,2012,7
99,99,-,Veuchelen Frederik,33,Vacansoleil - DCM,,5,99,+45:25,45:25 45:25,+0:00,2012,7
100,100,-,R\xe9za K\xe9vin,24,Team Europcar,,5,100,+45:27,45:27 45:27,+0:00,2012,7
101,101,-,Roux Anthony,25,FDJ - BigMat,,5,101,+45:48,45:48 45:48,+0:00,2012,7
102,102,-,Hupond Thierry,27,Argos - Shimano,,5,102,+46:35,46:35 46:35,+0:00,2012,7
103,103,-,van de Walle Jurgen,35,Lotto Belisol Team,,5,103,+46:36,46:36 46:36,+0:00,2012,7
104,104,-,Belkov Maxim,27,Team Katusha,,5,104,+46:42,46:42 46:42,+0:00,2012,7
105,105,-,Simon Julien,26,Saur - Sojasun,,5,105,+47:14,47:14 47:14,+0:00,2012,7
106,106,-,Martin Daniel,25,Team Garmin - Barracuda,,5,106,+47:31,47:31 47:31,+0:00,2012,7
107,107,-,Vanotti Alessandro,31,Liquigas - Cannondale,,5,107,+47:33,47:33 47:33,+0:00,2012,7
108,108,-,Pietropolli Daniele,31,Lampre - ISD,,5,108,+47:38,47:38 47:38,+0:00,2012,7
109,109,-,Gilbert Philippe,29,BMC Racing Team,,5,109,+47:58,47:58 47:58,+0:00,2012,7
110,110,-,Roulston Hayden,31,RadioShack - Nissan,,5,110,+48:57,48:57 48:57,+0:00,2012,7
111,111,-,Lemoine Cyril,29,Saur - Sojasun,,5,111,+49:41,49:41 49:41,+0:00,2012,7
112,112,-,Knees Christian,31,Sky Procycling,,5,112,+49:42,49:42 49:42,+0:00,2012,7
113,113,-,Lloyd Matthew,29,Lampre - ISD,,5,113,+49:45,49:45 49:45,+0:00,2012,7
114,114,-,Popovych Yaroslav,32,RadioShack - Nissan,,5,114,+51:45,51:45 51:45,+0:00,2012,7
115,115,-,Degenkolb John,23,Argos - Shimano,,5,115,+52:26,52:26 52:26,+0:00,2012,7
116,116,-,Vandenbergh Stijn,28,Omega Pharma - Quick-Step,,5,116,+52:30,52:30 52:30,+0:00,2012,7
117,117,-,Kostyuk Denys,30,Lampre - ISD,,5,117,+52:42,52:42 52:42,+0:00,2012,7
118,118,-,Ratto Daniele,22,Liquigas - Cannondale,,5,118,+53:25,53:25 53:25,+0:00,2012,7
119,119,-,Vinokourov Alexandre,38,Astana Pro Team,,5,119,+53:32,53:32 53:32,+0:00,2012,7
120,120,-,Duque Leonardo,32,Cofidis Le Credit en Ligne,,5,120,+54:15,54:15 54:15,+0:00,2012,7
121,121,-,Kreder Michel,24,Team Garmin - Barracuda,,5,121,+55:05,55:05 55:05,+0:00,2012,7
122,122,-,Grabsch Bert,36,Omega Pharma - Quick-Step,,5,122,+55:08,55:08 55:08,+0:00,2012,7
123,123,-,Bozic Borut,31,Astana Pro Team,,5,123,+55:25,55:25 55:25,+0:00,2012,7
124,124,-,Quinziato Manuel,32,BMC Racing Team,,5,124,+55:46,55:46 55:46,+0:00,2012,7
125,125,-,Clarke Simon,25,Orica GreenEDGE,,5,125,+56:22,56:22 56:22,+0:00,2012,7
126,126,-,S\xe1nchez Samuel,34,Euskaltel - Euskadi,,5,126,+56:56,56:56 56:56,+0:00,2012,7
127,127,-,Dockx Gert,23,Lotto Belisol Team,,5,127,+57:41,57:41 57:41,+0:00,2012,7
128,128,-,Klostergaard Kasper,29,Team Saxo Bank - Tinkoff Bank,,5,128,+58:14,58:14 58:14,+0:00,2012,7
129,129,-,Fischer Murilo Antonio,32,Team Garmin - Barracuda,,5,129,+58:24,58:24 58:24,+0:00,2012,7
130,130,-,Hinault S\xe9bastien,38,AG2R La Mondiale,,5,130,+58:39,58:39 58:39,+0:00,2012,7
131,131,-,Kvachuk Oleksandr,28,Lampre - ISD,,5,131,+1:00:55,1:00:55 1:00:55,+0:00,2012,7
132,132,-,Krivtsov Yuriy,33,Lampre - ISD,,5,132,+1:01:04,1:01:04 1:01:04,+0:00,2012,7
133,133,-,Tjallingii Maarten,34,Rabobank Cycling Team,,5,133,+1:01:51,1:01:51 1:01:51,+0:00,2012,7
134,134,-,Doi Yukihiro,28,Argos - Shimano,,5,134,+1:02:45,1:02:45 1:02:45,+0:00,2012,7
135,135,-,Meyer Travis,23,Orica GreenEDGE,,5,135,+1:02:50,1:02:50 1:02:50,+0:00,2012,7
136,136,-,Bernaudeau Giovanni,28,Team Europcar,,5,136,+1:04:35,1:04:35 1:04:35,+0:00,2012,7
137,137,-,Tanner David,27,Team Saxo Bank - Tinkoff Bank,,5,137,+1:06:41,1:06:41 1:06:41,+0:00,2012,7
138,138,-,Matthews Michael,21,Rabobank Cycling Team,,5,138,+1:06:49,1:06:49 1:06:49,+0:00,2012,7
139,139,-,Lindeman Bert-Jan,22,Vacansoleil - DCM,,5,139,+1:09:29,1:09:29 1:09:29,+0:00,2012,7
140,140,-,Cimolai Davide,22,Lampre - ISD,,5,140,+1:10:12,1:10:12 1:10:12,+0:00,2012,7
141,141,-,Sulzberger Wesley,25,Orica GreenEDGE,,5,141,+1:12:17,1:12:17 1:12:17,+0:00,2012,7
142,142,-,Pate Danny,33,Sky Procycling,,5,142,+1:12:28,1:12:28 1:12:28,+0:00,2012,7
143,143,-,Neyens Maarten,27,Lotto Belisol Team,,5,143,+1:15:44,1:15:44 1:15:44,+0:00,2012,7
144,144,-,Cantwell Jonathan,30,Team Saxo Bank - Tinkoff Bank,,5,144,+1:15:52,1:15:52 1:15:52,+0:00,2012,7
145,145,-,Van der Sande Tosh,21,Lotto Belisol Team,,5,145,+1:17:29,1:17:29 1:17:29,+0:00,2012,7
146,146,-,Bilbao Pello,22,Euskaltel - Euskadi,,5,146,+1:20:13,1:20:13 1:20:13,+0:00,2012,7
147,147,-,Dehaes Kenny,27,Lotto Belisol Team,,5,147,+1:23:00,1:23:00 1:23:00,+0:00,2012,7
148,148,-,van Emden Jos,27,Rabobank Cycling Team,,5,148,+1:23:18,1:23:18 1:23:18,+0:00,2012,7
149,149,-,Howard Leigh,22,Orica GreenEDGE,,5,149,+1:25:34,1:25:34 1:25:34,+0:00,2012,7
150,150,-,Kluge Roger,26,Argos - Shimano,,5,150,+1:27:02,1:27:02 1:27:02,+0:00,2012,7
151,151,-,Perez Alan,29,Euskaltel - Euskadi,,5,151,+1:31:10,1:31:10 1:31:10,+0:00,2012,7
