Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,UCI,stage,year,▼▲
25.0,113.0,5.0,+0:25,,Gusev Vladimir,1.0,Discovery Channel,9:15 9:15,9.0,0,2007,
22.0,54.0,8.0,+0:31,,Dekker Thomas,2.0,Rabobank ProTeam,0:06 0:06,,0,2007,
25.0,169.0,10.0,+0:32,,Vaugrenard Benoît,3.0,Française des Jeux,0:07 0:07,,0,2007,
24.0,112.0,15.0,+0:35,,Contador Alberto,4.0,Discovery Channel,0:10 0:10,,0,2007,
25.0,102.0,18.0,+0:36,,Bonnet William,5.0,Crédit Agricole,0:11 0:11,,0,2007,
24.0,25.0,22.0,+0:38,,Gerdemann Linus,6.0,T-Mobile Team,0:13 0:13,,0,2007,
25.0,119.0,28.0,+0:42,,Vaitkus Tomas,7.0,Discovery Channel,0:17 0:17,,0,2007,
23.0,184.0,34.0,+0:43,,Grivko Andrey,8.0,Milram,0:18 0:18,,0,2007,
25.0,95.0,35.0,+0:44,,Kohl Bernhard,9.0,Gerolsteiner,0:19 0:19,,0,2007,
25.0,165.0,42.0,+0:46,,Gilbert Philippe,10.0,Française des Jeux,0:21 0:21,,0,2007,
21.0,215.0,44.0,+0:47,,Thomas Geraint,11.0,Barloworld,0:22 0:22,,0,2007,
24.0,122.0,45.0,+0:47,,Clement Stef,12.0,Bouygues Telecom,",, 0:22",12.0,0,2007,
23.0,168.0,50.0,+0:48,,Löfkvist Thomas,13.0,Française des Jeux,0:23 0:23,,0,2007,
24.0,96.0,60.0,+0:50,,Krauß Sven,14.0,Gerolsteiner,0:25 0:25,,0,2007,
22.0,23.0,68.0,+0:52,,Cavendish Mark,15.0,T-Mobile Team,0:27 0:27,,0,2007,
23.0,197.0,98.0,+0:57,,Navarro Daniel,16.0,Astana,0:32 0:32,,0,2007,
25.0,128.0,99.0,+0:58,,Tschopp Johann,17.0,Bouygues Telecom,0:33 0:33,,0,2007,
23.0,94.0,107.0,+1:00,,Haussler Heinrich,18.0,Gerolsteiner,0:35 0:35,,0,2007,
24.0,72.0,117.0,+1:02,,Antón Igor,19.0,Euskaltel - Euskadi,0:37 0:37,,0,2007,
24.0,219.0,121.0,+1:03,,Soler Juan Mauricio,20.0,Barloworld,0:38 0:38,,0,2007,
24.0,22.0,127.0,+1:04,,Burghardt Marcus,21.0,T-Mobile Team,0:39 0:39,,0,2007,
22.0,167.0,131.0,+1:05,,Ladagnous Matthieu,22.0,Française des Jeux,0:40 0:40,,0,2007,
25.0,189.0,132.0,+1:05,,Sieberg Marcel,23.0,Milram,",, 0:40",23.0,0,2007,
24.0,78.0,146.0,+1:08,,Txurruka Amets,24.0,Euskaltel - Euskadi,0:43 0:43,,0,2007,
25.0,209.0,150.0,+1:10,,Ventoso Francisco José,25.0,Saunier Duval,0:45 0:45,,0,2007,
21.0,163.0,158.0,+1:13,,Delage Mickaël,26.0,Française des Jeux,0:48 0:48,,0,2007,
21.0,164.0,160.0,+1:13,,Di Grégorio Rémy,27.0,Française des Jeux,",, 0:48",27.0,0,2007,
23.0,134.0,161.0,+1:14,,Feillu Romain,28.0,Agritubel,0:49 0:49,,0,2007,
25.0,74.0,166.0,+1:16,,Azanza Jorge,29.0,Euskaltel - Euskadi,0:51 0:51,1.0,0,2007,
23.0,135.0,173.0,+1:19,,Gonzalo Eduardo,30.0,Agritubel,0:54 0:54,1.0,0,2007,
24.0,85.0,174.0,+1:19,,Corioni Claudio,31.0,Lampre-Fondital,",, 0:54",31.0,0,2007,
24.0,218.0,183.0,+1:27,,Siutsou Kanstantsin,32.0,Barloworld,1:02 1:02,1.0,0,2007,
25.0,113.0,6.0,+0:25,1.0,Gusev Vladimir,1.0,Discovery Channel,4:48:16 4:48:16,,1,2007,-
22.0,54.0,10.0,+0:31,2.0,Dekker Thomas,2.0,Rabobank ProTeam,0:06 0:06,,1,2007,-
25.0,169.0,12.0,+0:32,3.0,Vaugrenard Benoît,3.0,Française des Jeux,0:07 0:07,,1,2007,-
23.0,184.0,14.0,+0:33,8.0,Grivko Andrey,4.0,Milram,0:08 0:08,,1,2007,▲4
24.0,112.0,16.0,+0:35,4.0,Contador Alberto,5.0,Discovery Channel,0:10 0:10,,1,2007,▼1
25.0,102.0,19.0,+0:36,5.0,Bonnet William,6.0,Crédit Agricole,0:11 0:11,,1,2007,▼1
24.0,25.0,24.0,+0:38,6.0,Gerdemann Linus,7.0,T-Mobile Team,0:13 0:13,,1,2007,▼1
25.0,119.0,29.0,+0:42,7.0,Vaitkus Tomas,8.0,Discovery Channel,0:17 0:17,,1,2007,▼1
