Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
20,114,45,+1:09,11.0,Gaudu David,10,FDJ,",, 0:02",\u25b21,2,2017
22,24,46,+1:09,10.0,Mas Enric,11,Quick-Step Floors,",, 0:02",\u25bc1,2,2017
24,58,54,+2:19,17.0,S\xfctterlin Jasha,12,Movistar Team,1:12 1:12,\u25b25,2,2017
24,156,55,+2:19,14.0,Formolo Davide,13,Cannondale-Drapac Pro Cycling Team,",, 1:12",\u25b21,2,2017
25,154,62,+2:19,15.0,Canty Brendan,14,Cannondale-Drapac Pro Cycling Team,",, 1:12",\u25b21,2,2017
24,53,63,+2:19,16.0,Carapaz Richard,15,Movistar Team,",, 1:12",\u25b21,2,2017
25,122,68,+2:19,13.0,Bystr\xf8m Sven Erik,16,Team Katusha - Alpecin,",, 1:12",\u25bc3,2,2017
23,118,70,+2:19,21.0,Maison J\xe9r\xe9my,17,FDJ,",, 1:12",\u25b24,2,2017
23,97,71,+2:19,19.0,Turgis Anthony,18,"Cofidis, Solutions Cr\xe9dits",",, 1:12",\u25b21,2,2017
23,194,76,+3:03,22.0,Herklotz Silvio,19,BORA - hansgrohe,1:56 1:56,\u25b23,2,2017
23,44,79,+4:47,23.0,Gogl Michael,20,Trek - Segafredo,3:40 3:40,\u25b23,2,2017
24,75,80,+4:47,18.0,Lutsenko Alexey,21,Astana Pro Team,",, 3:40",\u25bc3,2,2017
23,63,81,+5:34,24.0,Haig Jack,22,ORICA-Scott,4:27 4:27,\u25b22,2,2017
25,158,84,+5:57,25.0,van Baarle Dylan,23,Cannondale-Drapac Pro Cycling Team,4:50 4:50,\u25b22,2,2017
25,217,85,+5:57,26.0,Pacher Quentin,24,Delko Marseille Provence KTM,",, 4:50",\u25b22,2,2017
23,127,88,+6:34,28.0,Politt Nils,25,Team Katusha - Alpecin,5:27 5:27,\u25b23,2,2017
22,88,92,+6:55,29.0,Vermeulen Alexey,26,Team LottoNL-Jumbo,5:48 5:48,\u25b23,2,2017
24,64,95,+7:01,31.0,Howson Damien,27,ORICA-Scott,5:54 5:54,\u25b24,2,2017
25,78,96,+7:40,3.0,Valgren Michael,28,Astana Pro Team,6:33 6:33,\u25bc25,2,2017
