Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,Pnt,year,stage
1,1.0,-,85,Dumoulin Tom,24,Team Giant - Alpecin,10.0,2015,2
2,,-,7,Durasek Kristijan,27,Lampre - Merida,10.0,2015,2
3,,-,77,Moreno Daniel,33,Team Katusha,8.0,2015,2
4,2.0,\u25bc2,11,Cancellara Fabian,34,Trek Factory Racing,8.0,2015,2
5,,-,108,Meyer Cameron,27,Orica GreenEDGE,7.0,2015,2
6,,-,128,Roelandts Jurgen,29,Lotto Soudal,6.0,2015,2
7,,-,12,Arredondo Juli\xe1n David,26,Trek Factory Racing,6.0,2015,2
8,,-,6,Pibernik Luka,21,Lampre - Merida,6.0,2015,2
9,3.0,\u25bc6,27,Br\xe4ndle Matthias,25,IAM Cycling,6.0,2015,2
10,4.0,\u25bc6,41,Sagan Peter,25,Tinkoff - Saxo,4.0,2015,2
11,,-,131,Pinot Thibaut,25,FDJ,4.0,2015,2
12,,-,52,Thomas Geraint,29,Team Sky,2.0,2015,2
13,5.0,\u25bc8,136,Morabito Steve,32,FDJ,2.0,2015,2
14,,-,37,Van Avermaet Greg,30,BMC Racing Team,1.0,2015,2
1,3.0,\u25b22,77,Moreno Daniel,33,Team Katusha,16.0,2015,3
2,10.0,\u25b28,41,Sagan Peter,25,Tinkoff - Saxo,14.0,2015,3
3,1.0,\u25bc2,85,Dumoulin Tom,24,Team Giant - Alpecin,12.0,2015,3
4,,-,186,Marcato Marco,31,Wanty - Groupe Gobert,12.0,2015,3
5,2.0,\u25bc3,7,Durasek Kristijan,27,Lampre - Merida,10.0,2015,3
6,11.0,\u25b25,131,Pinot Thibaut,25,FDJ,10.0,2015,3
7,7.0,-,12,Arredondo Juli\xe1n David,26,Trek Factory Racing,10.0,2015,3
8,4.0,\u25bc4,11,Cancellara Fabian,34,Trek Factory Racing,8.0,2015,3
9,5.0,\u25bc4,108,Meyer Cameron,27,Orica GreenEDGE,7.0,2015,3
10,6.0,\u25bc4,128,Roelandts Jurgen,29,Lotto Soudal,6.0,2015,3
