Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
29,73,11.0,17,Hunter Robert,23,Phonak Hearing Systems,\u25bc6,2,2006
24,159,10.0,18,Vaugrenard Benoit,24,Fran\xe7aise des Jeux,\u25bc6,2,2006
27,18,,19*,Zabriskie David,25*,CSC ProTeam,-,2,2006
38,173,10.0,19,Brochard Laurent,25,Bouygues Telecom,\u25bc6,2,2006
31,21,10.0,,Kl\xf6den Andr\xe9as,26,T-Mobile Team,-,2,2006
26,177,9.0,20,Pineau J\xe9rome,27,Bouygues Telecom,\u25bc7,2,2006
26,44,9.0,21,Lang Sebastian,28,Gerolsteiner,\u25bc7,2,2006
29,61,8.0,,Evans Cadel,29,Davitamon - Lotto,-,2,2006
24,124,8.0,,Hernandez Gutierrez Aitor,30,Euskaltel - Euskadi,-,2,2006
31,152,8.0,23,Da Cruz Carlos,31,Fran\xe7aise des Jeux,\u25bc8,2,2006
26,7,7.0,,Popovych Yaroslav,32,Discovery Channel,-,2,2006
32,66,6.0,25,Rodriguez Fred,33,Davitamon - Lotto,\u25bc8,2,2006
31,163,6.0,26,B\xe4ckstedt Magnus,34,Liquigas,\u25bc8,2,2006
29,146,5.0,35,Millar David,35,Saunier Duval - Prodir,-,2,2006
32,25,4.0,,Mazzoleni Eddy,36,T-Mobile Team,-,2,2006
28,4,4.0,28,Martinez Egoi,37,Discovery Channel,\u25bc9,2,2006
32,117,4.0,29,Hinault S\xe9bastien,38,Cr\xe9dit Agricole,\u25bc9,2,2006
33,9,4.0,30,Savoldelli Paolo,39,Discovery Channel,\u25bc9,2,2006
30,71,,32*,Landis Floyd,41*,Phonak Hearing Systems,-,2,2006
24,179,3.0,31,Sprick Matthieu,40,Bouygues Telecom,\u25bc9,2,2006
33,123,2.0,32,Etxebarria Unai,41,Euskaltel - Euskadi,\u25bc9,2,2006
31,142,2.0,,Ca\xf1ada David,42,Saunier Duval - Prodir,-,2,2006
28,196,2.0,33,Laurent Christophe,43,Agritubel,\u25bc10,2,2006
25,96,2.0,34,Karpets Vladimir,44,Caisse d'Epargne - Illes Balears,\u25bc10,2,2006
27,134,2.0,,Chavanel Sylvain,45,Cofidis,-,2,2006
25,101,67.0,3,Boonen Tom,1,Quickstep - Innergetic,\u25b22,3,2006
25,83,66.0,4,Bennati Daniele,2,Lampre-Fondital,\u25b22,3,2006
34,65,65.0,1,McEwen Robbie,3,Davitamon - Lotto,\u25bc2,3,2006
28,118,62.0,2,Hushovd Thor,4,Cr\xe9dit Agricole,\u25bc2,3,2006
35,181,59.0,6,Zabel Erik,5,Milram,\u25b21,3,2006
29,168,57.0,7,Paolini Luca,6,Liquigas,\u25b21,3,2006
30,56,54.0,8,Freire Oscar,7,Rabobank ProTeam,\u25b21,3,2006
32,13,43.0,5,O'Grady Stuart,8,CSC ProTeam,\u25bc3,3,2006
26,26,36.0,20,Rogers Michael,9,T-Mobile Team,\u25b211,3,2006
25,153,36.0,9,Eisel Bernhard,10,Fran\xe7aise des Jeux,\u25bc1,3,2006
28,133,35.0,10,Casper Jimmy,11,Cofidis,\u25bc1,3,2006
32,48,31.0,11,Wrolich Peter,12,Gerolsteiner,\u25bc1,3,2006
33,3,,14*,Hincapie George,13*,Discovery Channel,-,3,2006
29,125,28.0,12,Isasi Inaki,14,Euskaltel - Euskadi,\u25bc2,3,2006
27,24,25.0,,Kessler Matthias,15,T-Mobile Team,-,3,2006
24,149,24.0,13,Ventoso Francisco,16,Saunier Duval - Prodir,\u25bc3,3,2006
31,94,20.0,15,G\xe1lvez Isaac,17,Caisse d'Epargne - Illes Balears,\u25bc2,3,2006
23,154,19.0,16,Gilbert Philippe,18,Fran\xe7aise des Jeux,\u25bc2,3,2006
25,143,18.0,17,De La Fuente David,19,Saunier Duval - Prodir,\u25bc2,3,2006
32,25,17.0,36,Mazzoleni Eddy,20,T-Mobile Team,\u25b216,3,2006
33,172,16.0,18,Beneteau Walter,21,Bouygues Telecom,\u25bc3,3,2006
34,17,16.0,,Voigt Jens,22,CSC ProTeam,-,3,2006
29,61,15.0,29,Evans Cadel,23,Davitamon - Lotto,\u25b26,3,2006
33,136,15.0,19,Moreni Cristian,24,Cofidis,\u25bc5,3,2006
35,32,14.0,,Arrieta Jose Luis,25,AG2R Pr\xe9voyance,-,3,2006
25,162,13.0,22,Albasini Michael,26,Liquigas,\u25bc4,3,2006
35,46,12.0,,Totschnig Georg,27,Gerolsteiner,-,3,2006
29,73,11.0,23,Hunter Robert,28,Phonak Hearing Systems,\u25bc5,3,2006
26,47,11.0,,Wegmann Fabian,29,Gerolsteiner,-,3,2006
24,159,10.0,24,Vaugrenard Benoit,30,Fran\xe7aise des Jeux,\u25bc6,3,2006
27,18,,25*,Zabriskie David,31*,CSC ProTeam,-,3,2006
38,173,10.0,25,Brochard Laurent,31,Bouygues Telecom,\u25bc6,3,2006
31,112,10.0,,Botcharov Alexandre,32,Cr\xe9dit Agricole,-,3,2006
31,21,10.0,26,Kl\xf6den Andr\xe9as,33,T-Mobile Team,\u25bc7,3,2006
33,182,9.0,,Celestino Mirko,34,Milram,-,3,2006
26,177,9.0,27,Pineau J\xe9rome,35,Bouygues Telecom,\u25bc8,3,2006
33,8,9.0,,Rubiera Jos\xe9 Luis,36,Discovery Channel,-,3,2006
26,44,8.0,28,Lang Sebastian,37,Gerolsteiner,\u25bc9,3,2006
28,196,8.0,43,Laurent Christophe,38,Agritubel,\u25b25,3,2006
24,124,8.0,30,Hernandez Gutierrez Aitor,39,Euskaltel - Euskadi,\u25bc9,3,2006
31,152,8.0,31,Da Cruz Carlos,40,Fran\xe7aise des Jeux,\u25bc9,3,2006
26,7,7.0,32,Popovych Yaroslav,41,Discovery Channel,\u25bc9,3,2006
24,42,6.0,,Fothen Markus,42,Gerolsteiner,-,3,2006
31,163,5.0,34,B\xe4ckstedt Magnus,43,Liquigas,\u25bc9,3,2006
29,146,5.0,35,Millar David,44,Saunier Duval - Prodir,\u25bc9,3,2006
28,4,4.0,37,Martinez Egoi,45,Discovery Channel,\u25bc8,3,2006
22,147,4.0,,Ricco Riccardo,46,Saunier Duval - Prodir,-,3,2006
32,117,4.0,38,Hinault S\xe9bastien,47,Cr\xe9dit Agricole,\u25bc9,3,2006
33,9,4.0,39,Savoldelli Paolo,48,Discovery Channel,\u25bc9,3,2006
34,11,3.0,,Julich Bobby,49,CSC ProTeam,-,3,2006
30,71,,41*,Landis Floyd,51*,Phonak Hearing Systems,-,3,2006
31,14,3.0,,Sastre Carlos,50,CSC ProTeam,-,3,2006
31,142,2.0,42,Ca\xf1ada David,51,Saunier Duval - Prodir,\u25bc9,3,2006
24,179,2.0,40,Sprick Matthieu,52,Bouygues Telecom,\u25bc12,3,2006
33,123,2.0,41,Etxebarria Unai,53,Euskaltel - Euskadi,\u25bc12,3,2006
25,96,2.0,44,Karpets Vladimir,54,Caisse d'Epargne - Illes Balears,\u25bc10,3,2006
31,35,2.0,,Dessel Cyril,55,AG2R Pr\xe9voyance,-,3,2006
27,134,1.0,45,Chavanel Sylvain,56,Cofidis,\u25bc11,3,2006
34,65,100.0,3.0,McEwen Robbie,1,Davitamon - Lotto,\u25b22,4,2006
25,101,91.0,1.0,Boonen Tom,2,Quickstep - Innergetic,\u25bc1,4,2006
25,83,86.0,2.0,Bennati Daniele,3,Lampre-Fondital,\u25bc1,4,2006
30,56,80.0,7.0,Freire Oscar,4,Rabobank ProTeam,\u25b23,4,2006
28,118,62.0,4.0,Hushovd Thor,5,Cr\xe9dit Agricole,\u25bc1,4,2006
35,181,59.0,5.0,Zabel Erik,6,Milram,\u25bc1,4,2006
29,168,57.0,6.0,Paolini Luca,7,Liquigas,\u25bc1,4,2006
25,153,53.0,10.0,Eisel Bernhard,8,Fran\xe7aise des Jeux,\u25b22,4,2006
28,133,51.0,11.0,Casper Jimmy,9,Cofidis,\u25b22,4,2006
26,26,51.0,9.0,Rogers Michael,10,T-Mobile Team,\u25bc1,4,2006
31,94,50.0,17.0,G\xe1lvez Isaac,11,Caisse d'Epargne - Illes Balears,\u25b26,4,2006
24,149,43.0,16.0,Ventoso Francisco,12,Saunier Duval - Prodir,\u25b24,4,2006
32,13,43.0,8.0,O'Grady Stuart,13,CSC ProTeam,\u25bc5,4,2006
25,162,31.0,26.0,Albasini Michael,14,Liquigas,\u25b212,4,2006
32,48,31.0,12.0,Wrolich Peter,15,Gerolsteiner,\u25bc3,4,2006
29,125,28.0,14.0,Isasi Inaki,16,Euskaltel - Euskadi,\u25bc2,4,2006
27,24,25.0,15.0,Kessler Matthias,17,T-Mobile Team,\u25bc2,4,2006
28,4,22.0,45.0,Martinez Egoi,18,Discovery Channel,\u25b227,4,2006
38,173,22.0,31.0,Brochard Laurent,19,Bouygues Telecom,\u25b212,4,2006
27,43,22.0,,Kopp David,20,Gerolsteiner,-,4,2006
24,154,19.0,18.0,Gilbert Philippe,21,Fran\xe7aise des Jeux,\u25bc3,4,2006
25,143,18.0,19.0,De La Fuente David,22,Saunier Duval - Prodir,\u25bc3,4,2006
31,21,17.0,33.0,Kl\xf6den Andr\xe9as,23,T-Mobile Team,\u25b210,4,2006
32,25,17.0,20.0,Mazzoleni Eddy,24,T-Mobile Team,\u25bc4,4,2006
33,172,16.0,21.0,Beneteau Walter,25,Bouygues Telecom,\u25bc4,4,2006
34,17,16.0,22.0,Voigt Jens,26,CSC ProTeam,\u25bc4,4,2006
31,112,16.0,32.0,Botcharov Alexandre,27,Cr\xe9dit Agricole,\u25b25,4,2006
29,61,15.0,23.0,Evans Cadel,28,Davitamon - Lotto,\u25bc5,4,2006
26,7,15.0,41.0,Popovych Yaroslav,29,Discovery Channel,\u25b212,4,2006
33,136,15.0,24.0,Moreni Cristian,30,Cofidis,\u25bc6,4,2006
35,32,14.0,25.0,Arrieta Jose Luis,31,AG2R Pr\xe9voyance,\u25bc6,4,2006
26,175,14.0,,Geslin Anthony,32,Bouygues Telecom,-,4,2006
35,46,12.0,27.0,Totschnig Georg,33,Gerolsteiner,\u25bc6,4,2006
29,73,11.0,28.0,Hunter Robert,34,Phonak Hearing Systems,\u25bc6,4,2006
26,47,11.0,29.0,Wegmann Fabian,35,Gerolsteiner,\u25bc6,4,2006
24,135,11.0,,Coyot Arnaud,36,Cofidis,-,4,2006
