Rnk,Rider,Age,Team,Pnt,year,stage
1,Rodriguez Fred,26,Mapei - Quickstep,55,2000,10
2,Fincato Marco,29,Fassa Bortolo,46,2000,10
3,Belli Wladimir,29,Fassa Bortolo,45,2000,10
4,Teutenberg Sven,27,Gerolsteiner,41,2000,10
5,Strauss Marcel,23,,36,2000,10
6,Mazzoleni Eddy,26,Saeco,32,2000,10
7,Commesso Salvatore,25,Saeco,32,2000,10
8,Garzelli Stefano,26,Mercatone Uno - Albacom,31,2000,10
9,Frigo Dario,26,Fassa Bortolo,30,2000,10
10,Zberg Markus,25,Rabobank ProTeam,29,2000,10
11,Zanini Stefano,31,Mapei - Quickstep,26,2000,10
12,Virenque Richard,30,Polti,25,2000,10
13,Heule Christian,25,,24,2000,10
14,Haselbacher Rene,22,Gerolsteiner,24,2000,10
15,M\xfchlbacher Thomas,26,Gerolsteiner,20,2000,10
16,Boogerd Michael,28,Rabobank ProTeam,20,2000,10
17,Camenzind Oscar,28,Lampre - Daikin,19,2000,10
18,Mattan Nico,28,Cofidis,18,2000,10
19,den Bakker Maarten,31,Rabobank ProTeam,16,2000,10
20,R\xfctimann Stefan,21,,16,2000,10
21,Herv\xe9 Pascal,35,Polti,15,2000,10
22,Secchiari Francesco,27,Saeco,15,2000,10
23,Ullrich Jan,26,Team Telekom,15,2000,10
24,Buxhofer Matthias,26,Phonak Hearing Systems,15,2000,10
25,Bartoli Michele,30,Mapei - Quickstep,14,2000,10
26,Lotz Marc,26,Rabobank ProTeam,13,2000,10
27,Simoni Gilberto,28,Lampre - Daikin,12,2000,10
28,Rastelli Ellis,25,Liquigas - Pata,11,2000,10
29,Meier Armin,30,Saeco,10,2000,10
30,Gianetti Mauro,36,Vini Caldirola - Sidermec,10,2000,10
31,Garate Juan Manuel,24,Lampre - Daikin,10,2000,10
32,Mason Oscar,25,Mercatone Uno - Albacom,9,2000,10
33,Meier Roland,32,Cofidis,9,2000,10
34,Montgomery Sven,24,La Fran\xe7aise des Jeux,8,2000,10
35,Nardello Daniele,27,Mapei - Quickstep,8,2000,10
36,Teteriouk Andrei,32,Liquigas - Pata,7,2000,10
37,Podenzana Massimo,38,Mercatone Uno - Albacom,7,2000,10
38,Wesemann Steffen,29,Team Telekom,6,2000,10
39,Wauters Marc,31,Rabobank ProTeam,6,2000,10
40,Wrolich Peter,26,Gerolsteiner,6,2000,10
41,Cigana Massimo,25,Mercatone Uno - Albacom,5,2000,10
42,Poos Christian,22,,5,2000,10
43,De Paoli Daniele,26,Mercatone Uno - Albacom,3,2000,10
44,Mori Massimiliano,26,Saeco,3,2000,10
45,Baguet Serge,30,Lotto - Adecco,3,2000,10
46,S\xf8rensen Rolf,35,Rabobank ProTeam,2,2000,10
47,Atienza Daniel,25,Saeco,1,2000,10
48,Aebersold Niki,27,Rabobank ProTeam,1,2000,10
49,Tiralongo Paolo,22,Fassa Bortolo,1,2000,10
