Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,stage,year,▼▲
26,101,1,+0:00,,,Kittel Marcel,1,Team Giant - Shimano,4:44:07 4:44:07,+0:00,,1,2014,
24,51,2,+0:00,,,Sagan Peter,2,Cannondale,",, ,,",+0:00,,1,2014,
26,97,3,+0:00,,,Navardauskas Ramūnas,3,Garmin Sharp,",, ,,",+0:00,,1,2014,
22,153,4,+0:00,,,Coquard Bryan,4,Team Europcar,",, ,,",+0:00,,1,2014,
34,38,5,+0:00,,,Rogers Michael,5,Tinkoff - Saxo,",, ,,",+0:00,,1,2014,
29,1,6,+0:00,,,Froome Chris,6,Team Sky,",, ,,",+0:00,,1,2014,
27,23,7,+0:00,,,Kristoff Alexander,7,Team Katusha,",, ,,",+0:00,,1,2014,
25,68,8,+0:00,,,Vanmarcke Sep,8,Belkin-Pro Cycling Team,",, ,,",+0:00,,1,2014,
29,18,9,+0:00,,,Rojas José Joaquín,9,Movistar Team,",, ,,",+0:00,,1,2014,
33,182,10,+0:00,,,Albasini Michael,10,Orica GreenEDGE,",, ,,",+0:00,,1,2014,
33,163,11,+0:00,,,Cancellara Fabian,11,Trek Factory Racing,",, ,,",+0:00,,1,2014,
28,209,12,+0:00,,,Voss Paul,12,Team NetApp – Endura,",, ,,",+0:00,,1,2014,
29,148,13,+0:00,,,Van Avermaet Greg,13,BMC Racing Team,",, ,,",+0:00,,1,2014,
35,193,14,+0:00,,,Elmiger Martin,14,IAM Cycling,",, ,,",+0:00,,1,2014,
33,84,15,+0:00,,,Dumoulin Samuel,15,AG2R La Mondiale,",, ,,",+0:00,,1,2014,
27,183,16,+0:00,,,Clarke Simon,16,Orica GreenEDGE,",, ,,",+0:00,,1,2014,
28,8,17,+0:00,,,Thomas Geraint,17,Team Sky,",, ,,",+0:00,,1,2014,
31,135,18,+0:00,,,Greipel André,18,Lotto Belisol,",, ,,",+0:00,,1,2014,
31,103,19,+0:00,,,de Kort Koen,19,Team Giant - Shimano,",, ,,",+0:00,,1,2014,
31,131,20,+0:00,,,Van den Broeck Jurgen,20,Lotto Belisol,",, ,,",+0:00,,1,2014,
27,61,21,+0:00,,,Mollema Bauke,21,Belkin-Pro Cycling Team,",, ,,",+0:00,,1,2014,
31,31,22,+0:00,,,Contador Alberto,22,Tinkoff - Saxo,",, ,,",+0:00,,1,2014,
28,206,23,+0:00,,,Machado Tiago,23,Team NetApp – Endura,",, ,,",+0:00,,1,2014,
34,11,24,+0:00,,,Valverde Alejandro,24,Movistar Team,",, ,,",+0:00,,1,2014,
28,92,25,+0:00,,,Acevedo Janier,25,Garmin Sharp,",, ,,",+0:00,,1,2014,
26,201,26,+0:00,,,König Leopold,26,Team NetApp – Endura,",, ,,",+0:00,,1,2014,
35,192,27,+0:00,,,Chavanel Sylvain,27,IAM Cycling,",, ,,",+0:00,,1,2014,
29,7,28,+0:00,,,Porte Richie,28,Team Sky,",, ,,",+0:00,,1,2014,
29,42,29,+0:00,,,Fuglsang Jakob,29,Astana Pro Team,",, ,,",+0:00,,1,2014,
24,213,30,+0:00,,,Delaplace Anthony,30,Bretagne - Séché Environnement,",, ,,",+0:00,,1,2014,
27,111,31,+0:00,,,Costa Rui,31,Lampre - Merida,",, ,,",+0:00,,1,2014,
25,141,32,+0:00,,,van Garderen Tejay,32,BMC Racing Team,",, ,,",+0:00,,1,2014,
37,169,33,+0:00,,,Zubeldia Haimar,33,Trek Factory Racing,",, ,,",+0:00,,1,2014,
29,41,34,+0:00,,,Nibali Vincenzo,34,Astana Pro Team,",, ,,",+0:00,,1,2014,
37,81,35,+0:00,,,Peraud Jean-Christophe,35,AG2R La Mondiale,",, ,,",+0:00,,1,2014,
23,82,36,+0:00,,,Bardet Romain,36,AG2R La Mondiale,",, ,,",+0:00,,1,2014,
25,215,37,+0:00,,,Fonseca Armindo,37,Bretagne - Séché Environnement,",, ,,",+0:00,,1,2014,
27,46,38,+0:00,,,Kangert Tanel,38,Astana Pro Team,",, ,,",+0:00,,1,2014,
27,64,39,+0:00,,,Kruijswijk Steven,39,Belkin-Pro Cycling Team,",, ,,",+0:00,,1,2014,
35,66,40,+0:00,,,Tankink Bram,40,Belkin-Pro Cycling Team,",, ,,",+0:00,,1,2014,
24,127,41,+0:00,,,Pinot Thibaut,41,FDJ.fr,",, ,,",+0:00,,1,2014,
25,129,42,+0:00,,,Vichot Arthur,42,FDJ.fr,",, ,,",+0:00,,1,2014,
25,98,43,+0:00,,,Slagter Tom-Jelte,43,Garmin Sharp,",, ,,",+0:00,,1,2014,
29,166,44,+0:00,,,Schleck Andy,44,Trek Factory Racing,",, ,,",+0:00,,1,2014,
29,149,45,+0:00,,,Velits Peter,45,BMC Racing Team,",, ,,",+0:00,,1,2014,
30,37,46,+0:00,,,Roche Nicolas,46,Tinkoff - Saxo,",, ,,",+0:00,,1,2014,
30,5,47,+0:00,,,Nieve Mikel,47,Team Sky,",, ,,",+0:00,,1,2014,
29,202,48,+0:00,,,Bárta Jan,48,Team NetApp – Endura,",, ,,",+0:00,,1,2014,
25,16,49,+0:00,,,Izagirre Ion,49,Movistar Team,",, ,,",+0:00,,1,2014,
34,197,50,+0:00,,,Pineau Jérôme,50,IAM Cycling,",, ,,",+0:00,,1,2014,
20,167,51,+0:00,,,van Poppel Danny,51,Trek Factory Racing,",, ,,",+0:00,,1,2014,
33,205,52,+0:00,,,Huzarski Bartosz,52,Team NetApp – Endura,",, ,,",+0:00,,1,2014,
30,214,53,+0:00,,,Feillu Romain,53,Bretagne - Séché Environnement,",, ,,",+0:00,,1,2014,
27,191,54,+0:00,,,Frank Mathias,54,IAM Cycling,",, ,,",+0:00,,1,2014,
28,211,55,+0:00,,,Feillu Brice,55,Bretagne - Séché Environnement,",, ,,",+0:00,,1,2014,
29,93,56,+0:00,,,Bauer Jack,56,Garmin Sharp,",, ,,",+0:00,,1,2014,
27,151,57,+0:00,,,Rolland Pierre,57,Team Europcar,",, ,,",+0:00,,1,2014,
33,67,58,+0:00,,,ten Dam Laurens,58,Belkin-Pro Cycling Team,",, ,,",+0:00,,1,2014,
34,161,59,+0:00,,,Schleck Fränk,59,Trek Factory Racing,",, ,,",+0:00,,1,2014,
22,121,60,+0:00,,,Démare Arnaud,60,FDJ.fr,",, ,,",+0:00,,1,2014,
21,189,61,+0:00,,,Yates Simon,61,Orica GreenEDGE,",, ,,",+0:00,,1,2014,
31,49,62,+0:00,,,Westra Lieuwe,62,Astana Pro Team,",, ,,",+0:00,,1,2014,
25,116,63,+0:00,,,Oliveira Nelson,63,Lampre - Merida,",, ,,",+0:00,,1,2014,
42,114,64,+0:00,,,Horner Chris,64,Lampre - Merida,",, ,,",+0:00,,1,2014,
26,154,65,+0:00,,,Gautier Cyril,65,Team Europcar,",, ,,",+0:00,,1,2014,
34,47,66,+0:00,,,Scarponi Michele,66,Astana Pro Team,",, ,,",+0:00,,1,2014,
26,142,67,+0:00,,,Atapuma Darwin,67,BMC Racing Team,",, ,,",+0:00,,1,2014,
26,85,68,+0:00,,,Gastauer Ben,68,AG2R La Mondiale,",, ,,",+0:00,,1,2014,
26,147,69,+0:00,,,Stetina Peter,69,BMC Racing Team,",, ,,",+0:00,,1,2014,
34,165,70,+0:00,,,Rast Grégory,70,Trek Factory Racing,",, ,,",+0:00,,1,2014,
26,26,71,+0:00,,,Silin Egor,71,Team Katusha,",, ,,",+0:00,,1,2014,
35,118,72,+0:00,,,Serpa José Rodolfo,72,Lampre - Merida,",, ,,",+0:00,,1,2014,
23,14,73,+0:00,,,Herrada Jesús,73,Movistar Team,",, ,,",+0:00,,1,2014,
34,164,74,+0:00,,,Irizar Markel,74,Trek Factory Racing,",, ,,",+0:00,,1,2014,
28,25,75,+0:00,,,Porsev Alexander,75,Team Katusha,",, ,,",+0:00,,1,2014,
35,159,76,+0:00,,,Voeckler Thomas,76,Team Europcar,",, ,,",+0:00,,1,2014,
25,198,77,+0:00,,,Reichenbach Sébastien,77,IAM Cycling,",, ,,",+0:00,,1,2014,
30,29,78,+0:00,,,Trofimov Yuri,78,Team Katusha,",, ,,",+0:00,,1,2014,
27,86,79,+0:00,,,Kadri Blel,79,AG2R La Mondiale,",, ,,",+0:00,,1,2014,
30,43,80,+0:00,,,Grivko Andrey,80,Astana Pro Team,",, ,,",+0:00,,1,2014,
32,144,81,+0:00,,,Moinard Amaël,81,BMC Racing Team,",, ,,",+0:00,,1,2014,
33,4,82,+0:00,,,López David,82,Team Sky,",, ,,",+0:00,,1,2014,
29,162,83,+0:00,,,Busche Matthew,83,Trek Factory Racing,",, ,,",+0:00,,1,2014,
29,58,84,+0:00,,,Sabatini Fabio,84,Cannondale,",, ,,",+0:00,,1,2014,
23,106,85,+0:00,,,Dumoulin Tom,85,Team Giant - Shimano,",, ,,",+0:00,,1,2014,
24,176,86,+0:00,,,Molard Rudy,86,"Cofidis, Solutions Crédits",",, ,,",+0:00,,1,2014,
27,179,87,+0:00,,,Taaramäe Rein,87,"Cofidis, Solutions Crédits",",, ,,",+0:00,,1,2014,
29,75,88,+0:00,,,Martin Tony,88,Omega Pharma - Quick-Step,",, ,,",+0:00,,1,2014,
30,171,89,+0:00,,,Navarro Daniel,89,"Cofidis, Solutions Crédits",",, ,,",+0:00,,1,2014,
29,152,90,+0:00,,,Arashiro Yukiya,90,Team Europcar,",, ,,",+0:00,,1,2014,
29,138,91,+0:00,,,Roelandts Jürgen,91,Lotto Belisol,",, ,,",+0:00,,1,2014,
25,104,92,+0:00,,,Degenkolb John,92,Team Giant - Shimano,",, ,,",+0:00,,1,2014,
32,69,93,+0:00,,,Wynants Maarten,93,Belkin-Pro Cycling Team,",, ,,",+0:00,,1,2014,
28,124,94,+0:00,,,Jeannesson Arnold,94,FDJ.fr,",, ,,",+0:00,,1,2014,
34,102,95,+0:00,,,Curvers Roy,95,Team Giant - Shimano,",, ,,",+0:00,,1,2014,
25,95,96,+0:00,,,King Ben,96,Garmin Sharp,",, ,,",+0:00,,1,2014,
31,156,97,+0:00,,,Pichot Alexandre,97,Team Europcar,",, ,,",+0:00,,1,2014,
30,212,98,+0:00,,,Bideau Jean Marc,98,Bretagne - Séché Environnement,",, ,,",+0:00,,1,2014,
30,175,99,+0:00,,,Maté Luis Ángel,99,"Cofidis, Solutions Crédits",",, ,,",+0:00,,1,2014,
31,128,100,+0:00,,,Roy Jérémy,100,FDJ.fr,",, ,,",+0:00,,1,2014,
28,173,101,+0:00,,,García Egoitz,101,"Cofidis, Solutions Crédits",",, ,,",+0:00,,1,2014,
33,45,102,+0:00,,,Iglinskiy Maxim,102,Astana Pro Team,",, ,,",+0:00,,1,2014,
35,13,103,+0:00,,,Gadret John,103,Movistar Team,",, ,,",+0:00,,1,2014,
33,3,104,+0:00,,,Kiryienka Vasil,104,Team Sky,",, ,,",+0:00,,1,2014,
33,155,105,+0:00,,,Gène Yohann,105,Team Europcar,",, ,,",+0:00,,1,2014,
27,146,106,+0:00,,,Schär Michael,106,BMC Racing Team,",, ,,",+0:00,,1,2014,
33,2,107,+0:00,,,Eisel Bernhard,107,Team Sky,",, ,,",+0:00,,1,2014,
28,44,108,+0:00,,,Gruzdev Dmitriy,108,Astana Pro Team,",, ,,",+0:00,,1,2014,
27,133,109,+0:00,,,De Clercq Bart,109,Lotto Belisol,",, ,,",+0:00,,1,2014,
31,217,110,+0:00,,,Guillou Florian,110,Bretagne - Séché Environnement,",, ,,",+0:00,,1,2014,
28,72,111,+0:00,,,Bakelants Jan,111,Omega Pharma - Quick-Step,",, ,,",+0:00,,1,2014,
37,24,112,+0:00,,,Paolini Luca,112,Team Katusha,",, ,,",+0:00,,1,2014,
26,134,113,+0:00,,,Gallopin Tony,113,Lotto Belisol,",, ,,",+0:00,,1,2014,
32,139,114,+0:00,,,Sieberg Marcel,114,Lotto Belisol,",, ,,",+0:00,,1,2014,
29,52,115,+0:00,,,Bodnar Maciej,115,Cannondale,",, ,,",+0:00,,1,2014,
26,172,116,+0:00,,,Edet Nicolas,116,"Cofidis, Solutions Crédits",",, ,,",+0:00,,1,2014,
30,105,117,+0:00,,,Devenyns Dries,117,Team Giant - Shimano,",, ,,",+0:00,,1,2014,
28,195,118,+0:00,,,Hollenstein Reto,118,IAM Cycling,",, ,,",+0:00,,1,2014,
29,126,119,+0:00,,,Pineau Cédric,119,FDJ.fr,",, ,,",+0:00,,1,2014,
32,122,120,+0:00,,,Bonnet William,120,FDJ.fr,",, ,,",+0:00,,1,2014,
30,56,121,+0:00,,,Marcato Marco,121,Cannondale,",, ,,",+0:00,,1,2014,
33,48,122,+0:00,,,Vanotti Alessandro,122,Astana Pro Team,",, ,,",+0:00,,1,2014,
30,88,123,+0:00,,,Montaguti Matteo,123,AG2R La Mondiale,",, ,,",+0:00,,1,2014,
31,77,124,+0:00,,,Renshaw Mark,124,Omega Pharma - Quick-Step,",, ,,",+0:00,,1,2014,
27,119,125,+0:00,,,Valls Rafael,125,Lampre - Merida,",, ,,",+0:00,,1,2014,
30,12,126,+0:00,,,Erviti Imanol,126,Movistar Team,",, ,,",+0:00,,1,2014,
34,17,127,+0:00,,,Plaza Rubén,127,Movistar Team,",, ,,",+0:00,,1,2014,
42,168,128,+0:00,,,Voigt Jens,128,Trek Factory Racing,",, ,,",+0:00,,1,2014,
37,9,129,+0:00,,,Zandio Xabier,129,Team Sky,",, ,,",+0:00,,1,2014,
26,113,130,+0:00,,,Đurasek Kristijan,130,Lampre - Merida,",, ,,",+0:00,,1,2014,
28,28,131,+0:00,,,Špilak Simon,131,Team Katusha,",, ,,",+0:00,,1,2014,
26,94,132,+0:00,,,Howes Alex,132,Garmin Sharp,",, ,,",+0:00,,1,2014,
28,15,133,+0:00,,,Intxausti Beñat,133,Movistar Team,",, ,,",+0:00,,1,2014,
31,19,134,+0:00,,,Visconti Giovanni,134,Movistar Team,",, ,,",+0:00,,1,2014,
27,55,135,+0:00,,,Koren Kristijan,135,Cannondale,",, ,,",+0:00,,1,2014,
34,36,136,+0:00,,,Paulinho Sérgio Miguel,136,Tinkoff - Saxo,",, ,,",+0:00,,1,2014,
29,125,137,+0:00,,,Ladagnous Matthieu,137,FDJ.fr,",, ,,",+0:00,,1,2014,
29,216,138,+0:00,,,Gérard Arnaud,138,Bretagne - Séché Environnement,",, ,,",+0:00,,1,2014,
29,207,139,+0:00,,,Mendes José,139,Team NetApp – Endura,",, ,,",+0:00,,1,2014,
28,123,140,+0:00,,,Delage Mickaël,140,FDJ.fr,",, ,,",+0:00,,1,2014,
