Age,BIB,Pnt,Prev,Rider,Rnk,Team,stage,year,▼▲
31,12,20.0,,Cancellara Fabian,1,RadioShack - Nissan,0,2012,
32,101,17.0,,Wiggins Bradley,2,Sky Procycling,0,2012,
33,192,15.0,,Chavanel Sylvain,3,Omega Pharma - Quick-Step,0,2012,
23,9,13.0,,van Garderen Tejay,4,BMC Racing Team,0,2012,
25,102,11.0,,Boasson Hagen Edvald,5,Sky Procycling,0,2012,
32,206,10.0,,Lancaster Brett,6,Orica GreenEDGE,0,2012,
25,215,9.0,,Gretsch Patrick,7,Argos - Shimano,0,2012,
34,131,,,Menchov Denis,8*,Team Katusha,0,2012,
29,4,7.0,,Gilbert Philippe,9,BMC Racing Team,0,2012,
28,184,6.0,,Grivko Andrey,10,Astana Pro Team,0,2012,
27,105,5.0,,Froome Chris,11,Sky Procycling,0,2012,
27,199,4.0,,Velits Peter,12,Omega Pharma - Quick-Step,0,2012,
35,1,3.0,,Evans Cadel,13,BMC Racing Team,0,2012,
27,51,2.0,,Nibali Vincenzo,14,Liquigas - Cannondale,0,2012,
31,61,1.0,,Hesjedal Ryder,15,Garmin Sharp,0,2012,
31,12,55.0,1,Cancellara Fabian,1,RadioShack - Nissan,1,2012,-
22,57,49.0,,Sagan Peter,2,Liquigas - Cannondale,1,2012,-
25,102,42.0,5,Boasson Hagen Edvald,3,Sky Procycling,1,2012,▲2
29,4,33.0,9,Gilbert Philippe,4,BMC Racing Team,1,2012,▲5
33,192,23.0,3,Chavanel Sylvain,5,Omega Pharma - Quick-Step,1,2012,▼2
25,153,22.0,,Mollema Bauke,6,Rabobank Cycling Team,1,2012,-
31,25,20.0,,Gène Yohann,7,Team Europcar,1,2012,-
32,161,20.0,,Valverde Alejandro,8,Movistar Team,1,2012,-
26,151,18.0,,Gesink Robert,9,Rabobank Cycling Team,1,2012,-
32,101,17.0,2,Wiggins Bradley,10,Sky Procycling,1,2012,▼8
32,38,17.0,,Urtasun Pablo,11,Euskaltel - Euskadi,1,2012,-
25,65,16.0,,Martin Dan,12,Garmin Sharp,1,2012,-
31,61,15.0,15,Hesjedal Ryder,13,Garmin Sharp,1,2012,▲2
24,84,15.0,,Edet Nicolas,14,"Cofidis, le Crédit en Ligne",1,2012,-
23,9,13.0,4,van Garderen Tejay,15,BMC Racing Team,1,2012,▼11
22,92,13.0,,Delaplace Anthony,16,Saur - Sojasun,1,2012,-
28,194,12.0,,Devenyns Dries,17,Omega Pharma - Quick-Step,1,2012,-
25,72,11.0,,Bouet Maxime,18,AG2R La Mondiale,1,2012,-
29,111,10.0,,Van den Broeck Jurgen,19,Lotto Belisol Team,1,2012,-
32,206,10.0,6,Lancaster Brett,20,Orica GreenEDGE,1,2012,▼14
27,175,10.0,,Mørkøv Michael,21,Team Saxo Bank - Tinkoff Bank,1,2012,-
25,204,9.0,,Goss Matthew,22,Orica GreenEDGE,1,2012,-
25,215,9.0,7,Gretsch Patrick,23,Argos - Shimano,1,2012,▼16
34,131,,8*,Menchov Denis,24*,Team Katusha,1,2012,-
27,103,8.0,,Cavendish Mark,25,Sky Procycling,1,2012,-
29,114,7.0,,Greipel André,26,Lotto Belisol Team,1,2012,-
32,201,6.0,,Gerrans Simon,27,Orica GreenEDGE,1,2012,-
28,184,6.0,10,Grivko Andrey,28,Astana Pro Team,1,2012,▼18
29,154,6.0,,Renshaw Mark,29,Rabobank Cycling Team,1,2012,-
27,105,5.0,11,Froome Chris,30,Sky Procycling,1,2012,▼19
29,129,5.0,,van Hummel Kenny,31,Vacansoleil - DCM,1,2012,-
27,51,4.0,14,Nibali Vincenzo,32,Liquigas - Cannondale,1,2012,▼18
31,83,4.0,,Dumoulin Samuel,33,"Cofidis, le Crédit en Ligne",1,2012,-
27,199,4.0,12,Velits Peter,34,Omega Pharma - Quick-Step,1,2012,▼22
35,1,3.0,13,Evans Cadel,35,BMC Racing Team,1,2012,▼22
27,169,3.0,,Rojas José Joaquín,36,Movistar Team,1,2012,-
31,182,2.0,,Božič Borut,37,Astana Pro Team,1,2012,-
22,57,78.0,2,Sagan Peter,1,Liquigas - Cannondale,2,2012,▲1
27,103,63.0,25,Cavendish Mark,2,Sky Procycling,2,2012,▲23
31,12,55.0,1,Cancellara Fabian,3,RadioShack - Nissan,2,2012,▼2
25,204,52.0,22,Goss Matthew,4,Orica GreenEDGE,2,2012,▲18
25,102,42.0,3,Boasson Hagen Edvald,5,Sky Procycling,2,2012,▼2
29,114,42.0,26,Greipel André,6,Lotto Belisol Team,2,2012,▲20
29,4,33.0,4,Gilbert Philippe,7,BMC Racing Team,2,2012,▼3
29,154,31.0,29,Renshaw Mark,8,Rabobank Cycling Team,2,2012,▲21
27,219,26.0,,Veelers Tom,9,Argos - Shimano,2,2012,-
27,175,25.0,21,Mørkøv Michael,10,Team Saxo Bank - Tinkoff Bank,2,2012,▲11
38,47,24.0,,Petacchi Alessandro,11,Lampre - ISD,2,2012,-
33,192,23.0,5,Chavanel Sylvain,12,Omega Pharma - Quick-Step,2,2012,▼7
25,153,22.0,6,Mollema Bauke,13,Rabobank Cycling Team,2,2012,▼7
31,27,20.0,,Kern Christophe,14,Team Europcar,2,2012,-
31,25,20.0,7,Gène Yohann,15,Team Europcar,2,2012,▼8
32,161,20.0,8,Valverde Alejandro,16,Movistar Team,2,2012,▼8
26,151,18.0,9,Gesink Robert,17,Rabobank Cycling Team,2,2012,▼8
28,143,18.0,,Hutarovich Yauheni,18,FDJ - BigMat,2,2012,-
32,38,17.0,11,Urtasun Pablo,19,Euskaltel - Euskadi,2,2012,▼8
25,147,17.0,,Roux Anthony,20,FDJ - BigMat,2,2012,-
32,101,17.0,10,Wiggins Bradley,21,Sky Procycling,2,2012,▼11
29,129,17.0,31,van Hummel Kenny,22,Vacansoleil - DCM,2,2012,▲9
32,206,16.0,20,Lancaster Brett,23,Orica GreenEDGE,2,2012,▼3
31,172,16.0,,Haedo Juan José,24,Team Saxo Bank - Tinkoff Bank,2,2012,-
