Age,BIB,Pnt,Prev,Rider,Rnk,Team,stage,year,▼▲
27.0,181.0,,,Armstrong Lance,1*,US Postal Service,0,1999,
30.0,161.0,12.0,,Zülle Alex,2,Banesto,0,1999,
29.0,51.0,10.0,,Olano Abraham,3,O.N.C.E. - Deutsche Bank,0,1999,
28.0,148.0,8.0,,Moreau Christophe,4,Festina - Lotus,0,1999,
30.0,133.0,6.0,,Boardman Chris,5,Credit agricole,0,1999,
24.0,87.0,5.0,,Verbrugghe Rik,6,Lotto - Mobistar,0,1999,
25.0,91.0,4.0,,Vinokourov Alexandre,7,Casino - AG2R,0,1999,
25.0,55.0,3.0,,González Santos,8,O.N.C.E. - Deutsche Bank,0,1999,
31.0,142.0,2.0,,Brochard Laurent,9,Festina - Lotus,0,1999,
30.0,97.0,1.0,,Maignan Gilles,10,Casino - AG2R,0,1999,
29.0,96.0,39.0,,Kirsipuu Jaan,1,Casino - AG2R,1,1999,-
27.0,39.0,30.0,,Steels Tom,2,Mapei - Quickstep,1,1999,-
25.0,136.0,30.0,,O'Grady Stuart,3,Credit agricole,1,1999,-
28.0,21.0,28.0,,Zabel Erik,4,Team Telekom,1,1999,-
28.0,148.0,24.0,4.0,Moreau Christophe,5,Festina - Lotus,1,1999,▼1
36.0,66.0,22.0,,Martinello Silvio,6,Polti,1,1999,-
26.0,185.0,22.0,,Hincapie George,7,US Postal Service,1,1999,-
21.0,153.0,20.0,,Casper Jimmy,8,La Française des Jeux,1,1999,-
29.0,178.0,19.0,,Minali Nicola,9,Cantina Tollo - Alexia Alluminio,1,1999,-
30.0,131.0,17.0,,Simon François,10,Credit agricole,1,1999,-
24.0,194.0,15.0,,Da Cruz Carlos,11,BigMat - Auber 93,1,1999,-
31.0,193.0,14.0,,Capelle Christophe,13,BigMat - Auber 93,1,1999,-
23.0,199.0,13.0,,Sweet Jay,14,BigMat - Auber 93,1,1999,-
23.0,174.0,12.0,,Di Biase Moreno,15,Cantina Tollo - Alexia Alluminio,1,1999,-
30.0,161.0,12.0,2.0,Zülle Alex,16,Banesto,1,1999,▼14
30.0,195.0,12.0,,Gouvenou Thierry,17,BigMat - Auber 93,1,1999,-
25.0,134.0,11.0,,Hinault Sébastien,18,Credit agricole,1,1999,-
27.0,47.0,10.0,,van Bon Léon,19,Rabobank ProTeam,1,1999,-
29.0,51.0,10.0,3.0,Olano Abraham,20,O.N.C.E. - Deutsche Bank,1,1999,▼17
27.0,122.0,9.0,,Aggiano Elio,21,Vitalicio Seguros - Grupo Generali,1,1999,-
26.0,92.0,9.0,,Barthe Stéphane,22,Casino - AG2R,1,1999,-
24.0,127.0,8.0,,Horrillo Pedro,23,Vitalicio Seguros - Grupo Generali,1,1999,-
27.0,46.0,7.0,,McEwen Robbie,24,Rabobank ProTeam,1,1999,-
26.0,179.0,6.0,,Mondini Gianpaolo,25,Cantina Tollo - Alexia Alluminio,1,1999,-
30.0,133.0,6.0,5.0,Boardman Chris,26,Credit agricole,1,1999,▼21
31.0,109.0,5.0,,Verstrepen Johan,27,Lampre - Daikin - Colnago,1,1999,-
24.0,87.0,5.0,6.0,Verbrugghe Rik,28,Lotto - Mobistar,1,1999,▼22
24.0,132.0,4.0,,Bäckstedt Magnus,29,Credit agricole,1,1999,-
25.0,91.0,4.0,7.0,Vinokourov Alexandre,30,Casino - AG2R,1,1999,▼23
25.0,55.0,3.0,8.0,González Santos,31,O.N.C.E. - Deutsche Bank,1,1999,▼23
24.0,82.0,2.0,,De Waele Fabian,32,Lotto - Mobistar,1,1999,-
31.0,142.0,2.0,9.0,Brochard Laurent,33,Festina - Lotus,1,1999,▼24
23.0,188.0,2.0,,Vande Velde Christian,34,US Postal Service,1,1999,-
30.0,157.0,1.0,,Michaelsen Lars,35,La Française des Jeux,1,1999,-
30.0,97.0,1.0,10.0,Maignan Gilles,36,Casino - AG2R,1,1999,▼26
29.0,96.0,105.0,1.0,Kirsipuu Jaan,1,Casino - AG2R,3,1999,-
27.0,39.0,100.0,2.0,Steels Tom,2,Mapei - Quickstep,3,1999,-
25.0,136.0,85.0,3.0,O'Grady Stuart,3,Credit agricole,3,1999,-
28.0,21.0,84.0,4.0,Zabel Erik,4,Team Telekom,3,1999,-
26.0,185.0,72.0,5.0,Hincapie George,5,US Postal Service,3,1999,-
21.0,153.0,62.0,6.0,Casper Jimmy,6,La Française des Jeux,3,1999,-
36.0,66.0,58.0,7.0,Martinello Silvio,7,Polti,3,1999,-
28.0,148.0,50.0,8.0,Moreau Christophe,8,Festina - Lotus,3,1999,-
30.0,131.0,48.0,9.0,Simon François,9,Credit agricole,3,1999,-
29.0,178.0,43.0,14.0,Minali Nicola,10,Cantina Tollo - Alexia Alluminio,3,1999,▲4
31.0,193.0,43.0,10.0,Capelle Christophe,11,BigMat - Auber 93,3,1999,▼1
32.0,71.0,42.0,11.0,Cipollini Mario,12,Saeco - Cannondale,3,1999,▼1
27.0,46.0,26.0,32.0,McEwen Robbie,13,Rabobank ProTeam,3,1999,▲19
27.0,122.0,26.0,27.0,Aggiano Elio,14,Vitalicio Seguros - Grupo Generali,3,1999,▲13
25.0,134.0,25.0,12.0,Hinault Sébastien,15,Credit agricole,3,1999,▼3
30.0,108.0,19.0,13.0,Svorada Ján,16,Lampre - Daikin - Colnago,3,1999,▼3
24.0,194.0,15.0,15.0,Da Cruz Carlos,18,BigMat - Auber 93,3,1999,▼3
29.0,51.0,15.0,16.0,Olano Abraham,19,O.N.C.E. - Deutsche Bank,3,1999,▼3
24.0,82.0,14.0,18.0,De Waele Fabian,20,Lotto - Mobistar,3,1999,▼2
23.0,199.0,13.0,19.0,Sweet Jay,21,BigMat - Auber 93,3,1999,▼2
26.0,92.0,13.0,28.0,Barthe Stéphane,22,Casino - AG2R,3,1999,▲6
23.0,174.0,12.0,20.0,Di Biase Moreno,23,Cantina Tollo - Alexia Alluminio,3,1999,▼3
31.0,161.0,12.0,21.0,Zülle Alex,24,Banesto,3,1999,▼3
30.0,195.0,12.0,22.0,Gouvenou Thierry,25,BigMat - Auber 93,3,1999,▼3
27.0,154.0,12.0,,Guesdon Frédéric,26,La Française des Jeux,3,1999,-
25.0,53.0,11.0,,Etxebarria David,27,O.N.C.E. - Deutsche Bank,3,1999,-
33.0,107.0,11.0,23.0,Spruch Zbigniew,28,Lampre - Daikin - Colnago,3,1999,▼5
27.0,62.0,10.0,,Brasi Rossano,29,Polti,3,1999,-
27.0,47.0,10.0,25.0,van Bon Léon,30,Rabobank ProTeam,3,1999,▼5
25.0,138.0,10.0,24.0,Vogels Henk,31,Credit agricole,3,1999,▼7
25.0,56.0,9.0,,Pérez Luis,32,O.N.C.E. - Deutsche Bank,3,1999,-
28.0,42.0,9.0,26.0,Dekker Erik,33,Rabobank ProTeam,3,1999,▼7
26.0,37.0,9.0,41.0,Merckx Axel,34,Mapei - Quickstep,3,1999,▲7
30.0,157.0,9.0,47.0,Michaelsen Lars,35,La Française des Jeux,3,1999,▲12
24.0,81.0,8.0,29.0,Aerts Mario,36,Lotto - Mobistar,3,1999,▼7
24.0,127.0,8.0,30.0,Horrillo Pedro,37,Vitalicio Seguros - Grupo Generali,3,1999,▼7
24.0,175.0,8.0,,Giunti Massimo,38,Cantina Tollo - Alexia Alluminio,3,1999,-
26.0,89.0,7.0,,Wuyts Peter,39,Lotto - Mobistar,3,1999,-
28.0,144.0,7.0,31.0,Huser Rolf,40,Festina - Lotus,3,1999,▼9
27.0,139.0,6.0,33.0,Voigt Jens,41,Credit agricole,3,1999,▼8
26.0,179.0,6.0,34.0,Mondini Gianpaolo,42,Cantina Tollo - Alexia Alluminio,3,1999,▼8
25.0,91.0,6.0,35.0,Vinokourov Alexandre,43,Casino - AG2R,3,1999,▼8
30.0,133.0,6.0,36.0,Boardman Chris,44,Credit agricole,3,1999,▼8
29.0,76.0,5.0,,Meier Armin,45,Saeco - Cannondale,3,1999,-
31.0,109.0,5.0,37.0,Verstrepen Johan,46,Lampre - Daikin - Colnago,3,1999,▼9
24.0,87.0,5.0,38.0,Verbrugghe Rik,47,Lotto - Mobistar,3,1999,▼9
28.0,141.0,4.0,,Belli Wladimir,48,Festina - Lotus,3,1999,-
26.0,121.0,4.0,39.0,Casero Ángel Luis,49,Vitalicio Seguros - Grupo Generali,3,1999,▼10
24.0,132.0,4.0,40.0,Bäckstedt Magnus,50,Credit agricole,3,1999,▼10
30.0,156.0,3.0,,Mengin Christophe,51,La Française des Jeux,3,1999,-
25.0,55.0,3.0,42.0,González Santos,52,O.N.C.E. - Deutsche Bank,3,1999,▼10
31.0,142.0,2.0,43.0,Brochard Laurent,53,Festina - Lotus,3,1999,▼10
25.0,159.0,2.0,45.0,Nazon Damien,54,La Française des Jeux,3,1999,▼9
23.0,188.0,2.0,44.0,Vande Velde Christian,55,US Postal Service,3,1999,▼11
28.0,155.0,1.0,,Heulot Stephane,56,La Française des Jeux,3,1999,-
34.0,78.0,1.0,46.0,Scirea Mario,57,Saeco - Cannondale,3,1999,▼11
30.0,97.0,1.0,48.0,Maignan Gilles,58,Casino - AG2R,3,1999,▼10
29.0,96.0,131.0,1.0,Kirsipuu Jaan,1,Casino - AG2R,4,1999,-
27.0,39.0,124.0,2.0,Steels Tom,2,Mapei - Quickstep,4,1999,-
29.0,21.0,114.0,4.0,Zabel Erik,3,Team Telekom,4,1999,▲1
25.0,136.0,111.0,3.0,O'Grady Stuart,4,Credit agricole,4,1999,▼1
26.0,185.0,89.0,5.0,Hincapie George,5,US Postal Service,4,1999,-
32.0,71.0,77.0,12.0,Cipollini Mario,6,Saeco - Cannondale,4,1999,▲6
21.0,153.0,76.0,6.0,Casper Jimmy,7,La Française des Jeux,4,1999,▼1
36.0,66.0,66.0,7.0,Martinello Silvio,8,Polti,4,1999,▼1
29.0,178.0,63.0,10.0,Minali Nicola,9,Cantina Tollo - Alexia Alluminio,4,1999,▲1
31.0,193.0,62.0,11.0,Capelle Christophe,10,BigMat - Auber 93,4,1999,▲1
30.0,131.0,61.0,9.0,Simon François,11,Credit agricole,4,1999,▼2
28.0,148.0,59.0,8.0,Moreau Christophe,12,Festina - Lotus,4,1999,▼4
27.0,46.0,41.0,13.0,McEwen Robbie,13,Rabobank ProTeam,4,1999,-
25.0,134.0,36.0,15.0,Hinault Sébastien,14,Credit agricole,4,1999,▲1
27.0,122.0,32.0,14.0,Aggiano Elio,15,Vitalicio Seguros - Grupo Generali,4,1999,▼1
30.0,108.0,31.0,16.0,Svorada Ján,16,Lampre - Daikin - Colnago,4,1999,-
23.0,199.0,29.0,21.0,Sweet Jay,17,BigMat - Auber 93,4,1999,▲4
24.0,194.0,25.0,18.0,Da Cruz Carlos,18,BigMat - Auber 93,4,1999,-
25.0,159.0,20.0,54.0,Nazon Damien,19,La Française des Jeux,4,1999,▲35
26.0,179.0,20.0,42.0,Mondini Gianpaolo,20,Cantina Tollo - Alexia Alluminio,4,1999,▲22
24.0,82.0,19.0,20.0,De Waele Fabian,21,Lotto - Mobistar,4,1999,▼1
30.0,157.0,16.0,35.0,Michaelsen Lars,23,La Française des Jeux,4,1999,▲12
29.0,51.0,15.0,19.0,Olano Abraham,24,O.N.C.E. - Deutsche Bank,4,1999,▼5
33.0,107.0,13.0,28.0,Spruch Zbigniew,25,Lampre - Daikin - Colnago,4,1999,▲3
26.0,92.0,13.0,22.0,Barthe Stéphane,26,Casino - AG2R,4,1999,▼4
23.0,174.0,12.0,23.0,Di Biase Moreno,27,Cantina Tollo - Alexia Alluminio,4,1999,▼4
31.0,161.0,12.0,24.0,Zülle Alex,28,Banesto,4,1999,▼4
30.0,195.0,12.0,25.0,Gouvenou Thierry,29,BigMat - Auber 93,4,1999,▼4
27.0,154.0,12.0,26.0,Guesdon Frédéric,30,La Française des Jeux,4,1999,▼4
25.0,53.0,11.0,27.0,Etxebarria David,31,O.N.C.E. - Deutsche Bank,4,1999,▼4
25.0,138.0,10.0,31.0,Vogels Henk,32,Credit agricole,4,1999,▼1
27.0,62.0,10.0,29.0,Brasi Rossano,33,Polti,4,1999,▼4
27.0,47.0,10.0,30.0,van Bon Léon,34,Rabobank ProTeam,4,1999,▼4
25.0,56.0,9.0,32.0,Pérez Luis,35,O.N.C.E. - Deutsche Bank,4,1999,▼3
28.0,42.0,9.0,33.0,Dekker Erik,36,Rabobank ProTeam,4,1999,▼3
26.0,37.0,9.0,34.0,Merckx Axel,37,Mapei - Quickstep,4,1999,▼3
30.0,156.0,9.0,51.0,Mengin Christophe,38,La Française des Jeux,4,1999,▲13
24.0,127.0,8.0,37.0,Horrillo Pedro,39,Vitalicio Seguros - Grupo Generali,4,1999,▼2
24.0,81.0,8.0,36.0,Aerts Mario,40,Lotto - Mobistar,4,1999,▼4
24.0,132.0,8.0,50.0,Bäckstedt Magnus,41,Credit agricole,4,1999,▲9
24.0,175.0,8.0,38.0,Giunti Massimo,42,Cantina Tollo - Alexia Alluminio,4,1999,▼4
25.0,158.0,8.0,,Morin Anthony,43,La Française des Jeux,4,1999,-
26.0,89.0,7.0,39.0,Wuyts Peter,44,Lotto - Mobistar,4,1999,▼5
28.0,144.0,7.0,40.0,Huser Rolf,45,Festina - Lotus,4,1999,▼5
27.0,139.0,6.0,41.0,Voigt Jens,46,Credit agricole,4,1999,▼5
25.0,91.0,6.0,43.0,Vinokourov Alexandre,47,Casino - AG2R,4,1999,▼4
