Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,stage,year,▼▲
23,11,,,74.0,2.0,Sagan Peter,1,Cannondale Pro Cycling Team,,3,2013,▲1
25,197,,,57.0,1.0,Kittel Marcel,2,Team Argos - Shimano,,3,2013,▼1
25,103,,,48.0,3.0,Kristoff Alexander,3,Team Katusha,,3,2013,-
23,153,,,41.0,8.0,Kwiatkowski Michał,4,Omega Pharma - Quick-Step,,3,2013,▲4
27,161,,,40.0,4.0,Boom Lars,5,Belkin-Pro Cycling Team,,3,2013,▼1
19,208,,,39.0,5.0,van Poppel Danny,6,Vacansoleil - DCM,,3,2013,▼1
28,129,,,36.0,24.0,Rojas José Joaquín,7,Movistar Team,,3,2013,▲17
33,181,,,32.0,42.0,Gerrans Simon,8,Orica GreenEDGE,,3,2013,▲34
35,204,,,32.0,18.0,Flecha Juan Antonio,9,Vacansoleil - DCM,,3,2013,▲9
27,42,,,30.0,6.0,Bakelants Jan,10,RadioShack - Leopard,,3,2013,▼4
27,218,,,30.0,10.0,Simon Julien,11,Sojasun,,3,2013,▼1
36,176,,,30.0,7.0,Millar David,12,Garmin Sharp,,3,2013,▼5
30,24,,,30.0,12.0,Greipel André,13,Lotto Belisol Team,,3,2013,▼1
28,65,,,26.0,25.0,Gavazzi Francesco,14,Astana Pro Team,,3,2013,▲11
28,151,,,25.0,20.0,Cavendish Mark,15,Omega Pharma - Quick-Step,,3,2013,▲5
26,202,,,24.0,15.0,Boeckmans Kris,16,Vacansoleil - DCM,,3,2013,▼1
26,2,,,23.0,17.0,Boasson Hagen Edvald,17,Sky Procycling,,3,2013,-
23,158,,,22.0,9.0,Trentin Matteo,18,Omega Pharma - Quick-Step,,3,2013,▼9
28,185,,,21.0,11.0,Impey Daryl,19,Orica GreenEDGE,,3,2013,▼8
31,88,,,20.0,,Minard Sébastien,20,AG2R La Mondiale,,3,2013,-
32,84,,,20.0,13.0,Dumoulin Samuel,21,AG2R La Mondiale,,3,2013,▼8
36,26,,,20.0,16.0,Henderson Gregory,22,Lotto Belisol Team,,3,2013,▼6
23,143,,,19.0,14.0,Cimolai Davide,23,Lampre - Merida,,3,2013,▼9
30,209,,,17.0,,Westra Lieuwe,24,Vacansoleil - DCM,,3,2013,-
25,58,,,17.0,19.0,Veilleux David,25,Team Europcar,,3,2013,▼6
30,34,,,17.0,,Gilbert Philippe,26,BMC Racing Team,,3,2013,-
27,27,,,16.0,21.0,Roelandts Jürgen,27,Lotto Belisol Team,,3,2013,▼6
30,215,,,15.0,22.0,Lemoine Cyril,28,Sojasun,,3,2013,▼6
25,54,,,15.0,,Gautier Cyril,29,Team Europcar,,3,2013,-
26,87,,,15.0,23.0,Kadri Blel,30,AG2R La Mondiale,,3,2013,▼7
25,219,,,13.0,,Vuillermoz Alexis,31,Sojasun,,3,2013,-
24,53,,,13.0,28.0,Cousin Jérôme,32,Team Europcar,,3,2013,▼4
31,118,,,13.0,26.0,Pérez Rubén,33,Euskaltel - Euskadi,,3,2013,▼7
26,184,,,13.0,27.0,Goss Matthew,34,Orica GreenEDGE,,3,2013,▼7
26,83,,,11.0,,Bouet Maxime,35,AG2R La Mondiale,,3,2013,-
26,183,,,11.0,,Clarke Simon,36,Orica GreenEDGE,,3,2013,-
24,115,,,11.0,29.0,Lobato Juan José,37,Euskaltel - Euskadi,,3,2013,▼8
32,206,,,10.0,34.0,Lagutin Sergey,38,Vacansoleil - DCM,,3,2013,▼4
32,92,,,9.0,30.0,Bennati Daniele,39,Team Saxo - Tinkoff,,3,2013,▼9
24,144,,,8.0,35.0,Favilli Elia,40,Lampre - Merida,,3,2013,▼5
24,168,,,8.0,31.0,Vanmarcke Sep,41,Belkin-Pro Cycling Team,,3,2013,▼10
22,73,,,8.0,32.0,Bouhanni Nacer,42,FDJ.fr,,3,2013,▼10
32,156,,,8.0,33.0,Steegmans Gert,43,Omega Pharma - Quick-Step,,3,2013,▼10
28,199,,,8.0,38.0,Veelers Tom,44,Team Argos - Shimano,,3,2013,▼6
25,113,,,7.0,,Izagirre Gorka,45,Euskaltel - Euskadi,,3,2013,-
28,18,,,7.0,39.0,Sabatini Fabio,46,Cannondale Pro Cycling Team,,3,2013,▼7
22,82,,,5.0,,Bardet Romain,47,AG2R La Mondiale,,3,2013,-
28,52,,,5.0,36.0,Arashiro Yukiya,48,Team Europcar,,3,2013,▼12
36,31,,,4.0,,Evans Cadel,49,BMC Racing Team,,3,2013,-
28,97,,,4.0,37.0,Roche Nicolas,50,Team Saxo - Tinkoff,,3,2013,▼13
34,152,,,3.0,40.0,Chavanel Sylvain,51,Omega Pharma - Quick-Step,,3,2013,▼11
34,166,,,3.0,41.0,Tankink Bram,52,Belkin-Pro Cycling Team,,3,2013,▼11
32,89,,,2.0,43.0,Riblon Christophe,53,AG2R La Mondiale,,3,2013,▼10
28,214,,,1.0,44.0,Hivert Jonathan,54,Sojasun,,3,2013,▼10
28,12,,,1.0,,Bodnar Maciej,55,Cannondale Pro Cycling Team,,3,2013,-
