Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
31,152.0,,,,,Dominguez Juan Carlos,1,Phonak Hearing Systems,,+0:00,,0,2002
35,11.0,,,,,Cipollini Mario,1,Acqua & Sapone,,+0:00,-,1,2002
28,126.0,,,,,Garzelli Stefano,1,Mapei - Quickstep,,+0:00,-,2,2002
28,126.0,,,,1.0,Garzelli Stefano,1,Mapei - Quickstep,,+0:00,-,3,2002
28,126.0,,,,1.0,Garzelli Stefano,1,Mapei - Quickstep,,+0:00,-,4,2002
28,126.0,,,,1.0,Garzelli Stefano,1,Mapei - Quickstep,,+0:00,-,5,2002
37,214.0,,,,,Heppner Jens,1,Team Telekom,,+0:00,-,6,2002
37,214.0,,,,1.0,Heppner Jens,1,Team Telekom,,+0:00,-,7,2002
37,214.0,,,,1.0,Heppner Jens,1,Team Telekom,,+0:00,-,8,2002
37,214.0,,,,1.0,Heppner Jens,1,Team Telekom,,+0:00,-,9,2002
37,214.0,,,,1.0,Heppner Jens,1,Team Telekom,,+0:00,-,10,2002
37,214.0,,,,1.0,Heppner Jens,1,Team Telekom,,+0:00,-,11,2002
37,214.0,,,,1.0,Heppner Jens,1,Team Telekom,,+0:00,-,12,2002
37,214.0,,,,1.0,Heppner Jens,1,Team Telekom,,+0:00,-,13,2002
37,214.0,,,,1.0,Heppner Jens,1,Team Telekom,,+0:00,-,14,2002
37,214.0,,,,1.0,Heppner Jens,1,Team Telekom,,+0:00,-,15,2002
25,124.0,,,,,Evans Cadel,1,Mapei - Quickstep,,+0:00,-,16,2002
29,75.0,,,,,Savoldelli Paolo,1,,,+0:00,-,17,2002
29,75.0,,,,1.0,Savoldelli Paolo,1,,,+0:00,-,18,2002
29,75.0,,,,1.0,Savoldelli Paolo,1,,,+0:00,-,19,2002
29,75.0,1.0,+0:00,400.0,1.0,Savoldelli Paolo,1,,89:22:42 89:22:42,+0:00,-,20,2002
31,204.0,2.0,+1:41,290.0,,Hamilton Tyler,2,CSC ProTeam - Tiscali,1:41 1:41,+1:41,-,20,2002
26,22.0,3.0,+2:12,240.0,,Caucchioli Pietro,3,Alessio,2:12 2:12,+2:12,-,20,2002
26,94.0,4.0,+3:14,220.0,,Garate Juan Manuel,4,Lampre - Daikin,3:14 3:14,+3:14,-,20,2002
33,91.0,5.0,+5:34,200.0,,Tonkov Pavel,5,Lampre - Daikin,5:34 5:34,+5:34,-,20,2002
27,82.0,6.0,+6:54,190.0,,Gonzalez Jimenez Aitor,6,Kelme - Costa Blanca,6:54 6:54,+6:54,-,20,2002
31,68.0,7.0,+7:02,180.0,,Totschnig Georg,7,Gerolsteiner,7:02 7:02,+7:02,-,20,2002
34,183.0,8.0,+7:07,170.0,,Escartin Fernando,8,Team Coast,7:07 7:07,+7:07,-,20,2002
27,118.0,9.0,+9:36,160.0,,Verbrugghe Rik,9,Lotto - Adecco,9:36 9:36,+9:36,-,20,2002
28,171.0,10.0,+11:50,150.0,,Frigo Dario,10,Tacconi Sport,11:50 11:50,+11:50,-,20,2002
24,157.0,11.0,+12:49,140.0,,Pereiro Oscar,11,Phonak Hearing Systems,12:49 12:49,+12:49,-,20,2002
22,102.0,12.0,+14:50,130.0,,Popovych Yaroslav,12,Landbouwkrediet - Colnago,14:50 14:50,+14:50,-,20,2002
33,25.0,13.0,+15:17,120.0,,Gotti Ivan,13,Alessio,15:17 15:17,+15:17,-,20,2002
25,124.0,14.0,+16:25,110.0,,Evans Cadel,14,Mapei - Quickstep,16:25 16:25,+16:25,-,20,2002
28,174.0,15.0,+17:23,100.0,,Mazzoleni Eddy,15,Tacconi Sport,17:23 17:23,+17:23,-,20,2002
24,28.0,16.0,+17:32,90.0,,Pellizotti Franco,16,Alessio,17:32 17:32,+17:32,-,20,2002
30,161.0,17.0,+19:28,85.0,,Boogerd Michael,17,Rabobank ProTeam,19:28 19:28,+19:28,-,20,2002
22,17.0,18.0,+22:04,80.0,,Scarponi Michele,18,Acqua & Sapone,22:04 22:04,+22:04,-,20,2002
24,32.0,19.0,+22:15,75.0,,Perez Cuapio Julio Alberto,19,Panaria - Fiordo,22:15 22:15,+22:15,-,20,2002
33,129.0,20.0,+23:54,70.0,,Noe Andrea,20,Mapei - Quickstep,23:54 23:54,+23:54,-,20,2002
36,62.0,21.0,+24:21,65.0,,Faresin Gianni,21,Gerolsteiner,24:21 24:21,+24:21,-,20,2002
26,167.0,22.0,+25:33,60.0,,Niermann Grischa,22,Rabobank ProTeam,25:33 25:33,+25:33,-,20,2002
31,54.0,23.0,+25:59,55.0,,Honchar Serhiy,23,Fassa Bortolo,25:59 25:59,+25:59,-,20,2002
24,166.0,24.0,+26:24,50.0,,Engels Addy,24,Rabobank ProTeam,26:24 26:24,+26:24,-,20,2002
23,217.0,25.0,+27:30,45.0,,Kessler Matthias,25,Team Telekom,27:30 27:30,+27:30,-,20,2002
30,115.0,26.0,+28:04,40.0,,van de Wouwer Kurt,26,Lotto - Adecco,28:04 28:04,+28:04,-,20,2002
29,44.0,27.0,+28:17,35.0,,Munoz Hernan Dario,27,,28:17 28:17,+28:17,-,20,2002
29,26.0,28.0,+30:10,30.0,,Moreni Cristian,28,Alessio,30:10 30:10,+30:10,-,20,2002
27,123.0,29.0,+35:41,25.0,,Cioni Dario,29,Mapei - Quickstep,35:41 35:41,+35:41,-,20,2002
26,191.0,30.0,+36:35,20.0,,Lunghi Denis,30,,36:35 36:35,+36:35,-,20,2002
22,149.0,31.0,+37:23,,,Laverde Luis Felipe,31,,37:23 37:23,+37:23,-,20,2002
28,23.0,32.0,+38:41,,,De Paoli Daniele,32,Alessio,38:41 38:41,+38:41,-,20,2002
29,85.0,33.0,+39:29,,,De Los Angeles Juan Jos\xe9,33,Kelme - Costa Blanca,39:29 39:29,+39:29,-,20,2002
32,43.0,34.0,+47:28,,,Joaquin Castelblanco Jos\xe9,34,,47:28 47:28,+47:28,-,20,2002
28,27.0,35.0,+48:41,,,Miholjevic Vladimir,35,Alessio,48:41 48:41,+48:41,-,20,2002
30,35.0,36.0,+48:56,,,Duma Vladimir,36,Panaria - Fiordo,48:56 48:56,+48:56,-,20,2002
29,132.0,37.0,+49:28,,,Mizurov Andrey,37,Mercatone Uno,49:28 49:28,+49:28,-,20,2002
27,201.0,38.0,+51:30,,,Sastre Carlos,38,CSC ProTeam - Tiscali,51:30 51:30,+51:30,-,20,2002
31,203.0,39.0,+53:24,,,Garcia Marcelino,39,CSC ProTeam - Tiscali,53:24 53:24,+53:24,-,20,2002
27,6.0,40.0,+54:05,,,Pugaci Igor,40,Saeco Macchine per Caff\xe9 - Longoni Sport 2002,54:05 54:05,+54:05,-,20,2002
33,74.0,41.0,+54:43,,,Lanfranchi Paolo,41,,54:43 54:43,+54:43,-,20,2002
29,128.0,42.0,+54:57,,,Nardello Daniele,42,Mapei - Quickstep,54:57 54:57,+54:57,-,20,2002
31,96.0,43.0,+56:25,,,Piccoli Mariano,43,Lampre - Daikin,56:25 56:25,+56:25,-,20,2002
24,177.0,44.0,+56:58,,,Szmyd Sylwester,44,Tacconi Sport,56:58 56:58,+56:58,-,20,2002
28,208.0,45.0,+59:23,,,Rasmussen Michael,45,CSC ProTeam - Tiscali,59:23 59:23,+59:23,-,20,2002
25,186.0,46.0,+1:01:03,,,Lara Francisco Jos\xe9,46,Team Coast,1:01:03 1:01:03,+61:03,-,20,2002
29,164.0,47.0,+1:07:48,,,Verheyen Geert,47,Rabobank ProTeam,1:07:48 1:07:48,+67:48,-,20,2002
