Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
32,1,1,+0:00,,,Savoldelli Paolo,1,Discovery Channel,7:50 7:50,+0:00,,0,2006
30,91,2,+0:11,,,McGee Bradley,2,Fran\xe7aise des Jeux,0:11 0:11,+0:11,,0,2006
31,143,3,+0:13,,,Gutierrez Jose Enrique,3,Phonak Hearing Systems,0:13 0:13,+0:13,,0,2006
24,109,4,+0:13,,,Schumacher Stefan,4,Gerolsteiner,",, 0:13",+0:13,,0,2006
35,212,5,+0:15,,,Honchar Serhiy,5,T-Mobile Team,0:15 0:15,+0:15,,0,2006
27,39,6,+0:16,,,Perez Francisco,6,Caisse d'Epargne - Illes Balears,0:16 0:16,+0:16,,0,2006
27,35,7,+0:16,,,Guti\xe9rrez Jos\xe9 Iv\xe1n,7,Caisse d'Epargne - Illes Balears,",, 0:16",+0:16,,0,2006
26,217,8,+0:17,,,Rogers Michael,8,T-Mobile Team,0:17 0:17,+0:17,,0,2006
34,106,9,+0:18,,,Rebellin Davide,9,Gerolsteiner,0:18 0:18,+0:18,,0,2006
30,131,10,+0:19,,,Di Luca Danilo,10,Liquigas,0:19 0:19,+0:19,,0,2006
31,112,11,+0:20,,,Bruseghin Marzio,11,Lampre-Fondital,0:20 0:20,+0:20,,0,2006
28,2,12,+0:21,,,Danielson Thomas,12,Discovery Channel,0:21 0:21,+0:21,,0,2006
28,191,13,+0:23,,,Basso Ivan,13,CSC ProTeam,0:23 0:23,+0:23,,0,2006
34,196,14,+0:25,,,Voigt Jens,14,CSC ProTeam,0:25 0:25,+0:25,,0,2006
24,111,15,+0:25,,,Cunego Damiano,15,Lampre-Fondital,",, 0:25",+0:25,,0,2006
34,171,16,+0:26,,,Simoni Gilberto,16,Saunier Duval - Prodir,0:26 0:26,+0:26,,0,2006
37,169,17,+0:27,,,Wauters Marc,17,Rabobank ProTeam,0:27 0:27,+0:27,,0,2006
31,192,18,+0:27,,,Sastre Carlos,18,CSC ProTeam,",, 0:27",+0:27,,0,2006
28,159,19,+0:27,,,Wielinga Remmert,19,Quickstep - Innergetic,",, 0:27",+0:27,,0,2006
31,59,20,+0:28,,,Verbrugghe Rik,20,Cofidis,0:28 0:28,+0:28,,0,2006
32,36,21,+0:29,,,Horrach Joan,21,Caisse d'Epargne - Illes Balears,0:29 0:29,+0:29,,0,2006
29,71,22,+0:29,,,Brandt Christophe,22,Davitamon - Lotto,",, 0:29",+0:29,,0,2006
31,133,23,+0:30,,,Cioni Dario,23,Liquigas,0:30 0:30,+0:30,,0,2006
32,6,24,+0:31,,,McCartney Jason,24,Discovery Channel,0:31 0:31,+0:31,,0,2006
26,61,25,+0:31,,,Bellotti Francesco,25,Cr\xe9dit Agricole,",, 0:31",+0:31,,0,2006
26,127,26,+0:31,,,Scarponi Michele,26,,",, 0:31",+0:31,,0,2006
29,29,27,+0:32,,,Lefevre Laurent,27,Bouygues Telecom,0:32 0:32,+0:32,,0,2006
32,216,28,+0:33,,,Pollack Olaf,28,T-Mobile Team,0:33 0:33,+0:33,,0,2006
33,8,29,+0:34,,,Rubiera Jos\xe9 Luis,29,Discovery Channel,0:34 0:34,+0:34,,0,2006
24,19,30,+0:35,,,Vaitkus Tomas,30,AG2R Pr\xe9voyance,0:35 0:35,+0:35,,0,2006
33,1,1,+0:00,,1.0,Savoldelli Paolo,1,Discovery Channel,4:59:30 4:59:30,+0:00,-,1,2006
30,91,2,+0:11,,2.0,McGee Bradley,2,Fran\xe7aise des Jeux,0:11 0:11,+0:00,-,1,2006
31,143,3,+0:13,,3.0,Gutierrez Jose Enrique,3,Phonak Hearing Systems,0:13 0:13,+0:00,-,1,2006
24,109,4,+0:13,,4.0,Schumacher Stefan,4,Gerolsteiner,",, 0:13",+0:00,-,1,2006
35,212,5,+0:15,,5.0,Honchar Serhiy,5,T-Mobile Team,0:15 0:15,+0:00,-,1,2006
27,39,6,+0:16,,6.0,Perez Francisco,6,Caisse d'Epargne - Illes Balears,0:16 0:16,+0:00,-,1,2006
27,35,7,+0:16,,7.0,Guti\xe9rrez Jos\xe9 Iv\xe1n,7,Caisse d'Epargne - Illes Balears,",, 0:16",+0:00,-,1,2006
26,217,8,+0:17,,8.0,Rogers Michael,8,T-Mobile Team,0:17 0:17,+0:00,-,1,2006
34,106,9,+0:18,,9.0,Rebellin Davide,9,Gerolsteiner,0:18 0:18,+0:00,-,1,2006
30,131,10,+0:19,,10.0,Di Luca Danilo,10,Liquigas,0:19 0:19,+0:00,-,1,2006
31,112,11,+0:20,,11.0,Bruseghin Marzio,11,Lampre-Fondital,0:20 0:20,+0:00,-,1,2006
32,216,12,+0:21,,28.0,Pollack Olaf,12,T-Mobile Team,0:21 0:21,+-1:48,\u25b216,1,2006
28,2,13,+0:21,,12.0,Danielson Thomas,13,Discovery Channel,",, 0:21",+0:00,\u25bc1,1,2006
28,191,14,+0:23,,13.0,Basso Ivan,14,CSC ProTeam,0:23 0:23,+0:00,\u25bc1,1,2006
34,196,15,+0:25,,14.0,Voigt Jens,15,CSC ProTeam,0:25 0:25,+0:00,\u25bc1,1,2006
24,111,16,+0:25,,15.0,Cunego Damiano,16,Lampre-Fondital,",, 0:25",+0:00,\u25bc1,1,2006
34,171,17,+0:26,,16.0,Simoni Gilberto,17,Saunier Duval - Prodir,0:26 0:26,+0:00,\u25bc1,1,2006
37,169,18,+0:27,,17.0,Wauters Marc,18,Rabobank ProTeam,0:27 0:27,+0:00,\u25bc1,1,2006
31,192,19,+0:27,,18.0,Sastre Carlos,19,CSC ProTeam,",, 0:27",+0:00,\u25bc1,1,2006
28,159,20,+0:27,,19.0,Wielinga Remmert,20,Quickstep - Innergetic,",, 0:27",+0:00,\u25bc1,1,2006
31,59,21,+0:28,,20.0,Verbrugghe Rik,21,Cofidis,0:28 0:28,+0:00,\u25bc1,1,2006
32,36,22,+0:29,,21.0,Horrach Joan,22,Caisse d'Epargne - Illes Balears,0:29 0:29,+0:00,\u25bc1,1,2006
29,71,23,+0:29,,22.0,Brandt Christophe,23,Davitamon - Lotto,",, 0:29",+0:00,\u25bc1,1,2006
31,133,24,+0:30,,23.0,Cioni Dario,24,Liquigas,0:30 0:30,+0:00,\u25bc1,1,2006
32,6,25,+0:31,,24.0,McCartney Jason,25,Discovery Channel,0:31 0:31,+0:00,\u25bc1,1,2006
26,61,26,+0:31,,25.0,Bellotti Francesco,26,Cr\xe9dit Agricole,",, 0:31",+0:00,\u25bc1,1,2006
26,127,27,+0:31,,26.0,Scarponi Michele,27,,",, 0:31",+0:00,\u25bc1,1,2006
29,29,28,+0:32,,27.0,Lefevre Laurent,28,Bouygues Telecom,0:32 0:32,+0:00,\u25bc1,1,2006
33,8,29,+0:34,,29.0,Rubiera Jos\xe9 Luis,29,Discovery Channel,0:34 0:34,+0:00,-,1,2006
32,152,30,+0:34,,,Bettini Paolo,30,Quickstep - Innergetic,",, 0:34",+8:24,-,1,2006
24,109,1,+0:00,,4.0,Schumacher Stefan,1,Gerolsteiner,10:14:04 10:14:04,+0:00,\u25b23,2,2006
33,1,2,+0:13,,1.0,Savoldelli Paolo,2,Discovery Channel,0:13 0:13,+0:26,\u25bc1,2,2006
34,106,3,+0:23,,9.0,Rebellin Davide,3,Gerolsteiner,0:23 0:23,+0:18,\u25b26,2,2006
27,35,4,+0:29,,7.0,Guti\xe9rrez Jos\xe9 Iv\xe1n,4,Caisse d'Epargne - Illes Balears,0:29 0:29,+0:26,\u25b23,2,2006
33,8,5,+0:31,,29.0,Rubiera Jos\xe9 Luis,5,Discovery Channel,0:31 0:31,+0:10,\u25b224,2,2006
35,212,6,+0:31,,5.0,Honchar Serhiy,6,T-Mobile Team,",, 0:31",+0:29,\u25bc1,2,2006
30,91,7,+0:31,,2.0,McGee Bradley,7,Fran\xe7aise des Jeux,",, 0:31",+0:33,\u25bc5,2,2006
27,39,8,+0:32,,6.0,Perez Francisco,8,Caisse d'Epargne - Illes Balears,0:32 0:32,+0:29,\u25bc2,2,2006
31,143,9,+0:33,,3.0,Gutierrez Jose Enrique,9,Phonak Hearing Systems,0:33 0:33,+0:33,\u25bc6,2,2006
26,217,10,+0:37,,8.0,Rogers Michael,10,T-Mobile Team,0:37 0:37,+0:33,\u25bc2,2,2006
28,2,11,+0:37,,13.0,Danielson Thomas,11,Discovery Channel,",, 0:37",+0:29,\u25b22,2,2006
34,196,12,+0:38,,15.0,Voigt Jens,12,CSC ProTeam,0:38 0:38,+0:26,\u25b23,2,2006
30,131,13,+0:39,,10.0,Di Luca Danilo,13,Liquigas,0:39 0:39,+0:33,\u25bc3,2,2006
31,112,14,+0:40,,11.0,Bruseghin Marzio,14,Lampre-Fondital,0:40 0:40,+0:33,\u25bc3,2,2006
32,216,15,+0:41,,12.0,Pollack Olaf,15,T-Mobile Team,0:41 0:41,+0:33,\u25bc3,2,2006
28,191,16,+0:43,,14.0,Basso Ivan,16,CSC ProTeam,0:43 0:43,+0:33,\u25bc2,2,2006
24,111,17,+0:45,,16.0,Cunego Damiano,17,Lampre-Fondital,0:45 0:45,+0:33,\u25bc1,2,2006
31,133,18,+0:46,,24.0,Cioni Dario,18,Liquigas,0:46 0:46,+0:29,\u25b26,2,2006
32,152,19,+0:47,,30.0,Bettini Paolo,19,Quickstep - Innergetic,0:47 0:47,+0:26,\u25b211,2,2006
32,36,20,+0:49,,22.0,Horrach Joan,20,Caisse d'Epargne - Illes Balears,0:49 0:49,+0:33,\u25b22,2,2006
29,71,21,+0:49,,23.0,Brandt Christophe,21,Davitamon - Lotto,",, 0:49",+0:33,\u25b22,2,2006
26,61,22,+0:51,,26.0,Bellotti Francesco,22,Cr\xe9dit Agricole,0:51 0:51,+0:33,\u25b24,2,2006
23,96,23,+0:52,,,Gilbert Philippe,23,Fran\xe7aise des Jeux,0:52 0:52,+300:35,-,2,2006
30,119,24,+0:52,,,Javier Vila Francisco,24,Lampre-Fondital,",, 0:52",+300:35,-,2,2006
24,19,25,+0:55,,,Vaitkus Tomas,25,AG2R Pr\xe9voyance,0:55 0:55,+300:38,-,2,2006
33,115,26,+0:55,,,Stangelj Gorazd,26,Lampre-Fondital,",, 0:55",+300:38,-,2,2006
30,155,27,+0:56,,,Garate Juan Manuel,27,Quickstep - Innergetic,0:56 0:56,+300:39,-,2,2006
22,33,28,+0:56,,,Erviti Imanol,28,Caisse d'Epargne - Illes Balears,",, 0:56",+300:39,-,2,2006
