Rnk,Prev,\u25bc\u25b2,BIB,Team,GC,GC-Time,Time,year,stage
1,1,-,,Garmin Sharp,,+ -5:22:20,16:08:14 16:08:14,2014,2
2,2,-,,Team Giant - Shimano,,+ -5:22:20,0:11 0:11,2014,2
3,4,\u25b21,,Team Sky,,+ -5:22:20,0:14 0:14,2014,2
4,3,\u25bc1,,Cannondale,,+ -5:22:20,0:23 0:23,2014,2
5,7,\u25b22,,Trek Factory Racing,,+ -5:22:20,0:42 0:42,2014,2
6,10,\u25b24,,Movistar Team,,+ -5:22:20,0:49 0:49,2014,2
7,8,\u25b21,,Lampre - Merida,,+ -5:22:20,",, 0:49",2014,2
8,9,\u25b21,,IAM Cycling,,+ -5:22:20,",, 0:49",2014,2
9,12,\u25b23,,Belkin-Pro Cycling Team,,+ -5:22:20,0:52 0:52,2014,2
10,11,\u25b21,,Tinkoff - Saxo,,+ -5:22:20,",, 0:52",2014,2
11,17,\u25b26,,Orica GreenEDGE,,+ -5:22:20,1:04 1:04,2014,2
12,19,\u25b27,,BMC Racing Team,,+ -5:22:20,1:05 1:05,2014,2
13,14,\u25b21,,FDJ.fr,,+ -5:22:20,1:10 1:10,2014,2
14,15,\u25b21,,CCC Polsat Polkowice,,+ -5:22:20,1:14 1:14,2014,2
15,18,\u25b23,,Astana Pro Team,,+ -5:22:20,1:19 1:19,2014,2
16,20,\u25b24,,Wanty - Groupe Gobert,,+ -5:22:20,1:38 1:38,2014,2
17,16,\u25bc1,,Lotto Belisol,,+ -5:22:20,4:46 4:46,2014,2
18,21,\u25b23,,Team Katusha,,+ -5:22:20,7:01 7:01,2014,2
19,13,\u25bc6,,MTN - Qhubeka,,+ -5:22:20,10:02 10:02,2014,2
20,22,\u25b22,,Team Europcar,,+ -5:22:20,14:41 14:41,2014,2
21,6,\u25bc15,,AG2R La Mondiale,,+ -5:22:20,16:27 16:27,2014,2
22,5,\u25bc17,,Omega Pharma - Quick-Step,,+ -5:22:20,28:08 28:08,2014,2
1,2,\u25b21,,Team Giant - Shimano,,+ - 10:44:34,32:15:07 32:15:07,2014,3
2,1,\u25bc1,,Garmin Sharp,,+ - 10:44:34,0:27 0:27,2014,3
3,6,\u25b23,,Movistar Team,,+ - 10:44:34,0:33 0:33,2014,3
4,8,\u25b24,,IAM Cycling,,+ - 10:44:34,",, 0:33",2014,3
5,7,\u25b22,,Lampre - Merida,,+ - 10:44:34,",, 0:33",2014,3
6,9,\u25b23,,Belkin-Pro Cycling Team,,+ - 10:44:34,0:36 0:36,2014,3
7,14,\u25b27,,CCC Polsat Polkowice,,+ - 10:44:34,1:12 1:12,2014,3
8,3,\u25bc5,,Team Sky,,+ - 10:44:34,1:22 1:22,2014,3
9,4,\u25bc5,,Cannondale,,+ - 10:44:34,1:26 1:26,2014,3
10,12,\u25b22,,BMC Racing Team,,+ - 10:44:34,1:32 1:32,2014,3
11,16,\u25b25,,Wanty - Groupe Gobert,,+ - 10:44:34,1:36 1:36,2014,3
12,13,\u25b21,,FDJ.fr,,+ - 10:44:34,2:18 2:18,2014,3
13,5,\u25bc8,,Trek Factory Racing,,+ - 10:44:34,4:17 4:17,2014,3
14,10,\u25bc4,,Tinkoff - Saxo,,+ - 10:44:34,5:04 5:04,2014,3
15,11,\u25bc4,,Orica GreenEDGE,,+ - 10:44:34,8:21 8:21,2014,3
16,18,\u25b22,,Team Katusha,,+ - 10:44:34,8:32 8:32,2014,3
17,19,\u25b22,,MTN - Qhubeka,,+ - 10:44:34,11:15 11:15,2014,3
18,15,\u25bc3,,Astana Pro Team,,+ - 10:44:34,11:39 11:39,2014,3
