Age,Avg,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,stage,year
26.0,0.848,1.0,+0:00,30.0,McGee Bradley,1,La Fran\xe7aise des Jeux,4:14:39 4:14:39,0,2002
23.0,0.843,2.0,+0:01,18.0,Cooke Baden,2,La Fran\xe7aise des Jeux,1:34 1:34,0,2002
29.0,0.841,3.0,+0:02,12.0,Kjaergaard Steffen,3,US Postal Service,2:07 2:07,0,2002
22.0,0.836,4.0,+0:03,7.0,Chavanel Sylvain,4,Bonjour,3:37 3:37,0,2002
30.0,0.833,5.0,+0:04,4.0,Armstrong Lance,5,US Postal Service,4:38 4:38,0,2002
30.0,0.8320000000000001,6.0,+0:04,3.0,Mattan Nico,6,Cofidis,4:54 4:54,0,2002
29.0,0.831,7.0,+0:05,2.0,Asmaker Olivier,7,CSC ProTeam - Tiscali,5:23 5:23,0,2002
33.0,0.831,8.0,+0:05,1.0,Seigneur Eddy,8,Jean Delatour,5:26 5:26,0,2002
35.0,0.8320000000000001,9.0,+0:05,,Durand Jacky,9,La Fran\xe7aise des Jeux,5:01 5:01,0,2002
31.0,0.8290000000000001,10.0,+0:05,,Rous Didier,10,Bonjour,5:45 5:45,0,2002
25.0,0.8290000000000001,11.0,+0:05,,Millar David,11,Cofidis,5:47 5:47,0,2002
25.0,0.8290000000000001,12.0,+0:06,,Sevilla Oscar,12,Kelme - Costa Blanca,6:01 6:01,0,2002
27.0,0.8270000000000001,13.0,+0:06,,Gutierrez Jose Enrique,13,Kelme - Costa Blanca,6:29 6:29,0,2002
22.0,0.826,14.0,+0:06,,Edaleine Christophe,14,Jean Delatour,6:42 6:42,0,2002
28.0,0.825,15.0,+0:07,,Tauler Toni,15,Kelme - Costa Blanca,7:03 7:03,0,2002
36.0,0.8240000000000001,16.0,+0:07,,Ekimov Viatcheslav,16,US Postal Service,7:26 7:26,0,2002
33.0,0.823,17.0,+0:07,,Jalabert Laurent,17,CSC ProTeam - Tiscali,7:54 7:54,0,2002
29.0,0.821,18.0,+0:08,,Beneteau Walter,18,Bonjour,8:30 8:30,0,2002
22.0,0.82,19.0,+0:08,,Astarloza Mikel,19,AG2R Pr\xe9voyance,8:45 8:45,0,2002
29.0,0.8190000000000001,20.0,+0:08,,Rubiera Jos\xe9 Luis,20,US Postal Service,8:58 8:58,0,2002
28.0,0.8190000000000001,21.0,+0:08,,Bouyer Franck,21,Bonjour,8:59 8:59,0,2002
26.0,0.818,22.0,+0:09,,van Dijk Stefan,22,Lotto - Adecco,9:19 9:19,0,2002
22.0,0.818,23.0,+0:09,,Plaza Rub\xe9n,23,Ibanesto.com,9:22 9:22,0,2002
25.0,0.818,24.0,+0:09,,Zubeldia Haimar,24,Euskaltel - Euskadi,9:25 9:25,0,2002
29.0,0.8190000000000001,25.0,+0:09,,Botero Santiago,25,Kelme - Costa Blanca,9:04 9:04,0,2002
24.0,0.8190000000000001,26.0,+0:09,,S\xe1nchez Samuel,26,Euskaltel - Euskadi,",, 9:04",0,2002
27.0,0.818,27.0,+0:09,,Morin Anthony,27,Cr\xe9dit Agricole,9:16 9:16,0,2002
31.0,0.818,28.0,+0:09,,Heulot Stephane,28,BigMat - Auber 93,9:17 9:17,0,2002
28.0,0.818,29.0,+0:09,,Halgand Patrice,29,Jean Delatour,9:20 9:20,0,2002
26.0,0.8170000000000001,30.0,+0:09,,Joachim Benoit,30,US Postal Service,9:41 9:41,0,2002
27.0,0.816,31.0,+0:10,,Pe\xf1a Victor Hugo,31,US Postal Service,10:02 10:02,0,2002
24.0,0.8140000000000001,32.0,+0:10,,Laurent Christophe,32,Jean Delatour,10:39 10:39,0,2002
31.0,0.816,33.0,+0:10,,Vasseur C\xe9dric,33,Cofidis,10:09 10:09,0,2002
30.0,0.815,34.0,+0:10,,Guesdon Fr\xe9d\xe9ric,34,La Fran\xe7aise des Jeux,10:22 10:22,0,2002
25.0,0.815,35.0,+0:10,,Lefevre Laurent,35,Jean Delatour,",, 10:22",0,2002
31.0,0.813,36.0,+0:11,,Padrnos Pavel,36,US Postal Service,11:08 11:08,0,2002
30.0,0.812,37.0,+0:11,,Sivakov Alexei,37,BigMat - Auber 93,11:20 11:20,0,2002
29.0,0.812,38.0,+0:11,,Etxebarria Unai,38,Euskaltel - Euskadi,11:24 11:24,0,2002
28.0,0.812,39.0,+0:11,,Renier Franck,39,Bonjour,11:31 11:31,0,2002
33.0,0.813,40.0,+0:11,,Simon Fran\xe7ois,40,Bonjour,11:04 11:04,0,2002
29.0,0.8109999999999999,41.0,+0:11,,Jalabert Nicolas,41,CSC ProTeam - Tiscali,11:32 11:32,0,2002
30.0,0.81,42.0,+0:11,,Peron Andrea,42,CSC ProTeam - Tiscali,11:58 11:58,0,2002
28.0,0.81,43.0,+0:11,,Moerenhout Koos,43,Domo - Farm Frites,12:00 12:00,0,2002
21.0,0.809,44.0,+0:12,,Van Impe Kevin,44,Lotto - Adecco,12:13 12:13,0,2002
27.0,0.809,45.0,+0:12,,Bruseghin Marzio,45,Ibanesto.com,12:28 12:28,0,2002
28.0,0.809,46.0,+0:12,,Mikhailov Guennady,46,Lotto - Adecco,12:30 12:30,0,2002
26.0,0.81,47.0,+0:12,,Landis Floyd,47,US Postal Service,12:03 12:03,0,2002
29.0,0.809,48.0,+0:12,,Baranowski Dariusz,48,Ibanesto.com,12:16 12:16,0,2002
30.0,0.809,49.0,+0:12,,van de Wouwer Kurt,49,Lotto - Adecco,12:26 12:26,0,2002
28.0,0.809,50.0,+0:12,,Pichon Mickael,50,Bonjour,12:28 12:28,0,2002
24.0,0.807,51.0,+0:12,,Talabardon S\xe9bastien,51,BigMat - Auber 93,12:52 12:52,0,2002
27.0,0.807,52.0,+0:12,,Jenner Christopher,52,Cr\xe9dit Agricole,12:58 12:58,0,2002
21.0,0.8059999999999999,53.0,+0:13,,van Goolen Jurgen,53,Domo - Farm Frites,13:15 13:15,0,2002
25.0,0.805,54.0,+0:13,,Arrizabalaga Gorka,54,Euskaltel - Euskadi,13:32 13:32,0,2002
32.0,0.805,55.0,+0:13,,Baguet Serge,55,Lotto - Adecco,13:33 13:33,0,2002
23.0,0.805,56.0,+0:13,,Casar Sandy,56,La Fran\xe7aise des Jeux,13:37 13:37,0,2002
28.0,0.807,57.0,+0:13,,Latasa lasa David,57,Ibanesto.com,13:02 13:02,0,2002
