BIB,GC,GC-Time,Prev,Rnk,Team,Time,stage,year,▼▲
,,+ -8:17,,1,Discovery Channel,25:16 25:16,0,2006,
,,+ -8:17,,2,CSC ProTeam,0:01 0:01,0,2006,
,,+ -8:17,,3,T-Mobile Team,0:07 0:07,0,2006,
,,+ -8:17,,4,Caisse d'Epargne - Illes Balears,",, 0:07",0,2006,
,,+ -8:17,,5,Phonak Hearing Systems,0:14 0:14,0,2006,
,,+ -8:17,,6,Gerolsteiner,0:18 0:18,0,2006,
,,+ -8:17,,7,Davitamon - Lotto,0:31 0:31,0,2006,
,,+ -8:17,,8,Crédit Agricole,",, 0:31",0,2006,
,,+ -8:17,,9,Liquigas,0:32 0:32,0,2006,
,,+ -8:17,,10,AG2R Prévoyance,",, 0:32",0,2006,
,,+ -8:17,,11,"Cofidis, le Crédit par Téléphone",0:34 0:34,0,2006,
,,+ -8:17,,12,Lampre-Fondital,0:37 0:37,0,2006,
,,+ -8:17,,13,Française des Jeux,0:39 0:39,0,2006,
,,+ -8:17,,14,Rabobank ProTeam,0:42 0:42,0,2006,
,,+ -8:17,,15,Saunier Duval - Prodir,",, 0:42",0,2006,
,,+ -8:17,,16,Bouygues Telecom,0:46 0:46,0,2006,
,,+ -8:17,,17,Quickstep - Innergetic,",, 0:46",0,2006,
,,+ -8:17,,18,Euskaltel - Euskadi,1:03 1:03,0,2006,
,,+ -8:17,,19,Milram,1:16 1:16,0,2006,
,,+ -8:17,,20,Agritubel,1:23 1:23,0,2006,
,,+0:00,1.0,1,Discovery Channel,12:55:16 12:55:16,1,2006,-
,,+0:00,2.0,2,CSC ProTeam,0:01 0:01,1,2006,-
,,+0:00,3.0,3,T-Mobile Team,0:07 0:07,1,2006,-
,,+0:00,4.0,4,Caisse d'Epargne - Illes Balears,",, 0:07",1,2006,-
,,+0:00,5.0,5,Phonak Hearing Systems,0:14 0:14,1,2006,-
,,+0:00,6.0,6,Gerolsteiner,0:18 0:18,1,2006,-
,,+0:00,7.0,7,Davitamon - Lotto,0:31 0:31,1,2006,-
,,+0:00,8.0,8,Crédit Agricole,",, 0:31",1,2006,-
,,+0:00,9.0,9,Liquigas,0:32 0:32,1,2006,-
,,+0:00,10.0,10,AG2R Prévoyance,",, 0:32",1,2006,-
,,+0:00,11.0,11,"Cofidis, le Crédit par Téléphone",0:34 0:34,1,2006,-
,,+0:00,12.0,12,Lampre-Fondital,0:37 0:37,1,2006,-
,,+0:00,13.0,13,Française des Jeux,0:39 0:39,1,2006,-
,,+0:00,15.0,14,Saunier Duval - Prodir,0:42 0:42,1,2006,▲1
,,+0:00,14.0,15,Rabobank ProTeam,",, 0:42",1,2006,▼1
,,+0:00,16.0,16,Bouygues Telecom,0:46 0:46,1,2006,-
,,+0:00,17.0,17,Quickstep - Innergetic,",, 0:46",1,2006,-
,,+0:00,18.0,18,Euskaltel - Euskadi,1:03 1:03,1,2006,-
,,+0:00,19.0,19,Milram,1:16 1:16,1,2006,-
,,+0:00,20.0,20,Agritubel,1:23 1:23,1,2006,-
,,+ -9:54:19,1.0,1,Discovery Channel,29:43:58 29:43:58,2,2006,-
