Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,stage,year,▼▲
24,39,57,+1:16:22,8,Sánchez Luis León,9,Caisse d'Epargne,1:07:21 1:07:21,16,2008,▼1
23,158,68,+1:31:00,11,Velits Peter,10,Milram,1:21:59 1:21:59,16,2008,▲1
23,196,78,+1:36:08,10,Lowe Trent,11,Team Garmin - Chipotle,1:27:07 1:27:07,16,2008,▼1
23,57,100,+2:07:40,12,Froome Chris,12,Barloworld,1:58:39 1:58:39,16,2008,-
21,44,108,+2:16:25,13,Ciolek Gerald,13,Team Columbia,2:07:24 2:07:24,16,2008,-
24,73,118,+2:31:44,14,Bono Matteo,14,Lampre,2:22:43 2:22:43,16,2008,-
24,157,124,+2:35:22,15,Terpstra Niki,15,Milram,2:26:21 2:26:21,16,2008,-
24,124,126,+2:38:51,16,Feillu Romain,16,Agritubel,2:29:50 2:29:50,16,2008,-
25,168,128,+2:39:41,17,Roy Jérémy,17,Française des Jeux,2:30:40 2:30:40,16,2008,-
24,114,131,+2:40:50,18,Haussler Heinrich,18,Gerolsteiner,2:31:49 2:31:49,16,2008,-
25,42,133,+2:43:52,19,Burghardt Marcus,19,Team Columbia,2:34:51 2:34:51,16,2008,-
23,134,135,+2:44:56,20,Langeveld Sebastian,20,Rabobank ProTeam,2:35:55 2:35:55,16,2008,-
24,197,138,+2:45:30,21,Maaskant Martijn,21,Team Garmin - Chipotle,2:36:29 2:36:29,16,2008,-
23,164,140,+2:47:52,22,Gérard Arnaud,22,Française des Jeux,2:38:51 2:38:51,16,2008,-
25,116,147,+2:54:34,23,Krauß Sven,23,Gerolsteiner,2:45:33 2:45:33,16,2008,-
23,16,12,+10:15,1,Schleck Andy,1,CSC ProTeam,74:49:18 74:49:18,17,2008,-
22,65,13,+12:13,3,Kreuziger Roman,2,Liquigas,1:58 1:58,17,2008,▲1
23,67,20,+25:39,2,Nibali Vincenzo,3,Liquigas,15:24 15:24,17,2008,▼1
25,189,24,+34:48,4,Monfort Maxime,4,"Cofidis, le Crédit par Téléphone",24:33 24:33,17,2008,-
24,125,40,+1:14:51,5,Gonzalo Eduardo,5,Agritubel,1:04:36 1:04:36,17,2008,-
24,48,48,+1:25:32,6,Löfkvist Thomas,6,Team Columbia,1:15:17 1:15:17,17,2008,-
21,52,49,+1:30:13,7,Augustyn John-Lee,7,Barloworld,1:19:58 1:19:58,17,2008,-
22,163,50,+1:31:10,8,Di Grégorio Rémy,8,Française des Jeux,1:20:55 1:20:55,17,2008,-
23,158,62,+1:47:21,10,Velits Peter,9,Milram,1:37:06 1:37:06,17,2008,▲1
24,39,65,+1:53:33,9,Sánchez Luis León,10,Caisse d'Epargne,1:43:18 1:43:18,17,2008,▼1
23,196,79,+2:07:07,11,Lowe Trent,11,Team Garmin - Chipotle,1:56:52 1:56:52,17,2008,-
23,57,88,+2:18:32,12,Froome Chris,12,Barloworld,2:08:17 2:08:17,17,2008,-
21,44,109,+2:53:36,13,Ciolek Gerald,13,Team Columbia,2:43:21 2:43:21,17,2008,-
24,73,120,+3:08:55,14,Bono Matteo,14,Lampre,2:58:40 2:58:40,17,2008,-
24,157,125,+3:12:33,15,Terpstra Niki,15,Milram,3:02:18 3:02:18,17,2008,-
24,124,128,+3:16:02,16,Feillu Romain,16,Agritubel,3:05:47 3:05:47,17,2008,-
25,168,130,+3:16:52,17,Roy Jérémy,17,Française des Jeux,3:06:37 3:06:37,17,2008,-
24,114,133,+3:18:11,18,Haussler Heinrich,18,Gerolsteiner,3:07:56 3:07:56,17,2008,-
25,42,134,+3:18:48,19,Burghardt Marcus,19,Team Columbia,3:08:33 3:08:33,17,2008,-
23,134,136,+3:22:07,20,Langeveld Sebastian,20,Rabobank ProTeam,3:11:52 3:11:52,17,2008,-
24,197,139,+3:22:41,21,Maaskant Martijn,21,Team Garmin - Chipotle,3:12:26 3:12:26,17,2008,-
23,164,141,+3:25:03,22,Gérard Arnaud,22,Française des Jeux,3:14:48 3:14:48,17,2008,-
25,116,146,+3:31:45,23,Krauß Sven,23,Gerolsteiner,3:21:30 3:21:30,17,2008,-
23,16,12,+10:04,1,Schleck Andy,1,CSC ProTeam,79:26:18 79:26:18,18,2008,-
22,65,13,+12:02,2,Kreuziger Roman,2,Liquigas,1:58 1:58,18,2008,-
23,67,19,+25:39,3,Nibali Vincenzo,3,Liquigas,15:35 15:35,18,2008,-
25,189,24,+34:48,4,Monfort Maxime,4,"Cofidis, le Crédit par Téléphone",24:44 24:44,18,2008,-
24,125,40,+1:14:51,5,Gonzalo Eduardo,5,Agritubel,1:04:47 1:04:47,18,2008,-
24,48,47,+1:25:32,6,Löfkvist Thomas,6,Team Columbia,1:15:28 1:15:28,18,2008,-
21,52,48,+1:30:13,7,Augustyn John-Lee,7,Barloworld,1:20:09 1:20:09,18,2008,-
22,163,49,+1:31:27,8,Di Grégorio Rémy,8,Française des Jeux,1:21:23 1:21:23,18,2008,-
23,158,62,+1:47:21,9,Velits Peter,9,Milram,1:37:17 1:37:17,18,2008,-
24,39,65,+1:53:50,10,Sánchez Luis León,10,Caisse d'Epargne,1:43:46 1:43:46,18,2008,-
23,196,78,+2:07:07,11,Lowe Trent,11,Team Garmin - Chipotle,1:57:03 1:57:03,18,2008,-
23,57,88,+2:18:49,12,Froome Chris,12,Barloworld,2:08:45 2:08:45,18,2008,-
21,44,109,+2:53:53,13,Ciolek Gerald,13,Team Columbia,2:43:49 2:43:49,18,2008,-
24,73,119,+3:09:12,14,Bono Matteo,14,Lampre,2:59:08 2:59:08,18,2008,-
25,42,123,+3:11:58,19,Burghardt Marcus,15,Team Columbia,3:01:54 3:01:54,18,2008,▲4
24,124,125,+3:12:45,16,Feillu Romain,16,Agritubel,3:02:41 3:02:41,18,2008,-
24,157,127,+3:14:13,15,Terpstra Niki,17,Milram,3:04:09 3:04:09,18,2008,▼2
25,168,129,+3:17:09,17,Roy Jérémy,18,Française des Jeux,3:07:05 3:07:05,18,2008,▼1
24,114,133,+3:18:11,18,Haussler Heinrich,19,Gerolsteiner,3:08:07 3:08:07,18,2008,▼1
23,134,135,+3:22:07,20,Langeveld Sebastian,20,Rabobank ProTeam,3:12:03 3:12:03,18,2008,-
24,197,138,+3:24:21,21,Maaskant Martijn,21,Team Garmin - Chipotle,3:14:17 3:14:17,18,2008,-
23,164,140,+3:25:03,22,Gérard Arnaud,22,Française des Jeux,3:14:59 3:14:59,18,2008,-
