stage_type,Stage,Winner,Leader after stage,year,IndivTimeTrial,TeamTimeTrial,MountainStage,SprintStage
1.0,Individual Time Trial - Utrecht › Utrecht,DENNIS Rohan,Dennis Rohan,2015,1,0,0,0
1.0,Stage 2 - Utrecht › Neeltje Jans,GREIPEL André,Cancellara Fabian,2015,0,0,0,1
3.0,Stage 3 - Antwerpen › Huy,RODRÍGUEZ Joaquim,Froome Christopher,2015,0,0,0,1
1.0,Stage 4 - Seraing › Cambrai,MARTIN Tony,Martin Tony,2015,0,0,0,1
1.0,Stage 5 - Arras › Amiens,GREIPEL André,Martin Tony,2015,0,0,0,1
3.0,Stage 6 - Abbeville › Le Havre,STYBAR Zdenek,Martin Tony,2015,0,0,0,1
1.0,Stage 7 - Livarot › Fougères,CAVENDISH Mark,Froome Christopher,2015,0,0,0,1
3.0,Stage 8 - Rennes › Mûr-de-bretagne,VUILLERMOZ Alexis,Froome Christopher,2015,0,0,0,1
3.0,Team Time Trial - Vannes › Plumelec,BMC Racing Team,Froome Christopher,2015,0,1,0,0
5.0,Stage 10 - Tarbes › La Pierre-Saint-Martin,FROOME Christopher,Froome Christopher,2015,0,0,1,0
5.0,Stage 11 - Pau › Cauterets,MAJKA Rafał,Froome Christopher,2015,0,0,1,0
5.0,Stage 12 - Lannemezan › Plateau de Beille,RODRÍGUEZ Joaquim,Froome Christopher,2015,0,0,1,0
2.0,Stage 13 - Muret › Rodez,VAN AVERMAET Greg,Froome Christopher,2015,0,0,0,1
5.0,Stage 14 - Rodez › Mende,CUMMINGS Stephen,Froome Christopher,2015,0,0,1,0
2.0,Stage 15 - Mende › Valence,GREIPEL André,Froome Christopher,2015,0,0,0,1
4.0,Stage 16 - Bourg-de-Péage › Gap,PLAZA Rubén,Froome Christopher,2015,0,0,1,0
5.0,Stage 17 - Digne-Les-Bains › Pra-Loup,GESCHKE Simon,Froome Christopher,2015,0,0,1,0
4.0,Stage 18 - Gap › St-Jean-de-Maurienne,BARDET Romain,Froome Christopher,2015,0,0,1,0
5.0,Stage 19 - St-Jean-de-Maurienne › La Toussuire - Les Sybelles,NIBALI Vincenzo,Froome Christopher,2015,0,0,1,0
5.0,Stage 20 - Modane › l'Alpe d'Huez,PINOT Thibaut,Froome Christopher,2015,0,0,1,0
1.0,Stage 21 - Sèvres › Paris,GREIPEL André,Froome Christopher,2015,0,0,0,1
