Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,stage,year,▼▲
26.0,33.0,1,+0:00,,,Cancellara Fabian,1,CSC ProTeam,8:50 8:50,+0:00,9.0,0,2007,
32.0,196.0,2,+0:13,,,Klöden Andreas,2,Astana,0:13 0:13,+0:13,,0,2007,
34.0,114.0,3,+0:23,,,Hincapie George,3,Discovery Channel,0:23 0:23,+0:23,,0,2007,
27.0,149.0,4,+0:23,,,Wiggins Bradley,4,"Cofidis, le Crédit par Téléphone",",, 0:23",+0:23,,0,2007,
25.0,113.0,5,+0:25,,,Gusev Vladimir,5,Discovery Channel,0:25 0:25,+0:25,,0,2007,
26.0,15.0,6,+0:26,,,Karpets Vladimir,6,Caisse d'Epargne,0:26 0:26,+0:26,,0,2007,
33.0,191.0,7,+0:30,,,Vinokourov Alexandre,7,Astana,0:30 0:30,+0:30,,0,2007,
22.0,54.0,8,+0:31,,,Dekker Thomas,8,Rabobank ProTeam,0:31 0:31,+0:31,,0,2007,
27.0,157.0,9,+0:32,,,Quinziato Manuel,9,Liquigas,0:32 0:32,+0:32,,0,2007,
25.0,169.0,10,+0:32,,,Vaugrenard Benoît,10,Française des Jeux,",, 0:32",+0:32,10.0,0,2007,
28.0,39.0,11,+0:32,,,Zabriskie David,11,CSC ProTeam,",, 0:32",+0:32,11.0,0,2007,
28.0,14.0,12,+0:33,,,Gutiérrez José Iván,12,Caisse d'Epargne,0:33 0:33,+0:33,,0,2007,
30.0,201.0,13,+0:33,,,Millar David,13,Saunier Duval,",, 0:33",+0:33,13.0,0,2007,
27.0,73.0,14,+0:33,,,Astarloza Mikel,14,Euskaltel - Euskadi,",, 0:33",+0:33,,0,2007,
24.0,112.0,15,+0:35,,,Contador Alberto,15,Discovery Channel,0:35 0:35,+0:35,,0,2007,
27.0,195.0,16,+0:35,,,Kashechkin Andrey,16,Astana,",, 0:35",+0:35,,0,2007,
30.0,41.0,17,+0:36,,,Evans Cadel,17,Predictor - Lotto,0:36 0:36,+0:36,,0,2007,
